"Sélectif Régional + Coupe Jeune - Cergy - 2008-10-19","Course 1","2008-10-19","Régional","226"
"Mathieu Voyemant-Damien Troquenet","C2H","191.34","16","48",""
"Sebastien Andrieu-Pierre Pans","C2H","192.14","77","53",""
"Mathieu Fougere-Thomas Fougere","C2H","197.83","16","85",""
"Baptiste Delaplace-Renaud Doby","C2H","201.71","-","108",""
"Frederic Momot-Michael Didier","C2H","225.30","344","242",""
"Guillaume Doutreix-Guillaume Sellier","C2H","227.55","502","255",""
"Thibault Bigeon-Oswald Besch","C2H","233.72","-","291",""
"Simon Boulan-Axel Le Nevanic","C2H","257.08","-","425",""
"Mickael Louchard-Jeansebastien Simonklein","C2H","264.08","-","464",""
"Martin Darees-Evence Granger","C2H","266.75","431","481",""
"Adam Madad-Etienne Nardeau","C2H","279.52","-","553",""
"Mathieu Dutendas-Hugo Chauvary","C2H","280.05","-","556",""
"Teddy Poulard-Jeremy Bretteville","C2H","287.20","-","597",""
"Clement Beauge-Dylan Lacaussade","C2H","342.97","420","917",""
"Louis Blasselle-Corentin Robin","C2H","392.75","-","1202",""
"Marie Borlet","K1D","199.31","57","104",""
"Oriane Rebours","K1D","205.34","133","139",""
"Flora Bove","K1D","205.44","156","140",""
"Sophie Machiels","K1D","220.70","247","227",""
"Emilie Hernandez-brossard","K1D","221.38","222","232",""
"Fiora Bourges","K1D","223.45","209","243",""
"Clara Dos Santos","K1D","227.37","268","266",""
"Marion Gallois","K1D","236.35","271","318",""
"Anais Dieterling","K1D","240.71","310","344",""
"Lea Feuillard","K1D","246.37","298","376",""
"Constance Martin","K1D","250.14","354","398",""
"Alize Bachelot","K1D","267.82","306","500",""
"Charlotte Lubineau","K1D","303.29","386","705",""
"Celia Jodar","K1D","307.48","362","730",""
"Stephanie Bender","K1D","311.07","-","750",""
"Sophie Busson","K1D","326.72","354","841",""
"Juliette Legendre","K1D","356.28","-","1011",""
"Juliette Pitrey","K1D","363.34","-","1052",""
"Melina Letellier","K1D","371.63","287","1101",""
"Clothilde Charbeaux","K1D","435.37","628","1468",""
"Marie Vermersch","K1D","489.07","675","1779",""
"Marion Laurain","K1D","520.77","446","1962",""
"Suzon Bachmann","K1D","521.36","-","1965",""
"Lola Altot","K1D","576.57","-","2284",""
"Renaud Doby","K1H","179.63","14","115",""
"Julien Daumont","K1H","181.72","121","128",""
"Michel Gombert","K1H","182.72","188","135",""
"Vincent Reiter","K1H","182.88","99","136",""
"Samuel Lhegu","K1H","183.15","131","138",""
"Jeremy Cremonesi","K1H","184.51","87","146",""
"Pierre Labarelle","K1H","186.04","-","156",""
"Xavier Jourdain","K1H","186.51","100","159",""
"Nicolas Feuillard","K1H","188.69","150","173",""
"Benoit Monvoisin","K1H","188.69","271","173",""
"Yves Lecointe","K1H","189.06","136","176",""
"Loic Monbel","K1H","189.17","125","177",""
"Philippe Daumont","K1H","189.26","172","178",""
"Nathan Barbier","K1H","189.33","152","178",""
"Loic Gobert","K1H","189.46","157","179",""
"Romain Bove","K1H","189.62","143","180",""
"Oswald Besch","K1H","190.61","58","186",""
"Venceslas Viseur","K1H","190.78","142","187",""
"Yves Debailleul","K1H","193.24","236","203",""
"Didier Niel","K1H","194.44","189","211",""
"Pierre Pans","K1H","196.11","140","222",""
"Thomas Monvoisin","K1H","196.63","187","225",""
"Nicolas Germay","K1H","196.87","-","226",""
"Jeremy Bretteville","K1H","197.59","275","232",""
"Geoffroy Schwentzel","K1H","197.97","304","234",""
"Franck Dessaint","K1H","197.98","269","234",""
"Julien Signarbieux","K1H","198.03","174","234",""
"Antoine Lebastard","K1H","198.08","-","235",""
"Paul Poulet","K1H","198.45","212","237",""
"Quentin Moreaux","K1H","198.65","190","238",""
"Quentin Vallee","K1H","198.85","281","239",""
"Alexandre Guerinet","K1H","199.02","-","240",""
"Ludovic Lino","K1H","199.72","187","245",""
"Mathieu Godin","K1H","200.04","188","247",""
"Quentin Dheilly","K1H","200.33","316","249",""
"Gael Wassmer","K1H","202.03","252","260",""
"Florian Perenchio","K1H","202.54","187","263",""
"Denis Parizia","K1H","202.62","257","264",""
"Simon Boulan","K1H","202.83","192","265",""
"Charles Pain","K1H","204.10","253","274",""
"Gaetan Dheilly","K1H","204.52","323","276",""
"Christophe Gosselin","K1H","204.73","276","277",""
"Jeansebastien Simonklein","K1H","205.88","228","284",""
"Mathieu Dutendas","K1H","205.95","374","286",""
"Hugo Chauvary","K1H","207.18","322","293",""
"Alban Planchais","K1H","207.19","-","293",""
"Mickael Louchard","K1H","207.23","184","293",""
"Arnaud Delattre","K1H","207.27","325","294",""
"Romain Richard","K1H","207.86","160","297",""
"Matthieu Walfard","K1H","208.05","234","298",""
"Mikael Maupin","K1H","209.97","269","311",""
"Quentin Chopart","K1H","210.07","-","312",""
"Romain Lemaire","K1H","210.35","273","314",""
"Etienne Carpentier","K1H","210.94","285","318",""
"Michael Didier","K1H","212.29","-","326",""
"Gerard Lafargue","K1H","212.79","318","330",""
"Luc Wojtasiak","K1H","213.92","309","337",""
"Romain Bertrand","K1H","214.84","351","343",""
"Philippe Valeri","K1H","215.13","301","345",""
"Guilherme Goncalves Maghin","K1H","215.65","412","348",""
"Tristan Lejot","K1H","217.12","275","358",""
"Damien Jacques","K1H","217.27","335","359",""
"Jean-loup Bachmann","K1H","217.89","391","362",""
"Guillaume Cochut","K1H","218.03","329","363",""
"Nicolas Leclerc","K1H","218.09","-","364",""
"Valentin Casse","K1H","218.31","220","365",""
"Florian Lefebvre","K1H","218.39","317","365",""
"Maxime Cousin","K1H","218.63","307","367",""
"Jeremy Harel","K1H","219.39","327","372",""
"Mathieu Monvoisin","K1H","221.27","332","385",""
"Cyril Duval","K1H","221.66","-","387",""
"Victor Paulais","K1H","222.53","390","392",""
"Matthieu Duval","K1H","223.48","-","399",""
"Benjamin Fourmet","K1H","224.13","-","403",""
"Tom Lay","K1H","225.02","-","408",""
"Sylvain Pionnier","K1H","225.36","-","411",""
"Matthieu Rousseau","K1H","226.51","416","418",""
"Gaetan Leroux","K1H","227.55","434","426",""
"Antoine Deichelbohrer","K1H","230.46","-","444",""
"Stephane Sagnier","K1H","231.89","-","454",""
"Thomas Quennehen","K1H","233.92","432","467",""
"Nicolas Girault","K1H","233.99","-","467",""
"Gaspard Gindt","K1H","234.48","480","470",""
"Vincent Richard","K1H","234.69","385","471",""
"Remy Daumont","K1H","241.23","456","514",""
"Robin Guebey","K1H","243.59","737","529",""
"Jerome Mailfait","K1H","244.21","435","533",""
"Maxime Huvelin","K1H","247.46","-","554",""
"Bastien Belembert","K1H","247.47","208","554",""
"Antoine Decambon","K1H","249.73","-","569",""
"Matthieu Laruelle","K1H","250.27","-","572",""
"Stephane Broute","K1H","251.17","194","578",""
"Kevin Lucas Mendes","K1H","253.82","264","595",""
"Yoann Nurit","K1H","254.78","-","601",""
"Gaspard Vivien","K1H","255.94","319","609",""
"Aurelien Noiret","K1H","258.91","381","628",""
"William Boutet","K1H","261.06","302","642",""
"Romain Faurie","K1H","261.92","233","648",""
"Bastien Darcillon","K1H","266.72","-","679",""
"Mehdi Rouich","K1H","267.37","236","683",""
"Wilhelm Heimburger","K1H","268.14","565","688",""
"Paul Batrel","K1H","268.32","399","689",""
"Maxime Boisgontier","K1H","270.21","484","702",""
"Romaric Baron","K1H","273.02","342","720",""
"Francois Durand","K1H","275.08","-","733",""
"Morgan Candas","K1H","275.55","623","736",""
"Jerome Urbanczyk","K1H","276.97","364","745",""
"Thomas Viratelle","K1H","278.23","387","753",""
"Thomas Van Craenenbroeck","K1H","278.48","797","755",""
"Thomas Theunissen","K1H","284.84","-","797",""
"Stephane Helle","K1H","285.61","394","801",""
"Thomas Andrieux","K1H","286.60","-","807",""
"Fabrice Amar","K1H","287.57","691","814",""
"Benjamin Poutonnet","K1H","291.82","790","841",""
"Christophe Dufresne","K1H","293.10","847","849",""
"Hugo Chianale","K1H","293.68","-","854",""
"Mathis Rodriguez","K1H","301.43","-","903",""
"Alexandre Degeeter","K1H","306.26","-","935",""
"Louka Bachmann","K1H","307.84","-","945",""
"Lancelot Meillier","K1H","313.27","447","980",""
"Christophe Flores","K1H","320.08","-","1024",""
"Julien Audren","K1H","329.32","-","1084",""
"Victor Moraine","K1H","329.54","-","1086",""
"Camille Mege","K1H","340.14","-","1155",""
"Tom Barthelemy","K1H","344.42","-","1181",""
"Thomas Letellier","K1H","344.89","-","1185",""
"Pierrick Tanguy","K1H","354.56","-","1247",""
"Louis Firmin","K1H","355.76","-","1255",""
"Jess Masson","K1H","361.62","327","1294",""
"Thomas Plomion","K1H","368.22","489","1336",""
"Jean Marc Lejot","K1H","373.33","711","1369",""
"Thomas Lesage","K1H","382.63","-","1429",""
"Antoine Lecocq","K1H","406.05","586","1580",""
"Quentin Vimard","K1H","423.31","-","1693",""
"Alexandre Queval","K1H","478.63","733","2050",""
"Denis Martin","K1H","518.66","726","2310",""
"Romain Postaire","K1H","519.45","1261","2315",""
"Arnaud Jorand","K1H","545.24","-","2482",""
"Julien Garin","K1H","550.89","-","2518",""
"Cedric Amar","K1H","581.23","-","2715",""
"Adrien Barlier","K1H","598.39","687","2827",""
"Marc Laurent","K1H","640.96","-","3102",""
"Alexandre Becuwe","K1H","694.81","-","3451",""
"Alexis Jallageas","K1H","824.67","-","4291",""
"Leo Roels","K1H","843.83","-","4415",""
"Pierre Semenzato","K1H","1003.49","-","5449",""
"Benjamin Faisy","K1H","1056.41","1559","5792",""
