"Demi-Finale de la Coupe de France National 3 Slalom Nord-Est - 88000 Epinal - Demi-finale - 2019-05-26","Demi-finale","2019-05-26","Nationale 3","102"
"Azenor Philip","K1D","108.85","358.08","338.76",""
"Anne Fischer","K1D","109.28","371.48","344.01",""
"Zelie Wendling","K1D","118.13","435.24","452.01",""
"Lou-anne Cointin","K1D","122.81","492.65","509.12",""
"Lucille Meunier-cheyssac","K1D","124.7","402.49","532.19",""
"Melyne Jost","K1D","125.63","546.45","543.54",""
"Jade Robin","K1D","125.95","651.94","547.44",""
"Caroline Scherer","K1D","126.14","513.72","549.76",""
"Elodie Berrot","K1D","129.96","575.47","596.38",""
"Maude Dominique","K1D","137.42","883.23","687.42",""
"Fiona Gille","K1D","141.16","520.41","733.05",""
"Charlotte Doucet","K1D","143.43","655.14","760.76",""
"Audrey Masson","K1D","146.55","905.19","798.83",""
"Helene Hincelin","K1D","152.61","1119.61","872.79",""
"Marine Primet","K1D","161.15","971.98","977.01",""
"Carole Dolmaire","K1D","227.03","686.68","1780.96",""
"Laurine Grandadam","K1D","Abs","-","-",""
"Antoine Roux","K1H","92.8","352.85","290.12",""
"Oskar Hillion","K1H","93.24","313.8","296.19",""
"Anthony Rouhier","K1H","93.44","286.73","298.94",""
"Jules Andrien","K1H","94.25","301.62","310.11",""
"Pierre Biagui","K1H","95.21","313.26","323.35",""
"Leonard Painteaux","K1H","96.28","335.92","338.11",""
"Aurelien Merieux Danneaux","K1H","96.33","336.36","338.8",""
"Louis Gasser","K1H","96.74","321.39","344.45",""
"Simon Munch","K1H","96.92","307.1","346.93",""
"Sebastien De Berchem","K1H","97.37","367.1","353.14",""
"Tanguy Adisson","K1H","97.83","353.26","359.48",""
"Nathan Frison","K1H","98.78","369.59","372.58",""
"Maxime Devis","K1H","98.95","436.35","374.93",""
"Quentin Henri","K1H","99.47","395.9","382.1",""
"Matthieu Koffel","K1H","99.49","303.21","382.37",""
"Loann Delle Dananchet","K1H","99.73","409.27","385.68",""
"Erwan Degreve","K1H","101.67","414.36","412.43",""
"Maxence Grandadam","K1H","101.93","380.29","416.02",""
"Clement Fremy","K1H","102.55","358.23","424.57",""
"Thomas Stutzmann","K1H","102.78","462.89","427.74",""
"Christophe Siffert","K1H","103.09","414.15","432.02",""
"Yann Becker","K1H","103.44","328.85","436.84",""
"Florent Tamburini","K1H","103.97","459.16","444.15",""
"Salim Jemai","K1H","104.59","433.52","452.7",""
"Victor Henry","K1H","105.22","464.68","461.39",""
"Gael Ettwiller","K1H","105.89","410.62","470.63",""
"Thomas Michel","K1H","105.9","458.9","470.77",""
"Antoine Paumier","K1H","106.46","428.47","478.49",""
"Matthieu Walfard","K1H","106.56","408.35","479.87",""
"Olivier Urbain","K1H","106.87","413.71","484.14",""
"Axel Ganthier","K1H","107.06","356.97","486.76",""
"Smail Mouhoub","K1H","107.66","442.09","495.04",""
"Matthew Vuillard","K1H","108.07","376.83","500.69",""
"Jorg Blees","K1H","108.15","440.14","501.79",""
"Alexis Gombert","K1H","108.27","519.93","503.45",""
"Valentin Bostoen","K1H","108.75","549.04","510.07",""
"Jonathan Ferreira","K1H","109.99","488.44","527.17",""
"Christophe Billaud","K1H","112.69","486.79","564.4",""
"Jules Latimier","K1H","112.9","481.56","567.3",""
"Axel Guilleret","K1H","146.3","281.73","1027.88",""
