"Sélectif régional des Iles Mortes - Chelles - Champs-Sur-Marne - 2006-10-01","Course 2","2006-10-01","Régional","247"
"Benoit Fer","K1H","168.67","124","99",""
"Ronan Lucas","K1H","169.31","108","104",""
"Jeremy Cremonesi","K1H","170.45","161","113",""
"De Berchen Sebastien","K1H","171.27","96","118",""
"Venceslas Viseur","K1H","171.91","74","123",""
"Ciaran Heurteau","K1H","172.88","51","130",""
"Vincent Reiter","K1H","173.48","168","134",""
"Xavier Jourdain","K1H","174.21","105","139",""
"Emile Devaux","K1H","176.58","184","156",""
"Vincent Hannedouche","K1H","178.16","-","167",""
"Loic Monbel","K1H","178.60","204","171",""
"Nicolas Abbal","K1H","179.04","171","174",""
"Julien Daumont","K1H","179.33","139","175",""
"Florian Perenchio","K1H","179.59","219","177",""
"Oswald Besch","K1H","179.60","105","177",""
"Perrin Alexandre","K1H","181.06","219","188",""
"Gregory Busson","K1H","183.34","112","205",""
"Coiffe Florion","K1H","183.89","140","208",""
"Philippe Daumont","K1H","184.07","158","209",""
"Samuel Lhegu","K1H","184.30","254","211",""
"Valadon Louis","K1H","185.62","236","220",""
"Mikael Maupin","K1H","186.05","151","224",""
"Gilles Flores","K1H","187.66","223","235",""
"Le Berte Maxime","K1H","188.23","193","239",""
"Alexandre Guerinet","K1H","189.84","272","251",""
"Quentin Vallee","K1H","190.69","182","257",""
"Quentin Moreaux","K1H","190.72","364","257",""
"Lismonde Alexandre","K1H","190.95","-","259",""
"Bertrand Avril","K1H","191.33","249","261",""
"Didier Niel","K1H","191.66","222","264",""
"Creuza Jeremy","K1H","192.21","-","268",""
"Yves Debailleul","K1H","193.15","-","274",""
"Romain Content","K1H","193.23","313","275",""
"Thomas Monvoisin","K1H","194.64","310","285",""
"Germain Carre","K1H","195.39","350","291",""
"Bernhardt Christophe","K1H","195.46","242","291",""
"Bonnin Sylvain","K1H","195.79","290","293",""
"Sergent Sylvain","K1H","195.95","231","294",""
"Antoine Dufrene","K1H","196.11","-","295",""
"Geoffroy Schwentzel","K1H","196.19","404","296",""
"Jodar Sebastien","K1H","196.46","306","298",""
"Antoine Lebastard","K1H","197.02","236","302",""
"Nicolas Dupres","K1H","198.96","310","316",""
"Thibaud Kudla","K1H","199.30","245","318",""
"Nicolas Feuillard","K1H","199.46","-","319",""
"Paul Poulet","K1H","200.01","272","324",""
"Adel Faycal","K1H","200.11","324","324",""
"Mannier Quentin","K1H","201.08","329","330",""
"Lismonde Jean Batiste","K1H","201.14","-","332",""
"Alexandre Peslin","K1H","201.22","458","332",""
"Valentin Casse","K1H","201.68","350","335",""
"Maxime Cousin","K1H","202.57","-","342",""
"Simon Joudou","K1H","202.91","246","344",""
"Lorrie Delattre","K1H","203.12","-","345",""
"Matthieu Walfard","K1H","204.18","372","353",""
"Hetier Louis","K1H","204.25","-","353",""
"Camille Mege","K1H","204.31","411","354",""
"Guillaume Doutreix","K1H","204.56","279","355",""
"Bastien Darcillon","K1H","205.33","271","361",""
"Philippe Valeri","K1H","205.57","315","363",""
"Nicolas Arnoult","K1H","205.66","335","363",""
"Benjamin Fourmet","K1H","205.73","352","365",""
"Julien Darees","K1H","205.92","300","366",""
"Viratelle Vincent","K1H","206.34","327","368",""
"Marquer Tanguy","K1H","206.76","-","371",""
"Stephane Sagnier","K1H","207.21","335","375",""
"Loic Gobert","K1H","207.46","374","376",""
"Benjamin Defrocourt","K1H","208.37","-","383",""
"Briois Vianney","K1H","209.51","-","391",""
"Manteau Jeremy","K1H","209.54","-","392",""
"Jerome Trousson","K1H","209.92","355","394",""
"Sebastien Tester","K1H","210.01","369","395",""
"Morel Julien","K1H","210.80","-","401",""
"Roberge Sebastien","K1H","211.42","458","404",""
"Thibault Dhennin","K1H","211.59","367","405",""
"Gilles Lucas","K1H","212.05","435","409",""
"Mathys Morgan","K1H","212.62","453","413",""
"Gerard Lafargue","K1H","213.16","404","417",""
"Olivier Cornu","K1H","214.13","391","423",""
"Thomas Viratelle","K1H","215.00","401","430",""
"Stephane Helle","K1H","215.44","-","434",""
"Joel Ramillon","K1H","216.64","495","442",""
"Dutois Pierre","K1H","217.32","-","447",""
"Martin Sacleux","K1H","218.44","400","455",""
"Remy Daumont","K1H","218.80","392","457",""
"Cheron Valentin","K1H","219.90","513","465",""
"Denis Parizia","K1H","220.15","-","467",""
"Ludovic Lino","K1H","220.20","-","468",""
"Lahaye Noe","K1H","220.22","-","468",""
"Burgard Jean Roch","K1H","220.40","-","469",""
"Jeremy Huguenin","K1H","220.79","515","471",""
"Coudiere Julien","K1H","221.33","482","476",""
"Vincent Richard","K1H","221.38","462","476",""
"Flavien Odile","K1H","221.97","413","480",""
"Bellacicco Denis","K1H","223.55","525","491",""
"Sarazin Jean Benoit","K1H","227.20","491","518",""
"Salinie Sylvain","K1H","227.77","433","521",""
"Monbel Romain","K1H","228.11","492","523",""
"Hugo Francois","K1H","228.31","527","526",""
"Romain Lemaire","K1H","228.95","603","530",""
"Dominique Odile","K1H","232.25","445","553",""
"Etienne Carpentier","K1H","232.83","-","557",""
"Benko Morgan","K1H","234.32","-","569",""
"Guillas Kilian","K1H","235.38","-","575",""
"Sergepatrick Viseur","K1H","237.34","575","590",""
"Henry Théophile","K1H","237.45","606","590",""
"Ernou Gregoire","K1H","241.49","640","620",""
"Sebastien Dupont","K1H","243.31","-","632",""
"Pierron Aurelien","K1H","246.56","512","656",""
"Villeneuve Vincent","K1H","248.90","-","672",""
"Simon Deboysson","K1H","249.23","878","674",""
"Lenez Thibault","K1H","250.11","-","681",""
"Aurelien Noiret","K1H","250.98","510","687",""
"Logan Nannette","K1H","252.81","925","700",""
"Nicholl Sylvain","K1H","253.67","-","706",""
"Regnier Augustin","K1H","254.51","-","713",""
"Jerome Urbanczyk","K1H","254.84","-","715",""
"Laurent Ernou","K1H","258.68","748","742",""
"Hugo Chauvary","K1H","258.93","-","743",""
"Bastien Belembert","K1H","264.04","425","781",""
"Brouillard Thibault","K1H","265.61","649","791",""
"Hamon Stephane","K1H","265.65","-","792",""
"Benjamin Millet Naas","K1H","265.75","737","792",""
"Camille Simonin","K1H","267.71","703","807",""
"Domenger Paul","K1H","273.08","580","844",""
"Jerome Mailfait","K1H","273.71","375","849",""
"Louis Piot","K1H","282.46","-","911",""
"Zimmermann Tanguy","K1H","283.09","-","916",""
"Arthur Lemoigne","K1H","286.29","-","939",""
"Corentin Marteau","K1H","286.30","-","939",""
"Gwizdziel Guillaume","K1H","286.62","-","942",""
"Johann Sacleux","K1H","288.08","-","952",""
"Tristan Lejot","K1H","288.90","-","958",""
"Kronovsek Patrick","K1H","290.70","-","970",""
"Maxime Boisgontier","K1H","291.28","-","975",""
"Guillaume Cochut","K1H","301.65","-","1048",""
"Quentin Chopart","K1H","309.79","-","1106",""
"Jan Baudet","K1H","344.20","-","1352",""
"Etienne Creuza","K1H","364.34","-","1496",""
"Balboni Charles","K1H","381.16","-","1616",""
"Romain Bertrand","K1H","414.33","-","1852",""
"Arnaud Allibert","K1H","656.32","-","3579",""
"Adrien Barlier","K1H","775.20","-","4427",""
