"Selectif N3 Nord-Est - Chelles - 2006-03-25","Course 1","2006-03-25","Nationale 3","118"
"Jodar Sebastien","K1H","219.93","353","339",""
"Philippe Valeri","K1H","219.99","303","339",""
"Zawadzki Wilfried","K1H","221.20","400","347",""
"Gaetan Dheilly","K1H","221.29","332","347",""
"Terryn Gilles","K1H","221.35","312","348",""
"Eric Lamour","K1H","222.14","329","353",""
"Tachet Xavier","K1H","222.53","314","355",""
"Laville Alexandre","K1H","223.19","375","359",""
"Stephane Sagnier","K1H","223.31","401","360",""
"Yves Moreno","K1H","223.99","269","364",""
"Gaetan Kieffert","K1H","225.10","353","372",""
"Guillaume Doutreix","K1H","226.42","335","380",""
"Quillet Maxime","K1H","226.87","417","383",""
"Valentin Casse","K1H","227.30","827","385",""
"Remy Daumont","K1H","228.37","399","392",""
"Johann Beldame","K1H","228.69","368","394",""
"Simon Bonnet","K1H","229.10","379","396",""
"Thibault Dhennin","K1H","229.58","396","399",""
"Langlin Romain","K1H","231.45","365","412",""
"Valentin Cazin","K1H","231.78","448","414",""
"Argenson Thomas","K1H","232.16","548","416",""
"Guillaume Hermant","K1H","232.64","539","419",""
"Viratelle Vincent","K1H","232.99","357","421",""
"Alexandre Peslin","K1H","234.19","591","428",""
"Thomas Viratelle","K1H","235.59","512","437",""
"Thomas Plomion","K1H","236.09","477","440",""
"Loic Gobert","K1H","236.16","459","441",""
"Camille Mege","K1H","237.02","486","447",""
"Martin Sacleux","K1H","237.46","652","449",""
"Quentin Dheilly","K1H","237.57","600","450",""
"Vincent Richard","K1H","237.87","466","452",""
"Henriot Thomas","K1H","237.87","546","452",""
"Champin Pierrick","K1H","238.10","611","453",""
"Olivier Cornu","K1H","238.58","391","456",""
"Renard Guillaume","K1H","239.21","560","460",""
"Leclerc Julien","K1H","239.42","573","462",""
"Poupart Maxime","K1H","242.33","563","479",""
"Gilles Lucas","K1H","243.88","440","490",""
"Jeremy Huguenin","K1H","244.04","579","491",""
"Monbel Romain","K1H","244.46","538","493",""
"Maxime Raux","K1H","245.27","667","498",""
"Le Nevanic Gerald","K1H","245.42","608","499",""
"Hugo Francois","K1H","245.69","629","501",""
"Sarazin Jean Benoit","K1H","246.57","694","506",""
"Domenger Paul","K1H","247.16","676","510",""
"Laurent Bes","K1H","247.24","450","510",""
"Donatien Lamoureux","K1H","247.88","531","514",""
"Florian Lefebvre","K1H","250.36","552","531",""
"Colin Maxime","K1H","253.89","752","552",""
"Jeremy Denis","K1H","254.60","-","558",""
"Didier Niel","K1H","258.57","233","582",""
"Ernou Gregoire","K1H","258.62","702","582",""
"Baudry Pierre Luc","K1H","261.35","703","600",""
"Deffebvre Pierre","K1H","261.86","797","603",""
"Berenger Bonnard","K1H","264.77","700","621",""
"Samuel Lhegu","K1H","265.58","367","626",""
"Henry Théophile","K1H","275.92","662","691",""
"Antoine Deffontaine","K1H","280.68","461","722",""
"Gerard Lafargue","K1H","282.86","390","735",""
"Laurent Ernou","K1H","289.83","768","780",""
"Lebar Johnny","K1H","291.13","410","788",""
"Frechon Camille","K1H","314.00","744","932",""
