"SÈlectif RÈgional Slalom & Championnat RÈgional Slalom ""Grand Est"" - 67600 Selestat - Course n∞2 | Finale - 2020-10-11","Course n∞2 | Finale","2020-10-11","RÈgional","278"
"Matth…o Waltz","K1HM","138.27","666.95","761.44","Course n∞2 | Finale A"
"Etienne Flavier","K1HM","141.48","862.78","801.47","Course n∞2 | Finale A"
"Thibaud Korn","K1HM","146.34","699.86","862.08","Course n∞2 | Finale A"
"Clement Breuvart","K1HM","151.5","879.13","926.43","Course n∞2 | Finale A"
"Simon Sossi","K1HM","156.21","865.8","985.16","Course n∞2 | Finale A"
"Teo Mullerheddar","K1HM","156.77","667.47","992.15","Course n∞2 | Finale A"
"Nicolas Diettert","K1HM","192.88","830.45","1442.46","Course n∞2 | Finale A"
"Anais Mouhoub","C1D","151.96","855.55","621.32","Course n∞2 | Finale B"
"Kassandra Wagnier","C1D","160.5","664.36","710.07","Course n∞2 | Finale B"
"Celia Grandadam","C1D","166.14","1197.97","768.68","Course n∞2 | Finale B"
"Melyne Jost","C1D","177.78","1006.1","889.65","Course n∞2 | Finale B"
"Fransiska Granzow","C1D","179.35","695.93","905.96","Course n∞2 | Finale B"
"Pauline Primm","C1D","Abd","-","-","Course n∞2 | Finale B"
"Satine Meranger","C1DM","174.81","915.55","858.79","Course n∞2 | Finale B"
"Cathilya Talon","C1DM","179.13","1424.92","903.68","Course n∞2 | Finale B"
"S…l»ne Driget","C1DM","194.85","1428.62","1067.05","Course n∞2 | Finale B"
"Otello Willmann Rosso","C1H","125.73","562.48","535.4","Course n∞2 | Finale B"
"Quentin Maillefer","C1H","126.31","371.31","542.28","Course n∞2 | Finale B"
"Timothee Foltz","C1H","130.8","665.18","595.6","Course n∞2 | Finale B"
"Michel Bert","C1H","131.16","537.34","599.88","Course n∞2 | Finale B"
"Adrien Gaillot","C1H","132.71","576.19","618.29","Course n∞2 | Finale B"
"Adrien Dierstein","C1H","133.29","570.01","625.18","Course n∞2 | Finale B"
"Laurent Starck","C1H","134.68","628.06","641.7","Course n∞2 | Finale B"
"Nils Jakobs","C1H","135.81","606.27","655.11","Course n∞2 | Finale B"
"Ludovic Kessler","C1H","138.69","637.9","689.32","Course n∞2 | Finale B"
"Victor Henry","C1H","143.12","783.36","741.93","Course n∞2 | Finale B"
"Paul Gstalter","C1H","143.92","797.07","751.44","Course n∞2 | Finale B"
"Anthony Menissier","C1H","146.1","607.1","777.33","Course n∞2 | Finale B"
"Alexandre L'huillier","C1H","146.16","771.37","778.04","Course n∞2 | Finale B"
"Nolan Lequesne","C1H","146.93","690.12","787.18","Course n∞2 | Finale B"
"Matthieu Koffel","C1H","147.19","888.72","790.27","Course n∞2 | Finale B"
"Sebastien Varin","C1H","151.04","689.79","836","Course n∞2 | Finale B"
"Quentin Dierstein","C1H","153.52","758.34","865.46","Course n∞2 | Finale B"
"Erwan Rouch","C1H","157.41","840.97","911.65","Course n∞2 | Finale B"
"Edy Gasser","C1H","170.2","981.35","1063.55","Course n∞2 | Finale B"
"Valentin Clement","C1H","199.53","1874.05","1411.91","Course n∞2 | Finale B"
"S…bastien Besnard","C1H","297.64","3851.62","2577.14","Course n∞2 | Finale B"
"Moritz Adler","C1H","Abs","-","-","Course n∞2 | Finale B"
"Jan Gabin Pischek","C1HM","141.84","758.68","726.73","Course n∞2 | Finale B"
"William Cherrier","C1HM","175.98","1395.32","1132.2","Course n∞2 | Finale B"
"Baptiste Albert","C1HM","200.31","1278.62","1421.16","Course n∞2 | Finale B"
"Lucien Schmidt","C1HM","224.84","1760.28","1712.5","Course n∞2 | Finale B"
"Etienne Flavier","C1HM","242.2","1078.79","1918.69","Course n∞2 | Finale B"
"Axel Marchand","C1HM","Abd","-","-","Course n∞2 | Finale B"
"Samson Gehenn Agbewode","C1HM","Abd","-","-","Course n∞2 | Finale B"
"Maxence Principaud","C1HM","Abd","-","-","Course n∞2 | Finale B"
"Etienne Ermel","C1HM","Abd","-","-","Course n∞2 | Finale B"
"Lucas Grenier","C1HM","Abd","-","-","Course n∞2 | Finale B"
"Florent Tamburini-Philippe Potier","C2H","155.15","839.18","801.05","Course n∞2 | Finale B"
"Ludovic Kessler-Salim Jemai","C2H","160.08","883.7","856.94","Course n∞2 | Finale B"
"Eddy Cassard-Sebastien Varin","C2H","169.14","814.96","959.66","Course n∞2 | Finale B"
"Victor Henry-Paul Gstalter","C2H","176.06","928.77","1038.11","Course n∞2 | Finale B"
"Valentin Bostoen-Nolan Lequesne","C2H","176.99","1124.99","1048.65","Course n∞2 | Finale B"
"Oskar Hillion-Maxime Forcadette","C2H","Abd","-","-","Course n∞2 | Finale B"
"Quentin Maillefer-Kassandra Wagnier","C2M","164.37","696.39","750.29","Course n∞2 | Finale B"
"Mae Bianco-Lucas Jamart","C2M","168.89","841.29","797.27","Course n∞2 | Finale B"
"Carole Dolmaire-Alexandre L'huillier","C2M","215.95","1422.74","1286.32","Course n∞2 | Finale B"
"Mae Bianco","K1D","118.16","340.65","346.13","Course n∞2 | Finale B"
"Mylene Guilcher","K1D","124.19","386.93","412.68","Course n∞2 | Finale B"
"Melyne Jost","K1D","143.71","651.49","628.1","Course n∞2 | Finale B"
"Celia Grandadam","K1D","143.9","701.74","630.2","Course n∞2 | Finale B"
"Agathe Portmann","K1D","147.62","737.05","671.25","Course n∞2 | Finale B"
"Claire Colin","K1D","149.86","707.7","695.97","Course n∞2 | Finale B"
"Morgane Paulet","K1D","161.14","857.92","820.46","Course n∞2 | Finale B"
"Lola Malais…","K1D","165.62","1150.51","869.9","Course n∞2 | Finale B"
"Aurelie Fourez","K1D","168.4","972","900.59","Course n∞2 | Finale B"
"Emmy Tamburini","K1D","173.29","954.31","954.55","Course n∞2 | Finale B"
"Javotte Graslaplante","K1D","176.95","925.96","994.94","Course n∞2 | Finale B"
"Carole Dolmaire","K1D","182.85","863.48","1060.05","Course n∞2 | Finale B"
"Jessie Dallois","K1D","192.09","1573.62","1162.02","Course n∞2 | Finale B"
"Lou Hudlett","K1D","208.52","1788.09","1343.35","Course n∞2 | Finale B"
"Emma Lies","K1D","Abd","-","-","Course n∞2 | Finale B"
"Leanne Lemal","K1D","Abd","-","-","Course n∞2 | Finale B"
"Cathilya Talon","K1DM","155.7","761.31","760.43","Course n∞2 | Finale B"
"Juliette Formet","K1DM","239.02","1162.5","1679.94","Course n∞2 | Finale B"
"Louison Da Costa","K1DM","Abd","-","-","Course n∞2 | Finale B"
"Benjamin Dodane","K1H","96.43","196.82","244.67","Course n∞2 | Finale B"
"Maxime Di Lauro","K1H","116.11","589.54","490.09","Course n∞2 | Finale B"
"Mathieu Jacquelin","K1H","124.52","688.81","594.97","Course n∞2 | Finale B"
"Nolan Lequesne","K1H","125.26","676.44","604.2","Course n∞2 | Finale B"
"Patrick Gass","K1H","126.4","612.87","618.41","Course n∞2 | Finale B"
"Jean Marc Trenchant","K1H","129.1","688.12","652.08","Course n∞2 | Finale B"
"Antoine Schroetter","K1H","129.32","616.84","654.83","Course n∞2 | Finale B"
"Paul Bornier","K1H","129.85","660.52","661.44","Course n∞2 | Finale B"
"Ludovic Kessler","K1H","129.9","541.57","662.06","Course n∞2 | Finale B"
"Timothee Foltz","K1H","132.71","565.79","697.1","Course n∞2 | Finale B"
"Quentin Dierstein","K1H","133.64","580.17","708.7","Course n∞2 | Finale B"
"Victor Frumholtz","K1H","134.48","698.32","719.18","Course n∞2 | Finale B"
"Edy Gasser","K1H","134.8","807.36","723.17","Course n∞2 | Finale B"
"Victor Hirschmann-rodriguez","K1H","136.55","798.51","744.99","Course n∞2 | Finale B"
"Adrien Dierstein","K1H","137.85","710.13","761.2","Course n∞2 | Finale B"
"Alexandre L'huillier","K1H","138.91","735.93","774.42","Course n∞2 | Finale B"
"Frederic Caillet","K1H","139.37","655.8","780.16","Course n∞2 | Finale B"
"Max Cantenot","K1H","139.59","812.82","782.9","Course n∞2 | Finale B"
"Simon Bouchot","K1H","139.96","741.1","787.52","Course n∞2 | Finale B"
"Marc Perlade","K1H","140.26","646.14","791.26","Course n∞2 | Finale B"
"Philippe Koffel","K1H","141.33","747.8","804.6","Course n∞2 | Finale B"
"Emile Babel","K1H","143.44","738.61","830.91","Course n∞2 | Finale B"
"Paul Gaillard","K1H","143.51","862.8","831.79","Course n∞2 | Finale B"
"Anthony Menissier","K1H","143.87","692.99","836.28","Course n∞2 | Finale B"
"Augustin Schupp","K1H","144.24","869.56","840.89","Course n∞2 | Finale B"
"Philippe Potier","K1H","147.4","644.41","880.3","Course n∞2 | Finale B"
"Guillaume Louis","K1H","147.91","796.7","886.66","Course n∞2 | Finale B"
"Alexandre Allemang","K1H","149.25","907.74","903.37","Course n∞2 | Finale B"
"Aaron Drager","K1H","149.47","985.14","906.11","Course n∞2 | Finale B"
"Jacques Fouchier","K1H","156.17","1030.49","989.66","Course n∞2 | Finale B"
"Fabien Vacelet","K1H","156.68","1021.36","996.02","Course n∞2 | Finale B"
"Jules Fischer","K1H","158.96","1192.85","1024.46","Course n∞2 | Finale B"
"Kenzo Garnier","K1H","160.32","864.41","1041.42","Course n∞2 | Finale B"
"Aloys Morel","K1H","161.65","800.42","1058","Course n∞2 | Finale B"
"Julien Dupriez","K1H","163.37","958.55","1079.45","Course n∞2 | Finale B"
"Valentin Clement","K1H","164.54","1072.47","1094.04","Course n∞2 | Finale B"
"Arnaud Cote","K1H","167.05","1169.48","1125.35","Course n∞2 | Finale B"
"Guilhem Becvort","K1H","173.05","1392.16","1200.17","Course n∞2 | Finale B"
"Mathieu Baudoin","K1H","175.37","934.43","1229.1","Course n∞2 | Finale B"
"Paul Colin","K1H","176.36","1553.96","1241.45","Course n∞2 | Finale B"
"S…bastien Besnard","K1H","182.27","1317.19","1315.15","Course n∞2 | Finale B"
"Moritz Adler","K1H","202.15","865.02","1563.07","Course n∞2 | Finale B"
"Stephane Cassin","K1H","216.61","1068.21","1743.39","Course n∞2 | Finale B"
"Tom Accou","K1H","257.34","1020.62","2251.32","Course n∞2 | Finale B"
"Andre Kempf","K1H","Abs","-","-","Course n∞2 | Finale B"
"Yann Becker","K1H","Abs","-","-","Course n∞2 | Finale B"
"Eddy Cassard","K1H","Abs","-","-","Course n∞2 | Finale B"
"Jules Dolisy","K1HM","142.72","890.85","821.93","Course n∞2 | Finale B"
"Maxence Principaud","K1HM","146.4","1394.49","867.83","Course n∞2 | Finale B"
"Victor Scheffzek","K1HM","151.89","1420.27","936.29","Course n∞2 | Finale B"
"Ian Hudlett","K1HM","152.05","873.08","938.29","Course n∞2 | Finale B"
"Hugo Bazin","K1HM","155.33","962.51","979.19","Course n∞2 | Finale B"
"Theo Didier","K1HM","160.79","1021.9","1047.28","Course n∞2 | Finale B"
"Axel Marchand","K1HM","161.17","1076.78","1052.02","Course n∞2 | Finale B"
"Lucien Schmidt","K1HM","167.57","1100.78","1131.83","Course n∞2 | Finale B"
"Mathys Henry","K1HM","169.33","1263.24","1153.78","Course n∞2 | Finale B"
"Lucas Grenier","K1HM","170.3","1349.48","1165.88","Course n∞2 | Finale B"
"Gennaro Capitano","K1HM","172.98","1293.42","1199.3","Course n∞2 | Finale B"
"Samson Gehenn Agbewode","K1HM","174.63","1076.36","1219.87","Course n∞2 | Finale B"
"William Cherrier","K1HM","185.53","1116.45","1355.8","Course n∞2 | Finale B"
"Etienne Ermel","K1HM","186.11","1161.44","1363.04","Course n∞2 | Finale B"
"Erwann Louis","K1HM","196.63","1360.54","1494.23","Course n∞2 | Finale B"
"RaphaÀl Cantenot","K1HM","199.61","961.16","1531.39","Course n∞2 | Finale B"
