"Nationale 3 - Guise - 2013-04-14","Course 2","2013-04-14","Nationale 3","159"
"Maryse Viseur","K1D","127.7","541.13","534.83",""
"Mathilde Bouquin","K1D","137.82","384.25","647.77",""
"Elise Rousseau","K1D","139.87","403.93","670.65",""
"Pauline Ferreira De Abreu","K1D","144.18","601.12","718.74",""
"Natacha Giraud","K1D","165.36","311.09","955.08",""
"Agnes Gigan","K1D","170.85","425.53","1016.35",""
"Louise Muller","K1D","192.08","425.78","1253.26",""
"Didier Niel","K1H","88.56","107.1","226.54",""
"Julien Fougeron","K1H","89.47","154.99","238.01",""
"Mikael Maupin","K1H","89.81","127.17","242.3",""
"Simon Boulan","K1H","90.29","125.38","248.36",""
"Kevin Lucas Mendes","K1H","91.23","178.71","260.21",""
"Robin Pilard","K1H","91.4","115.81","262.35",""
"Jules Guilbaud","K1H","91.5","143.56","263.62",""
"Bastien Meslet","K1H","91.66","150.59","265.63",""
"Philippe Daumont","K1H","92.27","139.89","273.33",""
"Ludovic Ngo","K1H","92.45","139.36","275.59",""
"Remi Robin","K1H","93.75","157.13","291.98",""
"Francois Durand","K1H","94.62","219.01","302.96",""
"Mickael Louchard","K1H","94.8","157.68","305.22",""
"Edouard Gracias","K1H","95.72","134.01","316.83",""
"Maxime Poupart","K1H","95.99","231.24","320.24",""
"Thomas Postaire","K1H","97.23","173.38","335.86",""
"Yohan Marck","K1H","97.96","187.55","345.07",""
"Nathan Aubert","K1H","97.98","226.22","345.33",""
"Jeremy Grippon","K1H","98.03","233.4","345.95",""
"Jeremy Huguenin","K1H","98.73","190.43","354.78",""
"Adrien Suardana","K1H","98.95","242.12","357.56",""
"David Mingasson","K1H","99.26","265.3","361.46",""
"Clement Sannier","K1H","99.29","228.31","361.84",""
"Charles Moalic","K1H","99.51","272.21","364.62",""
"Dylan Garin","K1H","99.56","196.18","365.25",""
"Aurelien Coiffeteau","K1H","99.6","261.36","365.75",""
"Joseph Enguehard","K1H","100.31","276.43","374.7",""
"Thibault Joncret","K1H","100.4","210.21","375.84",""
"Xavier Chantry","K1H","100.52","167.12","377.36",""
"Robin Dheilly","K1H","100.54","275.84","377.6",""
"Charly Prevert","K1H","100.89","319.91","382.02",""
"Corentin Desenclos","K1H","101.12","471.66","384.92",""
"Quentin Mannier","K1H","101.17","270.87","385.55",""
"Aymeric Dollat","K1H","101.7","305.26","392.24",""
"Pierre Beuchet","K1H","101.77","392.89","393.11",""
"Yoann Deschemaeker","K1H","101.8","202.15","393.49",""
"Francois Pech","K1H","102","498.43","396.01",""
"Fabien Perruchet","K1H","102.25","202.59","399.16",""
"Laurent Dupuis","K1H","102.97","146.56","408.25",""
"Matthieu Rousseau","K1H","103.02","279.68","408.87",""
"Amaury Vielliard","K1H","103.27","252.5","412.02",""
"Romain Huguenin","K1H","103.51","392.16","415.05",""
"Leo Degraeve","K1H","103.51","374.9","415.05",""
"Nathan Boudaillez","K1H","104.46","282.36","427.04",""
"Erwan Gautrelet","K1H","104.68","392.71","429.81",""
"Esteban Lebrun","K1H","104.8","540.39","431.32",""
"Theo Zilber","K1H","104.91","367.71","432.71",""
"Florian Crette","K1H","105.7","289.56","442.68",""
"Thibault Dhennin","K1H","105.86","254.9","444.69",""
"Thomas Durand","K1H","105.88","392.14","444.94",""
"Olivier Dulouard","K1H","106.25","237.99","449.61",""
"Maxime Pilard","K1H","106.29","291.6","450.11",""
"Yoann Nurit","K1H","106.57","253.34","453.64",""
"Benjamin Pre","K1H","106.84","521.48","457.05",""
"Teddy Poulard","K1H","107.26","246.22","462.34",""
"Xavier Montenoise","K1H","107.92","405.25","470.66",""
"Clement Come","K1H","108.08","-","472.68",""
"Alexis Vielliard","K1H","108.15","306.9","473.56",""
"Pierre Ferrand","K1H","109.36","354.91","488.82",""
"Louis Depuydt","K1H","110.13","467.23","498.53",""
"Johann Sacleux","K1H","110.25","376.24","500.05",""
"Jeremy Maniere","K1H","111.57","531.68","516.69",""
"Son Bui","K1H","112.03","597.15","522.49",""
"Lucas Richard","K1H","113","483.95","534.72",""
"Jean-francois Dulouard","K1H","113.07","506.21","535.61",""
"Mickael Dubois","K1H","114.39","371.69","552.25",""
"Bastien Moreaux","K1H","115.99","-","572.43",""
"Maxime Trudel","K1H","117.36","1049.67","589.7",""
"Pierre Emmanuel Ravet","K1H","121.59","492.41","643.04",""
"Pascal Andrieux","K1H","124.65","589.98","681.63",""
"Adam Collin","K1H","155.2","299.53","1066.85",""
"Louis Vandeville","K1H","166.98","214.05","1215.41",""
"Sebastien Masseline","K1H","238.32","482.51","2114.99",""
"Emmanuel Queven","K1H","Nt","-","-",""
"Philippe Valeri","K1H","Nt","-","-",""
"Axel Guilleret","K1H","Nt","-","-",""
"Theo Deslances","K1H","Nt","-","-",""
"Mederic Larrive","K1H","Nt","-","-",""
