"Sélection Régionale  Championnat départemental - Guingamp - 2006-10-15","Course 1","2006-10-15","Régional","164"
"Lepetit Morgann- Geist Damien","C2H","344.82","-","831",""
"Le Gall Jerome- Lezoraine Veronique","C2M","259.85","-","358",""
"Le Pennec Yann- Van Vliet Muriel","C2M","272.51","-","429",""
"Le Touze Laurent- Quemerais Sylviane","C2M","314.77","-","664",""
"Nagwa Lanchec El Desouki","K1D","230.84","41","162",""
"Erell Chardon Vivier","K1D","242.95","199","227",""
"Annabelle Garnier","K1D","246.14","212","245",""
"Stephanie Le Mercier","K1D","248.56","232","258",""
"Kristell Bervet","K1D","249.54","310","263",""
"Collet Aurore","K1D","252.01","337","276",""
"Nolwen Jouan","K1D","252.21","426","277",""
"Van Vliet Muriel","K1D","252.80","-","281",""
"Anais Coudrin","K1D","257.74","-","308",""
"Charlene Le Corvaisier","K1D","258.35","319","311",""
"Guelou Typhaine","K1D","259.69","-","318",""
"Laetitia Odermatt","K1D","259.80","293","319",""
"Deborah Larsonneur","K1D","260.80","389","325",""
"Cyrielle Pichard","K1D","260.92","421","325",""
"Veronique Vourch","K1D","261.25","336","327",""
"Bertho Laura","K1D","261.29","442","327",""
"Chloe Le Clezio","K1D","265.19","389","348",""
"Baradel Anne","K1D","266.13","453","354",""
"Maignan Delphine","K1D","267.42","-","360",""
"Chevalier Yvane","K1D","272.94","500","391",""
"Sylviane Quemerais","K1D","275.66","-","405",""
"Bencivengo Chloe","K1D","286.00","-","461",""
"Le Bihan Marion","K1D","288.45","-","475",""
"Geoffroy Aurelie","K1D","289.86","-","482",""
"Jouan Gaelle","K1D","295.20","-","510",""
"Guillaouet Typhaine","K1D","299.62","-","535",""
"Derian Eva","K1D","301.86","-","547",""
"Le Magadou Maelys","K1D","347.43","-","794",""
"L 'Heureux Harmony","K1D","351.68","-","817",""
"Scolan Yvanne","K1D","363.54","-","881",""
"Mesples Ivanna","K1D","380.18","-","972",""
"Jouanny Anais","K1D","407.65","-","1121",""
"Benoit Guillaume","K1H","191.02","45","80",""
"Pierre Marie Roussel","K1H","192.63","103","90",""
"Matthieu Le Gall","K1H","196.40","30","114",""
"Romain Guyomard","K1H","203.55","198","158",""
"Lionel Tinevez","K1H","206.91","142","178",""
"Melen Pilorge","K1H","207.71","292","182",""
"Guillaume Huppert","K1H","207.90","200","185",""
"Benoit Lepage","K1H","208.04","35","185",""
"Sullivan Porcher","K1H","208.16","129","186",""
"Emeric Bertrand","K1H","208.23","176","186",""
"Juguant Ludovic","K1H","208.63","-","189",""
"Anthony Cadoret","K1H","208.79","206","189",""
"Gwenael Marquer","K1H","209.40","193","194",""
"Nicolas Carduner","K1H","210.11","164","198",""
"Franck Delachair","K1H","210.78","156","201",""
"Le Gall Jerome","K1H","212.03","-","209",""
"Boris Pernelle","K1H","212.24","209","210",""
"Solen Le Bourles","K1H","213.50","217","218",""
"Laurent Le Touze","K1H","213.64","120","219",""
"Patrick Jegou","K1H","214.58","232","225",""
"Olivier Clement","K1H","216.13","-","235",""
"Le Pennec Yann","K1H","219.20","-","253",""
"William Desnos","K1H","219.87","257","257",""
"Houel Nicolas","K1H","221.08","338","265",""
"Benoit Ricard","K1H","222.47","473","273",""
"Jeanmarie Le Guyader","K1H","222.58","-","274",""
"Frederi Mahieu","K1H","224.28","406","284",""
"Regis Cabel","K1H","224.48","213","285",""
"Fouquart Thierry","K1H","224.49","-","285",""
"Quentin De Fierville","K1H","224.54","-","286",""
"Foudrain Fabio","K1H","226.98","-","301",""
"Le Bescaut Jean","K1H","227.05","472","301",""
"Nicolas Marcus","K1H","228.49","-","310",""
"Sebastien Gautier","K1H","228.87","355","312",""
"Collet Cedric","K1H","230.84","-","325",""
"Mahe Alan","K1H","231.54","343","329",""
"Le Bihan Yann","K1H","235.26","-","351",""
"Guyomard Julien","K1H","237.55","-","366",""
"Cellier Solen","K1H","237.97","-","368",""
"Benoit Jouan","K1H","239.06","-","375",""
"Priol Yoann","K1H","239.28","-","376",""
"Arnaud Jamet","K1H","239.60","592","378",""
"Le Moal Claude","K1H","239.74","-","379",""
"Deschamps Emmanuel","K1H","240.44","-","384",""
"Pierre Mikolajczak","K1H","240.49","-","384",""
"Tangui Quemeneur","K1H","241.56","532","391",""
"Hugo Le Guennic","K1H","241.74","403","392",""
"Le Gloannec Gael","K1H","242.00","-","393",""
"William Basset","K1H","242.21","487","394",""
"Beguinel Simon","K1H","244.97","428","411",""
"Alexandre Rivolet","K1H","245.41","503","414",""
"Guelou Maudez","K1H","247.64","-","428",""
"Emmanuel L'anton","K1H","247.80","403","429",""
"Erwan Le Guevel","K1H","249.33","623","438",""
"Clement Lucas","K1H","249.95","1078","442",""
"Le Guyader Julien","K1H","251.44","-","451",""
"Samson Amael","K1H","253.17","-","461",""
"Guirec Le Guen","K1H","254.08","582","467",""
"Le Guyader Mathieu","K1H","255.41","-","475",""
"Goulven Le Bigot","K1H","256.30","-","480",""
"Perrot Vincent","K1H","258.46","678","494",""
"Pierreyves Hellard","K1H","258.86","552","496",""
"Brigant Adrien","K1H","259.27","-","499",""
"Nicolas Romain","K1H","260.36","657","506",""
"David Julou","K1H","260.48","521","506",""
"Leroy Alan","K1H","261.75","865","514",""
"Ronan Dhabit","K1H","262.30","-","517",""
"Debordes Jean-Baptiste","K1H","267.33","-","548",""
"Christophe Mitchell","K1H","268.35","1231","554",""
"Basset Antoine","K1H","268.47","-","555",""
"Guillaouet Yoann","K1H","270.68","919","569",""
"Pierre Le Clezio","K1H","271.42","-","573",""
"Bigorne Florent","K1H","272.66","-","581",""
"Thomas L'hotelier","K1H","275.81","-","600",""
"Lepetit Morgann","K1H","276.49","-","604",""
"Clement Tanguy","K1H","277.20","711","609",""
"Christophe Le Bihan","K1H","277.90","-","613",""
"Charles Gudemard","K1H","277.90","-","613",""
"Philippe Kevin","K1H","278.08","-","615",""
"Sylvain Le Roux","K1H","280.94","-","631",""
"Geist Damien","K1H","283.05","-","645",""
"Hemonic Pierre","K1H","288.60","-","678",""
"Le Lay Tanguy","K1H","290.60","-","691",""
"Marc Jonathan","K1H","291.75","-","697",""
"Dugue Remi","K1H","317.83","-","858",""
"Thomas Jegou","K1H","318.25","-","860",""
"Le Guillouzic Clément","K1H","323.33","-","891",""
"Alexis Malard","K1H","344.40","-","1020",""
"Aujoulat Paul","K1H","624.45","-","2737",""
