"Sélectif Régional de slalom - Sev L'argentiere La Bessee - Course n°1 | Qualification - 2015-09-19","Course n°1 | Qualification","2015-09-19","Régional","149"
"Hugo Martin -laemle","K1H","107","531","495.58",""
"Thomas Courtois","K1H","108.14","457.9","510.91",""
"Paul Badache","K1H","110.02","607.55","536.2",""
"Jules Silvin","K1H","112.34","304.52","567.41",""
"Hugo Polard","K1H","113","514.62","576.29",""
"Dominique Polard","K1H","119","551.24","657.01",""
"Louis Scalbert","K1H","121","479.85","683.91",""
"Quentin Laplace","K1H","123","-","710.82",""
"Philippe Bigard","K1H","124.33","752.77","728.71",""
"Hugo Nerisson","K1H","130.71","-","814.54",""
"Paul Roubaud","K1H","131.6","446.82","826.51",""
"Pierre Courtois","K1H","134.65","596.59","867.55",""
"Tom Mazouat","K1H","140.96","715.45","952.43",""
"Valentin Vibert","K1H","144.61","246.32","1001.53",""
"Enzo Mazouat","K1H","144.94","714.49","1005.97",""
"Kawan Thomas","K1H","150.9","317.55","1086.15",""
"Enzo Briffa","K1H","154.29","645.32","1131.76",""
"Antoni Zaki","K1H","154.84","406.51","1139.16",""
"Mikael Clanchin","K1H","155.34","412.66","1145.88",""
"Luca Barone","K1H","160.68","621.8","1217.72",""
"Ollivier Paumier","K1H","162","502.21","1235.48",""
"Pierre Louis Debuigne","K1H","166.93","626.96","1301.8",""
"William Griffiths","K1H","183","-","1517.99",""
"Hugo Avril","K1H","238.01","582.33","2258.02",""
"Romain Berthon","K1H","Abd","-","-",""
"Francis Gaillard","K1H","Abs","-","-",""
"Wolfgang Schulz","K1H","Abd","-","-",""
"Max Givelet","K1H","Abs","-","-",""
"Sebastien Chilard","K1H","Abs","-","-",""
"Baptiste Tappero","K1H","Abs","-","-",""
"Maxime Gaillard","K1H","Abs","-","-",""
"Sebastien Lepaulard","K1H","Abs","-","-",""
"Aurelien Fualdes","K1H","Abd","-","-",""
"Anton Gille","K1H","Abd","-","-",""
"Mathieu Monier","K1H","Nt","-","-",""
"Paul Graton","K1H","Abd","-","-",""
"Paul Gaillard","K1H","Abs","-","-",""
"Charles Coulon","K1H","Nt","-","-",""
"Bastien Cothenet","K1H","Abs","-","-",""
"Adrien Fischer","K1HM","97.37","-","366.03",""
"Gawaine Chikh","K1HM","101.58","-","422.66",""
"Alexandre Goujon","K1HM","109.6","-","530.55",""
"Djendy Simeant","K1HM","110.87","-","-",""
"Guillaume Belet","K1HM","112.05","-","-",""
"Maxence Jehan","K1HM","119.05","-","-",""
"Antonin Dustou","K1HM","124.54","-","731.54",""
"Gael Fauroux","K1HM","136.94","-","898.35",""
"Robin Andre","K1HM","137.57","-","-",""
"Gael Adisson","K1HM","148.34","-","1051.71",""
"Maxime Melmont","K1HM","162.04","-","1236.02",""
"Loan Paumier","K1HM","173.03","-","1383.86",""
"Aymeric Rivier","K1HM","189.21","-","1601.53",""
"Gabin Siau","K1HM","214.6","-","-",""
"AloÏs Cretier","K1HM","225.76","-","2093.23",""
"Enzo Guillarme","K1HM","259.96","-","2553.31",""
"Simon Del Negro","K1HM","271.48","-","2708.29",""
