"SELECTION N3 DU CLAIN - St Benoît - 2006-04-22","Course 1","2006-04-22","Nationale 3","156"
"Quentin Lyphout","K1H","242.13","374","435",""
"Nicolas Arnoult","K1H","242.37","335","435",""
"Le Jacques François","K1H","245.99","404","457",""
"Merrien Mikael","K1H","246.77","464","461",""
"Damien Gaillard","K1H","248.38","487","470",""
"Yann Le Govic","K1H","248.88","370","473",""
"Vinet Florian","K1H","248.92","437","474",""
"Antoine Godet","K1H","249.96","458","479",""
"Bastien Pailler","K1H","250.89","296","485",""
"Simon Vaillant","K1H","253.48","429","500",""
"Mahe Alan","K1H","253.63","387","501",""
"Gaudenzi Maxime","K1H","255.32","547","510",""
"Tangui Quemeneur","K1H","256.57","617","517",""
"Le Bescaut Jean","K1H","258.07","568","526",""
"David Julou","K1H","259.36","545","533",""
"Ronan Gestin","K1H","261.71","459","546",""
"Dupré Bertrand","K1H","262.97","609","554",""
"Friquet Arnaud","K1H","262.98","428","554",""
"Houel Nicolas","K1H","264.63","338","563",""
"Alexandre Di Nisi","K1H","264.66","433","563",""
"Coquet Florent","K1H","264.92","499","565",""
"Dominique Odile","K1H","265.88","442","571",""
"Vincent Lemonnier","K1H","268.22","537","584",""
"Rouet Jeremy","K1H","269.67","457","592",""
"Tristan Bronsard","K1H","271.96","521","605",""
"Keuterick Yohan","K1H","272.36","360","608",""
"Milbeo Nicolas","K1H","276.70","610","632",""
"Guittier Guenole","K1H","277.62","469","638",""
"Baptiste Grosjean","K1H","277.86","587","639",""
"Melaine Caurant","K1H","280.08","353","652",""
"Jean-noel Biteau","K1H","280.32","494","653",""
"Alexandre Thomasseau","K1H","281.35","608","659",""
"Jean Messialle","K1H","283.42","401","671",""
"Stephane Machet","K1H","283.92","554","674",""
"Dieusard Thomas","K1H","287.40","567","694",""
"Benjamin Millet Naas","K1H","297.31","749","750",""
"Beguinel Simon","K1H","298.52","433","757",""
"Sebastien Kerneis","K1H","299.08","423","761",""
"Herve Maxime","K1H","299.27","494","762",""
"Cornu Jeremy","K1H","301.12","414","772",""
"Benoit Ricard","K1H","301.14","473","773",""
"Valentin Giret","K1H","303.48","672","786",""
"Benjamin Martin","K1H","304.39","678","791",""
"Jerome Trousson","K1H","310.57","396","827",""
"Erwan Le Guevel","K1H","312.92","647","840",""
"Stadler Jean Patrick","K1H","322.31","614","894",""
"Pierrick Meheust","K1H","340.08","430","995",""
"Thibault Ducom","K1H","341.42","719","1003",""
"Yann Drouet","K1H","342.60","473","1009",""
"Yoann Turowsky","K1H","349.11","481","1047",""
"Guirec Le Guen","K1H","349.92","588","1051",""
"Alexandre Rivolet","K1H","366.42","505","1146",""
"Gerard Folle","K1H","657.98","706","2815",""
"Mathieu Laroze","K1H","779.75","678","3512",""
