"Manche de la Coupe de France National 3 Slalom Ouest - 56650 Inzinzac Lochrist - Finale - 2019-03-31","Finale","2019-03-31","Nationale 3","297"
"Leo Grollier","K1H","109.16","418.69","462.12","Finale A"
"Simon Seuru","K1H","109.18","407.62","462.39","Finale A"
"Clement Riera","K1H","109.33","454.24","464.36","Finale A"
"Nicolas Bidault","K1H","109.34","440.28","464.49","Finale A"
"Julien Caillarec","K1H","109.49","402.27","466.47","Finale A"
"Louis Rathier","K1H","109.94","431.34","472.39","Finale A"
"Corentin Beaumois","K1H","110.07","462.59","474.1","Finale A"
"Aurele Neveu","K1H","110.21","596.38","475.94","Finale A"
"Jonas Le Guen","K1H","110.4","445.27","478.44","Finale A"
"Tom Lallican","K1H","110.47","444.09","479.36","Finale A"
"Romain Margerie","K1H","110.54","455.18","480.28","Finale A"
"Hoel Carnot","K1H","110.72","482.61","482.65","Finale A"
"Titouan Conseil","K1H","110.8","348.1","483.7","Finale A"
"Adrien Ricaud","K1H","111.09","609.7","487.52","Finale A"
"Arthur Caillaud-gault","K1H","111.23","468.95","489.36","Finale A"
"Emmanuel Cosse","K1H","111.82","430.34","497.12","Finale A"
"Romain Brouard","K1H","111.82","505.41","497.12","Finale A"
"Alain Droniou","K1H","112.28","434.36","503.18","Finale A"
"Mathieu Aussant","K1H","112.47","374.1","505.68","Finale A"
"Ylan Penvenne","K1H","113.06","437.2","513.44","Finale A"
"Gwenael Marquer","K1H","113.33","392.26","516.99","Finale A"
"Thomas Heslouis","K1H","113.65","477.49","521.2","Finale A"
"Regis Navinel-dubois","K1H","114.32","727.5","530.02","Finale A"
"Mathis Odot","K1H","115.14","594.56","540.81","Finale A"
"Jules Roos","K1H","115.42","475.14","544.49","Finale A"
"Yoann Le Guyader","K1H","115.99","517.46","551.99","Finale A"
"Loic Froissard","K1H","116.4","507.99","557.38","Finale A"
"Tom Milon","K1H","116.98","494.22","565.02","Finale A"
"Antoine Sapin","K1H","117.1","648.27","566.6","Finale A"
"Vincent Donval","K1H","117.13","571.46","566.99","Finale A"
"Mathias Vautier","K1H","118.28","777.41","582.12","Finale A"
"Tom Charles","K1H","118.44","470.94","584.23","Finale A"
"Thomas Hado","K1H","118.46","572.24","584.49","Finale A"
"Gaspard Trichard","K1H","118.57","681.89","585.94","Finale A"
"Axel Brin","K1H","118.58","643.5","586.07","Finale A"
"Maxence Gautier Grall","K1H","119.18","597.22","593.96","Finale A"
"Timeo Cornic","K1H","119.47","612.06","597.78","Finale A"
"Mael Segaud","K1H","121.37","565.46","622.78","Finale A"
"Martin Magras","K1H","122.55","487.26","638.3","Finale A"
"Armand Fougere","K1H","123.05","376.57","644.88","Finale A"
"Louis Beaumois","K1H","124.77","687.73","667.51","Finale A"
"Sebastien Delaunay","K1H","125.11","495.65","671.99","Finale A"
"Titouan Le Jeune","K1H","128.06","857.91","710.8","Finale A"
"Aubin Davaic","K1H","129.64","496.29","731.59","Finale A"
"Edouard Patry","K1H","137.7","576.78","837.64","Finale A"
"Olivier Brochard","K1H","144.02","565.76","920.8","Finale A"
"Adrien Pardoux","K1H","151.02","344.67","1012.9","Finale A"
"Mathis Daniel","K1H","159.01","450.93","1118.03","Finale A"
"Benoit Ricard","K1H","159.84","419.88","1128.95","Finale A"
"Benjamin Georges","K1H","171.68","452.37","1284.74","Finale A"
"Adrien Le Collinet","K1H","214.43","557.98","1847.23","Finale A"
"Elza Horlock","C1D","Des","-","-","Finale B"
"Mael Monjaret","C1H","112.54","481.84","441.08","Finale B"
"Nino Poisson","C1H","116.9","659.33","495.71","Finale B"
"Yannis Houze","C1H","117.36","464.03","501.48","Finale B"
"Paul Gestin","C1H","117.61","449.73","504.62","Finale B"
"Christian Boob","C1H","120.91","676.93","545.96","Finale B"
"Quentin Angot","C1H","122.35","461.26","564.02","Finale B"
"Titouan Conseil","C1H","123.01","607.06","572.28","Finale B"
"Florian Lohezic","C1H","123.04","652.47","572.66","Finale B"
"Thomas Heslouis","C1H","124.51","518.73","591.08","Finale B"
"Titouan Aussant","C1H","124.64","589.16","592.71","Finale B"
"Roman Souffez","C1H","127.74","689.25","631.55","Finale B"
"Edouard Patry","C1H","128.28","628.72","638.32","Finale B"
"Aurele Neveu","C1H","131.1","626.7","673.66","Finale B"
"Martin Thermidor","C1H","136.48","666.76","741.08","Finale B"
"Adrien Ricaud","C1H","137.01","915.5","747.72","Finale B"
"Christophe Bachelot","C1H","137.83","521.13","758","Finale B"
"Teo Durand","C1H","140.7","648.07","793.96","Finale B"
"Corentin Beaumois","C1H","141.32","621.74","801.72","Finale B"
"Jules Brisson","C1H","141.84","827.77","808.25","Finale B"
"Fabrice Lacoudre","C1H","141.94","671.09","809.5","Finale B"
"Guillaume Maillot","C1H","143.62","715.2","830.55","Finale B"
"Regis Navinel-dubois","C1H","155.38","696.7","977.92","Finale B"
"Clement Turgis","C1H","168.3","816.13","1139.82","Finale B"
"Vincent Laclide","C1H","168.46","490.02","1141.82","Finale B"
"Cedric Collet","C1H","174.11","540.32","1212.62","Finale B"
"Maxence Gautier Grall","C1H","215.43","942.71","1730.4","Finale B"
"Loan Guyomarch","C1H","283.69","839.18","2585.78","Finale B"
"Yannick Courtay","C1H","Abs","-","-","Finale B"
"Ylan Penvenne","C1H","Dsq","-","-","Finale B"
"Mathis Odot-Mael Segaud","C2H","135.7","970.08","654.01","Finale B"
"Jean Aussant-Christophe Bachelot","C2H","145.02","834.43","765.49","Finale B"
"Tom Marchand-Romain Margerie","C2H","147.16","637.96","791.09","Finale B"
"Mathis Poree-Marin Salmon","C2H","191.77","727.12","1324.69","Finale B"
"Teo Durand-Vincent Dorchat","C2H","204.45","824.47","1476.37","Finale B"
"Alice Bureau","K1D","131.2","513.79","558.52","Finale B"
"Juna Marquet","K1D","132.49","852.49","573.54","Finale B"
"Louise Turgis","K1D","142.94","782.84","695.22","Finale B"
"Jeanne Bonthonnou","K1D","148.14","666.44","755.76","Finale B"
"Blevenn Monjaret","K1D","149.64","922.29","773.24","Finale B"
"Lilou Le Roux Divanac'h","K1D","151.27","675.87","792.21","Finale B"
"Nine Meyer","K1D","152.72","791.6","809.09","Finale B"
"Zoe Marchand","K1D","158.76","769.7","879.43","Finale B"
"Valentine Jussy","K1D","160.63","686.48","901.19","Finale B"
"Taelle Cardin","K1D","167.2","646.12","977.71","Finale B"
"Deborah Larsonneur","K1D","174.36","992.24","1061.07","Finale B"
"Lucie Lemetayer","K1D","205","973.74","1417.84","Finale B"
"Alwena Piton","K1D","219.71","749.41","1589.13","Finale B"
"Lucie Julou","K1D","Abs","-","-","Finale B"
"Muriel Van Vliet","K1D","Abs","-","-","Finale B"
"Ilona Bluteau","K1D","Des","-","-","Finale B"
"Brice Derrien","K1H","100.14","324.46","348.44","Finale B"
"Oscar Donval","K1H","102.64","369.18","381.34","Finale B"
"Louis Forgeard","K1H","102.93","370.51","385.15","Finale B"
"Julien Mizzi","K1H","104.91","349.13","411.2","Finale B"
"Alexis Carpentey","K1H","105.19","402.41","414.89","Finale B"
"Guillaume Maillot","K1H","110.25","598.79","481.47","Finale B"
"Matt…o Rainaud","K1H","110.38","495.35","483.18","Finale B"
"Francois Bonthonnou","K1H","114.27","448.24","534.36","Finale B"
"Jules Brisson","K1H","114.52","544.24","537.65","Finale B"
"Thibault Lamour","K1H","115.48","357.47","550.28","Finale B"
"Titouan Aussant","K1H","115.71","448.4","553.31","Finale B"
"Eliott Reine","K1H","115.79","627.83","554.36","Finale B"
"Bastien Mailly","K1H","116.4","640.67","562.38","Finale B"
"Mael Calvez","K1H","116.62","646.88","565.28","Finale B"
"Brieuc Reucheron","K1H","117.08","743.83","571.33","Finale B"
"Logan Toubel","K1H","117.11","650.48","571.73","Finale B"
"Noe Caillet","K1H","118.46","610.73","589.49","Finale B"
"Victor Robert","K1H","118.94","617.93","595.81","Finale B"
"Jean Yves Prigent","K1H","119.73","578.32","606.2","Finale B"
"Simon Labet","K1H","119.84","487.01","607.65","Finale B"
"Loœg Massot","K1H","120.46","569.16","615.8","Finale B"
"Ewann Hervouet","K1H","120.74","694.5","619.49","Finale B"
"Milio Le Touze","K1H","121.34","589.8","627.38","Finale B"
"Vincent Dorchat","K1H","121.44","736.2","628.7","Finale B"
"Yoann Turowsky","K1H","122.19","514.74","638.57","Finale B"
"Amael Samson","K1H","123.13","613.58","650.94","Finale B"
"Nicolas Maurel","K1H","123.21","535.51","651.99","Finale B"
"Maxime Moreau","K1H","123.84","1065.85","660.28","Finale B"
"Romain Foulon","K1H","123.94","569.08","661.59","Finale B"
"Damien Guilloux","K1H","124.26","834.32","665.8","Finale B"
"Stevan Chauvel","K1H","124.39","657.74","667.51","Finale B"
"Christophe Gergaud","K1H","125.98","600.92","688.44","Finale B"
"Tanguy Rolland","K1H","126.09","561.02","689.88","Finale B"
"Yann Curti","K1H","126.39","563.45","693.83","Finale B"
"Antoine Aubert","K1H","126.43","512.8","694.36","Finale B"
"Florian Szabo","K1H","126.84","725.04","699.75","Finale B"
"Maxence Galy","K1H","127.74","578.71","711.59","Finale B"
"Hicham Domti","K1H","128.33","772.53","719.36","Finale B"
"Kilian Berlu","K1H","129.01","558.82","728.3","Finale B"
"Simon Riaud","K1H","130.07","734.52","742.25","Finale B"
"Simon Beguinel","K1H","130.77","623.28","751.46","Finale B"
"Malo Fevin","K1H","131.61","584.59","762.51","Finale B"
"Samuel Piton","K1H","131.71","680.77","763.83","Finale B"
"Pascal Pierre","K1H","132.08","622.22","768.7","Finale B"
"Benoit Reine","K1H","132.78","612.67","777.91","Finale B"
"Cl…ment Louveau","K1H","133.37","493.77","785.67","Finale B"
"Yann Vergelin","K1H","135.25","991.16","810.41","Finale B"
"Maxence Quillere","K1H","135.5","784.8","813.7","Finale B"
"Lucas Deleplancque","K1H","136.1","589.02","821.59","Finale B"
"Louis Nivet","K1H","136.52","757.28","827.12","Finale B"
"Juan Riu","K1H","136.66","660.53","828.96","Finale B"
"Lubin Brionne","K1H","137.14","808.18","835.27","Finale B"
"Samuel Flament","K1H","137.18","689.39","835.8","Finale B"
"Erwann Le Jeune","K1H","137.54","519.14","840.54","Finale B"
"Jean Christophe Olivo","K1H","137.87","699.38","844.88","Finale B"
"Louison Masse","K1H","139.04","779.85","860.27","Finale B"
"Alexis Daniel","K1H","139.51","756.03","866.46","Finale B"
"Nolann Maudet","K1H","141.5","1111.48","892.64","Finale B"
"Matthieu Dehais","K1H","141.84","834.76","897.12","Finale B"
"Leo Le Mat","K1H","143.46","631.91","918.43","Finale B"
"Pierre Rochon","K1H","143.78","751.4","922.64","Finale B"
"Franck Cahagne","K1H","144.55","647.88","932.77","Finale B"
"Christian Le Parc","K1H","145.91","774.72","950.67","Finale B"
"Theo Haulbert","K1H","148.02","872.17","978.43","Finale B"
"Yves Hellemot","K1H","149.85","1057.79","1002.51","Finale B"
"Victor Perebaskine","K1H","151.71","1026.21","1026.98","Finale B"
"Cyriaque Sorin","K1H","152.15","816.42","1032.77","Finale B"
"Gerard Lemonnier","K1H","154.57","790.24","1064.61","Finale B"
"Clement Ezanno","K1H","155.16","539.27","1072.38","Finale B"
"Thomas Le Devehat","K1H","156.61","893.57","1091.45","Finale B"
"Clement Turgis","K1H","165.16","801.06","1203.95","Finale B"
"Gaspard Perrio","K1H","166.03","302.7","1215.4","Finale B"
"Valentin Rault","K1H","167.07","516.81","1229.08","Finale B"
"Thomas Gossieaux","K1H","168.62","618.43","1249.48","Finale B"
"Thierry Dugue","K1H","170.84","1145.51","1278.69","Finale B"
"Loan Guyomarch","K1H","170.87","649.56","1279.08","Finale B"
"Jonathan Bourdier","K1H","188.45","523.1","1510.39","Finale B"
"Steeve Protais","K1H","189.93","923.16","1529.87","Finale B"
"Ethan Robert","K1H","191.85","1056.19","1555.13","Finale B"
"Martin Thermidor","K1H","194.72","725.39","1592.89","Finale B"
"Valentin Soullard","K1H","198.52","603.3","1642.89","Finale B"
"Noe Bourges","K1H","213.34","869.11","1837.89","Finale B"
"Cedric Segaud","K1H","226.29","997.12","2008.28","Finale B"
"Mallory Brochard","K1H","226.6","885.34","2012.36","Finale B"
"Teo Durand","K1H","228.97","466.32","2043.54","Finale B"
"Elias Schieber","K1H","268.97","1362.81","2569.85","Finale B"
"Tom Armand","K1H","279.6","747.79","2709.71","Finale B"
"Loœck Vidal","K1H","354.91","1025.4","3700.62","Finale B"
"Alexis Pernelle","K1H","Dsq","-","-","Finale B"
"Riwan Le Roy","K1H","Des","-","-","Finale B"
"Valentin Cesbron","K1H","Abs","-","-","Finale B"
