"Championnats de France N1 - Roches Du Diable - 1ère Manche - 2008-02-23","1ère Manche","2008-02-23","Nationale 1","113"
"Pierre Bourliaud","K1H","177.28","2","20",""
"Frederic Walczak","K1H","177.58","10","21",""
"Sebastien Combot","K1H","178.04","5","22",""
"Boris Neveu","K1H","178.08","3","22",""
"Renaud Doby","K1H","179.66","10","27",""
"Benoit Guillaume","K1H","179.67","33","27",""
"Mathieu Doby","K1H","179.82","17","28",""
"Yann Gudefin","K1H","180.32","59","29",""
"Benjamin Buys","K1H","180.46","31","29",""
"Lucien Delfour","K1H","181.22","30","32",""
"Etienne Daille","K1H","181.43","30","33",""
"Damien Laborde","K1H","181.61","36","33",""
"Arnaud Lapeze","K1H","181.75","40","34",""
"Julien Dekarczyk","K1H","182.16","13","35",""
"Benjamin Boukpeti","K1H","182.38","22","36",""
"Hugo Hager","K1H","182.73","38","37",""
"Thomas Bersinger","K1H","182.89","34","38",""
"Florian Berail","K1H","183.45","31","39",""
"Louis Georges Lafont","K1H","183.87","62","40",""
"Loris Minvielle","K1H","184.70","39","43",""
"Christophe Marechal","K1H","184.98","30","44",""
"Vivien Colober","K1H","186.01","28","47",""
"Matthieu Le Gall","K1H","186.45","39","49",""
"Yoan Minvielle","K1H","186.57","37","49",""
"Paul Brier","K1H","186.88","40","50",""
"Benjamin Renia","K1H","187.82","72","53",""
"Quentin Bove","K1H","188.11","25","54",""
"Cedric Bron","K1H","188.15","42","54",""
"Benoit Molinier","K1H","188.29","34","55",""
"Davy Egraz","K1H","188.98","50","57",""
"Aurelien Maynadier","K1H","189.42","22","58",""
"Benoit Letellier","K1H","190.78","77","63",""
"Pierre Devaux","K1H","190.89","37","63",""
"Sebastien Halilou","K1H","190.92","49","63",""
"Benoit Fer","K1H","191.63","79","65",""
"Nicolas Labat","K1H","192.13","45","67",""
"Benoit Rouffet","K1H","194.77","50","75",""
"Julien Arribe","K1H","199.20","57","89",""
"Adrien Ferec","K1H","204.35","81","106",""
"Michael Guyon","K1H","243.52","57","231",""
"Ronan Lucas","K1H","288.22","60","373",""
