"Championnat regional slalom - Foix - 2007-04-15","Course 1","2007-04-15","Régional","145"
"Pierre Bourliaud","K1H","191.11","2","41",""
"Fabien Lefevre","K1H","192.36","14","48",""
"Boris Neveu","K1H","192.56","5","49",""
"Sebastien Combot","K1H","193.35","11","53",""
"Damien Laborde","K1H","195.18","31","63",""
"Florian Berail","K1H","195.23","44","63",""
"Aurelien Maynadier","K1H","195.83","13","66",""
"Benoit Molinier","K1H","197.78","35","77",""
"Sebastien Halilou","K1H","198.51","36","81",""
"Benjamin Boukpeti","K1H","198.59","25","81",""
"Benoit Rouffet","K1H","198.77","50","82",""
"Yoan Minvielle","K1H","202.38","34","101",""
"Louis Georges Lafont","K1H","203.46","69","107",""
"Jonathan Delagnes","K1H","204.08","127","110",""
"Michael Guyon","K1H","204.61","45","113",""
"Alexis Caspar","K1H","210.84","120","146",""
"Yoann Gottardo","K1H","210.84","105","146",""
"Fabrice Poueyto","K1H","211.91","142","151",""
"Sylvain Mendez","K1H","212.80","127","156",""
"Florent Boulet","K1H","213.50","136","160",""
"Kevin Burgi","K1H","213.58","149","160",""
"Mehdi Amini","K1H","214.00","134","163",""
"Axel Mulle","K1H","215.35","154","170",""
"Stephane Labouille","K1H","215.44","141","170",""
"Jeremy Moureaux","K1H","217.18","170","179",""
"Chirez Pierre","K1H","218.27","137","185",""
"Guillaume Picco","K1H","219.77","55","193",""
"Boris Doye","K1H","220.24","171","196",""
"Marc Laborde","K1H","220.28","170","196",""
"Olivier Blanc","K1H","220.31","138","196",""
"Bryan Seiler","K1H","220.38","263","196",""
"Aymeric Maynadier","K1H","221.59","-","203",""
"Thomas Rieu","K1H","222.12","181","206",""
"Julien Haberland","K1H","222.56","160","208",""
"Mathieu Haberland","K1H","223.57","225","213",""
"Thomas Dauvet","K1H","226.12","183","227",""
"Valerian Boulet","K1H","226.83","232","230",""
"Benjamin Reig","K1H","227.58","287","234",""
"Boris Lesimple","K1H","228.59","237","240",""
"Jose Pereira","K1H","228.87","275","241",""
"Remi Dramard","K1H","229.03","276","242",""
"Manuel Legros","K1H","229.04","239","242",""
"Virgile Pigache-donnet","K1H","229.25","210","243",""
"Colin Molinier","K1H","230.14","163","248",""
"Guillaume Jacobe","K1H","231.50","311","255",""
"Bastien Dantin","K1H","233.00","233","263",""
"Garros Samuel","K1H","237.52","241","287",""
"Jean Baptiste Morera","K1H","237.69","266","288",""
"Jonathan Figarol","K1H","237.93","-","289",""
"Bastien Seger","K1H","238.88","408","294",""
"Pierre Moreau","K1H","239.67","307","298",""
"Pierrick Gaudin","K1H","240.03","353","300",""
"Olivier Cain","K1H","240.52","196","303",""
"Lois Desroches","K1H","242.50","236","313",""
"Gregoire Cayez","K1H","244.08","253","322",""
"Bastien Salame","K1H","244.73","219","325",""
"Raphael Reveche","K1H","248.83","20","347",""
"Stanislas Pradeleix","K1H","249.60","399","351",""
"Tony Deshayes","K1H","255.87","-","384",""
"Camille Sahuc","K1H","260.59","-","409",""
"Hugo Cailhol","K1H","261.35","129","413",""
"Etienne Sahuguet","K1H","262.45","465","419",""
"Colin Beziade","K1H","263.47","390","424",""
"Kraemer Nicolas","K1H","265.47","420","435",""
"Eric Vidou","K1H","267.07","367","443",""
"Benjamin Rols","K1H","269.26","-","455",""
"Quentin Burgi","K1H","270.90","218","464",""
"Marc Cailhol","K1H","275.07","419","486",""
"Adrien Quillet","K1H","276.80","466","496",""
"Valentin Grollemund","K1H","280.79","349","517",""
"Sebastien Martel","K1H","282.44","-","526",""
"Sylvain Colonnier","K1H","285.96","285","544",""
"Claparede Jonas","K1H","288.89","558","560",""
"Igor Verdy","K1H","289.03","498","561",""
"Thibault Gache","K1H","290.53","311","569",""
"Sebastien Peres","K1H","292.69","-","580",""
"Tayeel Aymeric","K1H","293.09","288","582",""
"Adrien Tappero","K1H","293.70","497","585",""
"Herve Mars","K1H","302.46","403","632",""
"Hugues Lesimple","K1H","307.46","262","658",""
"Delbreil Clement","K1H","320.04","-","725",""
"Jonot Anthony","K1H","323.18","-","741",""
"Dimitri Durannot","K1H","324.05","486","746",""
"Ludovic Smal","K1H","324.50","468","748",""
"Stephane Odot","K1H","326.53","-","759",""
"Nicolas Caussanel","K1H","326.93","467","761",""
"Guilhem Becvort","K1H","327.55","410","764",""
"Brice Dantin","K1H","329.64","430","776",""
"Frederic Saint Agne","K1H","331.47","493","785",""
"Damien Chammings","K1H","345.01","443","857",""
"Thomas Wingerter","K1H","407.31","-","1187",""
"Paul Storez","K1H","470.78","221","1524",""
"Robin Ligneau","K1H","493.11","-","1642",""
"Victor Chaulet","K1H","557.54","1206","1983",""
"Riols Romain","K1H","719.04","-","2838",""
