"Sélectif Régional de Slalom - Slalom De Troyes (double Sr) - Course n°2 | Qualification - 2016-09-25","Course n°2 | Qualification","2016-09-25","Régional","198"
"Timothe Collet","K1H","Abs","-","-",""
"Jean Charles Hacquart","K1HM","92.25","295.64","261.32",""
"Lucas Augu","K1HM","96","281.06","310.94",""
"LoÏc Pottier","K1HM","102.13","380.43","392.06",""
"Matheo Dejonghe","K1HM","111.62","546.36","517.64",""
"Thomas Ukalovic","K1HM","112.38","638.33","527.7",""
"Aurelien Merieux Danneaux","K1HM","118.44","-","607.89",""
"Matthew Vuillard","K1HM","121.8","708","652.36",""
"Theo Douady","K1HM","123.72","572.27","677.76",""
"Antonin Robert","K1HM","127.38","616.3","726.2",""
"Samuel Tahaafe","K1HM","130.07","-","761.8",""
"Tanguy Malingre","K1HM","138.59","727.12","874.54",""
"Noah Fresneda","K1HM","138.68","785.31","875.73",""
"Antoine Marion","K1HM","142.12","-","921.25",""
"Victor Lagleyze","K1HM","143.67","895.32","941.77",""
"Yann Mercier","K1HM","144.32","-","950.37",""
"Francisco Lafarga","K1HM","154.13","-","1080.18",""
"Gustave Wuhrlin","K1HM","159.03","929.67","1145.03",""
"Romain Brouard","K1HM","165.64","-","1232.5",""
"Corentin Rogalski","K1HM","Des","-","-",""
"Leo Lahely","K1HM","180.14","-","-",""
