"Sélectif Régional - Guise - Qualification - 2014-03-30","Qualification","2014-03-30","Régional","119"
"Maxime Pilard","K1H","104.92","394.12","461.27",""
"Hugo Pidoux","K1H","106.09","564.67","477.37",""
"Benjamin Bourse","K1H","106.83","-","487.56",""
"Arnaud Mercier","K1H","108.95","1141.01","516.74",""
"Renaud Henri","K1H","109.39","-","522.8",""
"Clement Come","K1H","109.57","493.1","525.28",""
"Leonard Legroux","K1H","110.32","747.09","535.61",""
"Arthur Dupont","K1H","110.96","511.67","544.42",""
"Dimitri Mereaux","K1H","111.44","-","551.02",""
"Basile Guerrapin","K1H","112.39","643.21","564.1",""
"Fabien De Almeida","K1H","113.49","-","579.25",""
"Julien Richard","K1H","114.72","-","596.18",""
"Alexandre Cuvelier","K1H","114.73","-","596.32",""
"Quentin Deparpe","K1H","118.75","983.04","651.66",""
"Teddy Cossard","K1H","119.69","1390.8","664.6",""
"Remi Blaud","K1H","121.09","743.72","683.87",""
"Maxime Hery","K1H","121.79","1673.29","693.51",""
"Arthur Guillot-le Goff","K1H","121.82","-","693.92",""
"Aurelien Riviere","K1H","122.01","1711.71","696.54",""
"Lucas Gamain","K1H","122.07","784.1","697.36",""
"Kevin Rancon","K1H","123.29","480.04","714.16",""
"Axel Godard","K1H","124.38","642.77","729.16",""
"Philippe Vermersch","K1H","126.21","-","754.36",""
"Charles Hainsselin","K1H","126.77","-","762.07",""
"Morgan Castel","K1H","128.7","-","788.64",""
"Damien Marat","K1H","129.19","-","795.38",""
"Jeremy Boulenger","K1H","131.89","-","832.55",""
"Gauthier Maillot","K1H","135.17","-","877.71",""
"Loic Flamant","K1H","143.41","-","991.14",""
"Julien Prompt","K1H","149.2","-","1070.85",""
"Clement Bellou","K1H","150.99","3182.14","1095.49",""
"Billy Delpeuch","K1H","161.74","-","1243.49",""
"Alexis Loiseau","K1H","168.58","923.38","1337.65",""
"Charles Glachant","K1H","172.2","-","1387.49",""
"Fabien Derumigny","K1H","189.83","-","1630.19",""
"Damien Niot","K1H","193.18","-","1676.31",""
"Thomas Brunet","K1H","194.64","-","1696.41",""
"Kevin Ferrando","K1H","232.26","2173.88","2214.31",""
"Valentin Gertsch","K1H","308.6","-","3265.26",""
"Francis Boitel","K1H","324.02","-","3477.54",""
"Raphael Grehan","K1HM","106.59","-","-",""
"Thibaut Collignon","K1HM","108.82","-","-",""
"Maxime Savalle","K1HM","114.57","-","-",""
"Djimy Kar","K1HM","117.9","-","-",""
"Cedre Mercier","K1HM","125.34","-","-",""
"Louis Debureaux","K1HM","133.81","-","-",""
"Damien Marcq","K1HM","143.97","-","-",""
"Rodrigue Caron","K1HM","147.92","-","-",""
"Leonard Painteaux","K1HM","150.52","-","-",""
"Nicolas Chatelain","K1HM","158.32","-","-",""
"Leandre Maillet","K1HM","160.58","-","-",""
"Angelino Castagnetti","K1HM","190.54","-","-",""
"Quentin Arnoult","K1HM","194.24","-","-",""
"Quentin Henri","K1HM","196.46","-","-",""
"Nicolas Guettman","K1HM","207.33","-","-",""
"Jules Elias","K1HM","277","-","-",""
"Louan Marque","K1HM","293.55","-","-",""
"Nicolas Hovette","K1HM","344.37","-","-",""
"Joffrey Meunier","K1HM","404.58","-","-",""
"Tom Poulenard","K1HM","599.63","-","-",""
"Albin Magrit","K1HM","Nt","-","-",""
"Hector Combes","K1HM","Nt","-","-",""
"Clement Simonnot","K1HM","Nt","-","-",""
