"Sélectif Championnat Interrégional - Inzinzac-Lochrist - Finale - 2014-03-09","Finale","2014-03-09","Nationale 3","228"
"Jeremy Lecollinet","K1H","146.7","256.04","942.63","Finale A"
"Theo Lecomte","K1H","150.51","221.3","991.86","Finale A"
"Maxime Lignereux","K1H","152.37","282.04","1015.89","Finale A"
"Hugo Guilleray","K1H","156.9","286.82","1074.43","Finale A"
"Clement Le Collinet","K1H","165.37","502.31","1183.87","Finale A"
"Romain Gaillard","K1H","Nt","-","-","Finale A"
"Valentin Marteil","C1H","112.57","325.78","437.36","Finale B"
"Yves Broudic","C1H","113.57","364.22","449.66","Finale B"
"Nino Louineau","C1H","114.78","394.87","464.55","Finale B"
"Valentin Feroc","C1H","115.17","419.38","469.36","Finale B"
"Franck Delachair","C1H","120.02","369.86","529.04","Finale B"
"Anthony Roux","C1H","120.88","488.47","539.62","Finale B"
"Corentin Bernard","C1H","121.47","432.7","546.89","Finale B"
"Johann Loiseau","C1H","121.87","425.07","551.81","Finale B"
"Vincent Acou","C1H","124.27","494.72","581.33","Finale B"
"Theo Renaud","C1H","125.4","418.27","595.25","Finale B"
"Clement Jouannaud","C1H","125.75","517.47","599.55","Finale B"
"Maxime Lignereux","C1H","126.97","475.97","614.57","Finale B"
"Aurelien Daridan","C1H","130.75","654.85","661.08","Finale B"
"Adrien Roux","C1H","134.44","622.22","706.49","Finale B"
"Fabrice Lacoudre","C1H","139.49","660.06","768.64","Finale B"
"Emmanuel L'anton","C1H","158.5","692.86","1002.57","Finale B"
"Daniel Bregazzi","C1H","183.19","898.2","1306.42","Finale B"
"Florian Vauselle","C1H","184.49","471.54","1322.41","Finale B"
"Michel Daupeux","C1H","202.77","780","1547.36","Finale B"
"Julien Moreau","C1H","262.67","856.5","2284.5","Finale B"
"Mathias Pannetier","C1H","264.17","802.21","2302.95","Finale B"
"Keliann Le Breton","C1H","321","633.97","3002.31","Finale B"
"Gaylord Crochard","C1H","Nt","-","-","Finale B"
"Philippe Niquet","C1H","Nt","-","-","Finale B"
"Lionel Donias-Brian Pieddefer","C2H","121.09","441.67","474.47","Finale B"
"Ronan Gouzien-Paul Gestin","C2H","128.23","459.23","558.35","Finale B"
"Yann Le Bourser-Keliann Le Breton","C2H","140.34","602.89","700.6","Finale B"
"Morgane Quemerais","K1D","114.31","366.87","359.18","Finale B"
"Aurelie Le Fee","K1D","118.97","444.72","412.46","Finale B"
"Helene Baty","K1D","142.02","570.76","676.03","Finale B"
"Emma Puig","K1D","146.42","640.65","726.35","Finale B"
"Nolwenn Le Mehaute","K1D","162.87","669.43","914.46","Finale B"
"Apolline Rohellec","K1D","185.36","493.02","1171.62","Finale B"
"Christine Le Gall","K1D","193.45","459.53","1264.14","Finale B"
"Deborah Larsonneur","K1D","241.37","513.24","1812.09","Finale B"
"Olivia Legrix","K1D","Nt","-","-","Finale B"
"Djemy Martin","K1D","Nt","-","-","Finale B"
"Arthur Chaumet","K1H","97.72","268.14","314.74","Finale B"
"Thibault Gautherot","K1H","107.73","393.94","444.08","Finale B"
"Jules Chaumet","K1H","107.76","353.62","444.47","Finale B"
"Yann Le Bourser","K1H","107.78","352.92","444.73","Finale B"
"Brian Pieddefer","K1H","107.83","435.22","445.37","Finale B"
"Thomas Brochard","K1H","108.25","502.81","450.8","Finale B"
"Thomas Launay","K1H","108.43","363.41","453.13","Finale B"
"Axel Delage","K1H","108.96","391.02","459.98","Finale B"
"Quentin Famechon","K1H","109.36","427.42","465.14","Finale B"
"Louis Guillot","K1H","109.54","358.31","467.47","Finale B"
"Melvil Boschel","K1H","109.84","436.3","471.35","Finale B"
"Benoit Ricard","K1H","110.33","372.21","477.68","Finale B"
"Quentin Brillaut","K1H","110.35","372.26","477.94","Finale B"
"Alan Olivo","K1H","110.35","435.86","477.94","Finale B"
"Florian Vauselle","K1H","111.05","396","486.98","Finale B"
"Antonin Leray","K1H","111.39","423.6","491.37","Finale B"
"Keliann Le Breton","K1H","111.42","468.19","491.76","Finale B"
"Christophe Gergaud","K1H","112.14","519.95","501.07","Finale B"
"Valentin Rault","K1H","112.34","537.6","503.65","Finale B"
"Nathan Dalaine","K1H","112.54","430.39","506.23","Finale B"
"Lionel Donias","K1H","112.97","445.27","511.79","Finale B"
"Jerome Saliou","K1H","113.23","448.96","515.15","Finale B"
"Cedric Paquereau","K1H","113.75","545.45","521.87","Finale B"
"Samuel Flament","K1H","114.67","413.31","533.76","Finale B"
"Axel Gauthard","K1H","114.91","567.49","536.86","Finale B"
"Mathis Daniel","K1H","115.23","516.89","540.99","Finale B"
"Samuel Breton","K1H","115.36","488.29","542.67","Finale B"
"Valentin Soullard","K1H","115.47","421.55","544.09","Finale B"
"Benoit Lasserre","K1H","116.2","434.48","553.53","Finale B"
"Maxime Goursaud","K1H","117.11","537.95","565.29","Finale B"
"Marc-antoine Nannette","K1H","117.84","499.28","574.72","Finale B"
"Nicolas Perrin","K1H","118.22","613.19","579.63","Finale B"
"Brice Guintard","K1H","118.95","387.37","589.06","Finale B"
"Paul Gendron","K1H","119.58","641.32","597.2","Finale B"
"Louis Demoulin-petit","K1H","119.96","488.38","602.11","Finale B"
"Alexis Brule","K1H","120.04","538.94","603.14","Finale B"
"Alexandre Jaffre","K1H","120.67","599.29","611.29","Finale B"
"Mehdi Crochard","K1H","121.1","577.29","616.84","Finale B"
"Raphael Jean","K1H","121.13","566.28","617.23","Finale B"
"Max Grandvillain","K1H","121.15","510.25","617.49","Finale B"
"Pierrick Meheust","K1H","121.22","447.31","618.39","Finale B"
"Eloann Le Fur","K1H","121.24","752.56","618.65","Finale B"
"Armand Vergnault","K1H","122.56","613.53","635.71","Finale B"
"Maxance Mongermont","K1H","123.63","677.33","649.53","Finale B"
"Mathis Busnel","K1H","125.27","548.41","670.72","Finale B"
"Michel Daupeux","K1H","126.83","679.41","690.88","Finale B"
"Jean Christophe Olivo","K1H","127.03","517.5","693.47","Finale B"
"Kylian Lavole","K1H","128.24","620.41","709.1","Finale B"
"Daniel Bregazzi","K1H","128.4","502.29","711.17","Finale B"
"Wilfried Truffy","K1H","130.27","537.85","735.33","Finale B"
"Gerard Lemonnier","K1H","130.61","603.77","739.72","Finale B"
"Nathan Girardeau","K1H","131.91","620.85","756.52","Finale B"
"Yannick Faguet","K1H","132.25","540.43","760.91","Finale B"
"Maxime Bouvet","K1H","133.04","741.95","771.12","Finale B"
"Leo Aranda","K1H","134.91","696.27","795.29","Finale B"
"Valentin Bigeard","K1H","138.68","1130.12","844","Finale B"
"Thibaud Le Berre","K1H","138.87","851.5","846.45","Finale B"
"Sylvain Premel","K1H","138.96","1635.84","847.62","Finale B"
"Thierry Dugue","K1H","139.16","789.97","850.2","Finale B"
"Valentin Le Paih","K1H","139.37","583.18","852.91","Finale B"
"Thierry Le Bonniec","K1H","142.57","711.89","894.26","Finale B"
"Christian Belouin","K1H","144.21","559.85","915.45","Finale B"
"Samuel Le Dean","K1H","146.4","1176.38","943.75","Finale B"
"Christian Le Parc","K1H","152.1","759.69","1017.4","Finale B"
"Julien Moreau","K1H","152.37","811.29","1020.89","Finale B"
"Victor Carrouer","K1H","156.5","476.66","1074.26","Finale B"
"Romain Poirier","K1H","160.01","439.56","1119.61","Finale B"
"Gwenael Coadou","K1H","168.72","541.19","1232.16","Finale B"
"Pierre Guilchet","K1H","175.25","501.28","1316.53","Finale B"
"Ludovic Garnier","K1H","175.38","446.14","1318.21","Finale B"
"Kevin Sponem","K1H","Nt","-","-","Finale B"
"Jordan Dieusaert","K1H","Nt","-","-","Finale B"
"Frederic Foubert","K1H","Nt","-","-","Finale B"
