"Sélectif Régional de slalom - Slalom des Iles mortes - Champs-Sur-Marne - 2004-09-26","Course 1","2004-09-26","Régional","243"
"Olivier Cornu","C1H","347.34","1134","1150",""
"Sassatelli Nicolas","C1H","381.21","-","1383",""
"Thomas-Chollier Gael","C1H","450.98","-","1862",""
"Joubier Aurelien","C1H","480.09","-","2061",""
"Cloarec Sebastien","C1H","487.85","-","2115",""
"Mathieu Voyemant-Damien Troquenet","C2H","198.61","34","68",""
"Remy Alonso-Victor Lamy","C2H","215.31","39","177",""
"Monvoisin Benoit- Granger Terence","C2H","226.04","275","247",""
"Duchiron Stephane- Argenson Thomas","C2H","230.97","246","279",""
"Tournadre Fabien- Courtille Arnaud","C2H","239.50","426","336",""
"Thibault Bigeon-Antoine Decambon","C2H","243.82","363","364",""
"Gesbert Olivier- Jourdain Xavier","C2H","244.00","-","365",""
"Allemandou Fabien- Darcillon Bastien","C2H","252.50","363","421",""
"Lismonde Jean Batiste- Gaud Gilles","C2H","252.51","354","421",""
"Lismonde Alexandre- Court Germain","C2H","261.64","-","480",""
"Maignan Adrien- Renoux Franck","C2H","281.77","-","613",""
"Hubert Sandrine- Marechal Loic","C2M","276.61","-","579",""
"Pierre Chassigneux-Brigitte Passet","C2M","280.51","669","604",""
"Guillonet Jerome- Dellus Camille","C2M","350.80","-","1064",""
"Jacques Nardeau-Christine Nardeau","C2M","368.20","-","1179",""
"Gerardin Thierry- Viaud Nadine","C2M","388.10","-","1309",""
"Thomas-Chollier Gael- Fauconnier Mathilde","C2M","496.76","-","2021",""
"Mathilde Pichery","K1D","207.36","36","88",""
"Caroline Bourry","K1D","209.63","139","103",""
"Bomboy Alice","K1D","218.07","82","156",""
"Paoletti Camille","K1D","219.99","236","169",""
"Melina Letellier","K1D","227.44","281","217",""
"De Berchen Emilie","K1D","231.77","341","245",""
"Larribau Myriam","K1D","232.16","-","247",""
"Defoix Angelique","K1D","236.45","322","274",""
"Arnaud Anais","K1D","236.79","351","276",""
"Hubert Sandrine","K1D","237.61","266","282",""
"Pauline Soenen","K1D","239.60","-","294",""
"Bucar Masa","K1D","240.04","-","297",""
"Fievez Julie","K1D","241.88","-","309",""
"Lea Feuillard","K1D","248.42","461","351",""
"Dos Santos Eva","K1D","249.67","460","359",""
"Marie Lucas","K1D","253.54","727","383",""
"Landa Louise","K1D","256.24","528","400",""
"Laura Guibout","K1D","258.92","878","418",""
"Marine Joslin","K1D","268.30","569","477",""
"Adeline Gerardin","K1D","269.70","700","486",""
"Gomez Meryl","K1D","273.14","-","508",""
"Lucas Melanie","K1D","275.70","703","524",""
"Remy Julie","K1D","275.88","-","526",""
"Lecoq Emilie","K1D","278.20","708","541",""
"Pages Mariehelene","K1D","284.73","-","582",""
"Clementine Vuillermot-panthou","K1D","287.96","732","603",""
"Chassigneux Catherine","K1D","293.12","-","636",""
"Laborde Isabelle","K1D","313.78","-","767",""
"Camus Helene","K1D","320.50","-","810",""
"Viaud Nadine","K1D","332.68","-","888",""
"Boucolon Flore","K1D","356.10","-","1037",""
"Voillot Meline","K1D","367.05","-","1107",""
"Sylvie Bourdon","K1D","384.78","1531","1221",""
"Maugein Camille","K1D","390.68","-","1257",""
"Rosse Laura","K1D","391.21","-","1261",""
"Fauconnier Mathilde","K1D","407.68","-","1366",""
"Pierre Devaux","K1H","182.57","25","82",""
"Venceslas Viseur","K1H","184.23","59","94",""
"Christophe Augu","K1H","186.32","38","108",""
"Cheutin Jean-Yves","K1H","188.03","27","121",""
"Erwan Cadio","K1H","189.75","104","134",""
"Quentin Bove","K1H","190.83","153","141",""
"Ciaran Heurteau","K1H","191.07","101","144",""
"Vincent Reiter","K1H","191.37","167","145",""
"Nicolas Veillard","K1H","194.42","133","168",""
"Louis Philippe Rigal","K1H","194.72","144","169",""
"Xavier Jourdain","K1H","194.78","116","170",""
"Beaudoin Fabien","K1H","194.81","200","170",""
"Oswald Besch","K1H","195.18","145","173",""
"Ronan Lucas","K1H","196.71","199","184",""
"De Berchen Sebastien","K1H","197.67","144","191",""
"Romain Bove","K1H","197.78","172","192",""
"Laurent Rigaud","K1H","198.37","169","196",""
"Fabien Tournadre","K1H","198.76","214","198",""
"Childeric Thoreau","K1H","199.06","170","201",""
"Benoit Chantry","K1H","199.57","170","204",""
"Guillaume Maraquin","K1H","200.39","244","211",""
"Mathieu Godin","K1H","201.98","243","222",""
"Florian Perenchio","K1H","202.31","-","225",""
"Alexandre Guerinet","K1H","202.57","226","226",""
"Noble Aurelien","K1H","203.39","288","232",""
"Erwan Le Pen","K1H","203.48","273","232",""
"Philippe Daumont","K1H","203.65","179","234",""
"Aurel Sebastien","K1H","203.74","273","235",""
"Sebastien Serot","K1H","203.82","247","235",""
"Julien Daumont","K1H","204.00","246","236",""
"Yves Lecointe","K1H","204.38","216","239",""
"Bastien Darcillon","K1H","205.71","312","249",""
"Jean Philippe Winiarski","K1H","205.78","298","249",""
"Ladouce Romain","K1H","206.00","312","251",""
"Michel Gombert","K1H","206.24","176","252",""
"Emile Devaux","K1H","206.88","-","258",""
"Benjamin Thiboust","K1H","207.94","366","265",""
"Nicolas Leclerc","K1H","208.66","308","270",""
"Jeremy Cremonesi","K1H","209.03","-","273",""
"Coiffe Florion","K1H","209.19","141","274",""
"Briois Mathieu","K1H","209.75","-","278",""
"Antoine Dufrene","K1H","209.83","231","278",""
"Julien Darees","K1H","210.12","-","280",""
"Malderez Sebastien","K1H","211.32","315","289",""
"Debruyere Benjamin","K1H","211.42","257","290",""
"Courtille Arnaud","K1H","211.79","206","293",""
"Morvan Antoine","K1H","211.83","365","293",""
"Le Berte Maxime","K1H","212.51","308","298",""
"Geoffroy Schwentzel","K1H","212.85","362","301",""
"Lair Nicolas","K1H","213.83","-","307",""
"Philippe Valeri","K1H","213.84","347","307",""
"Bremont Pierre","K1H","214.62","-","313",""
"Brieuc Cadic","K1H","214.63","298","313",""
"Antoine Decambon","K1H","214.72","363","313",""
"Jodar Sebastien","K1H","215.04","-","316",""
"Di Majo Romain","K1H","215.36","372","318",""
"Fievez Guillaume","K1H","216.66","393","327",""
"Guillaume Sebastien","K1H","216.77","351","328",""
"Eric Marmet","K1H","216.80","404","328",""
"Jean-noel Avril","K1H","216.94","373","330",""
"Julien Signarbieux","K1H","217.06","389","331",""
"Stephane Sagnier","K1H","217.90","422","337",""
"Jean-luc Mottais","K1H","219.32","353","347",""
"Bastien Pailler","K1H","219.62","304","349",""
"Savart Matthieu","K1H","219.67","324","350",""
"Lillette Mael","K1H","220.16","389","352",""
"Yves Moreno","K1H","220.64","309","356",""
"Friquet Arnaud","K1H","222.21","482","368",""
"Dubu Alain","K1H","222.62","368","370",""
"Viratelle Vincent","K1H","222.73","358","371",""
"Alban Planchais","K1H","222.85","-","373",""
"Andrieux Martin","K1H","223.31","-","375",""
"Tachet Xavier","K1H","223.33","418","375",""
"Blondeau Julien","K1H","224.62","-","385",""
"Soria Amaury","K1H","224.75","375","386",""
"Louison Tanet","K1H","225.45","366","392",""
"Brustiec Jerom","K1H","226.38","331","398",""
"Gaillot Christophe","K1H","226.67","433","400",""
"Barnavon Guillaume","K1H","226.95","499","402",""
"Olivier Cornu","K1H","227.49","457","405",""
"Eon Tom","K1H","227.56","477","407",""
"Timothee Venot","K1H","228.41","420","412",""
"Gaetan Kieffert","K1H","230.05","480","424",""
"Collet Timothe","K1H","230.80","555","429",""
"Joly Michel","K1H","231.15","-","432",""
"Anthony Mottais","K1H","231.46","589","435",""
"Delepine Camille","K1H","233.13","-","446",""
"Hamel Pierre","K1H","233.49","-","448",""
"Jolivet Pierre","K1H","234.28","520","455",""
"Barnavon Nicolas","K1H","234.46","485","456",""
"William Ozanne","K1H","235.17","-","461",""
"Benjamin Defrocourt","K1H","235.17","497","461",""
"Gilles Lucas","K1H","238.43","472","485",""
"Gautherot Mathieu","K1H","239.41","563","491",""
"Arnoult Jeanmichel","K1H","240.92","-","503",""
"Lefeure Thomas","K1H","241.41","889","507",""
"Meunier Logan","K1H","241.67","577","508",""
"Simon Bonnet","K1H","242.16","581","512",""
"Simon Philibert","K1H","242.45","1506","514",""
"Remy Daumont","K1H","242.76","-","515",""
"Stephane Helle","K1H","243.69","-","523",""
"Thomas Monvoisin","K1H","245.74","612","537",""
"Henri Lucas","K1H","249.37","-","563",""
"Guillaume Hermant","K1H","249.80","-","566",""
"Albertelli Romain","K1H","250.29","939","570",""
"Pascault Didier","K1H","251.25","-","577",""
"Bourgain Olivier","K1H","251.85","705","581",""
"Gil Justin","K1H","252.39","860","585",""
"Adel Faycal","K1H","252.64","-","587",""
"Marquer Tanguy","K1H","253.11","-","590",""
"Gaillard Sebastien","K1H","255.41","-","606",""
"Blin Aurele","K1H","255.90","-","610",""
"Goussar Pavel","K1H","261.24","-","649",""
"Camille Mege","K1H","263.43","764","665",""
"Flavien Odile","K1H","263.85","-","668",""
"Leclerc Julien","K1H","266.90","-","690",""
"Jerome Trousson","K1H","268.15","-","699",""
"Domenger Paul","K1H","268.78","-","704",""
"Rognant Thomas","K1H","271.52","-","723",""
"Laurent Ernou","K1H","271.97","693","727",""
"Morais Julien","K1H","273.66","-","738",""
"Juillet Edouard","K1H","274.08","1349","742",""
"Cabanes Berend","K1H","278.41","-","773",""
"Henriot Thomas","K1H","281.27","-","794",""
"Legueux Adrien","K1H","282.55","-","802",""
"Krein Jeremy","K1H","285.34","-","823",""
"Desemerie Thomas","K1H","291.60","-","870",""
"Coudray Sylvain","K1H","293.24","-","879",""
"Thibault Gautherot","K1H","295.73","919","897",""
"Coudiere Sebastien","K1H","298.16","-","915",""
"Francis Duchiron","K1H","299.02","941","921",""
"Dosque Wesley","K1H","300.88","-","935",""
"Meunier Yoann","K1H","301.31","-","938",""
"Dominique Odile","K1H","302.59","553","946",""
"Lecomte Romain","K1H","312.13","-","1016",""
"Joubier Aurelien","K1H","312.59","995","1019",""
"Benjamin Millet Naas","K1H","313.76","-","1027",""
"Regnier Augustin","K1H","314.56","-","1034",""
"Bellacicco Denis","K1H","327.54","-","1127",""
"Odile Romuald","K1H","337.80","-","1201",""
"Cedric Pawlowski","K1H","345.43","-","1256",""
"Abrahmi Charles Edouard","K1H","374.44","1116","1465",""
"Viallet Eric","K1H","379.30","-","1500",""
"Deloof Simon","K1H","396.36","-","1623",""
"Guérrier Amaury","K1H","451.78","-","2022",""
"Fauconnier Charles","K1H","481.83","-","2240",""
"Barragat Serge","K1H","488.41","-","2286",""
