"CHAMPIONNAT DE FRANCE CADETS ET J sur V -  - Championnats de France Vétérans et Finale N2 Sénior - 2001-07-13","Championnats de France Vétérans et Finale N2 Sénior","2001-07-13","Championnats de France","176"
"Guillaume Benoit- Pitman Arnaud","C2H","277.53","186","214",""
"Dubois Philippe- Tamburini Florent","C2H","284.38","527","240",""
"Buchheit Fabien- Briois Mathieu","C2H","288.55","274","256",""
"Clerc Herve- Clerc Pierrealain","C2H","308.61","119","331",""
"Guillaume Gonseth-Nicolas Detheve","C2H","315.39","124","356",""
"Debliquy Stephane- Delattre Arnaud","C2H","347.2","274","476",""
"Bouchard Vincent- Cliquet Kevine","C2H","394.83","-","654",""
"Chavrier Didier- Pajani Nathael","C2H","400.79","307","677",""
"Dejours Nelly","K1D","250.14","159","112",""
"Laplanche Isabelle","K1D","251.75","-","118",""
"Ferreira Florence","K1D","253.00","112","122",""
"Poix Sophie","K1D","256.96","124","137",""
"Julie Labarelle","K1D","258.06","162","141",""
"Riesenmey Caroline","K1D","264.22","-","165",""
"Thomas Nadege","K1D","268.1","522","179",""
"Marie-francoise Prigent","K1D","268.92","220","182",""
"Borg Julie","K1D","277.43","202","214",""
"Tharaud Anais","K1D","286.65","207","249",""
"Fanny Mino-vercellio","K1D","286.82","211","249",""
"Fleureau Domitille","K1D","297.25","-","288",""
"Poncelet Frederique","K1D","299.31","184","296",""
"Verguin Isabelle","K1D","300.93","-","302",""
"Laure Vierne","K1D","301.26","322","303",""
"Cornevin Angelique","K1D","301.42","256","304",""
"Schweitzer Pascale","K1D","303.09","-","310",""
"Stephanie Kaczmarek","K1D","311.62","176","342",""
"Bervet Gaelle","K1D","337.28","215","439",""
"Gaultier Frederique","K1D","347.12","312","475",""
"Sautie Laetitia","K1D","364.14","405","539",""
"Apert Maia","K1D","372.15","236","569",""
"Duboc Guenaelle","K1D","379.18","377","596",""
"Durand Veronique","K1D","383.52","228","612",""
"Petrescu Luana","K1D","387.23","293","626",""
"Celine Denizon","K1D","415.33","-","731",""
"Marechal Brigitte","K1D","427.34","281","776",""
"Lutinier Michelle","K1D","694.31","1158","1778",""
"Rat Nadine","K1D","949.09","-","2733",""
"Jean Christophe Boivin","K1H","214.09","120","97",""
"Despax Cedric","K1H","216.36","173","107",""
"Roger Jeremie","K1H","218.81","140","117",""
"Damien Boudet","K1H","218.89","163","118",""
"Pierre Pans","K1H","219.72","125","121",""
"Colliex Olivier","K1H","220.98","138","127",""
"Maubourguet Mathias","K1H","222.81","328","135",""
"Moratelli Loic","K1H","223.14","182","136",""
"Pierre Matthieu","K1H","223.4","177","137",""
"Fabrice Poueyto","K1H","223.94","-","139",""
"Nivel Cyril","K1H","224.44","144","142",""
"Christophe Le Mercier","K1H","224.63","160","142",""
"Basquin Jeanbaptiste","K1H","224.75","155","143",""
"Bertrand Bercon","K1H","224.89","187","144",""
"Jerome Le Hegarat","K1H","225.16","146","145",""
"Piquard Charles","K1H","225.23","158","145",""
"Nicolas Coudert","K1H","225.43","166","146",""
"Pala Mathieu","K1H","225.55","152","146",""
"Tanton Olivier","K1H","226.03","191","148",""
"Julien Coudert","K1H","226.12","-","149",""
"Bibron Florian","K1H","226.19","168","149",""
"Deslux Richard","K1H","226.97","159","152",""
"Benjamin Thouvignon","K1H","227.23","153","154",""
"Xavier Marie","K1H","229.48","188","163",""
"Mathieu Le Gal","K1H","229.69","171","164",""
"Gode Denis","K1H","229.84","-","165",""
"Lesquer David","K1H","230.46","126","168",""
"Sebastien Lepaulard","K1H","230.52","172","168",""
"Alain Droniou","K1H","230.76","191","169",""
"Delaunay Johann","K1H","230.95","217","170",""
"Saint Girons Thomas","K1H","231.17","159","171",""
"Serre Eric","K1H","232.44","-","176",""
"Chaise Thomas","K1H","233.08","195","179",""
"Michel Ragot","K1H","233.43","174","180",""
"Christophe Siffert","K1H","233.79","173","182",""
"Crepeau Julien","K1H","234.23","254","184",""
"Herve Busson","K1H","234.66","-","186",""
"Regis Bonato","K1H","235.1","179","188",""
"Gwenael Marquer","K1H","235.63","232","190",""
"Vivien Cedric","K1H","236.13","184","192",""
"Di Lauro Alexandre","K1H","236.2","-","192",""
"Charlot Thibaut","K1H","236.35","182","193",""
"Guillaume Maraquin","K1H","236.93","204","195",""
"Poncelet Laurent","K1H","237.11","207","196",""
"Ysern Renaud","K1H","237.86","217","199",""
"Weber Nicolas","K1H","238.77","225","203",""
"Manoussos Nicolas","K1H","238.88","-","204",""
"Benjamin Boukpeti","K1H","239.1","-","205",""
"Nicolas Masson","K1H","239.63","-","207",""
"Retailleau Gael","K1H","240.13","199","209",""
"Kermabon Florent","K1H","240.18","-","209",""
"Berthe Christophe","K1H","240.61","200","211",""
"Bernhardt Christophe","K1H","240.85","-","212",""
"Muller Aurelien","K1H","241.04","195","213",""
"Nizar Samlal","K1H","241.35","323","215",""
"Philippe Daumont","K1H","241.47","237","215",""
"Piton Romain","K1H","241.7","202","216",""
"Albert Rodrigue","K1H","241.73","220","216",""
"Berthiaud Gregory","K1H","241.93","272","217",""
"Jerome Mainguy","K1H","243.05","-","222",""
"Serret Mathieu","K1H","243.77","199","225",""
"Antoine Dufrene","K1H","244.16","246","227",""
"Pascal Hunault","K1H","244.21","-","227",""
"Benoit Letellier","K1H","244.27","-","227",""
"Duliscouet Richard","K1H","244.49","252","228",""
"Christophe Billaud","K1H","244.64","267","229",""
"Soete Arnaud","K1H","245.28","276","231",""
"Guillaume Fletcher","K1H","245.91","-","234",""
"Christophe Gosselin","K1H","246.09","249","235",""
"Cedric Mace","K1H","247.07","284","239",""
"Emmanuel Cosse","K1H","247.24","-","240",""
"Jean Yves Prigent","K1H","247.59","271","241",""
"Maxime Faivre","K1H","248.5","221","245",""
"Domingo Benoit","K1H","251.07","292","256",""
"Franck Dessaint","K1H","252.71","238","264",""
"Ludovic Pinchon","K1H","253.19","-","266",""
"Jacques Despierres","K1H","253.31","-","266",""
"Texier Jeremy","K1H","254.29","-","270",""
"Braud Philippe","K1H","256.07","-","278",""
"Jerome Talbot","K1H","256.79","-","281",""
"Ballini Yoann","K1H","258.2","-","287",""
"Gall Philippe","K1H","258.3","235","288",""
"Olivier Mittler","K1H","259.19","-","291",""
"Laroque Jeanchristophe","K1H","262.7","291","307",""
"Patrick Gass","K1H","263.74","313","311",""
"Hayet Julien","K1H","265.15","-","317",""
"Bernard Babi","K1H","270.63","225","341",""
"Olivier Mourasse","K1H","270.73","254","341",""
"Carlino Antoine","K1H","273.48","694","353",""
"Philippe Chapatte","K1H","293.99","430","442",""
"Canovas Cedric","K1H","295.1","173","446",""
"Frotey Alain","K1H","296.99","550","455",""
"Perrin Alexandre","K1H","302.76","-","479",""
"Jean Guyot","K1H","323.27","443","568",""
"Philippe Rocher","K1H","324.13","307","572",""
"Wolfgang Schulz","K1H","326.04","537","580",""
"Mathieu Arnaud","K1H","336.91","228","627",""
"Alain Minvielle","K1H","338.54","439","634",""
"Vincent Richard","K1H","438.8","502","1066",""
"Dominique Kremer","K1H","619.75","547","1847",""
