"Championnat Régional de Slalom - Championnat Régional De Slalom Aquitaine - Finale - 2015-06-21","Finale","2015-06-21","Régional","103"
"Alois Bertrand","K1H","127.64","446.89","552.85","Finale B"
"Marc Cailhol","K1H","127.8","505.09","554.76","Finale B"
"Thiefaine Verge","K1H","127.85","543.33","555.35","Finale B"
"Franck Le Coz","K1H","128.39","555.32","561.79","Finale B"
"Theo Dunie","K1H","129.15","497.87","570.84","Finale B"
"Paul Luquet","K1H","134.29","393.78","632.08","Finale B"
"Loan Jioux","K1H","136.03","816.93","652.82","Finale B"
"Aven Gilham","K1H","143.34","606.43","739.91","Finale B"
"Louis Decoopman","K1H","148.5","523.12","801.39","Finale B"
"Bastien Darmayan","K1H","169.21","814.34","1048.15","Finale B"
"Jean Luc Pessoni","K1H","169.52","612.1","1051.85","Finale B"
"Compton Cruickshank","K1H","200.07","-","1415.85","Finale B"
"Damien Caillard","K1H","253.09","539.12","2047.58","Finale B"
"Paul Lefevre","K1H","454.54","2633.88","4447.83","Finale B"
"Nicolas Peyroux","K1H","492.64","1377.23","4901.79","Finale B"
"Steeve Fillastre","K1H","Des","-","-","Finale B"
"Adrien Mesmoudi","K1HM","117.77","-","-","Finale B"
"Marc Sarramea","K1HM","131.35","-","-","Finale B"
"Tonin Desmet","K1HM","132.51","-","-","Finale B"
"Angus Cruickshank","K1HM","144.06","-","-","Finale B"
"Paul Beguin","K1HM","365.54","-","-","Finale B"
