"Sélectif Régional de Slalom - 80310 Picquigny - Finale - 2018-11-25","Finale","2018-11-25","Régional","98"
"Louis Vanbersel","K1H","105.74","432.51","516.5","Finale B"
"Johann Beldame","K1H","110.9","539.78","588.5","Finale B"
"Felix Derumigny","K1H","114.54","603.3","639.29","Finale B"
"Paul Lecomte","K1H","114.8","644.94","642.92","Finale B"
"Yann Castryck- -genereux","K1H","115.43","619.79","651.71","Finale B"
"Tony Faria","K1H","116.55","687.25","667.33","Finale B"
"Dimitri Houlier","K1H","118.81","562.44","698.87","Finale B"
"Elouan Fouquier","K1H","123.11","631.36","758.87","Finale B"
"Jason Leroy","K1H","124.2","727.98","774.08","Finale B"
"Cedre Mercier","K1H","124.68","960.49","780.78","Finale B"
"Pierre Carton","K1H","126.67","737.55","808.55","Finale B"
"Louis Marescot","K1H","130.81","572.32","866.31","Finale B"
"Eric Bernard","K1H","131.1","739.24","870.36","Finale B"
"Mao Caron","K1H","135.16","902.11","927.01","Finale B"
"Thomas Alves","K1H","139.83","993.45","992.17","Finale B"
"Thibaut Jumetz","K1H","166.92","696.5","1370.18","Finale B"
"Jean Baptiste Caillieret","K1H","174.99","1229.04","1482.78","Finale B"
"Paul Bornet","K1H","233.43","776.42","2298.23","Finale B"
"Robin Dheilly","K1H","Abs","-","-","Finale B"
"Benjamin Marty Carpentier","K1HM","132.58","794.69","891.01","Finale B"
"Tup Wit","K1HM","138.32","2655.81","971.1","Finale B"
"Leo Celisse","K1HM","154.17","1955.89","1192.27","Finale B"
"Sebastien Marchandin","K1HM","157.22","1050.93","1234.83","Finale B"
"Romain Foucard","K1HM","160.17","1026.32","1275.99","Finale B"
"Maximilien Maillet","K1HM","162.63","1441.34","1310.32","Finale B"
"Lucas Reljac","K1HM","Des","-","-","Finale B"
"Bilal Kotbi","K1HM","Abs","-","-","Finale B"
