"SÈlectif RÈgional de Slalom - Toulouse - Qualification - 2017-04-02","Qualification","2017-04-02","RÈgional","228"
"Bruno Oteiza","K1H","238.26","613.86","2118.04",""
"Angel Campillo","K1H","239.8","1459.88","2137.65",""
"Solal Gaudin","K1H","287.69","1135.33","2747.52",""
"Yoan Dubos","K1H","328.95","-","3272.96",""
"Rupert Wilson-smith","K1H","425.75","-","4505.69",""
"Mathias Mendiondo","K1H","Abs","-","-",""
"Alexis Goussebayle","K1H","Abs","-","-",""
"Dylan Tonnellier","K1H","Abs","-","-",""
"Nathan Pavot","K1H","Abs","-","-",""
"Pierrealain Clerc","K1H","Abs","-","-",""
"Elliot Perez","K1H","Abs","-","-",""
"Guillaume Fletcher","K1H","Abs","-","-",""
"Bertrand Gourrat","K1H","Abs","-","-",""
"Franck Vanhoutteghem","K1H","Abs","-","-",""
"Noe Villeneuve","K1H","Abd","-","-",""
"Clement Serres","K1H","Abs","-","-",""
"Cl…ment Corbeil","K1HM","108.79","499.49","469.26",""
"Mael Bernes","K1HM","110.38","377.27","489.51",""
"Loris Shayam Affre","K1HM","112.82","425.47","520.58",""
"Antton Erdois","K1HM","117.25","-","577",""
"Guillaume Malmezac","K1HM","125.05","536.07","676.33",""
"Cyprien Cail","K1HM","125.53","506.75","682.44",""
"Hugo Crespo","K1HM","126.12","653.14","689.96",""
"Emilien Courtiade","K1HM","126.49","-","694.67",""
"Simon Tourtois","K1HM","128.65","744.58","722.17",""
"Remi Dolcin Tillant","K1HM","128.94","-","725.87",""
"Clement Guyon","K1HM","142.81","708.09","902.5",""
"Lohan Wyon","K1HM","152.25","791.76","1022.72",""
"Zaid Benaouali","K1HM","152.85","-","1030.36",""
"Guillaume Pradalie","K1HM","155.86","-","1068.69",""
"Owen Merpillat","K1HM","174.04","-","1300.21",""
"Thomas Terr…","K1HM","184.67","632.93","1435.58",""
"Timeo Canonico","K1HM","210.37","-","1762.87",""
"Marin Saint Macary","K1HM","218.54","749.05","1866.91",""
"Jules Maitre","K1HM","233.51","1622.27","2057.55",""
"J…r…my Nardi","K1HM","249.97","749.07","2267.16",""
"Aelhainine Cordier","K1HM","Abs","-","-",""
"Nicolas Leman","K1HM","Abd","-","-",""
"Hugo Carillo","K1HM","Abd","-","-",""
"Arsene Labarthe","K1HM","Abd","-","-",""
