"Manche de la Coupe de France National 3 Slalom Nord-Est - 57050 Longeville Les Metz - Qualification - 2019-03-31","Qualification","2019-03-31","Nationale 3","208"
"Salim Jemai","C1H","Abd","-","-",""
"David Monnet","C1H","Abd","-","-",""
"Alexandre L'huillier","C1H","Abd","-","-",""
"Quentin Maillefer","C1H","Dsq","-","-",""
"Caroline Scherer-Emilie Delahaye","C2D","158.63","516.53","580.57",""
"Emilien Kempf-Robin Pottelette","C2H","118.91","396.95","405.29",""
"Silvere Desongins-Baptiste Podor","C2H","129.45","483.79","525.92",""
"Lionel Borde-Michel Bert","C2H","145.08","579.11","704.8",""
"Philippe Senechal-Xavier Rat","C2H","179","612.13","1093.01",""
"Alexis Sevrez-Louis Gasser","C2H","201.14","853.72","1346.4",""
"Dimitri Tostain-Jerome Payen","C2H","Abd","-","-",""
"Eddy Cassard-Sebastien Varin","C2H","Abd","-","-",""
"Elena Hugues-Marvin Tulpin","C2M","132.03","302.18","429.52",""
"Silvere Desongins-Zelie Wendling","C2M","138.8","-","500.55",""
"Caroline Scherer-Matthieu Walfard","C2M","150.06","572.05","618.68",""
"Emilien Kempf-Jade Robin","C2M","150.19","461.81","620.04",""
"Theo Reby-Zoe Laurent","C2M","160.93","425.52","732.71",""
"Clara Delahaye-Leni Perreau","C2M","184.52","494.41","980.21",""
"Lucille Meunier-cheyssac-Jules Ferber","C2M","214.4","671.23","1293.68",""
"Emilie Delahaye-Nicolas Feuillard","C2M","234.44","666","1503.92",""
"Christine Poix-Emmanuel Del Rey","C2M","Abs","-","-",""
"Luisa Buerner","K1D","116.9","346.62","346.76",""
"Lucille Meunier-cheyssac","K1D","125.67","422.47","444.47",""
"Anastasia Pagel","K1D","126.19","452.55","450.27",""
"Zelie Wendling","K1D","126.56","427.98","454.39",""
"Fransiska Granzow","K1D","127.65","413","466.54",""
"Anne Fischer","K1D","128.71","362.09","478.35",""
"Melyne Jost","K1D","158.22","462.83","807.12",""
"Fiona Gille","K1D","173.52","518.32","977.57",""
"Jade Robin","K1D","176.21","710.41","1007.54",""
"Charlotte Doucet","K1D","179.39","623.56","1042.96",""
"Carole Dolmaire","K1D","196.16","631.79","1229.8",""
"Helene Hincelin","K1D","346.09","919.51","2900.16",""
"Elodie Berrot","K1D","353.93","584.8","2987.51",""
"Margaux Cornet","K1D","424.71","774.97","3776.08",""
"Lou-anne Cointin","K1D","Abs","-","-",""
"Alyssa Lhomme","K1D","Abd","-","-",""
"Maurine Laugel","K1D","Abs","-","-",""
"Kassandra Wagnier","K1D","Abd","-","-",""
"Lea Feuillard","K1D","Abs","-","-",""
"Lucile Bessot","K1D","Abd","-","-",""
"Jules Andrien","K1H","97.55","328.08","272.47",""
"Louis Gasser","K1H","99.67","392.7","299.16",""
"Oskar Hillion","K1H","101.21","371.88","318.55",""
"Anthony Rouhier","K1H","102.09","313.72","329.63",""
"Matthieu Koffel","K1H","102.8","308.34","338.57",""
"Nathan Frison","K1H","102.98","415.74","340.83",""
"Pierre Biagui","K1H","103.38","317.55","345.87",""
"Ianis Fleury","K1H","104.49","313.54","359.84",""
"Simon Munch","K1H","104.55","332.84","360.6",""
"Loic Monbel","K1H","105.05","286.79","366.89",""
"Leonard Painteaux","K1H","105.28","384.75","369.79",""
"Marvin Tulpin","K1H","106","316.33","378.85",""
"Jorg Blees","K1H","106.06","485.9","379.61",""
"Marc Jegou","K1H","106.91","377.35","390.31",""
"Melvin Queudeville","K1H","106.94","302.39","390.69",""
"Aurelien Merieux Danneaux","K1H","108.14","341.8","405.79",""
"Clement Fremy","K1H","108.44","390.37","409.57",""
"Paul Frommer","K1H","108.61","378.05","411.71",""
"Tanguy Adisson","K1H","108.97","373.58","416.24",""
"Sebastien De Berchem","K1H","109.17","369.51","418.76",""
"Nathan Huguenin","K1H","109.36","376.61","421.15",""
"Nathan Barbier","K1H","109.44","305.47","422.16",""
"Yann Becker","K1H","109.5","401.22","422.91",""
"Thomas Stutzmann","K1H","110.93","437.93","440.92",""
"Gael Ettwiller","K1H","110.97","449.33","441.42",""
"Loann Delle Dananchet","K1H","111.64","490.21","449.86",""
"Alexis Sevrez","K1H","112.17","554.48","456.53",""
"Enzo Claeys","K1H","113.17","369.71","469.12",""
"Florent Tamburini","K1H","113.31","471.64","470.88",""
"Axel Colin","K1H","113.63","387.88","474.91",""
"Theo Loury","K1H","114.61","347.77","487.25",""
"Lois Pignon","K1H","114.67","440.69","488",""
"Matthieu Walfard","K1H","114.93","399.43","491.27",""
"Leni Perreau","K1H","114.97","406.61","491.78",""
"Alexis Gombert","K1H","115.82","532.63","502.48",""
"Quentin Henri","K1H","117.12","399.44","518.85",""
"Olivier Urbain","K1H","117.14","401.11","519.1",""
"Victor Henry","K1H","117.37","450.26","521.99",""
"Oscar Pasteur","K1H","117.76","518.29","526.9",""
"Axel Ganthier","K1H","118.81","406.72","540.12",""
"Maxime Devis","K1H","119.03","514.25","542.89",""
"Arnaud Jamet","K1H","119.28","473.49","546.04",""
"Smail Mouhoub","K1H","120.1","454.52","556.36",""
"Arnaud Caillet","K1H","120.19","529.15","557.49",""
"Jules Ferber","K1H","121.18","591.73","569.96",""
"Jeremy Huguenin","K1H","122.2","329.1","582.8",""
"Erwan Degreve","K1H","123.18","414.19","595.14",""
"Loick Manoury","K1H","123.52","456.33","599.42",""
"Gerard Menissier","K1H","123.63","487.65","600.8",""
"Xavier Rat","K1H","124","516.87","605.46",""
"Quentin Maillefer","K1H","124.15","612.03","607.35",""
"Loic Bourgeois","K1H","124.15","478.91","607.35",""
"Paul Cascarino","K1H","124.43","442.36","610.87",""
"Evan Trenchant","K1H","124.57","681.54","612.64",""
"Remy Perrin","K1H","125.21","527.67","620.69",""
"Leo Hauck","K1H","125.22","799.88","620.82",""
"Patrick Gass","K1H","125.48","508.47","624.09",""
"Valentin Bostoen","K1H","125.59","562.03","625.48",""
"Thibault Rouanet","K1H","127.42","614.25","648.52",""
"Louis Guggenbuhl","K1H","128.52","667.7","662.36",""
"Paul Farrugio","K1H","130.37","470.31","685.65",""
"Eddy Cassard","K1H","130.69","435.24","689.68",""
"Dyclan Plessis","K1H","130.74","383.72","690.31",""
"Philippe Thevenin","K1H","131.1","543.71","694.84",""
"Anthony Beaudoing","K1H","132.71","486.98","715.11",""
"Matthew Vuillard","K1H","133.14","376.83","720.53",""
"Samuel Tahaafe","K1H","134.72","473.87","740.42",""
"Romain Moret","K1H","138.55","727.11","788.63",""
"Gauthier Principaud","K1H","141.14","530.23","821.24",""
"Dimitri Tostain","K1H","141.26","646.65","822.75",""
"Paul Gstalter","K1H","143.54","570.76","851.45",""
"Loic Dufour","K1H","143.82","570.03","854.98",""
"Virgile Bessot","K1H","144.59","547.29","864.67",""
"Guillaume Cochut","K1H","145.13","673.37","871.47",""
"Philippe Koffel","K1H","145.69","551.71","878.52",""
"Leo Bayard","K1H","146.75","701.21","891.87",""
"Alexandre L'huillier","K1H","149.11","548.07","921.58",""
"Salim Jemai","K1H","149.53","423.94","926.86",""
"Theophile Vincent","K1H","149.76","687.97","929.76",""
"Kevin Vienny","K1H","151.19","831.72","947.76",""
"Andre Kempf","K1H","163.09","718.27","1097.58",""
"Ludovic Kessler","K1H","166","761.63","1134.21",""
"Antoine Dusard","K1H","167.81","732.14","1157",""
"Nolan Lequesne","K1H","169.3","731.24","1175.76",""
"Louis Sibille","K1H","169.49","507.39","1178.15",""
"Robin Giurlando","K1H","171.73","631.31","1206.35",""
"Rafael Pawlus","K1H","173.24","492.75","1225.36",""
"Adrien Gaillot","K1H","174.3","812.79","1238.7",""
"Julien Fougeron","K1H","174.58","340.32","1242.23",""
"Anthony Menissier","K1H","180.75","542.29","1319.9",""
"Loic Merat","K1H","184.97","918.86","1373.03",""
"Aymeric Dollat","K1H","192.07","540.43","1462.41",""
"Theo Zilber","K1H","196.01","513.8","1512.02",""
"Remi Hervieux","K1H","201.53","782.17","1581.51",""
"Adrien Dierstein","K1H","204.05","777.22","1613.23",""
"Elias Bouddour","K1H","206.85","1060.27","1648.48",""
"Zakaria Radouani","K1H","207.43","1649.85","1655.79",""
"Frederic Caillet","K1H","210.21","631.4","1690.78",""
"Christophe Leone","K1H","212.96","913.38","1725.4",""
"Edy Gasser","K1H","217.15","890.56","1778.15",""
"Quentin Dierstein","K1H","219.7","752.18","1810.26",""
"Maixent De Poucques","K1H","221.45","679.5","1832.29",""
"Max Cantenot","K1H","235.09","860.46","2004.01",""
"Dylan Simon","K1H","254.57","722.97","2249.25",""
"Alain Brucher","K1H","279.52","734.51","2563.35",""
"Jerome Payen","K1H","365.97","580.09","3651.69",""
"Amaury Brucher","K1H","416.85","279.15","4292.24",""
"Jonathan Ferreira","K1H","Abs","-","-",""
"Antoine Pas","K1H","Abs","-","-",""
"Vincent Morabito","K1H","Abs","-","-",""
"Aloys Morel","K1H","Abs","-","-",""
"Guillaume Cazenave","K1H","Abs","-","-",""
"Thomas Metzinger","K1H","Abd","-","-",""
"David Monnet","K1H","Abd","-","-",""
"Thibaut Boudier","K1H","Abd","-","-",""
"Antoine Paumier","K1H","Dsq","-","-",""
"Leon Beyreuther","K1H","Dsq","-","-",""
"Mathieu Jacquelin","K1H","Dsq","-","-",""
"Theo Lejeune","K1H","Dsq","-","-",""
"Lucas Matkovic","K1H","Dsq","-","-",""
"Jules Latimier","K1H","Abs","-","-",""
