"SELECTIF REGIONAL SAINT PIERRE DE BOEUF - Saint Pierre De Boeuf - 2003-11-15","Course 1","2003-11-15","Régional","285"
"Deborne Claire","K1D","305.10","637","420",""
"Elise Bonhomme","K1D","321.00","-","499",""
"Roumet Marie","K1D","323.10","267","511",""
"Sarat Penelope","K1D","326.80","-","529",""
"Coralie Yebenes","K1D","329.40","405","541",""
"De Berchen Emilie","K1D","332.70","393","558",""
"Lucie Boutonnet","K1D","343.00","-","609",""
"Valla Justine","K1D","345.70","513","623",""
"Antonelli Lolita","K1D","346.65","460","627",""
"Chapuis Nathalie","K1D","363.60","910","712",""
"Valla Camille","K1D","364.20","378","716",""
"Lefol Emline","K1D","366.10","473","725",""
"Lutinier Michelle","K1D","366.60","518","727",""
"Charmasson Faustine","K1D","367.70","392","733",""
"Oudet Virginie","K1D","386.00","849","825",""
"Lemonnier Elsa","K1D","397.40","-","881",""
"Roux Mathilde","K1D","404.30","-","915",""
"Michaela Daille","K1D","422.20","457","1005",""
"Le Borgne Melanie","K1D","455.00","920","1169",""
"Devillez Nadine","K1D","455.60","806","1172",""
"Crost Karine","K1D","488.90","-","1338",""
"Pierre Bourliaud","K1H","219.00","49","99",""
"Damien Boudet","K1H","219.50","93","103",""
"Cheutin Jean-Yves","K1H","220.70","20","109",""
"Julien Tous","K1H","223.70","50","125",""
"Nicolas Labat","K1H","224.70","130","131",""
"Renaud Doby","K1H","224.80","121","131",""
"Gregory Busson","K1H","225.10","107","133",""
"Davy Egraz","K1H","225.70","65","137",""
"Johan De Mareuil","K1H","229.20","127","156",""
"Alexandre Schall","K1H","229.70","122","158",""
"De Berchen Sebastien","K1H","230.20","166","161",""
"Bazin Patryce","K1H","230.40","150","163",""
"Mathieu Bandelier","K1H","230.90","224","165",""
"Thomas Bersinger","K1H","231.00","166","165",""
"Jeremy Moureaux","K1H","231.40","164","167",""
"Trzeciak Vincent","K1H","232.70","120","175",""
"Lemaire Maxime","K1H","233.10","187","177",""
"Benjamin Buys","K1H","233.90","133","182",""
"Serret Mathieu","K1H","235.20","171","189",""
"Luc Doye","K1H","235.90","161","192",""
"Patrice Fischer","K1H","236.87","63","198",""
"Olivier Blanc","K1H","237.20","194","200",""
"Wadel Florian","K1H","238.00","194","203",""
"Yann Gudefin","K1H","238.60","215","207",""
"Nizar Samlal","K1H","238.60","152","207",""
"Saint Girons Thomas","K1H","238.80","188","208",""
"Hafiz Ali Hassan","K1H","238.80","197","208",""
"Andy Pajani","K1H","239.10","242","210",""
"Billaut Francois","K1H","239.40","-","211",""
"Bertrand Bercon","K1H","239.50","154","213",""
"Magat Philippe","K1H","239.90","-","215",""
"Kevin Schultz","K1H","240.00","256","215",""
"Jonathan Chapatte","K1H","240.50","173","218",""
"Piermay Mathieu","K1H","240.60","229","218",""
"Perrin Alexandre","K1H","240.60","215","218",""
"Ysern Renaud","K1H","241.10","210","220",""
"Julien Beltrami","K1H","241.50","165","223",""
"Manoussos Nicolas","K1H","241.90","-","225",""
"Jeannot Stéphane","K1H","242.10","308","226",""
"Lebourgeois Alexis","K1H","242.20","225","227",""
"Pascal Hunault","K1H","244.00","222","236",""
"Merle Simon","K1H","244.10","-","237",""
"Guillaume Provost","K1H","244.30","145","239",""
"Basquin Jeanbaptiste","K1H","244.70","-","241",""
"Bertrand Dubiez","K1H","245.20","183","243",""
"Frederic Tinchant","K1H","245.50","204","245",""
"Maxime Faivre","K1H","245.70","187","247",""
"Palix Lorin","K1H","245.90","211","248",""
"Medjeberg Jeremy","K1H","245.90","173","248",""
"Verchere Thibault","K1H","246.30","267","250",""
"Martelet Romain","K1H","246.40","303","250",""
"Jeanluc Nitard","K1H","246.60","211","251",""
"Alain Ferry","K1H","246.70","267","252",""
"Bersinger Sylvain","K1H","247.50","302","256",""
"Remi Wolf","K1H","249.20","210","266",""
"Keller Paco","K1H","249.30","230","266",""
"Yannick Besse","K1H","249.70","245","268",""
"Beltrami Denis","K1H","249.90","236","269",""
"Vivien Cedric","K1H","249.90","-","269",""
"Jeremy Vibert","K1H","250.40","-","273",""
"Guillaume Bandelier","K1H","251.00","268","275",""
"Delfs Yann","K1H","251.40","266","277",""
"Olivier Urbain","K1H","251.40","279","277",""
"Mathieu Cataldo","K1H","251.40","317","277",""
"Alauzet Pierre","K1H","251.50","325","278",""
"Olivier Bourgey","K1H","252.70","349","285",""
"Jules Bevalot","K1H","252.90","217","286",""
"Bonnet Xavier","K1H","253.20","-","287",""
"Jeremiah Mosch","K1H","253.80","298","291",""
"Adrien Roussel","K1H","254.20","-","293",""
"Romain Chabrol","K1H","254.90","317","296",""
"Del Negro Alexis","K1H","258.60","287","317",""
"Daumas Jeremy","K1H","259.00","251","319",""
"Christophe Godinat","K1H","259.30","-","321",""
"Guillaume Huppert","K1H","259.40","294","321",""
"Ferrandon Damien","K1H","259.80","-","324",""
"Nicolas Abbal","K1H","260.20","306","326",""
"Bonnetain Quentin","K1H","262.30","-","337",""
"Noble Aurelien","K1H","263.00","336","342",""
"Coulon Jerome","K1H","263.20","357","343",""
"Aubertin Philippe","K1H","263.20","-","343",""
"Guillaume Gery","K1H","263.40","-","344",""
"Etienne Daille","K1H","263.70","320","345",""
"Noize Martial","K1H","265.60","-","355",""
"Barbaglia Sylvain","K1H","265.90","394","358",""
"Demay Romain","K1H","266.10","396","359",""
"Sebastien Swieton","K1H","267.40","-","366",""
"Champmartin Michel","K1H","267.80","323","368",""
"Biard Adrien","K1H","268.60","389","372",""
"Hager Yoan","K1H","269.50","331","377",""
"Chassain Nathael","K1H","269.60","445","378",""
"Vadeboin Mathias","K1H","270.30","390","381",""
"Fabrice Madier","K1H","271.70","-","389",""
"Lalauze Charly","K1H","273.40","299","398",""
"Descharrieres Bruno","K1H","273.90","432","401",""
"Philippe Godinat","K1H","274.60","-","405",""
"Martin Moreau","K1H","275.10","-","407",""
"Bessiere Florian","K1H","275.50","438","410",""
"Cottet Gaydon Francois","K1H","276.70","474","417",""
"Philippe Jules","K1H","277.10","484","419",""
"Viallon Hugo","K1H","278.30","-","426",""
"Philippe Chapatte","K1H","279.50","441","432",""
"Panis Romain","K1H","280.80","-","439",""
"Clement Adrien","K1H","280.90","510","439",""
"Alix Pouillard","K1H","281.10","647","440",""
"Favre Stephane","K1H","281.30","-","441",""
"Baude Francois","K1H","283.00","393","452",""
"Delisse Thomas","K1H","285.20","350","463",""
"Dougoud Adrien","K1H","287.40","533","475",""
"Boris Lutinier","K1H","291.00","194","495",""
"Rety Simon","K1H","292.60","547","504",""
"Rech Thomas","K1H","292.80","366","505",""
"Pharizat David","K1H","293.80","-","511",""
"Benoit Fer","K1H","295.60","140","521",""
"Friboulet Mickael","K1H","296.10","596","523",""
"Ballini Yoann","K1H","296.40","286","524",""
"Yoann Aupee","K1H","297.40","-","530",""
"Aupee Eric","K1H","297.80","399","532",""
"Descotes Vincent","K1H","299.80","-","544",""
"Pascal Ferry","K1H","300.40","251","547",""
"Lenoir Adrien","K1H","301.70","668","554",""
"Bizzo Sebastien","K1H","302.50","644","558",""
"Morel Jeremie","K1H","302.80","-","559",""
"Ploix Kevin","K1H","304.10","499","567",""
"Laurent Wolf","K1H","305.50","-","575",""
"Marco Rodrigues","K1H","307.40","-","585",""
"Vaucher Dimitri","K1H","307.80","-","588",""
"Antoine Vinay","K1H","308.40","-","591",""
"Lois Desroches","K1H","308.80","-","593",""
"Vahine Patrick","K1H","309.00","561","595",""
"Tissot Fabien","K1H","311.70","573","609",""
"Lantz Nicolas","K1H","314.30","-","623",""
"Damien Borlet","K1H","314.40","-","624",""
"Bernard Kevin","K1H","314.70","-","625",""
"Baptista Julien","K1H","315.40","741","630",""
"Sacard Sylvain","K1H","315.89","-","632",""
"Balhat Youcef","K1H","318.30","-","646",""
"Argaud Thomas","K1H","324.60","-","680",""
"Dubray Mathieu","K1H","325.80","384","686",""
"Poidevin Loic","K1H","328.80","370","702",""
"Dalex Karl","K1H","329.90","-","709",""
"Janin Quentin","K1H","330.60","-","712",""
"Bornet Timothee","K1H","330.80","397","714",""
"Matthieu Basset","K1H","340.10","-","765",""
"Biton Jonas","K1H","341.00","469","770",""
"Papoz Bastien","K1H","343.90","-","786",""
"Cossou Antoine","K1H","346.40","541","800",""
"Pierre Alexandre Facon","K1H","347.50","-","805",""
"Godefroy Thierry","K1H","351.90","-","829",""
"Castanie Romain","K1H","353.60","-","839",""
"Dorlencourt Richard","K1H","360.40","491","877",""
"Montaud Yann","K1H","362.10","862","886",""
"Mickael Cordier","K1H","364.70","-","899",""
"Pahin Thomas","K1H","371.58","-","938",""
"Pommies Cyrille","K1H","372.50","465","943",""
"Beauce Antoine","K1H","377.80","758","972",""
"Bablonn Arnaud","K1H","379.20","-","980",""
"Francony Bastien","K1H","382.40","-","997",""
"Munoz Lucas","K1H","403.10","-","1111",""
"Picot Jeremy","K1H","403.60","-","1114",""
"Tappero Clement","K1H","404.40","-","1118",""
"Fatou Clement","K1H","421.80","690","1213",""
"Bounias-Delacour Aurelien","K1H","425.20","589","1233",""
"Le Guennan Yann","K1H","430.00","-","1259",""
"Bayle Jonnny","K1H","433.80","-","1279",""
"Micaleff Guillaume","K1H","451.50","-","1377",""
"Cnapelynck Aurélien","K1H","557.80","-","1960",""
"Augnacs Valerian","K1H","581.20","-","2090",""
"Martin-Calle Pablo","K1H","693.20","-","2704",""
"Gosset Christopher","K1H","857.00","-","3604",""
