"Slalom régional du pont des grottes - Bétharram - 2006-10-15","Course 1","2006-10-15","Régional","181"
"Gregoire Olivier","K1H","380.75","-","1309",""
"Antoine Sudrie","K1H","396.80","-","1407",""
"Guilhem Becvort","K1H","398.33","454","1416",""
"Morgan Forget","K1H","406.11","755","1464",""
"Victor Chaulet","K1H","418.38","-","1539",""
"Revel Damien","K1H","418.55","-","1540",""
"Patrick Parage","K1H","422.63","-","1565",""
"Colin Beziade","K1H","441.89","-","1682",""
"Robin Bourianne","K1H","444.22","1297","1696",""
"Antony Alves","K1H","457.52","1282","1778",""
"Batty Nicolas","K1H","479.79","-","1914",""
"Pluquet Guillaume","K1H","486.98","-","1958",""
"Pierre-antoine Comby","K1H","551.77","-","2353",""
"Marteau Mathieu","K1H","571.66","-","2474",""
"Pierre Adrien Plantion","K1H","588.54","-","2578",""
"Walter Roore","K1H","752.93","-","3581",""
"Biard Philippe","K1H","892.78","-","4436",""
"Joseph Robert","K1H","978.85","-","4960",""
