"Sélectif Régional de Slalom - Etrembieres - Finale - 2018-09-09","Finale","2018-09-09","Régional","98"
"Merieme Bekkadour","K1DM","179.36","2121.79","1088.87","Finale A"
"Fantine Hortolan","K1DM","195.71","1111.61","1277.2","Finale A"
"Etienne Daille","K1H","83.5","39.12","109.73","Finale A"
"Maxime Bottex","K1H","84.89","88.95","127.82","Finale A"
"Martin Daviet","K1H","87.29","68.95","159.06","Finale A"
"Benjamin Travostino","K1H","88.36","99.34","172.98","Finale A"
"Corentin Monasse","K1H","89.43","164.07","186.91","Finale A"
"Vincent Reiter","K1H","91.54","207.52","214.37","Finale A"
"Jan Rohrer","K1H","92.44","157.6","226.09","Finale A"
"Jonathan Chapatte","K1H","93.15","206.78","235.33","Finale A"
"Jolan Schmocker","K1H","94.95","300.96","258.76","Finale A"
"Pitt Rohrer","K1H","95.47","310.38","265.53","Finale A"
"Etienne Wiche","K1H","95.48","242.14","265.66","Finale A"
"Arthur Contamine","K1H","97.2","301.32","288.04","Finale A"
"Guillaume Gery","K1H","98.45","373.31","304.32","Finale A"
"Ludovic Boulesteix","K1H","98.61","345.87","306.4","Finale A"
"Emerick Billon","K1H","98.76","281","308.35","Finale A"
"Nikolas Stanik","K1H","100.28","287.8","328.13","Finale A"
"Sebastien Lepaulard","K1H","101.33","346.97","341.8","Finale A"
"Julien Signarbieux","K1H","102.23","364.39","353.52","Finale A"
"Nicolas Demofsqui","K1H","108.51","364.58","435.26","Finale A"
"Hugo Monasse","K1HM","99.8","290.92","321.89","Finale A"
"Ugo Zanellato","K1HM","102.06","344.49","351.3","Finale A"
"Maxime Devis","K1HM","109.02","525.4","441.89","Finale A"
"Gaspard Gonseth","K1HM","129","709.55","701.95","Finale A"
"Joao Normand","K1HM","137.04","628.3","806.6","Finale A"
"Titouan Sourieau","K1HM","172.78","634.05","1271.8","Finale A"
"Viviana Daille","C1D","133.91","316.66","480.37","Finale B"
"Iana Gonseth","C1DM","330.25","2544.44","2610","Finale B"
"Jan Rohrer","C1H","110.73","364.01","400.52","Finale B"
"Enki Georgel","C1H","117.2","414.12","480.72","Finale B"
"Benjamin Guyon","C1H","125.6","454.1","584.85","Finale B"
"Henry Sirot","C1H","137.43","669.8","731.5","Finale B"
"Raphael Wiche","C1H","196.95","590.9","1469.31","Finale B"
"Vivien Stemmelen","C1H","238.99","425.8","1990.46","Finale B"
"Kesia Georgel","K1D","113.97","370.18","340.66","Finale B"
"Zoe Gonin","K1D","116.8","422.42","373.26","Finale B"
"Zoe Frey","K1D","123.31","417.81","448.25","Finale B"
"Zora Grosclaude","K1D","129.14","505.86","515.4","Finale B"
"Lucie Fromentoux","K1D","150.78","437.81","764.67","Finale B"
"Alexandra Strasser","K1D","187.82","1835.09","1191.31","Finale B"
"Camille Vion Delphin","K1D","226.56","640.15","1637.55","Finale B"
"Goundo Palibrk Doucoure","K1D","Nt","-","-","Finale B"
"OcÉane Noel","K1DM","158.69","3102.11","855.78","Finale B"
"Baptiste Gaillard","K1H","100.38","319.41","334.44","Finale B"
"Olivier Hardonniere","K1H","103.57","392.05","375.96","Finale B"
"Emmanuel Triomphe","K1H","106.31","398.6","411.62","Finale B"
"Benjamin Guyon","K1H","106.87","352.55","418.91","Finale B"
"Mohamed SaÏd Bekkadour","K1H","107.91","353.54","432.45","Finale B"
"Luca Gabelli","K1H","108.86","411.38","444.81","Finale B"
"Jonathan Ferreira","K1H","113.19","502","501.17","Finale B"
"Jeremy Rouet","K1H","117.4","548.92","555.97","Finale B"
"Jordan Agullo","K1H","118.02","523.17","564.04","Finale B"
"Valentin Capel","K1H","120.53","571.17","596.71","Finale B"
"Laurel Hartmann","K1H","120.61","529.82","597.75","Finale B"
"Florent Vallier","K1H","121.43","604.18","608.42","Finale B"
"Lucas Barriere","K1H","127.9","524.07","692.64","Finale B"
"Marc Roussel","K1H","151.85","1094.85","1004.37","Finale B"
"Adrien Fischer","K1H","170.14","573.3","1242.43","Finale B"
"Marc Lanchais","K1H","195.81","1208.98","1576.55","Finale B"
"Guillaume Sirot","K1H","200.5","3823.08","1637.6","Finale B"
"Maxence Violy","K1H","319.92","834.29","3191.97","Finale B"
"Jules Sourieau","K1HM","121.79","687.29","613.11","Finale B"
"Antonin Castille","K1HM","134.77","576.92","782.06","Finale B"
"Yann Houot","K1HM","141.16","1589.81","865.23","Finale B"
"Baptiste Guillaubez","K1HM","210.78","1113.73","1771.4","Finale B"
"Jules Roussel","K1HM","256.63","5982.88","2368.19","Finale B"
