"Sélectif National 3 Slalom Nord-Est - Corbeil Essonnes - Finale - 2018-05-13","Finale","2018-05-13","Nationale 3","189"
"Yoann Turowsky","K1H","117.09","486.17","507.94","Finale A"
"Fabien Bonvalet","K1H","117.59","470.32","514.26","Finale A"
"Philippe Piat","K1H","118.97","499.76","531.72","Finale A"
"Teo Durand","K1H","119.21","493.49","534.76","Finale A"
"Mathis Piepho","K1H","126.3","450.17","624.46","Finale A"
"Florence Marchal","C1D","164.73","864.97","768.31","Finale B"
"Elza Horlock","C1D","182.23","820.23","952.8","Finale B"
"Charline Dole","C1D","234.11","768.66","1499.78","Finale B"
"Quentin Angot","C1H","121.36","508.2","493.85","Finale B"
"Mathieu Aussant","C1H","123.47","543.01","519.26","Finale B"
"Eden Quevremont","C1H","125.88","488.27","548.31","Finale B"
"Estephe Decarsin","C1H","127.01","586.67","561.93","Finale B"
"Jacques Nardeau","C1H","127.5","607.82","567.83","Finale B"
"Florian Jumetz","C1H","134.54","735.93","652.65","Finale B"
"Matheo Dupont","C1H","135.48","579.56","663.98","Finale B"
"Teo Durand","C1H","136.91","644.46","681.2","Finale B"
"Basile Drapier","C1H","139.36","615.6","710.73","Finale B"
"Hugo Tellier","C1H","139.42","804.69","711.45","Finale B"
"Titouan Aussant","C1H","139.51","676.9","712.54","Finale B"
"Erwan Masson","C1H","140.61","848.6","725.79","Finale B"
"Baptiste Duboc","C1H","144.12","673.61","768.08","Finale B"
"Bertrand Avril","C1H","144.65","607.65","774.47","Finale B"
"Elie Gerault","C1H","144.84","711.14","776.76","Finale B"
"Paul Lecomte","C1H","148.6","787.52","822.06","Finale B"
"Loan Guyomarch","C1H","149.28","846.58","830.25","Finale B"
"Esteban Olivier","C1H","159.98","863.02","959.18","Finale B"
"Dimitri Houlier","C1H","203.72","729.32","1486.2","Finale B"
"Quentin Mannier-Nicolas Candieu","C2H","153.69","501.8","799.22","Finale B"
"Teo Durand-Loan Guyomarch","C2H","157.14","923.4","838.9","Finale B"
"Loick Manoury-Nathan Huguenin","C2H","159.7","1072.11","868.34","Finale B"
"Cosme Duboc-Florian Jumetz","C2H","160.69","924.03","879.73","Finale B"
"Dante Bourlet De La Vallee-Yvan Leblond","C2H","168.41","740.57","968.52","Finale B"
"Adele Charlaigre-Melvin Queudeville","C2M","168.03","785.71","803.1","Finale B"
"Lison Gautrelet-Dimitri Houlier","C2M","169.11","808.73","814.49","Finale B"
"Louis Marvillet-Lisa Manach","C2M","181.94","1158.57","949.75","Finale B"
"Elza Horlock-Vincent Dorchat","C2M","194.38","1260.34","1080.9","Finale B"
"Salome Huet-Titouan Aussant","C2M","227.42","1008","1429.24","Finale B"
"Charlotte Chauvey","K1D","133.58","531.75","527.13","Finale B"
"Elise Vegnaduzzo","K1D","136.57","471.31","560.61","Finale B"
"Sandrine Arnal","K1D","138.85","672.43","586.14","Finale B"
"Eloise Riviere","K1D","140.84","587.98","608.42","Finale B"
"Souhayla Khattabi","K1D","142.17","574.5","623.31","Finale B"
"Elza Horlock","K1D","143.19","548.1","634.73","Finale B"
"Camille De Araujo","K1D","147.83","494.42","686.68","Finale B"
"Anouk Hadad","K1D","149.45","619.64","704.82","Finale B"
"Daphnee Mouchelet","K1D","151.12","678.43","723.52","Finale B"
"Salome Huet","K1D","157.54","618.31","795.39","Finale B"
"Albertine Binard","K1D","165.88","745.84","888.76","Finale B"
"Coralie Delmotte","K1D","167.82","707.16","910.48","Finale B"
"Nathalie Guelton","K1D","276.23","963.26","2124.24","Finale B"
"Melvin Queudeville","K1H","104.98","356.05","359.73","Finale B"
"Paul Cascarino","K1H","115.33","419.66","490.67","Finale B"
"Gabriel Benoit","K1H","116.88","565.15","510.28","Finale B"
"Titouan Aussant","K1H","117.54","469.72","518.63","Finale B"
"Leonard Soland","K1H","119.54","872.95","543.93","Finale B"
"Vincent Amisse","K1H","120.23","532.57","552.66","Finale B"
"Loick Manoury","K1H","121","536.32","562.41","Finale B"
"Hugo Tellier","K1H","121.34","560.23","566.71","Finale B"
"Dimitri Houlier","K1H","121.58","526.07","569.74","Finale B"
"Gerard Lafargue","K1H","121.68","524.29","571.01","Finale B"
"Louis Vanbersel","K1H","121.85","486.23","573.16","Finale B"
"Philippe Valeri","K1H","123.11","566.46","589.1","Finale B"
"Paul Pesant","K1H","123.69","586.45","596.44","Finale B"
"Leo Dos Santos","K1H","124.4","657.26","605.42","Finale B"
"Clery Girard","K1H","124.81","561.97","610.61","Finale B"
"Thomas Gossieaux","K1H","125.01","578.12","613.14","Finale B"
"Maxence Galy","K1H","125.31","588.92","616.93","Finale B"
"Nicolas Lalliot","K1H","125.91","638.94","624.52","Finale B"
"Axel Girard","K1H","126.53","798.6","632.37","Finale B"
"Cosme Duboc","K1H","127.02","587.44","638.57","Finale B"
"Erwan Masson","K1H","127.64","734.87","646.41","Finale B"
"Felix Derumigny","K1H","127.7","734.58","647.17","Finale B"
"Yunus Polat","K1H","128.5","612.23","657.29","Finale B"
"Esteban Olivier","K1H","128.86","669.43","661.85","Finale B"
"Louis Marescot","K1H","129.53","626.54","670.32","Finale B"
"Loan Guyomarch","K1H","130.01","657.58","676.4","Finale B"
"Gaetan Laperle","K1H","130.55","611.31","683.23","Finale B"
"Mathis Andrieu","K1H","130.74","660.63","685.63","Finale B"
"Noe Vannier","K1H","133.99","570.93","726.75","Finale B"
"Louis Marvillet","K1H","134.19","767.65","729.28","Finale B"
"Erwan Laloux","K1H","135.71","816.63","748.51","Finale B"
"Mathis Pomares","K1H","135.9","674.38","750.91","Finale B"
"Romain Caupin","K1H","135.94","736.35","751.42","Finale B"
"Romain Chambon","K1H","136.02","772.07","752.43","Finale B"
"Robin Le Mazurier","K1H","136.36","760.06","756.73","Finale B"
"Paul Lecomte","K1H","136.42","700.72","757.49","Finale B"
"Pierre Yves Tempier","K1H","136.55","758.37","759.14","Finale B"
"Vincent Dorchat","K1H","140.47","742.28","808.73","Finale B"
"Thibaut Jumetz","K1H","141.8","724.94","825.56","Finale B"
"Jason Leroy","K1H","143.18","720.15","843.01","Finale B"
"Elie Gerault","K1H","144.89","727.67","864.65","Finale B"
"Alain Brucher","K1H","146.54","814.79","885.52","Finale B"
"Samuel Gornet","K1H","147.09","868.25","892.48","Finale B"
"Tom Raynaud","K1H","160.82","874.06","1066.19","Finale B"
"Bruno Brousselle","K1H","162.12","902.4","1082.63","Finale B"
"Elias Schieber","K1H","220.56","974.67","1821.98","Finale B"
