"Sélectif Championnat Interrégional - Vinon sur Verdon - Finale - 2014-03-23","Finale","2014-03-23","Nationale 3","113"
"Theo Viens","K1H","109.06","368.56","355.52","Finale A"
"Pablo Guillem","K1H","109.07","319.18","355.64","Finale A"
"Gregoire Pouille","K1H","109.1","385.61","356.01","Finale A"
"Yohann Biglia","K1H","111.1","303.97","380.21","Finale A"
"Hugo Crepeau","K1H","111.36","336.16","383.36","Finale A"
"Dimitri Durannot","K1H","111.42","241.76","384.09","Finale A"
"Allan Cousset","K1H","111.84","236.19","389.17","Finale A"
"Antoine Dumaye","K1H","111.91","297.67","390.02","Finale A"
"Thomas Thieblemont","K1H","112.07","347.74","391.96","Finale A"
"Denis Delaleux","K1H","112.46","313.44","396.68","Finale A"
"Camille Sahuc","K1H","113.16","376.77","405.15","Finale A"
"Micael Rodriguez Alves Lato","K1H","114.27","351.71","418.59","Finale A"
"Quentin Sablayrolles","K1H","114.38","315.4","419.92","Finale A"
"Hugo Mouffle","K1H","114.58","432.01","422.34","Finale A"
"Ronan Cordier","K1H","115.28","338.81","430.81","Finale A"
"Julien Delaleux","K1H","116.86","429.82","449.94","Finale A"
"Florent Iraundegui","K1H","118.09","442.59","464.83","Finale A"
"Quentin Duhamel","K1H","118.83","342","473.78","Finale A"
"Sebastien Riou","K1H","118.9","416.21","474.63","Finale A"
"Olivier Cail","K1H","119.37","471.58","480.32","Finale A"
"Adam Wronski","K1H","119.67","521.82","483.95","Finale A"
"Antoine Marigil","K1H","123.47","373.27","529.95","Finale A"
"Pierre-louis Saussereau","K1H","123.92","437.38","535.4","Finale A"
"Paul Commenges","K1H","124.27","319.02","539.63","Finale A"
"Francois Giondini","K1H","126.04","374.19","561.06","Finale A"
"Antoine Laye","K1H","127.88","437.09","583.33","Finale A"
"Lucas Lavit","K1H","128.81","406.49","594.59","Finale A"
"Pierre De La Morinerie","K1H","155.67","233.56","919.71","Finale A"
"Louis Midy","K1H","159.37","292.99","964.5","Finale A"
"Clement Bosc","K1H","159.92","388.48","971.16","Finale A"
"Brieuc Cadic","K1H","162.62","312.41","1003.84","Finale A"
"Paul Roubaud","K1H","191.33","531.84","1351.36","Finale A"
"Maud Sourbes","C1D","Nt","-","-","Finale B"
"Theo Viens","C1H","118.14","283.62","402.33","Finale B"
"Addwyn Martinez","C1H","130.08","841.07","539.98","Finale B"
"Francois Mouttou","C1H","161.08","699.22","897.36","Finale B"
"Lucas Di Martino","C1H","161.25","525.95","899.31","Finale B"
"Hugo Andre","C1H","195.36","560.78","1292.54","Finale B"
"Mathieu Lions","C1H","224.65","782.35","1630.19","Finale B"
"Agathe Gewiss","K1D","132.45","502.17","459.2","Finale B"
"Delia Forgues","K1D","139.38","363.74","533.44","Finale B"
"Morgane Foligne","K1D","143.66","405.97","579.29","Finale B"
"Oriane Guichet","K1D","146.14","465.49","605.84","Finale B"
"Melanie Connes-lessard","K1D","151.57","493.77","664.02","Finale B"
"Celine De La Morinerie","K1D","163.03","693.74","786.77","Finale B"
"Manon Flores","K1D","210.93","583.58","1299.88","Finale B"
"Ludovic Smal","K1H","109.89","397.31","370.57","Finale B"
"Flavien San Augustin","K1H","110.61","356.99","379.28","Finale B"
"Mathieu Lions","K1H","111.21","343.3","386.55","Finale B"
"Thibault Gache","K1H","113.08","348.78","409.18","Finale B"
"Fabien Leist","K1H","113.22","448.56","410.88","Finale B"
"Vincent Laulhe","K1H","113.47","399.69","413.9","Finale B"
"Tom Deconchy","K1H","114.54","394.03","426.85","Finale B"
"Morgan Meffre","K1H","115.95","439.11","443.92","Finale B"
"Paul Ballery","K1H","117.1","589.89","457.84","Finale B"
"Cyril Audoit","K1H","117.27","437.69","459.9","Finale B"
"Yannis Brousset","K1H","117.56","363.29","463.41","Finale B"
"David Bernardeau","K1H","117.57","446.61","463.53","Finale B"
"Mahe Dersoir","K1H","118.7","520.52","477.21","Finale B"
"Edouard Lecomte","K1H","120.34","505.35","497.06","Finale B"
"Franck Leroy","K1H","127.77","684.34","587","Finale B"
"Matthieu Demarty","K1H","129.08","422.55","602.85","Finale B"
"Valentin Affortit","K1H","129.54","588.55","608.42","Finale B"
"Anthony Broc","K1H","132.69","-","646.55","Finale B"
"Ollivier Paumier","K1H","132.8","501.22","647.88","Finale B"
"Yann Tabone","K1H","137.4","-","703.56","Finale B"
"Luc Sarramea","K1H","145.29","649.42","799.07","Finale B"
"Robin Plancade","K1H","145.73","811.28","804.4","Finale B"
"Hugo Polard","K1H","153.98","-","904.26","Finale B"
"Lucas Ferro","K1H","164.14","2152.44","1027.24","Finale B"
"Hippolyte Cail","K1H","165.32","361.66","1041.52","Finale B"
"Nicolas Saurat","K1H","167.72","773.2","1070.57","Finale B"
"Arnaud Deletraz","K1H","169.62","483.31","1093.57","Finale B"
"Kilian Torti","K1H","169.81","1005.5","1095.87","Finale B"
"Anton Gille","K1H","175.74","-","1167.65","Finale B"
"Hugo Avril","K1H","179.29","1340.65","1210.62","Finale B"
"Stephane Marcellot","K1H","180.45","484.27","1224.67","Finale B"
"Marc Cailhol","K1H","186.05","494.14","1292.45","Finale B"
"Lucas Maurin","K1H","206.19","576.19","1536.24","Finale B"
"Louis Foissac","K1H","211.41","673.85","1599.42","Finale B"
"Morgan Hoarau","K1H","247.98","506.97","2042.09","Finale B"
"Ayoub Roger","K1H","313.86","797.03","2839.53","Finale B"
"Pioerre-calixte Gaydon-ohl","K1H","Nt","-","-","Finale B"
"Yvannick Moisan","K1H","Nt","-","-","Finale B"
"Mikael Clanchin","K1H","Nt","-","-","Finale B"
