"Sélectif National 3 Slalom Ouest - La Meaugon - Finale - 2018-03-25","Finale","2018-03-25","Nationale 3","237"
"Brice Derrien","K1H","92.23","317.34","411.28","Finale A"
"Mewen Debliquy","K1H","92.27","424.52","411.88","Finale A"
"Louis Forgeard","K1H","92.3","328.2","412.34","Finale A"
"Corentin Makosso","K1H","92.93","422.02","421.88","Finale A"
"Gregory Metayer","K1H","93.04","316.32","423.54","Finale A"
"Collin Pouradier","K1H","93.1","360.67","424.45","Finale A"
"Antoine Hirbec","K1H","93.29","295.5","427.32","Finale A"
"Franck Delachair","K1H","93.5","312.41","430.5","Finale A"
"Louis Brocard","K1H","93.54","407.79","431.11","Finale A"
"Valentin Rault","K1H","93.58","372.93","431.71","Finale A"
"Max Derame","K1H","93.7","470.13","433.53","Finale A"
"Emmanuel Cosse","K1H","93.9","375.04","436.56","Finale A"
"Lilian Bald","K1H","94.43","449.23","444.58","Finale A"
"Adrien Pierre","K1H","94.61","422.54","447.31","Finale A"
"Gaston Guilmard","K1H","94.74","385.45","449.27","Finale A"
"Armand Fougere","K1H","94.77","396.86","449.73","Finale A"
"Franck Laurent Fontaine","K1H","95.17","452.4","455.78","Finale A"
"Theo Douady","K1H","95.51","351.04","460.93","Finale A"
"Younes Kismi","K1H","95.71","444.62","463.96","Finale A"
"Loic Froissard","K1H","95.9","461.77","466.83","Finale A"
"Pierre Yves Tanguy","K1H","96.22","382.96","471.68","Finale A"
"Baptiste Loy","K1H","96.37","392.27","473.95","Finale A"
"Mathis Daniel","K1H","96.48","347.11","475.61","Finale A"
"Edouard Cozigou","K1H","96.48","374.53","475.61","Finale A"
"Victor Lagleyze","K1H","97.09","437.82","484.85","Finale A"
"Dorian Ollivier","K1H","97.11","288.93","485.15","Finale A"
"Maxime Lignereux","K1H","97.53","448.23","491.51","Finale A"
"Come Le Gal","K1H","97.69","342.54","493.93","Finale A"
"Guillaume Maillot","K1H","98.43","299.38","505.13","Finale A"
"Elouan Le Fournis","K1H","98.51","425.92","506.34","Finale A"
"Alain Droniou","K1H","98.53","415.13","506.64","Finale A"
"Pierre-yves Lebreton","K1H","99.16","354.92","516.18","Finale A"
"Matheo Coquel","K1H","99.21","393.95","516.94","Finale A"
"Jerome Talbot","K1H","99.32","426.73","518.6","Finale A"
"Aubin Davaic","K1H","99.78","500.29","525.57","Finale A"
"Glen Le Meur","K1H","100.47","478.09","536.01","Finale A"
"Noe Gorvo","K1H","100.78","464.21","540.7","Finale A"
"Erwann Le Jeune","K1H","100.78","412.31","540.7","Finale A"
"Fabien Dulyse","K1H","100.81","435.77","541.16","Finale A"
"Francois Bonthonnou","K1H","100.9","509.97","542.52","Finale A"
"Ronan Nedelec","K1H","100.9","470.11","542.52","Finale A"
"Tanguy Odot","K1H","101.6","465.82","553.12","Finale A"
"Thomas Heslouis","K1H","102.05","507.09","559.93","Finale A"
"Amael Samson","K1H","103.05","493.59","575.07","Finale A"
"Nathan Corfmat","K1H","106.78","472.58","631.53","Finale A"
"Tom Milon","K1H","107.83","606.44","647.42","Finale A"
"Adrien Le Collinet","K1H","108.01","520.9","650.15","Finale A"
"Jules Roos","K1H","108.37","475.64","655.6","Finale A"
"Yann Le Bourser","K1H","123","338.89","877.06","Finale A"
"Romain Bruneau","K1H","132.98","325.88","1028.13","Finale A"
"Oscar Donval","K1H","139.57","367.95","1127.88","Finale A"
"Tom Seguillon","K1H","151.77","412.21","1312.56","Finale A"
"Jann Le Corre","C1D","127.73","527.23","631.41","Finale B"
"Louna Beurel","C1D","153.52","482.15","956.73","Finale B"
"Lucie Broudic","C1D","Abs","-","-","Finale B"
"Vincent Froger","C1H","99.94","431.03","460.95","Finale B"
"Youn Aubry","C1H","102.5","393.41","497.85","Finale B"
"Louis Beaumois","C1H","104.13","516.45","521.35","Finale B"
"Florian Lohezic","C1H","105.27","481.09","537.79","Finale B"
"Riwal Le Berre","C1H","106.86","510.74","560.7","Finale B"
"Thomas Heslouis","C1H","110.95","590.8","619.68","Finale B"
"Nino Poisson","C1H","113.4","878.48","655","Finale B"
"Guillaume Maillot","C1H","117.36","585.85","712.08","Finale B"
"Nathan Corfmat","C1H","117.46","594.63","713.53","Finale B"
"Mathis Poree","C1H","117.84","642.7","719.01","Finale B"
"Tanguy Odot","C1H","123.7","590.04","803.49","Finale B"
"Gregory Menuat","C1H","167.3","509.31","1432.04","Finale B"
"Laurent Chiron","C1H","172.42","617.87","1505.87","Finale B"
"Regis Navinel-dubois","C1H","240.53","672.87","2487.77","Finale B"
"Baptiste Loy","C1H","Des","-","-","Finale B"
"Yannick Courtay","C1H","Abd","-","-","Finale B"
"Mathis Poree-Marin Salmon","C2H","128.58","889.04","789.58","Finale B"
"Gaston Guilmard-Matheo Coquel","C2H","130.23","724.18","812.29","Finale B"
"Tom Marchand-Romain Margerie","C2H","167.33","1288.66","1322.83","Finale B"
"Eva Marchand","K1D","104.64","405.61","421.91","Finale B"
"Laurie Beaurepere","K1D","117.93","501.17","599.94","Finale B"
"Alexandra Rochard","K1D","124.76","510.54","691.43","Finale B"
"Chan Bessuejouls","K1D","129.82","581.68","759.22","Finale B"
"Taelle Cardin","K1D","133.24","673.32","805.04","Finale B"
"Daphne Chauvet","K1D","135.6","854.44","836.64","Finale B"
"Lilou Le Roux Divanac'h","K1D","137.95","611.58","868.13","Finale B"
"Livia Salmon","K1D","138.08","715.74","869.87","Finale B"
"Lindsay Frenot","K1D","147.35","897.21","994.04","Finale B"
"Anna Gouraud","K1D","149.03","732.12","1016.55","Finale B"
"Zoe Marchand","K1D","158.46","734.92","1142.87","Finale B"
"Bleuenn Le Foll","K1D","170.09","486.36","1298.67","Finale B"
"Gwendoline Hall","K1D","176.59","497.91","1385.74","Finale B"
"Lucie Broudic","K1D","238.86","635.81","2219.92","Finale B"
"Deborah Larsonneur","K1D","Abs","-","-","Finale B"
"Ewen Berrest","K1H","86.05","308.05","322.73","Finale B"
"Julien Caillarec","K1H","92.02","367.16","413.1","Finale B"
"Maxime Berthaut","K1H","92.21","375.54","415.98","Finale B"
"Leo Grollier","K1H","94.85","418.53","455.94","Finale B"
"Malo Marquet","K1H","95.16","420.94","460.63","Finale B"
"Mael Monjaret","K1H","95.36","445.03","463.66","Finale B"
"Ylan Penvenne","K1H","95.77","461.57","469.87","Finale B"
"Tom Marchand","K1H","95.79","491.84","470.17","Finale B"
"Elouan Pennors","K1H","97.18","502.25","491.21","Finale B"
"Ludovic Couture","K1H","99.68","489.29","529.05","Finale B"
"Cesar Le Berder","K1H","99.73","558.97","529.81","Finale B"
"Corentin Beaumois","K1H","100.29","578.2","538.29","Finale B"
"Lucas Pagnard - Tissier","K1H","100.63","354.25","543.43","Finale B"
"Nicolas Bidault","K1H","101.31","461.52","553.73","Finale B"
"Romain Foulon","K1H","101.71","610.28","559.78","Finale B"
"Clement Collardez","K1H","101.73","435.51","560.08","Finale B"
"Alexandre Bourliaud","K1H","102.29","546.7","568.56","Finale B"
"Louis Beaumois","K1H","102.42","478.84","570.53","Finale B"
"Tom Lallican","K1H","102.47","565.6","571.29","Finale B"
"Yann Curti","K1H","102.95","489.93","578.55","Finale B"
"Alan Olivo","K1H","103.25","358.75","583.09","Finale B"
"Pierre Rochon","K1H","103.48","574.06","586.57","Finale B"
"Olivier Brochard","K1H","103.76","555.91","590.81","Finale B"
"Hugo Robert","K1H","103.97","538.85","593.99","Finale B"
"Luck Thomas","K1H","104.24","556.91","598.08","Finale B"
"Mael Segaud","K1H","104.51","633.41","602.17","Finale B"
"Benjamin Pagerie","K1H","104.88","692.07","607.77","Finale B"
"Edouard Anne","K1H","105.86","527.11","622.6","Finale B"
"Gabriel Balafre","K1H","106.09","643.86","626.08","Finale B"
"Matthieu Escolano","K1H","106.42","634.72","631.08","Finale B"
"Juan Riu","K1H","106.82","643.35","637.13","Finale B"
"Bastien Mailly","K1H","107.25","621.57","643.64","Finale B"
"Romain Caburol","K1H","107.73","546.11","650.91","Finale B"
"Samuel Piton","K1H","107.88","568.6","653.18","Finale B"
"Axel Barre","K1H","108.31","715.09","659.69","Finale B"
"Riwal Bourdoulous","K1H","108.74","636.12","666.2","Finale B"
"Maxence Davy","K1H","109.21","577.99","673.31","Finale B"
"Luc Le Diouron","K1H","109.67","542.24","680.28","Finale B"
"Noe Caillet","K1H","110.62","686.27","694.66","Finale B"
"Antoine Aubert","K1H","111.66","546.17","710.4","Finale B"
"Florian Vinet","K1H","111.85","571.84","713.27","Finale B"
"Nathan Gouraud","K1H","112.24","662.77","719.18","Finale B"
"Marius Benard","K1H","112.83","646.3","728.11","Finale B"
"Nicolas Petipez","K1H","113.02","753.8","730.99","Finale B"
"Ewann Hervouet","K1H","114.25","637.28","749.6","Finale B"
"Timeo Cornic","K1H","114.39","682.97","751.72","Finale B"
"Julien Buors","K1H","114.52","651.39","753.69","Finale B"
"Matheo Morin","K1H","115.48","570.95","768.22","Finale B"
"Matheo Courgeon","K1H","116.19","687.79","778.97","Finale B"
"Clement Ezanno","K1H","116.61","676.93","785.33","Finale B"
"Gabin Rio","K1H","119.48","641.05","828.77","Finale B"
"Thibault Prono","K1H","120.4","758.75","842.7","Finale B"
"Guillaume Caron","K1H","121.15","434.11","854.05","Finale B"
"Noah Fresneda","K1H","122.3","509.18","871.46","Finale B"
"Victor Robert","K1H","122.48","688.29","874.19","Finale B"
"Jean Christophe Olivo","K1H","123.1","626.7","883.57","Finale B"
"Titouan Le Jeune","K1H","123.38","677.57","887.81","Finale B"
"Hugo Bardot","K1H","125.52","773.98","920.2","Finale B"
"Axel Brin","K1H","127.55","976.51","950.93","Finale B"
"Thomas Hado","K1H","128.56","769.57","966.22","Finale B"
"Vincent Donval","K1H","128.7","652.76","968.34","Finale B"
"Simon Murzeau","K1H","129.29","866.21","977.27","Finale B"
"Romain Margerie","K1H","129.3","540.4","977.42","Finale B"
"Steeve Protais","K1H","132.22","914.38","1021.62","Finale B"
"Erwan Launay","K1H","133.89","750.34","1046.9","Finale B"
"Antoine Demarest","K1H","135.32","638.35","1068.55","Finale B"
"Mallory Brochard","K1H","136.42","781.31","1085.2","Finale B"
"Eric Pouradier","K1H","136.44","722.78","1085.5","Finale B"
"Tristan Lacroix","K1H","136.55","765.23","1087.17","Finale B"
"Louis Nivet","K1H","136.99","781.59","1093.83","Finale B"
"Romain Brouard","K1H","144.97","598.99","1214.63","Finale B"
"Tanguy Rolland","K1H","149.25","598.09","1279.41","Finale B"
"RaphaËl Louvigny","K1H","149.86","1296.42","1288.65","Finale B"
"Julien Mizzi","K1H","152.22","469.41","1324.37","Finale B"
"Tom Labastie","K1H","154.49","586.37","1358.73","Finale B"
"Sylvain Premel","K1H","158.34","519.49","1417.01","Finale B"
"Regis Navinel-dubois","K1H","163.56","481.83","1496.03","Finale B"
"Louis-felix Marchand","K1H","165.23","650.38","1521.31","Finale B"
"Gerard Lemonnier","K1H","178.54","705.97","1722.79","Finale B"
"Florian Szabo","K1H","323.19","729.12","3912.42","Finale B"
