"Sélectif Régional de slalom - Bassin De Réals - Finale - 2016-10-02","Finale","2016-10-02","Régional","114"
"Arthur Cousty","K1H","116.39","370.12","564.22","Finale A"
"Gael Villar","K1H","117.01","533.04","572.32","Finale A"
"Alain Dast","K1H","118.7","-","594.39","Finale A"
"Seraphin Margot","K1H","263.35","529.78","2483.4","Finale A"
"Mael Hervault","K1HM","119.88","-","609.8","Finale A"
"Robin Andre","K1HM","161.42","598.62","1152.28","Finale A"
"Clement Claret","OUV","143.4","-","-","Finale A"
"Matteo Roubaud","OUV","169.55","-","-","Finale A"
"Antonin Bretecher","OUV","237.26","-","-","Finale A"
"Enzo Guillarme","C1H","117.33","539.53","508.54","Finale B"
"Simon Del Negro","C1H","122.74","616.67","575.82","Finale B"
"Felix Sperandio","C1H","134.07","593.72","716.74","Finale B"
"Francois Mouttou","C1H","139.22","568.06","780.78","Finale B"
"Valentin Lacor","C1H","220.47","-","1791.31","Finale B"
"Arthur Cousty","C1H","Abd","-","-","Finale B"
"Clement Serres","C1HM","266.33","-","2361.7","Finale B"
"Loic Leymonerie","C1HM","Abd","-","-","Finale B"
"Valentin Lacor-Arthur Perez","C2H","142.37","-","739.47","Finale B"
"Baptiste Tappero-Dimitri Durannot","C2H","Abs","-","-","Finale B"
"Violaine Truche","K1D","112.96","267.21","354.72","Finale B"
"Helene Merlet","K1D","142.8","546.8","699.58","Finale B"
"Cleo Santini","K1D","143.62","569.94","709.05","Finale B"
"Lucile Cans","K1D","157","629.26","863.68","Finale B"
"Laura Gassin","K1D","197.48","-","1331.5","Finale B"
"Helene Courtel","K1D","208.49","554.8","1458.74","Finale B"
"Lisa Michel","K1D","347.79","-","3068.61","Finale B"
"Amelie Leclercq","K1DM","173.29","773.11","1051.94","Finale B"
"Fabien Lanao","K1H","103.24","260.91","397.49","Finale B"
"Guillaume Viguier","K1H","106.15","388.39","435.5","Finale B"
"Louis Scalbert","K1H","112.07","473.73","512.81","Finale B"
"Samuel Taillefer","K1H","115.07","477.73","551.98","Finale B"
"Pierre Courtois","K1H","117","521.65","577.19","Finale B"
"Joachim Saussol","K1H","121.96","643.58","641.96","Finale B"
"Gregoire Michel","K1H","124.03","537.72","668.99","Finale B"
"Ludovic Gaignon","K1H","125.05","441.66","682.31","Finale B"
"Eric Vuiet","K1H","129.82","732.18","744.61","Finale B"
"Simeon Althabegoity","K1H","130.4","604.29","752.18","Finale B"
"Robin Plancade","K1H","132.55","738.74","780.26","Finale B"
"Amaury Viguier","K1H","133.88","709.39","797.63","Finale B"
"Jean Cougul","K1H","136.31","731","829.36","Finale B"
"Victor Demer","K1H","137.7","656.1","847.51","Finale B"
"Antoine Lizee","K1H","146.79","-","966.22","Finale B"
"Quentin Rabot","K1H","150.12","975.83","1009.71","Finale B"
"Yanis Delmas","K1H","150.64","-","1016.5","Finale B"
"Erwan Quellec","K1H","150.73","638.83","1017.67","Finale B"
"Francois Mouttou","K1H","150.83","718.45","1018.98","Finale B"
"Enzo Briffa","K1H","165.89","490.43","1215.65","Finale B"
"Matteo Salomoni","K1H","199.35","1354.41","1652.61","Finale B"
"Thomas Fernandez","K1HM","119.17","721.96","605.53","Finale B"
"Yannis Dast","K1HM","128.94","993.11","733.11","Finale B"
"Adrien Calmette","K1HM","134.97","-","811.86","Finale B"
"Leo Parnotte","K1HM","151.87","-","1032.56","Finale B"
"Clement Serres","K1HM","154.73","921.9","1069.91","Finale B"
"Mireau Appel","K1HM","156.21","-","1089.24","Finale B"
"Loic Leymonerie","K1HM","186.61","796","1486.24","Finale B"
"Valentin Jossemit","K1HM","256.1","-","2393.72","Finale B"
"Arthur Barreteau","K1HM","256.53","-","2399.34","Finale B"
"Noe Villeneuve","K1HM","330.64","-","3367.15","Finale B"
