"Manche 4 de la Coupe de France National 1 Slalom - 95000 Cergy - Finale - 2019-03-24","Finale","2019-03-24","Nationale 1","154"
"Camille Prigent","K1D","171.41","31.5","472.66","Finale A"
"Solene Graille","K1D","176.65","94.83","513.95","Finale A"
"Malo Quemeneur","K1H","100.47","20.28","16.65","Finale A"
"Martin Dougoud","K1H","102.74","30.9","36.86","Finale A"
"Etienne Daille","K1H","103.28","43.44","41.67","Finale A"
"Thomas Durand","K1H","104.58","46.85","53.24","Finale A"
"Mathieu Doby","K1H","104.71","96.22","54.4","Finale A"
"Mathurin Madore","K1H","107.08","27.84","75.5","Finale A"
"Pierre Giudicelli","K1H","109.4","68.47","96.15","Finale A"
"Ludovic Di Nisi","K1H","110.14","51.9","102.74","Finale A"
"Quentin Burgi","K1H","156.55","29.55","515.93","Finale A"
"Benjamin Jacon","K1H","158.18","66.09","530.44","Finale A"
"Angele Hug","C1D","133.88","127.46","120.45","Finale B"
"Fanchon Janssen","C1D","142.02","98.58","180.83","Finale B"
"Tifenn Primet","C1D","152.84","261.96","261.11","Finale B"
"Amaurie Guilleret","C1D","159.76","295.96","312.45","Finale B"
"Elena Hugues","C1D","161.89","295.24","328.25","Finale B"
"Julia Budzinski","C1D","169.59","239.82","385.38","Finale B"
"Lea Grison","C1D","221.62","311.75","771.4","Finale B"
"Oceane Baylacq","C1D","260.58","247.37","1060.46","Finale B"
"Charline Berger Martin","C1D","415.74","274.34","2211.63","Finale B"
"Emma Vuitton","C1D","Abs","-","-","Finale B"
"Kilian Foulon","C1H","109.68","48.66","57.14","Finale B"
"Hugo Latimier","C1H","112.93","123.51","84.7","Finale B"
"Thomas L'huillier","C1H","115.99","158.65","110.65","Finale B"
"Sebastien De Kerleau","C1H","117.37","71.22","122.35","Finale B"
"Luc Sarramea","C1H","117.43","103.17","122.86","Finale B"
"Corentin Oulhen","C1H","117.58","99.66","124.13","Finale B"
"Theo Roisin","C1H","118.57","108.99","132.53","Finale B"
"Yann Rivallant","C1H","119.4","131.2","139.56","Finale B"
"Baptiste Le Poncin","C1H","120.15","152.2","145.93","Finale B"
"Adrien Fischer","C1H","120.45","133.52","148.46","Finale B"
"Jean Pierre Bourhis","C1H","121.88","156.29","160.59","Finale B"
"Charly Chassigneux","C1H","122.75","151.39","167.97","Finale B"
"Hector Combes","C1H","122.94","115.16","169.58","Finale B"
"Loic Trenchant","C1H","125.36","177.26","190.09","Finale B"
"Nathan Hossin","C1H","125.51","133.75","191.37","Finale B"
"Maxime Perron","C1H","125.71","401.41","193.07","Finale B"
"Thibaud Vielliard","C1H","127.78","129.56","210.62","Finale B"
"Johan Pucheou","C1H","130.33","202.51","232.24","Finale B"
"Thomas Koechlin","C1H","134.12","69.86","264.37","Finale B"
"Yves Bourhis","C1H","154.47","76.87","436.92","Finale B"
"Antoine Gaillard","C1H","165.71","76.07","532.23","Finale B"
"Baptiste Delaplace","C1H","172.32","105.15","588.28","Finale B"
"Marvin Tulpin","C1H","182.2","174.92","672.05","Finale B"
"Edern Le Ruyet","C1H","213.62","63.79","938.47","Finale B"
"Valentin Marteil","C1H","221.78","73.41","1007.65","Finale B"
"Emilien Kempf","C1H","272.63","108.7","1438.82","Finale B"
"Anthony Roux","C1H","370.78","147.02","2271.05","Finale B"
"Benjamin Jacon-Lucie Prioux","C2M","167.74","386.04","371.65","Finale B"
"Melenn Aubry-Estelle Hellard","C2M","210.02","447.09","685.35","Finale B"
"Bertrand Avril-Chloe Gatuingt","C2M","228.83","439.09","824.9","Finale B"
"Lucie Baudu","K1D","117.21","20.64","50.64","Finale B"
"Flora Huvelin","K1D","126.69","63.89","125.32","Finale B"
"Joana Palermo","K1D","131.83","90.8","165.82","Finale B"
"Anais Bernardy","K1D","131.89","151.81","166.3","Finale B"
"Laurene Roisin","K1D","132.72","168.98","172.83","Finale B"
"Joey Bercon","K1D","133.47","133.82","178.74","Finale B"
"Alixe Degremont","K1D","138.05","97.69","214.83","Finale B"
"Fanchon Janssen","K1D","139.43","94.77","225.7","Finale B"
"Viviana Daille","K1D","140.42","145.13","233.5","Finale B"
"Manon Prioux","K1D","141.64","173.45","243.11","Finale B"
"Charline Berger Martin","K1D","142.85","170.07","252.65","Finale B"
"Alexane Galmiche","K1D","153.42","167.05","335.93","Finale B"
"Estelle Hellard","K1D","157.34","207.57","366.81","Finale B"
"Romane Prigent","K1D","176.17","56.23","515.17","Finale B"
"Eva Pietracha","K1D","177.57","154.62","526.2","Finale B"
"Doriane Delassus","K1D","177.59","138.81","526.35","Finale B"
"Lucie Prioux","K1D","192.59","68.2","644.54","Finale B"
"Julie Neime","K1D","224.61","53.48","896.82","Finale B"
"Yves Prigent","K1H","102.97","37.75","43.91","Finale B"
"Manuel Munsch","K1H","103.32","110.41","47.02","Finale B"
"Thomas Bersinger","K1H","105.51","70.17","66.52","Finale B"
"Martin Daviet","K1H","106.16","65.27","72.31","Finale B"
"Pol Oulhen","K1H","106.2","46.72","72.66","Finale B"
"Anatole Delassus","K1H","106.97","66.01","79.52","Finale B"
"Mathis Soudi","K1H","107.45","97.1","83.79","Finale B"
"Loic Bertoia","K1H","107.92","84.92","87.98","Finale B"
"Nicolas Baudoin","K1H","107.94","72.63","88.15","Finale B"
"Paul Cornut-chauvinc","K1H","108.78","77.96","95.63","Finale B"
"Noe Perreau","K1H","108.86","106.63","96.34","Finale B"
"Lukas Werro","K1H","109.49","60.93","101.95","Finale B"
"Edgar Prigent","K1H","109.7","59.4","103.82","Finale B"
"Hugo Regnier","K1H","109.71","79.65","103.91","Finale B"
"Quentin Bove","K1H","110.66","120.45","112.37","Finale B"
"Pierre-louis Saussereau","K1H","110.69","69.22","112.64","Finale B"
"Theo Desvignes","K1H","110.9","82.12","114.51","Finale B"
"Jean Charles Hacquart","K1H","111","120.73","115.4","Finale B"
"Tom Babin","K1H","111.38","137.08","118.78","Finale B"
"Tom Bouchardon","K1H","111.9","130.77","123.41","Finale B"
"Lucas Latimier","K1H","111.93","80.6","123.68","Finale B"
"Corentin Monasse","K1H","112.12","117.79","125.37","Finale B"
"Raphael Olla","K1H","113.56","129.72","138.19","Finale B"
"Gurgen Brun","K1H","114.16","81.07","143.53","Finale B"
"Gelindo Chiarello","K1H","114.4","110.87","145.67","Finale B"
"Charlie Barbier","K1H","114.85","64.72","149.67","Finale B"
"Tom Deconchy","K1H","115.71","120.65","157.33","Finale B"
"Leo Vuitton","K1H","117.22","126.16","170.77","Finale B"
"Vincent Delahaye","K1H","117.87","54.83","176.56","Finale B"
"Hugo Cailhol","K1H","118.16","60.18","179.14","Finale B"
"William Desnos","K1H","118.41","114.16","181.37","Finale B"
"Titouan Dupras","K1H","119.35","73","189.74","Finale B"
"Raphael Lassechere","K1H","120.2","124.87","197.31","Finale B"
"Alan Dollo","K1H","158.25","63.9","536.07","Finale B"
"Simon Hene","K1H","158.57","37.98","538.92","Finale B"
"Guillaume Graille","K1H","158.61","53.36","539.27","Finale B"
"Julien Pajaud","K1H","158.66","57.25","539.72","Finale B"
"Gregoire Guerin","K1H","159.86","87.34","550.4","Finale B"
"Maxime Bottex","K1H","163.2","76.08","580.14","Finale B"
"Benoit Guillaume","K1H","163.73","70.78","584.86","Finale B"
"Pierre Grapotte","K1H","163.83","75.57","585.75","Finale B"
"Florian Busson","K1H","164.45","106.47","591.27","Finale B"
"Clement Travert","K1H","166.22","56.14","607.03","Finale B"
"Aaron Penning","K1H","167.59","108.89","619.22","Finale B"
"Valentin Brindeau","K1H","168.68","141.21","628.93","Finale B"
"Hugo Crepeau","K1H","174.75","92.38","682.97","Finale B"
"Robin Pottelette","K1H","184.35","90.64","768.44","Finale B"
"Hippolyte Cail","K1H","189.12","122.94","810.91","Finale B"
"Sami Rocher","K1H","212.26","79.12","1016.92","Finale B"
"Isaac Dufrene","K1H","313.51","78.7","1918.36","Finale B"
