"Manche de la Coupe de France National 3 Slalom Nord-Est - 25400 Audincourt - Finale - 2019-04-21","Finale","2019-04-21","Nationale 3","129"
"Oskar Hillion-Louis Guggenbuhl","C2H","138.43","692.05","865.62","Finale B"
"Gaelle Aumer-Olivier Urbain","C2M","137.65","606.76","703.14","Finale B"
"Lucille Meunier-cheyssac-Jules Ferber","C2M","153.7","716.79","898.27","Finale B"
"Carole Dolmaire-Alexandre L'huillier","C2M","183.7","882.21","1263","Finale B"
"Kassandra Wagnier","K1D","133.68","1028.43","755.56","Finale B"
"Lou-anne Cointin","K1D","133.73","477.28","756.2","Finale B"
"Maude Dominique","K1D","134.84","569.69","770.53","Finale B"
"Audrey Masson","K1D","155.98","964.81","1043.47","Finale B"
"Margaux Cornet","K1D","156.89","1879.05","1055.22","Finale B"
"Lucile Bessot","K1D","199","737.58","1598.89","Finale B"
"Guillaume Schneider","K1H","98.7","716.83","469.6","Finale B"
"Maxime Forcadette","K1H","100.64","650.31","497.9","Finale B"
"Oscar Pasteur","K1H","102.86","515.6","530.29","Finale B"
"Evan Trenchant","K1H","107.29","620.01","594.92","Finale B"
"Xavier Rat","K1H","108.26","527","609.07","Finale B"
"Patrick Gass","K1H","108.75","508.47","616.22","Finale B"
"Theophile Vincent","K1H","111.58","687.97","657.51","Finale B"
"Frederic Caillet","K1H","111.61","898.49","657.95","Finale B"
"Jean Guyot","K1H","112.6","650.83","672.39","Finale B"
"Mattheo Szkuta","K1H","113.28","615.36","682.31","Finale B"
"Paul Farrugio","K1H","114.95","484.31","706.67","Finale B"
"Maxence Raymond","K1H","115.58","711.45","715.86","Finale B"
"Arnaud Cote","K1H","115.78","591.67","718.78","Finale B"
"Romain Moret","K1H","115.87","734.25","720.1","Finale B"
"Kevin Cheval","K1H","116.75","725.2","732.93","Finale B"
"Thibaut Boudier","K1H","117.25","906.98","740.23","Finale B"
"Robin Giurlando","K1H","119.51","617.54","773.2","Finale B"
"Alexandre L'huillier","K1H","120.49","559.22","787.5","Finale B"
"Thibault Rouanet","K1H","120.62","865.46","789.39","Finale B"
"Andre Kempf","K1H","122.29","786.81","813.76","Finale B"
"Zakaria Radouani","K1H","122.52","1813.33","817.11","Finale B"
"Juan Guerrero","K1H","124.38","619.89","844.25","Finale B"
"Alexandre Lambert","K1H","124.4","740.77","844.54","Finale B"
"Leon Beyreuther","K1H","125.8","1397","864.97","Finale B"
"Kevin Vienny","K1H","126.83","950.14","879.99","Finale B"
"Quentin Dierstein","K1H","128.59","1001.62","905.67","Finale B"
"Aloys Morel","K1H","135.14","776.62","1001.23","Finale B"
"Adrien Dierstein","K1H","136.23","991.6","1017.13","Finale B"
"Remi Hervieux","K1H","136.65","991.81","1023.26","Finale B"
"Barnabe Sennelier","K1H","136.96","867","1027.78","Finale B"
"Lucas Matkovic","K1H","170.07","619.83","1510.83","Finale B"
"Maxime Paumier","K1H","173.27","996.52","1557.52","Finale B"
"Landry Roussel","K1H","211.47","862.45","2114.83","Finale B"
"Alexandre Paumier","K1H","Abd","-","-","Finale B"
