"Sélectif régional - Clisson - Challenge Jean-François Dugast - 2009-04-05","Challenge Jean-François Dugast","2009-04-05","Régional","142"
"Jean Francois Clement","K1H","234.65","514","423",""
"Thibault Dhennin","K1H","237.59","365","440",""
"Baptiste Cotta","K1H","242.22","504","467",""
"Henri Despont","K1H","242.43","-","468",""
"Pierre Bontoux","K1H","243.02","124","472",""
"Gaetan Hamelin","K1H","244.00","430","477",""
"Sylvain Barrois","K1H","250.49","452","515",""
"Geoffroy Cartoux","K1H","255.29","-","543",""
"Pierre Yves Bonnet","K1H","255.35","504","543",""
"Thibaut Mechling","K1H","260.77","461","575",""
"Benjamin Jouan","K1H","264.47","-","597",""
"Flavien Portier","K1H","267.61","587","615",""
"Julien Grossin","K1H","276.47","548","666",""
"Maxime Dreux","K1H","278.00","297","676",""
"Jeansebastien Simonklein","K1H","281.13","224","694",""
"Paul Trecul","K1H","281.42","623","696",""
"Gerard Lemonnier","K1H","284.02","572","710",""
"Damien Goujard","K1H","284.63","1173","714",""
"David Ravache","K1H","289.18","378","741",""
"Pierre Lecorre","K1H","293.18","656","764",""
"Thibaud Chevalier","K1H","294.90","813","774",""
"Christian Moriceau","K1H","298.34","-","794",""
"Alban Brochard","K1H","300.43","561","807",""
"Kevin Thill","K1H","303.91","-","827",""
"Louis Dufay","K1H","309.76","-","861",""
"Anthony Goisneau","K1H","313.31","528","881",""
"Elie Soulard","K1H","315.67","-","896",""
"Loic Andre","K1H","329.20","452","974",""
"Matthieu Rousseau","K1H","345.30","379","1069",""
"Mickael Launay","K1H","355.78","-","1130",""
"Thierry Dugue","K1H","374.89","630","1241",""
"Florian Billat","K1H","383.63","724","1292",""
"Loic Augereau","K1H","384.37","694","1297",""
"Antoine Martin","K1H","386.59","1056","1310",""
"Simon Gaillardon","K1H","419.33","576","1501",""
"Kyllian Fouchard","K1H","422.78","-","1521",""
"Felix Chaillou-delecourt","K1H","426.43","1516","1542",""
"Antoine Gaubert","K1H","438.07","-","1611",""
"Roland Halgand","K1H","551.54","-","2272",""
"Benoit Puluhen","K1H","780.54","-","3610",""
"Boris Sacre","K1H","Abs","-","-",""
"Ludovic Garnier","K1H","Abs","-","-",""
"Remi Pete","K1H","Abs","-","-",""
"Simon Drouart","K1H","Abs","-","-",""
"Ismael Richard","K1H","Abs","-","-",""
"Denis Martin","K1H","Abs","-","-",""
"Ronan Marie","K1H","Abs","-","-",""
"Marc Anthoine Marchand","K1H","Abs","-","-",""
"Paul Laidet","K1H","Abs","-","-",""
"Philippe Beunon","K1H","Des","-","-",""
"Emmanuel Moreau","K1H","Abs","-","-",""
"Vincent Le Vessel","K1H","Abs","-","-",""
"Sebastien Farges","K1H","Abs","-","-",""
"Nicolas Le Berre","K1H","Abs","-","-",""
"Clemen Sourice","K1H","Abs","-","-",""
"Romain Richard","K1H","Abs","-","-",""
"Frederic Leclerc","K1H","Abs","-","-",""
"Fabien Tournadre","K1H","Abs","-","-",""
"Romain Gueguen","K1H","Abs","-","-",""
"Thomas Lecain","K1H","Des","-","-",""
"Nicolas Rebours","K1H","Abs","-","-",""
"Ludovic Gloaguen","K1H","Abs","-","-",""
"Henri Houdart","K1H","Dsq","-","-",""
"Mathieu Eyrolle","K1H","Nt","-","-",""
