"Séletif National 3 Slalom Ouest - Parc Des Eaux Vives D'inzinzac-lochrist Rivière Blavet - Finale - 2016-05-08","Finale","2016-05-08","Nationale 3","204"
"Zoe Huet-Keliann Le Breton","C2M","232.42","653.64","1248.6","Finale A"
"Lisa Marechal","K1D","130.15","363.36","345.67","Finale A"
"Coline Bertin","K1D","130.73","295.21","351.57","Finale A"
"Aziliz Quintin","K1D","138.95","341.48","435.24","Finale A"
"Lucie Bercon","K1D","143.08","351.52","477.27","Finale A"
"Veronique Vourch","K1D","145.49","445.25","501.8","Finale A"
"Frederique Piton","K1D","146.83","392.96","515.44","Finale A"
"Christine Le Gall","K1D","147.53","325.22","522.57","Finale A"
"Pauline Richard","K1D","148.73","416.25","534.78","Finale A"
"Marie Duval","K1D","153.05","422.72","578.75","Finale A"
"Jann Le Corre","K1D","191.93","374.44","974.49","Finale A"
"Coralie Belnoue","K1D","195.69","518.83","1012.75","Finale A"
"Mathis Soudi","K1H","102.56","233.69","200.56","Finale A"
"Yves Bourhis","K1H","103.06","247.17","206.31","Finale A"
"Thibaud Lacour","K1H","105.47","235.24","234.03","Finale A"
"Arthur Mizzi","K1H","108","251.33","263.13","Finale A"
"Thomas Brochard","K1H","108.13","301.83","264.62","Finale A"
"Emeric Bussonnais","K1H","108.81","261.96","272.44","Finale A"
"Alex Louveau","K1H","110.34","291.76","290.04","Finale A"
"Julien Dosse","K1H","111.06","269.44","298.32","Finale A"
"Steven Henry","K1H","111.35","312.96","301.66","Finale A"
"Jules Heurtin","K1H","111.59","365.22","304.42","Finale A"
"Regis Cabel","K1H","112.09","293.18","310.17","Finale A"
"Florian Busson","K1H","112.48","271.63","314.65","Finale A"
"Lucas Augu","K1H","112.88","313.11","319.25","Finale A"
"Loan Queffelec","K1H","112.92","327.95","319.71","Finale A"
"Leo Tasset","K1H","113.31","284.3","324.2","Finale A"
"Timothee Cornu","K1H","113.6","370.28","327.53","Finale A"
"Arthur Chaumet","K1H","113.72","306.7","328.91","Finale A"
"Lorin Dumont","K1H","114.73","261.22","340.53","Finale A"
"Pierre Huan","K1H","115.14","311.97","345.25","Finale A"
"Quentin Robin","K1H","115.19","320.05","345.82","Finale A"
"Nathanael Pedron","K1H","115.25","333.31","346.51","Finale A"
"Florian Sauvage","K1H","115.29","340.78","346.97","Finale A"
"Mathis Daniel","K1H","115.49","311.76","349.27","Finale A"
"Quentin Brillaut","K1H","115.51","374.45","349.5","Finale A"
"Benjamin Harreau","K1H","115.6","286.55","350.54","Finale A"
"Pierre Bourdet","K1H","115.61","264.82","350.65","Finale A"
"Guillaume Blin","K1H","115.75","304.29","352.26","Finale A"
"Thibaud Chevalier","K1H","116.19","310.92","357.32","Finale A"
"Anthony Poux","K1H","116.52","326.89","361.12","Finale A"
"Paul Cazee","K1H","116.6","360.87","362.04","Finale A"
"Gwenael Marquer","K1H","117.38","251.86","371.01","Finale A"
"Gregory Metayer","K1H","117.44","337.67","371.7","Finale A"
"Keliann Le Breton","K1H","118.82","347.1","387.57","Finale A"
"Julien Paulais","K1H","118.95","369.71","389.07","Finale A"
"Yann Le Bourser","K1H","119.01","310.22","389.76","Finale A"
"Killian Flegeau","K1H","119.13","333.68","391.14","Finale A"
"Nicolas Le Belleguic","K1H","119.61","356.23","396.66","Finale A"
"Gaetan Robin","K1H","119.62","402.71","396.77","Finale A"
"Arthur Lagleyze","K1H","119.67","350.32","397.35","Finale A"
"Dorian Ollivier","K1H","120.27","276.36","404.25","Finale A"
"Johann Lorcy","K1H","120.66","307.51","408.73","Finale A"
"Jules Chaumet","K1H","120.68","377.56","408.96","Finale A"
"Brice Derrien","K1H","120.78","425.49","410.11","Finale A"
"Brieg Le Paih","K1H","120.87","426.85","411.15","Finale A"
"Vincent Torzec","K1H","121.73","413.82","421.04","Finale A"
"Ronan Nedelec","K1H","122.13","393.85","425.64","Finale A"
"Romain Bruneau","K1H","122.23","468.9","426.79","Finale A"
"Malo Marquet","K1H","122.45","430.1","429.32","Finale A"
"Emmanuel Cosse","K1H","123.53","313.88","441.74","Finale A"
"Loic Froissard","K1H","123.69","394.73","443.58","Finale A"
"Ewen Berrest","K1H","123.76","439.3","444.39","Finale A"
"Come Le Gal","K1H","123.92","452.73","446.23","Finale A"
"Yoann Le Guyader","K1H","125.32","375.84","462.33","Finale A"
"Flavien Portier","K1H","126.95","434.84","481.08","Finale A"
"Nicolas Leconte","K1H","126.97","488.99","481.31","Finale A"
"Hoel Carnot","K1H","127.32","436.92","485.33","Finale A"
"Tom Seguillon","K1H","127.96","525.54","492.69","Finale A"
"Lubin Huet","K1H","128.3","361.93","496.6","Finale A"
"Samuel Le Dean","K1H","128.31","336.29","496.72","Finale A"
"Clement Collardez","K1H","131.05","435.86","528.23","Finale A"
"Samuel Flament","K1H","134.61","357.34","569.18","Finale A"
"Vincent Rival","K1H","138.11","487.33","609.43","Finale A"
"Leri Muller","K1H","140.47","367.7","636.58","Finale A"
"Lilian Bald","K1H","141.85","443.09","652.45","Finale A"
"Thomas Salch","K1H","148.9","489.58","733.53","Finale A"
"Lucas Soudi","K1H","168.83","322.27","962.76","Finale A"
"Guillaume Maillot","K1H","224.73","313.5","1605.69","Finale A"
"Sarah Despres","C1D","156.63","387.16","527.2","Finale B"
"Nolwenn Le Mehaute","C1D","171.81","441.29","672.69","Finale B"
"Marion Grangeon","C1D","268.19","429.15","1596.45","Finale B"
"Garance Dalaine","C1D","Des","-","-","Finale B"
"Cedric Collet","C1H","126.39","454.04","410.41","Finale B"
"Hugo Eouzan-chaffotec","C1H","130.55","511.67","455.98","Finale B"
"Lucas Augu","C1H","133.22","533.42","485.23","Finale B"
"Florian Sauvage","C1H","139.65","608.15","555.66","Finale B"
"Romain Bruneau","C1H","140.97","569.7","570.12","Finale B"
"Gwenael Coadou","C1H","142.78","424.42","589.95","Finale B"
"Romain Branjauneau","C1H","144.75","536.63","611.52","Finale B"
"Samuel Vallienne","C1H","145.79","476.72","622.92","Finale B"
"Quentin Robin","C1H","155.93","613.24","733.99","Finale B"
"Awen Le Paih","C1H","156.19","490.85","736.83","Finale B"
"Yannick Courtay","C1H","158.41","604.88","761.16","Finale B"
"Glen Le Meur","C1H","158.73","700.4","764.65","Finale B"
"Thomas Ollivo","C1H","161.86","657.39","798.94","Finale B"
"Loan Queffelec","C1H","211.72","605.68","1345.1","Finale B"
"Paul Tallet Pinet-Benoit Lecluse","C2H","145.77","579.16","550.12","Finale B"
"Julien Paulais-Quentin Robin","C2H","206.61","741.25","1186.25","Finale B"
"Malo Querre-Thomas Floch","C2H","219.63","1151.95","1322.39","Finale B"
"Pauline Richard-Benoit Ricard","C2M","249.29","581.95","1415.3","Finale B"
"Julie Dequeant","K1D","151.54","479.66","568.38","Finale B"
"Romane Bronchet","K1D","158.91","532.19","643.39","Finale B"
"Garance Dalaine","K1D","164.02","547.83","695.4","Finale B"
"Pauline Guenery","K1D","169.66","501.64","752.82","Finale B"
"Taelle Cardin","K1D","173.01","580.76","786.91","Finale B"
"Gwendoline Hall","K1D","177.26","706.74","830.17","Finale B"
"Anais Robineau","K1D","186.63","739.55","925.54","Finale B"
"Enora Bronsard","K1D","189.37","379.79","953.43","Finale B"
"Bleuenn Le Foll","K1D","199.55","726.28","1057.04","Finale B"
"Mathilde Le Verge","K1D","225.26","571.61","1318.72","Finale B"
"Caroline Froissard","K1D","255.56","714.91","1627.12","Finale B"
"Romain Branjauneau","K1H","110.4","274.19","295.73","Finale B"
"Nathan Rene Corail","K1H","114.44","537.72","342.2","Finale B"
"Valentino Le Guesclou","K1H","119.08","441.17","395.56","Finale B"
"Jonas Flament","K1H","120.97","404.46","417.3","Finale B"
"Louis Forgeard","K1H","121.38","421.02","422.02","Finale B"
"Aurelien Le Duc","K1H","122.75","494.93","437.77","Finale B"
"Baptiste Loy","K1H","124.73","494.87","460.54","Finale B"
"Yoann Donval","K1H","124.97","484.01","463.31","Finale B"
"Vincent Salmon","K1H","126.38","450.72","479.52","Finale B"
"Kylian Lavole","K1H","126.69","422.95","483.09","Finale B"
"Jerome Talbot","K1H","126.69","528.76","483.09","Finale B"
"Jean Yves Prigent","K1H","126.74","382.47","483.66","Finale B"
"Pierre Guilchet","K1H","126.96","433.33","486.19","Finale B"
"Fabien Dulyse","K1H","128.23","499.21","500.8","Finale B"
"Charles Temple","K1H","128.29","387.65","501.49","Finale B"
"Theo Rose","K1H","128.32","403.68","501.83","Finale B"
"Elouan Le Fournis","K1H","128.44","506.91","503.21","Finale B"
"Francois Bonthonnou","K1H","130.58","524.85","527.83","Finale B"
"Awen Le Paih","K1H","130.84","484.8","530.82","Finale B"
"Matheo Coquel","K1H","131.42","452.61","537.49","Finale B"
"Philippe Rocher","K1H","131.72","439.24","540.94","Finale B"
"Didier Rouet","K1H","132.08","471.9","545.08","Finale B"
"Alexis Bizon","K1H","132.12","554.91","545.54","Finale B"
"Yohan Dupont","K1H","132.14","508.19","545.77","Finale B"
"Leo Hachair","K1H","133.11","482.02","556.93","Finale B"
"Sylvain Premel","K1H","133.3","619.36","559.11","Finale B"
"Martin Le Morvan","K1H","133.43","545.47","560.61","Finale B"
"Daneric Ollivier","K1H","134.19","520.72","569.35","Finale B"
"Simon Rolland","K1H","134.87","463.88","577.17","Finale B"
"Gaston Canevet","K1H","135.62","497.35","585.8","Finale B"
"Samuel Vallienne","K1H","136.25","470.41","593.04","Finale B"
"Gaston Guilmard","K1H","136.73","723.75","598.56","Finale B"
"Alexandre Bourliaud","K1H","137.65","642.21","609.14","Finale B"
"Erwann Le Jeune","K1H","137.85","404.09","611.44","Finale B"
"Aubin Davaic","K1H","138.12","534.23","614.55","Finale B"
"Guillaume Le Paih","K1H","138.83","622.15","622.71","Finale B"
"Antoine Repussard","K1H","139.27","478.38","627.78","Finale B"
"Gurvan Huet","K1H","139.66","528.95","632.26","Finale B"
"Mael Monjaret","K1H","140.72","631.87","644.45","Finale B"
"Jean Christophe Olivo","K1H","140.9","529.03","646.52","Finale B"
"Samuel Piton","K1H","141.93","589.91","658.37","Finale B"
"Yannis Houze","K1H","142.5","580.85","664.92","Finale B"
"Malo Querre","K1H","143.35","598.29","674.7","Finale B"
"Olivier Brochard","K1H","144.07","459.62","682.98","Finale B"
"Youenn Peloil","K1H","145.16","555.88","695.52","Finale B"
"Benoit Lecluse","K1H","145.92","613.28","704.26","Finale B"
"Jerome Saliou","K1H","147.62","461.72","723.81","Finale B"
"Thomas Ukalovic","K1H","148.27","760.65","731.29","Finale B"
"Luck Thomas","K1H","149.2","759.69","741.98","Finale B"
"Christian Belouin","K1H","151.6","709.07","769.59","Finale B"
"Hugo Robert","K1H","151.65","622.28","770.16","Finale B"
"Valentin Le Paih","K1H","152.11","564.28","775.45","Finale B"
"Adrien Pierre","K1H","152.9","598.29","784.54","Finale B"
"Pierreyves Hellard","K1H","155.25","644.09","811.57","Finale B"
"Alexis Carpentey","K1H","158.51","815.43","849.06","Finale B"
"Yann Dhieux","K1H","159.07","675.68","855.5","Finale B"
"Fabiano Roma","K1H","159.36","654.85","858.84","Finale B"
"Louis Gane","K1H","162.88","765.01","899.32","Finale B"
"Gerard Lemonnier","K1H","164.87","637.04","922.21","Finale B"
"Christian Le Parc","K1H","174.58","650.5","1033.89","Finale B"
"Benjamin Borgne","K1H","177.51","829.88","1067.59","Finale B"
"Thomas Floch","K1H","187.02","495.02","1176.97","Finale B"
"Glen Le Meur","K1H","190.3","601.22","1214.69","Finale B"
"Liam Esteffe","K1H","203.61","727.47","1367.78","Finale B"
"Mael Crespel","K1H","219.45","647.05","1549.96","Finale B"
"Thierry Dugue","K1H","249.95","735.84","1900.75","Finale B"
"Jean-christophe Dubois","K1H","Abd","-","-","Finale B"
