"SELECTIF REGIONAL SLALOM - Cesson Sévigné - 2008-01-20","Course 1","2008-01-20","Régional","137"
"Stephane Broute","K1H","191.94","242","245",""
"Simon Philibert","K1H","192.20","175","247",""
"Erwan Le Pen","K1H","192.56","-","250",""
"Brieuc Cadic","K1H","193.53","155","256",""
"Emmanuel Cosse","K1H","193.61","221","257",""
"Jeremy Froger","K1H","193.61","-","257",""
"Arnaud Le Calvez","K1H","193.83","317","258",""
"Clement Burel","K1H","194.58","260","264",""
"Roman Thoreau","K1H","195.32","-","268",""
"Christophe Billaud","K1H","195.84","227","273",""
"Gardan Benjamin","K1H","197.14","216","281",""
"Alexis Lotton","K1H","198.12","316","288",""
"Laurent Van Poucke","K1H","199.97","-","300",""
"Yves Prigent","K1H","200.64","302","305",""
"Matthieu Jonnart-baur","K1H","202.96","360","321",""
"Julien Douais","K1H","203.33","331","323",""
"Tristan Bronsard","K1H","204.21","213","329",""
"Simon Deboysson","K1H","205.68","297","339",""
"Louet Jeremie","K1H","206.81","-","347",""
"Denis Voisin","K1H","207.22","-","350",""
"Mathieu Bourdet","K1H","208.78","-","360",""
"Ronan Gestin","K1H","211.08","278","376",""
"Victor Azam","K1H","211.47","404","379",""
"Maxime Beaulieu","K1H","212.37","431","385",""
"Bertrand Kerzerho","K1H","212.44","-","385",""
"Benjamin Duchene","K1H","216.97","386","416",""
"Ludovic Gaignon","K1H","223.37","568","459",""
"Julien Bourdet","K1H","227.30","437","487",""
"Camille Richer","K1H","227.93","-","491",""
"Thibaud Couetil","K1H","229.32","486","500",""
"Louis Guillot","K1H","230.96","445","512",""
"Le Tulzo Jean","K1H","233.31","-","527",""
"Manuel Coquelin","K1H","235.28","205","541",""
"Thibault Gautherot","K1H","236.74","587","551",""
"Jan Baudet","K1H","237.25","506","555",""
"Nowan Bertin","K1H","240.40","-","576",""
"Pierre Berthelot Kleck","K1H","241.01","-","580",""
"David Couture","K1H","243.93","607","600",""
"Pierre Yves Tanguy","K1H","244.59","231","605",""
"Tanguy Le Marec","K1H","246.87","699","620",""
"Ludovic Couture","K1H","252.21","903","656",""
"Florian Lepretre","K1H","253.70","347","667",""
"Marc Anthoine Marchand","K1H","260.26","-","711",""
"Wilfried Harduin","K1H","262.45","624","726",""
"Simon Seuru","K1H","273.52","866","802",""
"Gael Prodeau","K1H","274.93","418","811",""
"Dubrul Julien","K1H","277.95","-","832",""
"Louet Antoine","K1H","288.84","-","906",""
"Jeremie Haese","K1H","295.18","-","949",""
"Renan Le Caro","K1H","316.16","723","1092",""
"Richard Fradin","K1H","335.90","449","1227",""
"Jeremy Escaffre","K1H","336.46","-","1231",""
"Sylvain Georges","K1H","336.82","770","1233",""
"Lepesteur Antony","K1H","428.88","-","1860",""
"Leo Manneheut","K1H","477.01","-","2189",""
"Thibault Gacouin","K1H","678.08","-","3560",""
