"Championnat Régional - Pont d'Ouilly - Finale - 2014-11-30","Finale","2014-11-30","Régional","199"
"Theo Moalic","K1HM","187.38","-","1261.74","Finale A"
"Pablo Ramirez","K1HM","190.41","-","1298.33","Finale A"
"Remi Quentin","C1H","115.59","332.68","333.16","Finale B"
"Theo Renaud","C1H","127.44","435.19","469.47","Finale B"
"Geoffroy Lauth","C1H","132","504.14","521.92","Finale B"
"Erwan Gautrelet","C1H","135.5","440.39","562.19","Finale B"
"Damien Jacques","C1H","136.13","526.18","569.44","Finale B"
"Sebastien Masseline","C1H","139.45","-","607.63","Finale B"
"Jean Noel Degraeve","C1H","140.5","-","619.71","Finale B"
"Theo Lecointe","C1H","140.52","-","619.94","Finale B"
"Antoine Martin","C1H","141.31","517.5","629.02","Finale B"
"Samuel Bonvalet","C1H","141.78","595.25","634.43","Finale B"
"Axel Lepenant","C1H","143.66","688.84","656.05","Finale B"
"Mederic Larrive","C1H","144.91","-","670.44","Finale B"
"Romain Bouillon","C1H","147.55","829.68","700.8","Finale B"
"Martin Rich","C1H","149.31","-","721.04","Finale B"
"Nicolas Candieu","C1H","159.9","848.44","842.86","Finale B"
"Alexandre Catherine","C1H","167.09","-","925.56","Finale B"
"Leo Prel","C1H","Des","-","-","Finale B"
"Gaspard Perrio","C1HM","151.14","-","742.1","Finale B"
"Theo Moalic","C1HM","158.97","-","832.16","Finale B"
"Ugo Pean","C1HM","171.8","-","979.75","Finale B"
"Remi Catherine","C1HM","179.05","-","1063.15","Finale B"
"Olivier Dulouard-Jean-francois Dulouard","C2H","149.31","740.28","642.97","Finale B"
"Axel Lepenant-Paul Besnard","C2H","152.38","643.67","676.68","Finale B"
"Martin Rich-Virgile Bourlet De La Vallee","C2H","153.66","685.88","690.74","Finale B"
"Lucas Chancerel-Leo Prel","C2H","167.72","-","845.12","Finale B"
"Theo Moalic-Marceau Decarsin","C2H","171.1","-","882.23","Finale B"
"Erwan Gautrelet-Vladimir Bonhomme","C2H","226.4","717.91","1489.44","Finale B"
"Axel Marais-Tristan Robin","C2H","Abs","-","-","Finale B"
"Anne Lambert","K1D","159.6","755.46","709.44","Finale B"
"Pauline Ferreira De Abreu","K1D","164.4","697.22","760.75","Finale B"
"Dominique Badie-kallou","K1D","166.88","683.97","787.24","Finale B"
"Marion Matura","K1D","181.21","-","940.42","Finale B"
"Charline Fromentin","K1D","212.28","-","1272.51","Finale B"
"Caroline Froissard","K1D","239.34","-","1561.75","Finale B"
"Susie Chanlon","K1D","375.96","-","3022.04","Finale B"
"Manon Zanelli","K1D","Abs","-","-","Finale B"
"Angelique Leleu","K1DM","160.91","839.81","723.44","Finale B"
"Daphnee Mouchelet","K1DM","183.16","-","-","Finale B"
"Mathilde HerbiniÈre","K1DM","240.04","-","-","Finale B"
"Thomas Brochard","K1H","112.16","416.89","358.21","Finale B"
"Louison Laumondais","K1H","112.77","359.81","365.58","Finale B"
"Jean Aussant","K1H","116.18","-","406.77","Finale B"
"Olivier Brochard","K1H","119.52","417.47","447.11","Finale B"
"Jess Masson","K1H","120.06","508.8","453.63","Finale B"
"Erwan Gautrelet","K1H","120.37","386.53","457.38","Finale B"
"Mederic Larrive","K1H","120.56","424.21","459.67","Finale B"
"Antoine Martin","K1H","120.58","454.31","459.91","Finale B"
"Niels Beaumont","K1H","121.17","527.62","467.04","Finale B"
"Thibault Joncret","K1H","122.12","367.88","478.51","Finale B"
"Olivier Rosenblatt","K1H","122.53","-","483.47","Finale B"
"Theo Lecointe","K1H","123.75","428.54","498.2","Finale B"
"Gilbert Lagneau","K1H","125.72","-","522","Finale B"
"Lucas Chancerel","K1H","128.38","-","554.12","Finale B"
"Yohan Robert","K1H","128.81","678.4","559.32","Finale B"
"Jean-francois Dulouard","K1H","129","576.57","561.61","Finale B"
"Sebastien Masseline","K1H","129.03","573.16","561.97","Finale B"
"Remi Blaud","K1H","129.21","620.31","564.15","Finale B"
"Antoine Repussard","K1H","129.22","712.85","564.27","Finale B"
"Romain Lefevre","K1H","131.44","-","591.08","Finale B"
"Alexandre Catherine","K1H","133.47","717.39","615.6","Finale B"
"Killian Charton","K1H","136.34","572.2","650.27","Finale B"
"Martin Rich","K1H","138.61","617.61","677.68","Finale B"
"Lilian Lepenant","K1H","141.25","651.2","709.57","Finale B"
"Pascal Boscher","K1H","141.29","-","710.05","Finale B"
"Mathieu Cruard","K1H","142.09","620.97","719.72","Finale B"
"Jean Paul Helluin","K1H","152.56","-","846.17","Finale B"
"Lucas Berthelot","K1H","153.37","-","855.96","Finale B"
"Yves Boudon","K1H","171.19","-","1071.19","Finale B"
"Leo Prel","K1H","203.75","-","1464.46","Finale B"
"Cyril Pottier","K1H","212.88","1094.26","1574.73","Finale B"
"Simon Autin","K1H","221.84","-","1682.95","Finale B"
"Vladimir Bonhomme","K1H","241.41","576.49","1919.32","Finale B"
"Alexis Pitres","K1HM","122.52","-","483.35","Finale B"
"Ugo Pean","K1HM","125.67","-","521.39","Finale B"
"Kevin Tanay","K1HM","138.34","-","-","Finale B"
"Charles Ferrion","K1HM","142.31","-","722.37","Finale B"
"Gregoire Paillard","K1HM","144.42","-","747.86","Finale B"
"Remi Blanchet","K1HM","153.37","-","-","Finale B"
"Quentin Angot","K1HM","155.47","-","881.32","Finale B"
"Thomas Martinet","K1HM","165.12","-","-","Finale B"
"Mael Badin","K1HM","176.14","-","-","Finale B"
"Baptiste Le Cocq","K1HM","178.44","-","1158.76","Finale B"
"Guillaume Lunel","K1HM","195","-","-","Finale B"
"Quentin Maillet","K1HM","198.22","-","1397.66","Finale B"
"Baptiste Gacoin","K1HM","230.59","-","-","Finale B"
"Lucas Walbreq","K1HM","244.04","-","-","Finale B"
