"Sélectif Régional - Mirande - Course 1 | Qualification - 2014-02-08","Course 1 | Qualification","2014-02-08","Régional","103"
"Jeremy Bretteville","K1H","110.38","506.32","404.9",""
"Flavien San Augustin","K1H","110.95","356.99","411.93",""
"Quentin Clerc","K1H","112.38","399.88","429.57",""
"Nicolas Corbin","K1H","113.21","398.3","439.81",""
"Lucas Lavit","K1H","113.25","418.95","440.3",""
"Francois Giondini","K1H","113.74","374.19","446.35",""
"Julien Delaleux","K1H","114.34","496.98","453.75",""
"Jean Baptsite Cans","K1H","114.66","422.47","457.7",""
"Roman Gastaud","K1H","114.71","-","458.31",""
"Armand Pilatte","K1H","115.91","-","473.12",""
"Marc Cordier","K1H","115.99","-","474.1",""
"Vincent Laulhe","K1H","116.11","419.08","475.58",""
"Erwan Guilhamet","K1H","116.42","-","479.41",""
"Eric Vidou","K1H","118.02","458.79","499.15",""
"Theau Le Loch","K1H","118.75","506.64","508.15",""
"Loup Fauries","K1H","119.45","-","516.79",""
"Hugo Mouffle","K1H","119.59","449.69","518.51",""
"Korentin Begue","K1H","119.97","-","523.2",""
"Simon Bedes","K1H","120.4","-","528.5",""
"Nicolas Neveu","K1H","120.76","459.03","532.95",""
"Corantin Bruneaud","K1H","121.76","568.07","545.28",""
"Clement Caillard","K1H","124.18","932.66","575.13",""
"Kenae Brassier","K1H","124.65","1055.38","580.93",""
"Jeanpaul Lalanne","K1H","125.68","-","593.64",""
"Louis Foissac","K1H","126.71","1221.66","606.34",""
"Damien Caillard","K1H","127.28","1127.74","613.37",""
"Quentin Cazeres","K1H","127.41","459.64","614.98",""
"Aven Gilham","K1H","128.17","1534.78","624.35",""
"Axel Devaud","K1H","128.32","1043.37","626.2",""
"Denis Lalanne","K1H","133.17","-","686.03",""
"Luc Sarramea","K1H","133.55","918.04","690.72",""
"Franck Vanhoutteghem","K1H","135.82","947.6","718.72",""
"Ludovic Favre","K1H","136.5","-","727.11",""
"Jules Collarde","K1H","138.03","2171.82","745.98",""
"Jean Lemire","K1H","141.61","-","790.14",""
"Theo Dunie","K1H","144.48","-","825.55",""
"Nicolas Saurat","K1H","152.74","1057.14","927.44",""
"Raphael San Nicolas","K1H","153.72","-","939.53",""
"Paul Pradalie","K1H","155.23","1574.51","958.16",""
"Hippolyte Cail","K1H","158.03","365.92","992.7",""
"Samuel De Severac","K1H","161.81","-","1039.33",""
"Bastien Daniel","K1H","163.47","462.11","1059.8",""
"Florent Iraundegui","K1H","165.71","472.44","1087.44",""
"Philip Beadsworth","K1H","166.18","461.84","1093.23",""
"Matthieu Demarty","K1H","166.81","463.74","1101",""
"Baptiste Lauroua","K1H","174.29","807.63","1193.28",""
"Micael Rodriguez Alves Lato","K1H","221.42","401.68","1774.66",""
"Nicolas Peyroux","K1H","290.96","-","2632.48",""
"Tino Forgues","K1HM","132.88","-","-",""
"Louis Decoopman","K1HM","141.44","-","-",""
"Elliot Perez","K1HM","148.69","-","-",""
"Ludovic Castelle","K1HM","151.11","-","-",""
"Jules Besson","K1HM","168.34","-","-",""
"Bastien Cattazzo","K1HM","170.74","-","-",""
"Thiefaine Verge","K1HM","190.83","-","-",""
"Maxime Pourret","K1HM","207.12","-","-",""
"Robin Julier","K1HM","268.32","-","-",""
"Denis Vintrou","K1HM","268.32","-","-",""
"Enzo Balanca","K1HM","272.77","-","-",""
"Simeon Althabegoity","K1HM","285.9","-","-",""
"Felix Praderie","K1HM","314.7","-","-",""
"Ismael Geisser","K1HM","320.72","-","-",""
