"SELECTIF REGIONAL - Sélestat - 2004-09-19","Course 1","2004-09-19","Régional","180"
"Julie Labarelle","K1D","235.08","94","125",""
"Claire Jacquet","K1D","248.82","182","200",""
"Anne Fischer","K1D","251.76","315","215",""
"Sarah Michel","K1D","252.06","285","218",""
"Thiebaut Charline","K1D","252.47","169","220",""
"Apert Maia","K1D","252.60","229","220",""
"Celine Denizon","K1D","253.83","294","227",""
"Tanet Lucie","K1D","254.35","252","230",""
"Laura Fauste","K1D","257.24","324","247",""
"Thiebaut Manon","K1D","259.53","274","259",""
"Leleu Sophie","K1D","259.76","-","260",""
"Anais Dieterling","K1D","260.75","336","266",""
"Sylvaine Louis","K1D","260.81","325","266",""
"Marion Fischer","K1D","260.82","387","266",""
"Emilie Saguet","K1D","266.53","374","297",""
"Rosalie Kempf","K1D","270.29","415","317",""
"Cornevin Angelique","K1D","270.59","306","320",""
"Schweitzer Pascale","K1D","271.75","549","326",""
"L'orphelin Lucille","K1D","272.88","416","332",""
"Calypso Freichel","K1D","274.05","441","339",""
"Melanie Jambeau","K1D","277.06","419","354",""
"Cloe Hun","K1D","279.25","439","366",""
"Marie Ringeisen","K1D","281.43","476","379",""
"Bernachon Sidonie","K1D","284.39","513","395",""
"Dieterling Marion","K1D","285.06","502","399",""
"Cindy Beche","K1D","286.97","503","409",""
"Lea Martin","K1D","287.33","-","412",""
"Heitz Dorothee","K1D","287.56","-","413",""
"Djamila Mihoubi","K1D","294.98","403","454",""
"Sophie Louis","K1D","296.72","-","463",""
"Cailliez Laurine","K1D","297.99","-","470",""
"Camille Billerach","K1D","302.26","556","493",""
"Bergdoll Lucie","K1D","305.54","581","511",""
"Florianne Gautier","K1D","308.08","-","525",""
"De Bruijn Saskia","K1D","308.53","-","528",""
"Bourbon Julie","K1D","308.78","-","529",""
"Haab Claire","K1D","317.98","1265","579",""
"Falcetta Charlotte","K1D","321.70","587","600",""
"Pariot Eloise","K1D","326.61","-","627",""
"Stephanie Ansot","K1D","329.76","3645","644",""
"Jaeger Audrey","K1D","357.16","-","795",""
"Lalouani Lambria","K1D","413.24","1413","1102",""
"Wey Marie Linh","K1D","435.00","-","1222",""
"Sophie Balmossiere","K1D","472.76","3567","1430",""
"Andrea De Azevedo","K1D","524.06","-","1711",""
"Willard Marion","K1D","529.58","-","1741",""
"Trujillo-Munoz Flora","K1D","597.60","-","2115",""
"Peduzzi Lisa","K1D","721.75","-","2797",""
"Frederic Walczak","K1H","198.29","24","64",""
"Julien Arribe","K1H","204.83","53","104",""
"Moritz Luscher","K1H","205.58","-","109",""
"Di Lauro Maxime","K1H","207.87","107","123",""
"Bernard Babi","K1H","209.48","77","133",""
"Nicolas Ciemniewski","K1H","211.02","168","142",""
"Sylvain Herrbach","K1H","215.74","146","172",""
"Kudla Romain","K1H","216.49","175","177",""
"Christophe Siffert","K1H","216.99","139","180",""
"Emmanuel Walczak","K1H","218.87","286","192",""
"Serre Eric","K1H","219.19","282","194",""
"Arthur Georges","K1H","219.57","188","196",""
"Di Lauro Alexandre","K1H","219.76","224","198",""
"Bazin Patryce","K1H","220.28","111","200",""
"Weber Nicolas","K1H","220.30","-","200",""
"Quentin Vallee","K1H","220.96","286","205",""
"Pierson Cyril","K1H","224.28","237","225",""
"Nicolas Mangeolle","K1H","224.44","293","226",""
"Nathan Barbier","K1H","224.95","336","230",""
"Thibaud Kudla","K1H","225.40","220","232",""
"Douillet Guilhem","K1H","225.53","229","233",""
"Ricci Miege Raphael","K1H","227.68","278","247",""
"Julien Bley","K1H","230.58","296","265",""
"Beghoura Yoni","K1H","231.12","335","268",""
"Laurent Van Poucke","K1H","231.68","358","271",""
"Thomas Michel","K1H","231.79","271","272",""
"Revelle Yohann","K1H","232.01","249","273",""
"Florent Tamburini","K1H","233.00","246","279",""
"Ciemniewski Olivier","K1H","233.55","331","282",""
"Arthur Sucker","K1H","234.42","332","288",""
"Nicolas Leclerc","K1H","234.43","340","288",""
"Aubert Anthony","K1H","234.61","311","290",""
"Stephane Ferrignio","K1H","234.90","453","291",""
"Labouille Yannick","K1H","235.21","234","293",""
"Wendling Valentin","K1H","236.50","418","300",""
"Geoffroy Schwentzel","K1H","239.66","432","321",""
"Stefan Stanik","K1H","242.92","361","341",""
"Arette Hourquet Olivier","K1H","243.44","349","344",""
"Pascal Philip","K1H","243.95","322","347",""
"Alain Schirmann","K1H","244.58","-","351",""
"Carreaud Pierre","K1H","245.36","-","355",""
"Courtier Jeremy","K1H","247.49","435","369",""
"Paolo Willmann Rosso","K1H","248.10","-","373",""
"Nicolle Xavier","K1H","248.30","396","375",""
"Malnory Jean","K1H","248.62","-","376",""
"Momot Frederic","K1H","249.09","-","379",""
"Remi Thomas","K1H","250.60","-","389",""
"Yann Le Guedard","K1H","250.92","588","390",""
"Damien Burteaux","K1H","253.02","425","403",""
"Guerin Alexandre","K1H","253.53","364","407",""
"Vallee Mathieu","K1H","254.75","455","414",""
"Vincent Bajolot","K1H","256.63","545","426",""
"Bajolet Julien","K1H","260.45","480","450",""
"William Ozanne","K1H","260.60","-","450",""
"Philippe Devillers","K1H","261.98","429","460",""
"Wendling Jean-Mathieu","K1H","262.03","600","460",""
"Billel Khenchouche","K1H","262.63","440","463",""
"Richard Carpentier","K1H","265.53","490","481",""
"Bontemps Romain","K1H","265.63","904","481",""
"Boutter Victor","K1H","267.29","567","492",""
"Sandrin Hugo","K1H","269.87","-","507",""
"Eric Louis","K1H","272.70","654","525",""
"Buffler Ambroise","K1H","276.06","-","547",""
"Dieudonne Laurent","K1H","276.36","-","548",""
"Geyl Loic","K1H","280.98","-","577",""
"Leclerc Jerome","K1H","281.04","1362","577",""
"Housset Nicolas","K1H","282.70","-","588",""
"Ova Roberto","K1H","289.01","-","627",""
"Louison Tanet","K1H","293.00","366","651",""
"Thiemann Rodrigue","K1H","294.35","-","659",""
"Paglierani Thomas","K1H","294.57","-","662",""
"Robin Arthur","K1H","296.25","-","671",""
"Hitou Sofiane","K1H","299.63","492","693",""
"Edouard Steib","K1H","303.96","-","719",""
"Bietry Julien","K1H","304.54","612","723",""
"Kornalewski Remi","K1H","313.83","916","780",""
"Alain Rolling","K1H","315.87","-","793",""
"Personeni Florian","K1H","319.38","-","815",""
"Jerome Morgenthaler","K1H","340.20","-","944",""
"Hug Laurent","K1H","361.11","1523","1075",""
"Fox Michel","K1H","368.93","-","1123",""
"Arthur Veber","K1H","381.49","598","1200",""
"Henriot Frederic","K1H","387.48","922","1237",""
"Lonjon Philippe","K1H","395.60","-","1288",""
"Gonthier Lucas","K1H","456.57","-","1667",""
"Grandin Berenger","K1H","463.98","-","1712",""
"Waldeck Vivien","K1H","491.52","-","1884",""
"Morio Aymeric","K1H","528.87","-","2116",""
"Sezeur Baptiste","K1H","551.21","-","2253",""
"Cervenka Paul","K1H","617.03","-","2663",""
"Seeholtz Mike","K1H","747.26","-","3470",""
