"Nationale 2 - Cesson Sévigné - 2013-02-17","Course 2","2013-02-17","Nationale 2","174"
"Claire Moal","K1D","106.45","68.05","109.02",""
"Valerie Sibioude","K1D","113.96","92.62","171.33",""
"Claire Gaigeot","K1D","114.23","79.3","173.55",""
"Margaux Henry","K1D","114.57","95.08","176.37",""
"Manon Caveribere","K1D","116.68","119.86","193.88",""
"Emilie Chamouleau","K1D","117.63","102.36","201.75",""
"Lea Gaigeot","K1D","118.5","87.16","208.97",""
"Suzon Broute","K1D","118.88","97.21","212.14",""
"Juliette Legendre","K1D","119.32","96.84","215.78",""
"Laurine Naveau","K1D","121.2","133.76","231.37",""
"Lisa Robin","K1D","121.58","167.91","234.52",""
"Elodie Le Nechet","K1D","122.63","171.5","243.22",""
"Camille Andrieux","K1D","123.08","100.29","246.96",""
"Heloise Geffray","K1D","123.27","145.22","248.54",""
"Charlotte Lubineau","K1D","124.35","130.4","257.49",""
"Sarah Despres","K1D","125.02","114.27","263.05",""
"Manon Sacre","K1D","125.18","171.24","264.38",""
"Marie-francoise Prigent","K1D","126.02","160.73","271.34",""
"Phenicia Dupras","K1D","126.09","178.51","271.92",""
"Celia Jodar","K1D","127.31","149.18","282.05",""
"Anne Traband","K1D","129.38","115.59","299.22",""
"Oceane Vienet","K1D","130.08","124.27","305.02",""
"Elodie Delavelle","K1D","130.13","182.66","305.44",""
"Marine Schmitt","K1D","130.58","159.43","309.17",""
"Laurene Cougnet","K1D","131","204.19","312.65",""
"Laurine Grandadam","K1D","131.07","163.15","313.23",""
"Marianne Bercon","K1D","131.31","150.55","315.23",""
"Clothilde Le Louarn","K1D","132.07","148.57","321.52",""
"Chloe Gatuingt","K1D","134.21","188.92","339.28",""
"Laura Nicolas","K1D","134.94","156.52","345.33",""
"Lisa Marechal","K1D","136.4","165.47","357.44",""
"Helene Thuret","K1D","138.51","170.06","374.94",""
"Alize Bachelot","K1D","143.43","196.35","415.75",""
"Amelie Perier","K1D","180.04","175.6","719.39",""
"Marion Laurain","K1D","187.34","155.39","779.96",""
"Tifenn Van Delft","K1D","Nt","-","-",""
"Sarah Desnos","K1D","Nt","-","-",""
"Lou Renaud","K1D","Nt","-","-",""
"Valentin Brindeau","K1H","93.33","51.74","100.85",""
"Pierre Marie Roussel","K1H","93.57","34.88","103.1",""
"Louison Turmeau","K1H","94.17","56.74","108.71",""
"Gael Prodeau","K1H","94.21","53.69","109.09",""
"Pol Oulhen","K1H","94.64","74.74","113.12",""
"Christophe Marechal","K1H","95.44","37.07","120.62",""
"Anthony Thuillier","K1H","95.51","61.61","121.27",""
"Romain Faurie","K1H","95.53","57.69","121.46",""
"Nicolas Feuillard","K1H","95.62","63.26","122.31",""
"Remi Baudot","K1H","96.05","69","126.33",""
"Benjamin Thiboust","K1H","96.75","41.38","132.9",""
"Nicolas Rebours","K1H","96.91","56.43","134.39",""
"Herve Busson","K1H","97.08","63.86","135.99",""
"Nicolas Coudert","K1H","97.2","71.4","137.12",""
"Theo Quenouillere","K1H","97.61","93.19","140.96",""
"Alexandre Dherbilly","K1H","97.64","63.45","141.24",""
"Kilian Blot","K1H","97.79","77.64","142.64",""
"Pol Euzenes","K1H","97.8","89.15","142.73",""
"Louis Philippe Rigal","K1H","98.35","55.68","147.9",""
"Simon Despres","K1H","98.39","99.22","148.27",""
"Mehdi Rouich","K1H","98.61","71.4","150.33",""
"Laurent Starck","K1H","98.76","106.45","151.74",""
"Francois Gillot","K1H","98.92","105.03","153.23",""
"Romain Guyomard","K1H","99.05","98.78","154.45",""
"Alexis Pernelle","K1H","99.38","110.58","157.55",""
"Alan Dollo","K1H","99.42","92.89","157.92",""
"Matthieu Chauvel","K1H","99.85","107.88","161.95",""
"Damien Launay","K1H","100.16","64.34","164.85",""
"Xavier Jourdain","K1H","100.34","47.3","166.55",""
"Boris Pernelle","K1H","100.45","92.87","167.57",""
"Mathurin Madore","K1H","100.53","97.39","168.32",""
"Anthony Mottais","K1H","100.64","55.77","169.36",""
"Nicolas Veillard","K1H","100.87","76.57","171.51",""
"Boris Sacre","K1H","100.92","59.18","171.98",""
"Eric Lamour","K1H","101.12","51.28","173.86",""
"Titouan Dupras","K1H","101.21","94.36","174.7",""
"Thibault Marchand","K1H","101.28","91.05","175.35",""
"Dimitri Etienne","K1H","101.38","116.89","176.29",""
"Fabien Le Nechet","K1H","101.38","69.61","176.29",""
"Sami Rocher","K1H","101.55","76.88","177.88",""
"Nowan Bertin","K1H","101.82","120.55","180.41",""
"Arnaud Gallois","K1H","101.85","94.16","180.7",""
"Maxime Texier","K1H","102.04","106.32","182.48",""
"Charlie Barbier","K1H","102.32","116.33","185.1",""
"Stephane Broute","K1H","102.36","107.66","185.48",""
"Romain Bertrand","K1H","102.83","105.36","189.88",""
"Aurelien Ballandras","K1H","103.1","108.95","192.42",""
"Leo Le Druillennec","K1H","103.21","121.9","193.44",""
"Stann Savels","K1H","103.36","72.82","194.85",""
"Denis Guilmard","K1H","103.68","124.35","197.85",""
"Jean Christophe Boivin","K1H","103.72","79.54","198.23",""
"Simon Le Friec","K1H","103.82","66.15","199.16",""
"Nizar Samlal","K1H","103.84","85.63","199.35",""
"Quentin Moreaux","K1H","103.95","79.14","200.37",""
"Alexis Caspar","K1H","104.3","54.63","203.66",""
"Guillaume Doutreix","K1H","105.3","127.03","213.03",""
"Maxime Foucault","K1H","105.47","98.75","214.63",""
"Vincent Froger","K1H","105.84","92.63","218.09",""
"Arnaud Pellizzoni","K1H","105.89","105.63","218.56",""
"Mathieu Douillet","K1H","106.12","70.53","220.72",""
"Vincent Dubois","K1H","106.3","122.17","222.4",""
"Hugo Maher","K1H","106.85","88.71","227.56",""
"Thibaut Chariot","K1H","106.88","100.05","227.84",""
"Liam Jegou","K1H","106.98","89.06","228.78",""
"Lionel Tinevez","K1H","107","103.66","228.97",""
"Franck Delachair","K1H","107.26","117.16","231.4",""
"Bertrand Avril","K1H","108.97","101.14","247.42",""
"Pierre Audouin","K1H","109.31","89.14","250.61",""
"Tom Barthelemy","K1H","109.74","123.09","254.65",""
"Pierre Dampeyrou","K1H","109.93","127.41","256.43",""
"Gael Wassmer","K1H","110.15","113.41","258.49",""
"Nicolas Rouleaud","K1H","112.16","96.49","277.33",""
"Luc Hellard","K1H","117.34","97.74","325.87",""
"Kevin Lemenaheze","K1H","120.48","101.56","355.3",""
"Maxence Grandadam","K1H","122.54","103.14","374.62",""
"Cedric Jegouzo","K1H","151.44","70.11","645.48",""
"Loic Monbel","K1H","155.69","59.35","685.31",""
"Damien Fontaine","K1H","157.39","125.62","701.24",""
"Antoine Dubost","K1H","158.59","104.82","712.49",""
"Guillaume Blin","K1H","164.36","106.63","766.57",""
"Xavier Sucker","K1H","166.87","90.06","790.09",""
"Arnaud Delattre","K1H","Nt","-","-",""
