"Manche de la coupe de France National 3 Slalom Sud-Ouest - 34460 Cessenon Sur Orb - Finale - 2019-03-31","Finale","2019-03-31","Nationale 3","123"
"Florian Malaval","K1H","99.36","422.21","478.33","Finale A"
"Mathieu Hayet","K1H","99.55","584.26","481.15","Finale A"
"Fantin Delage-garez","K1H","100.5","317.64","495.24","Finale A"
"Guillaume Pradalie","K1H","100.52","549.01","495.54","Finale A"
"Romain Bourguignon","K1H","100.81","398.14","499.84","Finale A"
"Tristan Ruiz","K1H","101","472.94","502.66","Finale A"
"Thibault Marque","K1H","101.3","623.12","507.11","Finale A"
"Emeric Nieser","K1H","101.41","488.43","508.74","Finale A"
"Bruno Lamothe","K1H","103.48","611.53","539.45","Finale A"
"Matheo Nassieu","K1H","104.56","589.96","555.48","Finale A"
"Remi Dolcin Tillant","K1H","104.62","490.65","556.37","Finale A"
"Julien Ojard-chillet","K1H","107.54","359.03","599.69","Finale A"
"Rutger Hoedemaker","K1H","108.68","504.02","616.6","Finale A"
"Hugo Carillo","K1H","114.6","661.18","704.43","Finale A"
"Antoine Bouby","K1H","127.97","673.07","902.78","Finale A"
"Paul Gobert","K1H","140.23","326.18","1084.67","Finale A"
"Florian Giraud","K1H","152.66","428.05","1269.08","Finale A"
"Esteban Reder-issartel","K1H","155.23","471.36","1307.21","Finale A"
"Matt Vidou","K1H","167.14","415.79","1483.9","Finale A"
"Frederic Reus","K1H","Abs","-","-","Finale A"
"Theau Le Loch","C1H","104.12","379.17","480.39","Finale B"
"Hugo Crespo","C1H","104.66","478.7","488.02","Finale B"
"Paul Gobert","C1H","110.5","452.26","570.54","Finale B"
"Emeric Nieser","C1H","116.69","533.6","657.99","Finale B"
"Mathieu Hayet","C1H","125.94","753.28","788.7","Finale B"
"Francois Mouttou","C1H","128.04","731.37","818.37","Finale B"
"KÉziah Lecomte","C1H","178.36","695.14","1529.36","Finale B"
"Thomas TerrÉ","C1H","472.57","616.09","5686.36","Finale B"
"Claire Teillerie","K1D","122.84","548.12","622.02","Finale B"
"Dorie Deshogues","K1D","128.52","505.34","696.6","Finale B"
"Emma Fauriel","K1D","136.59","649.99","802.54","Finale B"
"Emmelyne Sauvagnac","K1D","142.84","833.71","884.6","Finale B"
"Eva Silvester","K1D","151.88","999.03","1003.28","Finale B"
"Perrine Dujourd'hui","K1D","170.75","1368.2","1251.03","Finale B"
"Celia Roulleau","K1D","180.2","819.54","1375.1","Finale B"
"Gabriel Saul","K1H","91.95","409.84","373.4","Finale B"
"Robin Andre","K1H","92.53","358.82","382","Finale B"
"Pablo Chaminade","K1H","94.18","317.69","406.48","Finale B"
"Thomas TerrÉ","K1H","94.66","426.45","413.6","Finale B"
"Lukas Estanguet-santamaria","K1H","94.69","321.14","414.05","Finale B"
"Julien Doumecq","K1H","95.1","459.11","420.13","Finale B"
"Elian Giondini","K1H","96.33","405.15","438.38","Finale B"
"Pierre Escuret","K1H","98.49","475.45","470.42","Finale B"
"Erwan Quellec","K1H","101.93","391.26","521.46","Finale B"
"KÉziah Lecomte","K1H","104.12","619.7","553.95","Finale B"
"Sylvain Lauth","K1H","104.94","589.69","566.11","Finale B"
"Mathys Michel","K1H","105.34","616.45","572.05","Finale B"
"Lohan Wyon","K1H","106.35","478.58","587.03","Finale B"
"Flavien Portier","K1H","107.89","523.92","609.88","Finale B"
"Baptiste Moret","K1H","109.37","546.91","631.84","Finale B"
"Victor Hirschmann-rodriguez","K1H","109.55","721.17","634.51","Finale B"
"Lucas Mauer","K1H","112.49","830.48","678.12","Finale B"
"Daniel Chambert","K1H","113.8","471.8","697.56","Finale B"
"Nielsen Ruas","K1H","114.19","794.17","703.35","Finale B"
"Matteo Roubaud","K1H","117.3","545.26","749.49","Finale B"
"Justin Murphy","K1H","117.48","627.64","752.16","Finale B"
"Victor Dhumieres","K1H","117.81","689.32","757.05","Finale B"
"Mateo Destruel","K1H","119.31","608.43","779.31","Finale B"
"Tom Fioraso","K1H","119.57","1015.02","783.16","Finale B"
"Clement Raul","K1H","120.2","636.81","792.51","Finale B"
"Quentin Escudero","K1H","120.92","722.35","803.19","Finale B"
"Aurelien Blois","K1H","121.74","849.88","815.36","Finale B"
"Jules Maitre","K1H","121.88","640.61","817.43","Finale B"
"Antonin Bretecher","K1H","123.99","755.28","848.74","Finale B"
"Rafael Parnotte","K1H","125.12","722.44","865.5","Finale B"
"Leo Arriau","K1H","127.44","805.5","899.92","Finale B"
"Arsene Labarthe","K1H","129.74","731.14","934.04","Finale B"
"Ange Bernard","K1H","134.99","1390.56","1011.93","Finale B"
"Antoine Raul","K1H","135.58","817.58","1020.68","Finale B"
"Abel Boidron","K1H","136.6","536.36","1035.82","Finale B"
"Valerian Touzet","K1H","139.59","849.28","1080.18","Finale B"
"Eyquem Martin Skutnik","K1H","144.67","723.86","1155.54","Finale B"
"Martin Grzeskowiak","K1H","146.8","922.47","1187.14","Finale B"
"Raphael Herzlich","K1H","165.64","955.32","1466.65","Finale B"
"Robin Genty","K1H","165.73","654.75","1467.98","Finale B"
"Mathys Maniet","K1H","167.94","535.69","1500.77","Finale B"
"Jean-marc Suarez","K1H","174.03","651.74","1591.12","Finale B"
"Hugo Larenjeiro","K1H","392.1","958.47","4826.37","Finale B"
