"Sélectif National 3 Slalom Sud-Ouest - Saint Benoit - Qualification - 2016-03-06","Qualification","2016-03-06","Nationale 3","195"
"Jeremie Palazy","K1H","110.96","382.11","337.39",""
"Natan Brule","K1H","110.99","307.23","337.74",""
"Denis Delaleux","K1H","111.41","291.75","342.64",""
"Jeanmichel Bibes","K1H","111.91","306.06","348.48",""
"Leo Vuitton","K1H","111.92","350.03","348.6",""
"Romain Poirier","K1H","112.69","321.49","357.59",""
"Mathias Rodrigues","K1H","112.94","351.85","360.51",""
"Valentin Cesbron","K1H","112.95","287.85","360.62",""
"Mathieu Minie","K1H","113.11","282.48","362.49",""
"Yannick Besse","K1H","113.28","362.73","364.48",""
"Matheo Gillaizeau","K1H","113.32","340.33","364.95",""
"Valentin Courtiade","K1H","113.34","332.04","365.18",""
"Antoine Laye","K1H","113.82","313.85","370.78",""
"Luc Sarramea","K1H","114","293.87","372.89",""
"Paul Pradalie","K1H","114.32","297.11","376.62",""
"Vincent Gardere","K1H","114.6","329.19","379.89",""
"Clement Caillard","K1H","114.78","371.58","382",""
"Theau Le Loch","K1H","114.9","301.66","383.4",""
"Pierrealain Clerc","K1H","114.95","295.87","383.98",""
"Pierre Dehaudt","K1H","115.27","348.85","387.72",""
"Guillaume Viguier","K1H","115.36","432.1","388.77",""
"Patrick Clerc","K1H","115.57","381.92","391.22",""
"Thair Benzougar","K1H","116.14","457.67","397.88",""
"Julien Delaleux","K1H","116.55","318.06","402.66",""
"Kevin Sponem","K1H","116.7","328.47","404.42",""
"Jean Christophe Erdois","K1H","116.75","342.88","405",""
"Thomas Dieusaert","K1H","117.22","403.92","410.49",""
"Manuel Legros","K1H","117.37","385.63","412.24",""
"Clement Ravoteur","K1H","117.37","403.16","412.24",""
"Ulysse Giel","K1H","118.23","487.29","422.28",""
"Sam Traquet","K1H","118.47","433.93","425.09",""
"Cedric Forgit","K1H","118.61","369.82","426.72",""
"Tom Zanfini","K1H","119.11","409.92","432.56",""
"NaËl Rajoub","K1H","119.13","429.84","432.79",""
"Antoine Bouby","K1H","119.29","419.92","434.66",""
"Lucas Lavit","K1H","119.41","328.63","436.06",""
"Louis Foissac","K1H","119.42","363.16","436.18",""
"Nathan Pavot","K1H","119.53","419.32","437.46",""
"Nicolas Saurat","K1H","120.1","399.41","444.12",""
"Tino Forgues","K1H","120.44","443.53","448.09",""
"Maxime Garcia","K1H","120.94","302.99","453.93",""
"Theo Ducasse","K1H","121.41","380.66","459.42",""
"Elliot Perez","K1H","121.71","418.01","462.92",""
"Jeremy Rouchereau","K1H","121.83","400.82","464.32",""
"Mattias Poirat","K1H","121.94","448.53","465.61",""
"Tony Deshayes","K1H","122.05","354.77","466.89",""
"Cyril Launay","K1H","122.16","438.02","468.18",""
"Benjamin Georges","K1H","122.9","620.31","476.82",""
"Sylvain Decombe","K1H","123.59","466.53","484.88",""
"Frederic Debons","K1H","123.93","434.04","488.85",""
"Thibault Alcaras","K1H","123.97","472.58","489.31",""
"Henri Chenu","K1H","124","609.31","489.66",""
"Nour Ait Kaddour","K1H","124.63","445.84","497.02",""
"Martin Jouves","K1H","124.83","395.69","499.36",""
"Clement Capillon","K1H","124.85","454.12","499.59",""
"Antonin Maystre","K1H","125.45","454.28","506.6",""
"Axel Forgerit","K1H","126.03","664.51","513.37",""
"Carl Rainaud","K1H","126.42","605.36","517.92",""
"Marc Sarramea","K1H","126.86","478.96","523.06",""
"Batiste Dubois","K1H","126.96","472.17","524.23",""
"Franck Le Coz","K1H","127.26","489.71","527.73",""
"Elian Giondini","K1H","127.26","508.1","527.73",""
"Thibault Beneteau","K1H","127.28","491.92","527.97",""
"Thibault Clerc","K1H","127.76","482.17","533.57",""
"Yanis Clerc","K1H","128.27","466.14","539.53",""
"Felix Sperandio","K1H","128.38","625.87","540.81",""
"Pierre Adrien Plantion","K1H","128.57","509.3","543.03",""
"Gael Villar","K1H","129.03","716.15","548.4",""
"Timothee Megard","K1H","129.12","484.99","549.45",""
"Guilhem Viguier","K1H","130.42","536.74","564.63",""
"Baptiste Riviere","K1H","130.51","518.96","565.68",""
"Jerome Muller","K1H","131.36","421.81","575.61",""
"Robin Gonthier","K1H","131.45","599.66","576.66",""
"Thilbault Rucher","K1H","131.96","568.56","582.62",""
"GrÉgory Navail","K1H","132.44","577.46","588.22",""
"Raphael Jean","K1H","134.35","473.85","610.53",""
"Julien Brice","K1H","136.02","564.19","630.03",""
"Matisse Bourreau","K1H","136.39","551.29","634.35",""
"Samuel De Severac","K1H","137.32","475.34","645.21",""
"Jean Luc Pessoni","K1H","138.23","672.56","655.84",""
"Alexandre Dubrous","K1H","139.41","601.24","669.62",""
"Bruno Beneteau","K1H","139.57","595.2","671.48",""
"Thierry Le Bonniec","K1H","140.85","687.11","686.43",""
"Tom Baillon","K1H","142.88","538.64","710.14",""
"Alois Bertrand","K1H","143.12","441.37","712.94",""
"Antonin Beyneix","K1H","146.15","563.62","748.32",""
"Anthony Penaud","K1H","147.48","839.5","763.85",""
"Noah Dufenieux","K1H","149.52","652.41","787.68",""
"Florentin Saumon","K1H","149.95","335.26","792.7",""
"Yanis Koubaiti","K1H","160.53","420.05","916.25",""
"Paul Luquet","K1H","162.74","367.15","942.05",""
"Luc Monpouillan","K1H","162.92","810.55","944.16",""
"Simon Metra","K1H","237.49","497.15","1814.96",""
"Remi Princet","K1H","Abs","-","-",""
"Maxime Dubois","K1H","Abs","-","-",""
"Renaud Clerc","K1H","Abd","-","-",""
"Clement Thevenin","K1H","Abs","-","-",""
"Jeremi Toso","K1H","Abs","-","-",""
"Tanguy Zaninotto","K1H","Abs","-","-",""
