"Championnat Régional de Slalom - Lisieux - Finale - 2017-09-24","Finale","2017-09-24","Régional","211"
"Tom Raynaud","C1HM","253.2","-","2133.71","Finale A"
"Faustine Grandin-Elisa Langlois","C2D","201.25","-","1029.87","Finale A"
"Gaspard Perrio-LÉo Le Moigne","C2H","111.51","265.36","346.68","Finale A"
"Benjamin Soroka-Edouard Gracias","C2H","120.9","485.16","455.82","Finale A"
"Camille Fleuret-Enzo Cozette","C2H","122.44","502.1","473.72","Finale A"
"Florian Busson-Alex Louveau","C2H","123.62","387.95","487.43","Finale A"
"Simon Boulan-Mehdi Rouich","C2H","129.55","-","556.36","Finale A"
"Simon Dubosc-Quentin Angot","C2H","130.34","404.05","565.54","Finale A"
"Thomas Martinet-Lucas Walbreq","C2H","138.59","553.1","661.43","Finale A"
"Nicolas Dupres-Eric Beaumont","C2H","138.87","592.54","664.68","Finale A"
"Mickael Louchard-Jess Masson","C2H","142.88","-","711.3","Finale A"
"Antoine Martin-Romain Bouillon","C2H","148.17","-","772.78","Finale A"
"Estephe Decarsin-Kevin Tanay","C2H","157.62","-","882.62","Finale A"
"Hugo Lecointe-Leo Leveque","C2H","174.28","902.02","1076.26","Finale A"
"Fabien Bonvalet-Mathis Pomares","C2HM","158.08","794.46","887.97","Finale A"
"Esteban Olivier-Justin Collemiche","C2HM","221.02","-","1619.53","Finale A"
"Bertrand Avril-Chloe Gatuingt","C2M","130.97","356.76","446.01","Finale A"
"Benoit Letellier-Melina Letellier","C2M","138.24","479.48","523.46","Finale A"
"Leontine Dubuisson-Nicolas Candieu","C2M","159.56","711","750.62","Finale A"
"Alexandre Marteau-Lea Cabanne","C2M","165.79","-","816.99","Finale A"
"Geoffroy Lauth-Rachel Broin","C2M","167.89","598.49","839.37","Finale A"
"Lisa Barbier-Louis Bouclier","C2M","168.61","-","847.04","Finale A"
"Gabrielle Kugler-Maxence Galy","C2M","170.89","773.64","871.33","Finale A"
"Lison Gautrelet-Dimitri Houlier","C2M","178.09","746.1","948.05","Finale A"
"Mylene Despres-Tom Allio","C2M","206.64","-","1252.24","Finale A"
"Benjamin Georgin-Albertine Binard","C2M","207.28","-","1259.05","Finale A"
"Clement Font-boinel-Anna Dufay Leneveu","C2M","219.15","669.11","1385.53","Finale A"
"Samuel Bonvalet-Marie Claude Lamoureux","C2M","228.08","891.63","1480.68","Finale A"
"Dorine Mouillard-Clement Hamel","C2M","364.23","-","2931.3","Finale A"
"Marion Matura-Pierre Sotto","C2M","394.13","1011.15","3249.88","Finale A"
"Mathis Andrieu-Margaux Fabijan","C2MM","217.24","-","1365.17","Finale A"
"Nine Meyer-Titouan Aussant","C2MM","221.18","-","1407.16","Finale A"
"Chloe Gatuingt","K1D","121.6","336.76","426.43","Finale A"
"Faustine Grandin","K1D","127.63","-","494.66","Finale A"
"Melina Letellier","K1D","130.13","468.18","522.94","Finale A"
"Leontine Dubuisson","K1D","133.37","343.08","559.61","Finale A"
"Elisa Langlois","K1D","136.44","-","594.33","Finale A"
"Lison Gautrelet","K1D","137.36","438.85","604.75","Finale A"
"Mylene Despres","K1D","139.08","516.24","624.21","Finale A"
"Gabrielle Kugler","K1D","140.89","525.52","644.68","Finale A"
"Julianne Brosse","K1D","149.19","-","738.61","Finale A"
"Marion Matura","K1D","175.49","654.48","1036.18","Finale A"
"Delphine Brunet","K1D","199.59","882.84","1308.85","Finale A"
"Lisa Barbier","K1D","Des","-","-","Finale A"
"Nathalie Guelton","K1D","Des","-","-","Finale A"
"Margaux Fabijan","K1DM","123.61","397.34","449.17","Finale A"
"Salome Huet","K1DM","149.08","691.51","737.35","Finale A"
"Elza Horlock","K1DM","158.01","571.24","838.4","Finale A"
"Solene Douche","K1DM","242.84","813.51","1798.22","Finale A"
"Benjamin Thiboust","K1H","89.62","179.44","196.41","Finale A"
"Florian Busson","K1H","91.28","201","217.63","Finale A"
"Benoit Letellier","K1H","93.21","213.64","242.31","Finale A"
"Alex Louveau","K1H","93.33","217.3","243.84","Finale A"
"Anthony Mottais","K1H","93.64","214.02","247.81","Finale A"
"Herve Busson","K1H","95.22","233.11","268.01","Finale A"
"Simon Boulan","K1H","95.96","-","277.47","Finale A"
"Mehdi Rouich","K1H","96.78","-","287.95","Finale A"
"Mathieu Godin","K1H","97.71","-","299.84","Finale A"
"Nicolas Candieu","K1H","99.48","354.92","322.47","Finale A"
"Simon Dubosc","K1H","99.6","241.16","324.01","Finale A"
"Enzo Cozette","K1H","100.17","325.09","331.3","Finale A"
"Anthony Poux","K1H","101.09","314.9","343.06","Finale A"
"Quentin Angot","K1H","102.23","350.15","357.64","Finale A"
"Mickael Louchard","K1H","103.09","346.03","368.63","Finale A"
"Bertrand Avril","K1H","104.07","272.05","381.16","Finale A"
"Edouard Gracias","K1H","104.73","396.84","389.6","Finale A"
"Quentin Mannier","K1H","104.76","321.34","389.98","Finale A"
"Clement Font-boinel","K1H","105.11","355.56","394.46","Finale A"
"Isidore Dubuisson","K1H","106.64","378.38","414.02","Finale A"
"Marceau Decarsin","K1H","106.85","383.95","416.7","Finale A"
"Louis Bouclier","K1H","109.42","409.73","449.56","Finale A"
"Thomas Martinet","K1H","109.62","377.59","452.12","Finale A"
"Mathieu Aussant","K1H","110.6","428.78","464.65","Finale A"
"Theo Moalic","K1H","111.81","411.17","480.12","Finale A"
"Estephe Decarsin","K1H","114.22","450.03","510.93","Finale A"
"Jean Aussant","K1H","115","341.08","520.91","Finale A"
"Sebastien Delaunay","K1H","115.28","442.16","524.49","Finale A"
"Lucas Walbreq","K1H","117.32","506.9","550.57","Finale A"
"Dimitri Houlier","K1H","120.72","555.05","594.04","Finale A"
"Thomas Trey D'ousteau","K1H","121.42","-","602.99","Finale A"
"Clement Hamel","K1H","123.28","503.27","626.77","Finale A"
"Hugo Lecointe","K1H","123.7","556.9","632.14","Finale A"
"Kevin Tanay","K1H","127.01","-","674.46","Finale A"
"Maxence Galy","K1H","128.37","598.01","691.85","Finale A"
"Matthis Fradin","K1H","139.91","-","839.39","Finale A"
"Gaspard Perrio","K1H","219.76","378.14","1860.32","Finale A"
"Fabien Bonvalet","K1HM","120.2","503.66","587.39","Finale A"
"Teo Durand","K1HM","121.23","612.43","600.56","Finale A"
"Tom Marchand","K1HM","130.11","757.27","714.1","Finale A"
"Titouan Aussant","K1HM","130.34","684.5","717.04","Finale A"
"Romain Margerie","K1HM","133.17","743.88","753.22","Finale A"
"Alexandre Thomas","K1HM","138.51","721.45","821.49","Finale A"
"Mathias Vautier","K1HM","142.34","752.52","870.46","Finale A"
"Esteban Olivier","K1HM","147.88","843.37","941.3","Finale A"
"Mallory Brochard","K1HM","148.59","824.14","950.37","Finale A"
"Mathis Pomares","K1HM","159.62","856.81","1091.4","Finale A"
"Antoine Martin","C1H","119.87","485.24","515.19","Finale B"
"Jean Aussant","C1H","120.78","483.45","526.28","Finale B"
"Alexandre Marteau","C1H","123.94","557.03","564.75","Finale B"
"Geoffroy Lauth","C1H","126.63","518.52","597.51","Finale B"
"Louis Marescot","C1H","127.45","490","607.49","Finale B"
"Romain Bouillon","C1H","130.9","-","649.5","Finale B"
"Isidore Dubuisson","C1H","133.25","560.22","678.12","Finale B"
"Samuel Bonvalet","C1H","140.73","573.45","769.2","Finale B"
"Sebastien Masseline","C1H","142.19","725.91","786.97","Finale B"
"Dimitri Houlier","C1H","147.24","715.64","848.47","Finale B"
"Mathieu Aussant","C1H","153.32","645.35","922.5","Finale B"
"Nicolas Villaume","C1H","154.84","-","941.01","Finale B"
"Axel Kottelanne","C1H","156.56","806.88","961.96","Finale B"
"Louison Laumondais","C1H","156.76","775.22","964.39","Finale B"
"Donatien Lamoureux","C1H","168.61","738","1108.68","Finale B"
"Dante Bourlet De La Vallee","C1H","Abs","-","-","Finale B"
"Thomas Trey D'ousteau","C1H","Abs","-","-","Finale B"
"Maxence Galy","C1H","Des","-","-","Finale B"
"Quentin Angot","C1H","Des","-","-","Finale B"
"Salome Huet-Nine Meyer","C2DM","244.28","1180.48","1458.07","Finale B"
"Theo Moalic-Marceau Decarsin","C2H","129.18","491.62","557.05","Finale B"
"Louison Laumondais-Charles Bre","C2H","135.84","544.77","634.47","Finale B"
"Nicolas Villaume-Axel Kottelanne","C2H","179.41","-","1140.89","Finale B"
"Tom Armand-Thomas Gossieaux","C2H","203.96","1241.57","1426.24","Finale B"
"Mathias Vautier-Teo Durand","C2HM","187.47","-","1234.57","Finale B"
"Noemie Gilotin","K1D","151.06","-","764.75","Finale B"
"Zoe Marchand","K1D","160.33","619.34","869.65","Finale B"
"Albertine Binard","K1D","176.32","992.78","1050.56","Finale B"
"Agnes Blanchemain","K1D","705.49","-","7037.93","Finale B"
"Nine Meyer","K1DM","165.12","831.6","923.84","Finale B"
"Angele Sottolefevre","K1DM","240.11","949.73","1772.33","Finale B"
"Caroline Cornu","K1DM","Abs","-","-","Finale B"
"Virgile Bourlet De La Vallee","K1H","107.96","-","435.9","Finale B"
"Romain Bouillon","K1H","109.6","421.65","456.86","Finale B"
"Teddy Poulard","K1H","110.08","390.32","463","Finale B"
"Charles Bre","K1H","112.58","431.56","494.97","Finale B"
"Alexandre Marteau","K1H","116.18","493.74","540.99","Finale B"
"Louison Laumondais","K1H","116.4","396.97","543.81","Finale B"
"Nicolas Dupres","K1H","117.16","446.82","553.52","Finale B"
"Charles Ferrion","K1H","120.06","-","590.6","Finale B"
"Alan Le Goff","K1H","120.87","431.4","600.96","Finale B"
"Jeansebastien Simonklein","K1H","123.23","-","631.13","Finale B"
"Bruno Hely","K1H","124.93","-","652.87","Finale B"
"Jess Masson","K1H","125.99","-","666.42","Finale B"
"Benjamin Georgin","K1H","127.05","648.89","679.97","Finale B"
"Thomas Gossieaux","K1H","128.04","678.7","692.63","Finale B"
"Guillaume Lunel","K1H","128.12","-","693.65","Finale B"
"Julien Audren","K1H","128.56","-","699.28","Finale B"
"Nicolas Villaume","K1H","131.55","646.48","737.51","Finale B"
"Dante Bourlet De La Vallee","K1H","134.11","561.75","770.24","Finale B"
"Louis Marescot","K1H","136.43","-","799.9","Finale B"
"Sebastien Masseline","K1H","137.39","658.88","812.17","Finale B"
"Antoine Gossieaux","K1H","138.81","675.89","830.33","Finale B"
"Kevin Langlois","K1H","140.31","811.74","849.51","Finale B"
"Leo Leveque","K1H","141.18","963.16","860.63","Finale B"
"Enzo Ratrimoharinosy","K1H","147.87","-","946.17","Finale B"
"Jason Leroy","K1H","148.89","830.88","959.21","Finale B"
"Tom Allio","K1H","149.86","892.95","971.61","Finale B"
"Julien Cabanne","K1H","153.58","-","1019.17","Finale B"
"Axel Kottelanne","K1H","155.35","767.38","1041.8","Finale B"
"Alexandre Mauger","K1H","156.66","714.22","1058.55","Finale B"
"Tom Armand","K1H","160.09","712.93","1102.41","Finale B"
"Charles Moalic","K1H","172.55","-","1261.71","Finale B"
"Killian Ollagnier","K1H","182.49","-","1388.8","Finale B"
"Brice Langlois","K1H","221.59","-","1888.72","Finale B"
"Matthieu Dary","K1H","242.12","-","2151.2","Finale B"
"Kevin Auberville","K1H","376.16","-","3864.98","Finale B"
"Antonin Legros","K1H","Des","-","-","Finale B"
"Mathis Andrieu","K1HM","146.41","770.85","927.5","Finale B"
"Matthis Leroux","K1HM","147.21","648.64","937.73","Finale B"
"Sebastien Cocquerez","K1HM","153.96","-","1024.03","Finale B"
"Tom Raynaud","K1HM","158.49","-","1081.95","Finale B"
"Justin Collemiche","K1HM","159.1","-","1089.75","Finale B"
"Thomas Brunet","K1HM","169.95","1030.59","1228.47","Finale B"
"Leo Tellier","K1HM","170.17","-","1231.28","Finale B"
"Elias Schieber","K1HM","221.15","-","1883.09","Finale B"
"Martin Dubus","K1HM","Des","-","-","Finale B"
