"SLALOM REGIONAL ANGOULEME - Jarnac - 2008-10-12","Course 1","2008-10-12","Régional","183"
"Marc Brossard-Jean-philippe Rome","C2H","247.09","-","353",""
"Felix Merzeau-Jimmy Besson","C2H","252.46","406","385",""
"James Duvernoy-Batiste Dubois","C2H","261.12","-","438",""
"Alexandre Di Nisi-Louis-maxime Main","C2H","266.19","-","468",""
"Guillaume Chainier-Valentin Marin","C2H","267.98","-","480",""
"Antoine Roux-Gurgen Brun","C2H","268.14","-","480",""
"Boris Bouillaud-Thomas Chagnaud","C2H","273.02","565","510",""
"Maxime Bardieux-Ronan Goualc'h","C2H","275.99","-","528",""
"Jason Brothier-Damien Launay","C2H","288.30","-","602",""
"Remi Pailhou-Valentin Soulard","C2H","293.73","-","635",""
"Emilie Chamouleau-Sylvain Brunet","C2M","263.73","350","426",""
"Keir Simpson-Amelie Perier","C2M","275.70","-","497",""
"Guillaume Chasseriault-Angelique Chasseriault","C2M","298.76","-","634",""
"Clemence Debien-Baptiste Piveteau","C2M","315.87","-","735",""
"Guillaume Boullault-Sophie Delage","C2M","505.77","-","1861",""
"Emilie Chamouleau","K1D","212.33","158","155",""
"Marie Gaspard","K1D","214.69","64","169",""
"Frederique Merle","K1D","221.33","285","210",""
"Sarah Lyphout","K1D","226.43","-","240",""
"Laura Lyphout","K1D","228.64","-","254",""
"Mathilde Pelletan","K1D","235.34","368","295",""
"Marion Villeger","K1D","237.67","300","309",""
"Anouk Desbieys","K1D","239.97","396","323",""
"Clemence Debien","K1D","242.54","344","338",""
"Morgane Guider","K1D","258.09","-","433",""
"Sophie Ottavy","K1D","262.14","-","459",""
"Marine Dumartin","K1D","272.40","-","520",""
"Manon Prioux","K1D","275.86","-","542",""
"Marielle Counil","K1D","279.17","-","561",""
"Aurore Berger","K1D","281.62","630","577",""
"Laetitia Minier","K1D","282.62","-","582",""
"Helena Heysch De La Borde","K1D","283.64","-","589",""
"Angelique Chasseriault","K1D","283.89","593","591",""
"Alison Drouet","K1D","287.51","814","613",""
"Charlotte Robuchon","K1D","299.32","-","684",""
"Valerie Gavard","K1D","315.45","-","782",""
"Amelie Perier","K1D","326.46","-","850",""
"Claire Petit","K1D","339.84","-","932",""
"Maud Greco","K1D","380.91","-","1182",""
"Margot Nicot","K1D","406.80","-","1339",""
"Lucas Kelifaoui","K1H","178.67","85","80",""
"Christophe Marechal","K1H","181.45","34","99",""
"Nicolas Labat","K1H","182.68","49","108",""
"Jules Bevalot","K1H","185.32","60","126",""
"Louis-maxime Main","K1H","189.18","155","153",""
"David Riffaud","K1H","193.55","145","182",""
"Alexandre Di Nisi","K1H","194.27","176","186",""
"Antoine Launay","K1H","196.97","144","205",""
"Julien Riffaud","K1H","197.79","129","211",""
"Jean Messialle","K1H","198.42","194","216",""
"Herve Launay","K1H","198.56","117","216",""
"Thibaud Delaunay","K1H","199.17","185","220",""
"Philippe Niquet","K1H","200.72","208","231",""
"Quentin Lyphout","K1H","201.28","199","234",""
"Clement Praille","K1H","202.43","213","243",""
"Damien Caillon","K1H","202.70","207","245",""
"Damien Gaillard","K1H","202.99","255","246",""
"Philippe Metran","K1H","203.30","310","248",""
"Baptiste Piveteau","K1H","203.53","310","250",""
"Eric Jolit","K1H","203.67","-","251",""
"Valentin Giret","K1H","203.83","257","252",""
"Felix Merzeau","K1H","204.02","250","253",""
"Vincent Gestreau","K1H","206.12","265","267",""
"Lionel Blank","K1H","206.51","307","271",""
"Mathieu Pouchet","K1H","206.57","287","271",""
"Valentin Marin","K1H","209.61","401","292",""
"Matthias Besse","K1H","209.81","330","293",""
"Gurgen Brun","K1H","209.86","329","293",""
"James Duvernoy","K1H","210.58","-","299",""
"Guillaume Chainier","K1H","210.59","384","299",""
"Maxime Bardieux","K1H","211.48","285","304",""
"Valentin Lesseau","K1H","212.70","329","313",""
"Benjamin Sanella","K1H","212.96","329","314",""
"Paul Messialle","K1H","214.37","342","324",""
"Jean-daniel Bost","K1H","215.94","489","335",""
"Yohann Courouble","K1H","217.17","-","343",""
"Antoine Roux","K1H","217.92","-","348",""
"Nathanael Jay","K1H","219.13","329","356",""
"Romain Caillon","K1H","219.13","-","356",""
"Theo Pellennec","K1H","219.53","-","359",""
"Antoine Michaud","K1H","221.72","376","375",""
"Francois Giudicelli","K1H","223.82","-","389",""
"Valentin Soullard","K1H","224.18","454","391",""
"Brice Desbieys","K1H","224.25","-","391",""
"Olivier Nonnet","K1H","225.19","597","398",""
"Guillaume Chasseriault","K1H","225.36","359","399",""
"Benoit Couturier","K1H","225.65","-","401",""
"Nicolas Baudoin","K1H","225.97","-","403",""
"Thomas Marino","K1H","227.65","-","414",""
"Etienne Chauvin","K1H","231.34","403","440",""
"Benoit Sergent","K1H","232.57","-","448",""
"Yann Auffret","K1H","232.95","1325","450",""
"Damien Launay","K1H","235.82","-","470",""
"Xavier Flatreau","K1H","235.91","432","470",""
"Remi Parayre","K1H","237.44","-","481",""
"Philippe Audouin-dubreuil","K1H","241.63","-","510",""
"Pierrealexis Gabriel","K1H","242.02","-","512",""
"Hugo Epinoux","K1H","242.11","-","513",""
"Julien Neymond","K1H","242.17","647","513",""
"Hugo Le Goff","K1H","242.35","-","515",""
"Etienne Baudry","K1H","243.41","583","522",""
"Yann Drouet","K1H","248.16","518","554",""
"Valentin Thomas","K1H","248.54","-","557",""
"Kevin Sponem","K1H","248.76","849","558",""
"Niall Woulfe","K1H","251.32","641","575",""
"Ludovic Carniaux","K1H","254.39","869","596",""
"Jean Luc Pessoni","K1H","256.68","1695","613",""
"Florian Jannier","K1H","258.54","-","626",""
"Benjamin Martin","K1H","259.20","594","629",""
"Guillaume Pitre","K1H","263.25","-","657",""
"Baptiste Renaudin","K1H","263.88","-","662",""
"Keir Simpson","K1H","269.76","-","702",""
"David Stas","K1H","271.93","-","717",""
"Pierre Bellion","K1H","272.32","-","719",""
"Guillaume Crochet","K1H","273.86","-","730",""
"Jonathan Bourdier","K1H","274.52","-","734",""
"Renaud Millieroux","K1H","280.54","-","775",""
"Damien Berger","K1H","285.75","-","810",""
"Guillaume Bouchet","K1H","285.76","-","810",""
"Mathieu Claverie","K1H","286.80","-","818",""
"Yves Nicot","K1H","289.23","-","835",""
"Charlie Baron","K1H","291.43","491","850",""
"Thierry Le Bonniec","K1H","297.87","1010","893",""
"Hippolyte Granados","K1H","298.54","-","898",""
"Jean Renou","K1H","299.65","-","906",""
"Daniel Bregazzi","K1H","310.47","-","979",""
"Kevin Rocdunos","K1H","340.91","-","1186",""
"Thomas Renaud","K1H","343.65","1983","1205",""
"Adrien Chevreuil","K1H","432.88","-","1813",""
"Gabriel Mean","K1H","456.71","-","1977",""
"Valentin Marecot","K1H","557.73","-","2665",""
