"1ère Manche de la Coupe de France Nationale 1 Slalom - Cesson-Sévigné - Finale - 2017-02-25","Finale","2017-02-25","Nationale 1","150"
"Etienne Daille-Carole Bouzidi","C2M","190.68","283.98","776.54","Finale A"
"Pauline Guiet","K1D","104.07","31.45","89.18","Finale A"
"Lucie Baudu","K1D","104.48","53.05","92.91","Finale A"
"Camille Prigent","K1D","105.71","63.1","104.11","Finale A"
"Flora Huvelin","K1D","108.95","59.93","133.62","Finale A"
"Marie-zelia Lafont","K1D","112.31","11.68","164.21","Finale A"
"Fanchon Janssen","K1D","112.7","112.84","167.76","Finale A"
"Berenice Kolenc","K1D","152.62","73.92","531.26","Finale A"
"Joana Palermo","K1D","159.93","111.89","597.82","Finale A"
"Julie Neime","K1D","164.59","75.15","640.26","Finale A"
"Solene Graille","K1D","221.57","73.53","1159.1","Finale A"
"Etienne Daille","K1H","86.41","38.18","30.66","Finale A"
"Mathys Huvelin","K1H","87.02","82.98","36.94","Finale A"
"Yves Prigent","K1H","87.45","55.78","41.36","Finale A"
"Sebastien Combot","K1H","88.3","14.87","50.11","Finale A"
"Mathieu Desnos","K1H","88.96","46.94","56.9","Finale A"
"Mathurin Madore","K1H","89.62","74.3","63.69","Finale A"
"Lukas Werro","K1H","90.66","90.27","74.39","Finale A"
"Pol Oulhen","K1H","91.37","44.89","81.7","Finale A"
"Pierre Bourliaud","K1H","139.18","30.67","573.63","Finale A"
"Benoit Guillaume","K1H","139.64","35.46","578.37","Finale A"
"Azenor Philip","C1D","126.82","202.08","233.97","Finale B"
"Ella Bregazzi","C1D","130.43","129.46","264.93","Finale B"
"Marjorie Delassus","C1D","131.65","117.74","275.38","Finale B"
"Anne-lise Moisan-ehrwein","C1D","132.58","-","283.36","Finale B"
"Anais Bernardy","C1D","138.1","248.92","330.69","Finale B"
"Lea Grison","C1D","139.08","220.28","339.1","Finale B"
"Angele Hug","C1D","143.34","213.74","375.62","Finale B"
"Tiphaine Drouin","C1D","147.42","264.85","410.61","Finale B"
"Julia Budzinski","C1D","147.84","234.19","414.21","Finale B"
"Cedric Joly","C1H","101.87","52.92","144.82","Finale B"
"Jonathan Marc","C1H","102.8","48.64","153.94","Finale B"
"Tom Maffeis","C1H","106.1","111.81","186.28","Finale B"
"Martin Thomas","C1H","106.46","41.38","189.8","Finale B"
"Yves Bourhis","C1H","107.32","103.09","198.23","Finale B"
"Thibault Blaise","C1H","108.93","63.44","214.01","Finale B"
"Antoine Gaillard","C1H","110.17","117.98","226.16","Finale B"
"Jason Brothier","C1H","110.57","121.3","230.08","Finale B"
"Emilien Kempf","C1H","110.78","116.76","232.14","Finale B"
"Antoine Roux","C1H","111.06","109.76","234.87","Finale B"
"Charly Chassigneux","C1H","112.9","152.4","252.91","Finale B"
"Lucas Hives - Sorin","C1H","113.75","141.51","261.24","Finale B"
"Emeric Bertrand","C1H","114.96","213.54","273.1","Finale B"
"Etienne Daille","C1H","115.37","184.3","277.11","Finale B"
"Lucas Roisin","C1H","116.61","86.94","289.26","Finale B"
"Renaud Doby","C1H","117.3","175.11","296.02","Finale B"
"Nicolas Ducrocq","C1H","119.14","184","314.06","Finale B"
"Thomas Rosset","C1H","120.46","171.31","327","Finale B"
"Yann Rivallant","C1H","121.83","150.76","340.42","Finale B"
"Julien Pajaud","C1H","126.63","191.74","387.46","Finale B"
"Erwan Marchais","C1H","157.41","106.09","689.08","Finale B"
"Sebastien De Kerleau","C1H","158.65","75.26","701.23","Finale B"
"Theo Roisin","C1H","161.19","150.63","726.12","Finale B"
"Marc Biazizzo","C1H","165.01","163.25","763.56","Finale B"
"Antoine Runet","C1H","167.33","83.57","786.3","Finale B"
"Alexandre Paulais","C1H","169.4","153.73","806.58","Finale B"
"Jason Brothier-Maxime Texier","C2H","128.86","229.3","351.91","Finale B"
"Melenn Aubry-Alan Dollo","C2H","130.51","262.81","367.34","Finale B"
"Benjamin Reig-Cyril Boulet","C2H","131.91","253.23","380.44","Finale B"
"Lucas Hives - Sorin-Lorin Dumont","C2H","133.77","260.26","397.84","Finale B"
"Gaspard Perrio-LÉo Le Moigne","C2H","143.29","306.94","486.89","Finale B"
"Hugo Latimier-Eludes Houillon","C2H","154.69","306","593.52","Finale B"
"Camille Prigent-Malo Quemeneur","C2M","141.85","-","362.84","Finale B"
"Yann Rivallant-Lea Wetzel","C2M","147.94","301.53","415.06","Finale B"
"Nicolas Ducrocq-Tiphaine Duboc","C2M","160.08","283.32","519.16","Finale B"
"Marjorie Delassus","K1D","109.12","112.46","140.16","Finale B"
"Romane Prigent","K1D","111.28","90.8","159.83","Finale B"
"Lea Turmeau","K1D","111.42","99.45","161.11","Finale B"
"Carole Bouzidi","K1D","112.04","18.23","166.75","Finale B"
"Emeline Oudet","K1D","113.58","114.69","180.77","Finale B"
"Estelle Hellard","K1D","113.71","133.57","181.96","Finale B"
"Natacha Delassus","K1D","115.95","151.75","202.36","Finale B"
"Lea Wetzel","K1D","119.39","116.38","233.68","Finale B"
"Anais Bernardy","K1D","120.51","150.65","243.88","Finale B"
"Joey Bercon","K1D","120.55","116.13","244.24","Finale B"
"Sarah Despres","K1D","123.53","135.94","271.38","Finale B"
"Lisa Mouffle","K1D","123.67","125.03","272.65","Finale B"
"Agathe Chaumet","K1D","128","180.48","312.08","Finale B"
"Lucie Prioux","K1D","163.75","103.38","637.6","Finale B"
"Tom Scianimanico","K1H","90.21","75.15","74.76","Finale B"
"Benjamin Jacon","K1H","90.44","92.15","77.13","Finale B"
"Thomas Bersinger","K1H","90.91","35.72","81.96","Finale B"
"Sami Rocher","K1H","91.61","94.43","89.17","Finale B"
"Edgar Prigent","K1H","91.73","81.07","90.4","Finale B"
"Janos Peterlin","K1H","91.89","67.1","92.05","Finale B"
"Thomas Schmitt","K1H","92.94","77.78","102.85","Finale B"
"Malo Quemeneur","K1H","93","54.49","103.47","Finale B"
"Titouan Dupras","K1H","93.09","113.84","104.39","Finale B"
"Thibault Marchand","K1H","93.57","85.34","109.33","Finale B"
"Paul Cornut-chauvinc","K1H","94.08","103.29","114.58","Finale B"
"Gurgen Brun","K1H","94.17","80.1","115.51","Finale B"
"Thomas Rosset","K1H","94.2","52.78","115.82","Finale B"
"Maxime Tilhet","K1H","94.29","121.22","116.74","Finale B"
"Loic Bertoia","K1H","96.89","109.5","143.49","Finale B"
"Mathis Soudi","K1H","97.33","123.32","148.02","Finale B"
"Robin Pottelette","K1H","97.42","164.19","148.95","Finale B"
"Isaac Dufrene","K1H","97.79","179.33","152.75","Finale B"
"Kendaor Le Huitou","K1H","98.42","98.74","159.24","Finale B"
"Nicolas Bernardy","K1H","98.58","158.94","160.88","Finale B"
"Enrick Cunsolo","K1H","98.59","78.06","160.99","Finale B"
"Clement Travert","K1H","98.69","50.61","162.02","Finale B"
"Nicolas Abbal","K1H","99.39","60.39","169.22","Finale B"
"Ludovic Di Nisi","K1H","99.46","61.46","169.94","Finale B"
"Vincent Delahaye","K1H","99.52","160.23","170.56","Finale B"
"Pierre Giudicelli","K1H","99.66","110.68","172","Finale B"
"Vivien Colober","K1H","100.29","37.46","178.48","Finale B"
"Louison Turmeau","K1H","100.4","95.64","179.61","Finale B"
"Yann Le Govic","K1H","101.08","91.51","186.61","Finale B"
"Julien Pajaud","K1H","101.47","146.56","190.62","Finale B"
"Manuel Munsch","K1H","102.1","110.83","197.1","Finale B"
"William Desnos","K1H","102.62","92.89","202.45","Finale B"
"Fabien Le Nechet","K1H","103.53","125.46","211.82","Finale B"
"Quentin Bove","K1H","108.95","101.5","267.58","Finale B"
"Nicolas Baudoin","K1H","142.71","113.24","614.96","Finale B"
"Goulwen Chapelier","K1H","145.28","80.22","641.4","Finale B"
"Guillaume Graille","K1H","145.5","80.97","643.66","Finale B"
"Jonas Turmeau","K1H","148.97","102.09","679.37","Finale B"
"Lucas Latimier","K1H","149.79","136.82","687.81","Finale B"
"Arnaud Lapeze","K1H","151.42","130.41","704.58","Finale B"
"Alan Dollo","K1H","155.08","105.42","742.24","Finale B"
"Hugo Crepeau","K1H","157.88","161.91","771.05","Finale B"
"Maxime Bottex","K1H","200.5","112.51","1209.58","Finale B"
"Renaud Doby","K1H","254.58","95.3","1766.03","Finale B"
