"SELECTIF REGIONAL SLALOM - St Laurent Blangy - 2002-11-09","Course 1","2002-11-09","Régional","148"
"Thenon Gregori","K1H","242.58","431","469",""
"Alliaume Antoine","K1H","243.86","523","476",""
"Alban Planchais","K1H","244.06","451","478",""
"Fievez Guillaume","K1H","249.04","-","508",""
"Vincent Richard","K1H","250.04","452","515",""
"Eric Marmet","K1H","250.22","494","516",""
"Fontaine Vincent","K1H","250.62","-","518",""
"Macrel Loic","K1H","250.74","221","519",""
"Dubu Alain","K1H","252.62","448","530",""
"Loic Monbel","K1H","252.63","583","530",""
"Quentin Bove","K1H","254.78","346","543",""
"Collinet Matthieu","K1H","258.01","518","563",""
"Macarty Sebastien","K1H","259.73","-","573",""
"Didier Niel","K1H","260.35","-","577",""
"Leroy Anthony","K1H","261.49","-","584",""
"Delasalle Jerome","K1H","263.56","-","597",""
"Bechade Olivier","K1H","266.22","509","613",""
"Lantenois Mickael","K1H","268.01","760","624",""
"Di Majo Romain","K1H","268.81","784","628",""
"Bertrand Avril","K1H","272.24","292","650",""
"Benard Fabien","K1H","278.54","543","688",""
"Ospitalier Vincent","K1H","279.20","682","692",""
"Pascal Sallot","K1H","283.07","639","716",""
"Ladouce Romain","K1H","283.38","606","718",""
"Saillard Julien","K1H","296.81","-","799",""
"Hetier Louis","K1H","298.60","564","811",""
"Duparcq Romain","K1H","301.64","972","829",""
"Viratelle Vincent","K1H","302.43","442","833",""
"Gilles Lucas","K1H","313.12","521","899",""
"De Mareuil Marc","K1H","327.18","-","985",""
"Boivin Xavier","K1H","328.52","-","993",""
"Serra Thibault","K1H","334.50","635","1029",""
"Granger Terence","K1H","338.81","-","1055",""
"Houdant Batiste","K1H","341.62","-","1073",""
"Tonnelle Gregoire","K1H","344.02","-","1088",""
"Jimenez Adrien","K1H","345.32","-","1096",""
"Contreras Julien","K1H","348.67","1142","1116",""
"Bretteville Jonathan","K1H","353.18","-","1144",""
"Bolzani Fabien","K1H","366.31","1012","1224",""
"Richard Carpentier","K1H","374.27","941","1272",""
"Ursot Olivier","K1H","384.91","659","1337",""
"Nicolas Girault","K1H","393.80","-","1392",""
"Houdard Josselin","K1H","416.53","-","1531",""
"Guillaume Carpentier","K1H","458.91","-","1789",""
"Hamel Pierre","K1H","512.38","-","2115",""
