"Championnat Régional de Slalom - Sauveterre De Bearn - Finale - 2016-04-17","Finale","2016-04-17","Régional","140"
"Angus Cruickshank","K1HM","194.71","561.17","1116.61","Finale A"
"Baptiste Delemotte","K1HM","196.93","-","1140.22","Finale A"
"Berenice Kolenc","C1D","150.3","-","382.7","Finale B"
"Solene Lafitte","C1DM","Abs","-","-","Finale B"
"Theo Celjo","C1H","131.84","403.26","386.02","Finale B"
"Jeremy Heugas","C1H","132.92","-","396.95","Finale B"
"Valentin Courtiade","C1H","133.74","407.89","405.26","Finale B"
"Leo Dujourd'hui","C1H","138.62","412.02","454.71","Finale B"
"Marc Sarramea","C1H","152.04","512.51","590.67","Finale B"
"Thomas Bisetto","C1H","189.59","774.59","971.1","Finale B"
"Anatole Delassus","C1H","303.04","416.92","2120.5","Finale B"
"Nicolas Scharff","C1H","308.06","1351.33","2171.35","Finale B"
"Lea Baldoni","K1D","144.59","449.9","411.49","Finale B"
"Oceane Baylacq","K1D","157.33","409.94","531.42","Finale B"
"Emmanuelle Monguillet","K1D","157.72","460.04","535.09","Finale B"
"Celine De La Morinerie","K1D","164.32","504.06","597.22","Finale B"
"Emma Angladette","K1D","166.89","553.93","621.41","Finale B"
"Lea Hubert","K1D","187.18","736.27","812.43","Finale B"
"Carla Voineau","K1D","237.83","556.3","1289.25","Finale B"
"Clemence Zago","K1D","293.23","634.27","1810.79","Finale B"
"Jean Bernard Lacave","K1H","132.79","403.13","462.91","Finale B"
"Ludovic Gaignon","K1H","133.46","-","470.04","Finale B"
"Baptiste Riviere","K1H","135.24","518.6","488.97","Finale B"
"Eric Vidou","K1H","136.58","417.12","503.23","Finale B"
"Baptiste Lauroua","K1H","137.53","411.13","513.33","Finale B"
"Pierre Gaydier","K1H","138.82","485.77","527.06","Finale B"
"Marc Sarramea","K1H","141.02","469.24","550.46","Finale B"
"Theo Ducasse","K1H","141.48","379.01","555.35","Finale B"
"Leam Auffret","K1H","142.55","522.44","566.73","Finale B"
"Jerome Muller","K1H","144.5","462.89","587.48","Finale B"
"Steeve Fillastre","K1H","145.19","586.17","594.82","Finale B"
"Robin Mougel","K1H","145.4","479.6","597.05","Finale B"
"Loic Gueydon","K1H","145.67","-","599.92","Finale B"
"Alois Bertrand","K1H","146.29","441.16","606.52","Finale B"
"Franck Le Coz","K1H","147.42","488.93","618.54","Finale B"
"Thomas Bisetto","K1H","148.49","588.1","629.92","Finale B"
"Compton Cruickshank","K1H","149","630.49","635.35","Finale B"
"Lucas Mauer","K1H","150.88","562.39","655.35","Finale B"
"Leo Dujourd'hui","K1H","151.88","-","665.99","Finale B"
"Alexandre Dubrous","K1H","152","591.2","667.26","Finale B"
"Thomas Therasse","K1H","152.09","-","668.22","Finale B"
"Tom Gonzales","K1H","153.69","740.84","685.24","Finale B"
"Simon Metra","K1H","154.64","497.12","695.35","Finale B"
"Bruno Oteiza","K1H","165.09","-","806.51","Finale B"
"Jean Yves Courtiade","K1H","168.67","623.77","844.6","Finale B"
"Jean Luc Pessoni","K1H","171.63","655.42","876.08","Finale B"
"Daniel Lafitte","K1H","176.15","793.37","924.17","Finale B"
"Robin Genty","K1H","181.4","526.92","980.02","Finale B"
"Bastien Darmayan","K1H","183.75","729.03","1005.01","Finale B"
"Loan Jioux","K1H","185.94","623.02","1028.31","Finale B"
"David Acero Blondin","K1H","Des","-","-","Finale B"
"Maxime Reubrez","K1HM","156.55","674.38","715.66","Finale B"
"Paul Gobert","K1HM","162.01","-","773.75","Finale B"
"Julian Luce","K1HM","164.93","-","804.81","Finale B"
"Julien Coric","K1HM","169.4","818.76","852.36","Finale B"
"Gabin Allard","K1HM","172.3","979.14","883.21","Finale B"
"Matt Vidou","K1HM","176.08","843.54","923.42","Finale B"
"Axel Poletto","K1HM","180.92","-","974.91","Finale B"
"Leo Metro","K1HM","284.5","-","2076.78","Finale B"
"Remy Noulin","K1HM","286.6","-","2099.12","Finale B"
