"Jose ORDONNEAU - 49300 Cholet - Finale - 2020-10-11","Finale","2020-10-11","Régional","116"
"Louise Turgis","K1D","123.47","475.93","480.43","Finale A"
"Hortense Alexis","K1D","139.91","916.96","672.04","Finale A"
"Aurore Gobin","K1D","143.18","1139.37","710.15","Finale A"
"Valentine Jussy","K1D","180.44","617.99","1144.41","Finale A"
"Margot Renaudineau","K1D","350.77","3679.43","3129.61","Finale A"
"Honorine Pichard","K1DM","131.01","595.81","568.31","Finale A"
"Lea Sibioude","K1DM","149.73","709.55","786.49","Finale A"
"Johanne Duval-pourrieux","K1DM","444.31","4408.9","4219.82","Finale A"
"Antoine Sapin","K1H","94.54","286.64","286.5","Finale A"
"Maxence Davy","K1H","96.92","264.89","317.84","Finale A"
"Max Derame","K1H","98.73","206.21","341.68","Finale A"
"Nicolas Rouleaud","K1H","100.78","270.48","368.68","Finale A"
"Herve Busson","K1H","103.2","301.46","400.55","Finale A"
"Titouan Aussant","K1H","103.26","358.03","401.34","Finale A"
"Bastien Mailly","K1H","107.33","461.62","454.94","Finale A"
"Yann Vergelin","K1H","108.3","645.01","467.72","Finale A"
"Axel Brin","K1H","108.6","385.37","471.67","Finale A"
"Florian Torche","K1H","110.68","426.33","499.06","Finale A"
"Marwan Bazot","K1H","111.42","406.13","508.81","Finale A"
"Maxime Moreau","K1H","113.41","460.45","535.02","Finale A"
"Denis Guilmard","K1H","113.78","382.46","539.89","Finale A"
"Mathieu Aussant","K1H","114.84","473.42","553.85","Finale A"
"Sebastien Larenaudie","K1H","115.3","608.53","559.91","Finale A"
"Armand Fougere","K1H","115.34","445.39","560.44","Finale A"
"Nicolas Cappy","K1H","118.41","476.84","600.87","Finale A"
"Kilian Berlu","K1H","118.79","468.85","605.87","Finale A"
"David Ravache","K1H","122.44","617.7","653.94","Finale A"
"Cyriaque Sorin","K1H","129.64","687.71","748.77","Finale A"
"Leo Bonsens","K1H","130.17","660.11","755.75","Finale A"
"Edouard Patry","K1H","157.54","481.13","1116.22","Finale A"
"ClÉment Davy","K1HM","108.93","528.68","476.02","Finale A"
"Matteo Weinegaessel","K1HM","111.03","546.38","503.67","Finale A"
"Marius Larenaudie-danton","K1HM","119.62","615.32","616.8","Finale A"
"Theodore Favreau","K1HM","121.06","482.37","635.77","Finale A"
"Eliot Chouteau","K1HM","121.77","686.72","645.12","Finale A"
"Emile Landerretche","K1HM","125.13","716.63","689.37","Finale A"
"Robin Guignard","K1HM","128.77","772.92","737.31","Finale A"
"Noe De Rivals-mazeres","K1HM","130.46","752.71","759.57","Finale A"
"Sacha Menard","K1HM","130.78","741.11","763.78","Finale A"
"Achille Heurtel","K1HM","136.17","889.11","834.77","Finale A"
"Simon Lefebvre","K1HM","137.54","886.23","852.81","Finale A"
"Niels Le Monnier De Loriere","K1HM","137.58","992.63","853.34","Finale A"
"Quentin Monot","C1H","128.98","816.92","664.19","Finale B"
"Maxime Moreau","C1H","131.53","866.08","696.18","Finale B"
"Bastien Mailly","C1H","137.52","769.17","771.3","Finale B"
"Axel Brin","C1H","141.51","688.02","821.35","Finale B"
"Noe Boidin","C1H","147.15","871.94","892.1","Finale B"
"Jeanfrancis Battesti","C1H","161.16","923.88","1067.82","Finale B"
"Matheo Cailleau","C1H","Abd","-","-","Finale B"
"Marie Alexis","K1D","185.73","1124.97","1211.08","Finale B"
"Ambre Bodard","K1D","196.9","1588.67","1341.26","Finale B"
"Manon Deloison","K1D","200.33","1482.4","1381.23","Finale B"
"Louise Lefebvre","K1D","208.6","2158","1477.63","Finale B"
"Lea Bertin","K1D","218.24","1794.51","1589.98","Finale B"
"Erin Amberee","K1D","280.04","2225.03","2310.26","Finale B"
"Victoria Audrain","K1D","Abd","-","-","Finale B"
"Milio Le Touze","K1H","108.84","489.59","479.83","Finale B"
"Gael Cailler","K1H","126.45","695.48","711.76","Finale B"
"Kevin Mousserion","K1H","127.4","661.7","724.27","Finale B"
"Nolann Maudet","K1H","127.51","733.31","725.72","Finale B"
"Noe Boidin","K1H","130.44","637.75","764.31","Finale B"
"Clement Turgis","K1H","130.88","868.69","770.1","Finale B"
"Vincent Michaud","K1H","132.57","832.14","792.36","Finale B"
"Pierre Paboeuf","K1H","136.09","1338.43","838.72","Finale B"
"Matheo Cailleau","K1H","136.39","788.57","842.67","Finale B"
"Hugo Brossard","K1H","136.97","880.44","850.31","Finale B"
"Camille Gibouleau","K1H","138.35","1080.36","868.48","Finale B"
"Gael Menard","K1H","146.09","1201.62","970.42","Finale B"
"Jean-christophe Dubois","K1H","151.58","1082.35","1042.72","Finale B"
"Nicolas Girardeau","K1H","152.53","1263.32","1055.23","Finale B"
"Bertrand Turgis","K1H","163.83","1381.85","1204.06","Finale B"
"Bertrand Henot","K1H","167.28","1215.43","1249.49","Finale B"
"Thomas Auvolat","K1H","171.76","1940.87","1308.5","Finale B"
"Tristan Monot","K1H","184.44","2083.65","1475.49","Finale B"
"Mael Letort","K1H","200.4","1739.08","1685.69","Finale B"
"Raphael Garnier-albert","K1H","208.1","-","1787.1","Finale B"
"Gabriel Bonsens","K1HM","128.42","671.23","737.7","Finale B"
"Gaetan Daniel","K1HM","131.36","1569.27","776.42","Finale B"
"Alexandre Gillard","K1HM","147.35","1104.26","987.01","Finale B"
"Timothee Coudiere","K1HM","154.06","1084.89","1075.38","Finale B"
"Vianney Picard","K1HM","158.37","1108.02","1132.15","Finale B"
"Levy Chaussavoine","K1HM","163.34","1185.42","1197.6","Finale B"
"Maxence Segaud","K1HM","168.78","1122.23","1269.25","Finale B"
"Arthur Gautier Jean","K1HM","171.07","2059.12","1299.41","Finale B"
"Clement Delhommeau","K1HM","227.7","2257.26","2045.23","Finale B"
"Romain Lemoine","K1HM","291.87","-","2890.36","Finale B"
"Alexandre Billaud","K1HM","Abd","-","-","Finale B"
