"Championnat Régional - Lavancia - Course 2 | Finale - 2014-10-26","Course 2 | Finale","2014-10-26","Régional","175"
"Loic Bertoia","C1H","115.79","417.54","415.86","Course 2 | Finale B"
"Loic Burlet","C1H","117.71","518.94","439.66","Course 2 | Finale B"
"Valentin Vibert","C1H","119.2","441.99","458.12","Course 2 | Finale B"
"Benoit Lambour","C1H","120.91","494.28","479.3","Course 2 | Finale B"
"Alain Ferry","C1H","124.69","659.21","526.15","Course 2 | Finale B"
"Maxime Gaillard","C1H","124.71","552.26","526.39","Course 2 | Finale B"
"Boris Rostaing","C1H","125.31","563.54","533.84","Course 2 | Finale B"
"Louis Masson","C1H","127.53","520.47","561.34","Course 2 | Finale B"
"Timothe Fontaine","C1H","148.35","-","819.36","Course 2 | Finale B"
"Jules Silvin","C1HM","130.91","578.06","603.23","Course 2 | Finale B"
"Hugo Martin -laemle","C1HM","136.01","830.64","666.43","Course 2 | Finale B"
"Maxime Melmont","C1HM","156.02","-","-","Course 2 | Finale B"
"Gauthier Gonseth-Guillaume Gonseth","C2H","115.35","365.23","345.44","Course 2 | Finale B"
"Paul Cornut-chauvinc-Romain Gayral","C2H","117.6","486.01","372.05","Course 2 | Finale B"
"Philippe Senechal-Xavier Rat","C2H","121.71","503.33","420.66","Course 2 | Finale B"
"Raphael Olla-Timothee Olla","C2H","125.13","-","461.13","Course 2 | Finale B"
"Dimitri Lotigie-Thomas Girard","C2H","133.15","-","555.98","Course 2 | Finale B"
"Raphaelle Hovine","K1D","111.04","267.83","259.58","Course 2 | Finale B"
"Candice Brondel","K1D","113.08","256.95","283.07","Course 2 | Finale B"
"Coline Bertin","K1D","120.21","425.65","365.18","Course 2 | Finale B"
"Carla Cerrutti - Bozzola","K1D","122.95","424.94","396.72","Course 2 | Finale B"
"Pauline Desmaris","K1D","125.65","762.56","427.82","Course 2 | Finale B"
"Manon Scotto","K1D","129.62","613.25","473.53","Course 2 | Finale B"
"Deborah Bouchenot","K1D","130.55","528.21","484.24","Course 2 | Finale B"
"Sarah Monod","K1D","131.87","559.06","499.43","Course 2 | Finale B"
"Juliette Rousset","K1D","132.46","614.5","506.23","Course 2 | Finale B"
"Orlane Gauchet","K1D","136.49","1383.42","552.64","Course 2 | Finale B"
"Chloe Faverjon","K1D","141.64","1333.32","611.93","Course 2 | Finale B"
"Lea Obadia","K1D","240.78","-","1753.53","Course 2 | Finale B"
"Emilie Armani","K1DM","130.98","1332.23","489.19","Course 2 | Finale B"
"Juliette Ribault","K1DM","133.28","737.8","515.67","Course 2 | Finale B"
"Eva Bard","K1DM","136.42","632.62","551.83","Course 2 | Finale B"
"Victoire Guerin","K1DM","138.28","-","-","Course 2 | Finale B"
"Loic Bertoia","K1H","93.59","180.91","198.74","Course 2 | Finale B"
"Patrice Campioni","K1H","100.37","285.56","286.96","Course 2 | Finale B"
"Charles Vallet","K1H","103.66","277.92","329.77","Course 2 | Finale B"
"Adelin Constans","K1H","104.97","354.74","346.82","Course 2 | Finale B"
"Jean Philippe Roche","K1H","105.5","351.5","353.71","Course 2 | Finale B"
"Marc Janeriat","K1H","105.88","-","358.66","Course 2 | Finale B"
"Florian Jarousse","K1H","107.22","-","376.09","Course 2 | Finale B"
"Xavier Rat","K1H","108.28","407.27","389.89","Course 2 | Finale B"
"Christopher Lucas","K1H","108.46","511.73","392.23","Course 2 | Finale B"
"Lucas Barriere","K1H","109.53","354.51","406.15","Course 2 | Finale B"
"Antoni Zaki","K1H","109.83","416.68","410.05","Course 2 | Finale B"
"Jeff Caron","K1H","110.21","400.57","415","Course 2 | Finale B"
"Valentin Dancette","K1H","111.14","-","427.1","Course 2 | Finale B"
"Adrien Jacquemet","K1H","111.93","536.2","437.38","Course 2 | Finale B"
"Sebastien Routhier","K1H","112.15","414.61","440.24","Course 2 | Finale B"
"Yanis Delacour","K1H","114.83","519.28","475.11","Course 2 | Finale B"
"Benjamin Bergin","K1H","115.13","508.96","479.02","Course 2 | Finale B"
"Stephane Gacoin","K1H","115.96","561.73","489.82","Course 2 | Finale B"
"Romain Gayral","K1H","116.53","507.69","497.23","Course 2 | Finale B"
"Francois Lecuit","K1H","116.68","553.54","499.19","Course 2 | Finale B"
"Erwan Degreve","K1H","119.31","-","533.41","Course 2 | Finale B"
"Olivier Mercier","K1H","119.62","578","537.44","Course 2 | Finale B"
"Louis Collin","K1H","122.74","-","578.04","Course 2 | Finale B"
"Jerome Burignat","K1H","122.85","671.18","579.47","Course 2 | Finale B"
"Timothe Fontaine","K1H","124.3","-","598.34","Course 2 | Finale B"
"Damien Borlet","K1H","128.72","853.04","655.85","Course 2 | Finale B"
"Ulysse Studer","K1H","128.73","807.84","655.98","Course 2 | Finale B"
"Benjamin Gonthier","K1H","132.14","1099.2","700.35","Course 2 | Finale B"
"Emilien Senneret","K1H","163.8","629.25","1112.31","Course 2 | Finale B"
"Jules Silvin","K1HM","108.05","335.73","386.89","Course 2 | Finale B"
"Tom Mazouat","K1HM","128.1","983.86","647.78","Course 2 | Finale B"
"Joshua Bourgeois","K1HM","128.55","-","-","Course 2 | Finale B"
"Nino Chailan","K1HM","129","-","-","Course 2 | Finale B"
"Arthur Tebib","K1HM","130.01","856.89","672.63","Course 2 | Finale B"
"Maxime Vieira Coelha","K1HM","130.97","-","-","Course 2 | Finale B"
"Maxime Melmont","K1HM","137.82","-","-","Course 2 | Finale B"
