"Sélectif Régional de Slalom - 05120 L Argentiere La Bessee - Course n°1 | Finale - 2020-09-19","Course n°1 | Finale","2020-09-19","Régional","161"
"Julien Ojard-chillet","K1H","102.49","360.45","495.48","Course n°1 | Finale A"
"Mathys Michel","K1H","103.79","505.04","513.88","Course n°1 | Finale A"
"Clement Raul","K1H","107.34","486.19","564.14","Course n°1 | Finale A"
"Laurent Echivard","K1H","108.52","533.77","580.84","Course n°1 | Finale A"
"Joao Normand","K1H","112.28","427.34","634.07","Course n°1 | Finale A"
"Romain Hautecouverture","K1H","118.99","530.27","729.07","Course n°1 | Finale A"
"Victor Eduardo Carneiro Gomes","K1H","119.41","453.81","735.01","Course n°1 | Finale A"
"Damien Chamblay","K1H","126.64","459.72","837.37","Course n°1 | Finale A"
"Ianis Triomphe","K1HM","93.68","363.69","370.75","Course n°1 | Finale A"
"Yuha Egraz","K1HM","104.47","539.7","523.51","Course n°1 | Finale A"
"Nils Biermans","K1HM","105.6","642.7","539.51","Course n°1 | Finale A"
"Theo Dessolies","K1HM","106.65","589.86","554.37","Course n°1 | Finale A"
"Jules Raoul","K1HM","107.04","582.72","559.89","Course n°1 | Finale A"
"Alric Detheve","K1HM","108.95","645.65","586.93","Course n°1 | Finale A"
"Enzo Lambert","K1HM","111.07","627.36","616.94","Course n°1 | Finale A"
"Noham Borie","K1HM","112.83","647.35","641.86","Course n°1 | Finale A"
"Nils King","K1HM","123.8","723.72","797.16","Course n°1 | Finale A"
"Eve Vitali-guilbert","C1D","133.81","474.16","628.15","Course n°1 | Finale B"
"Lisa Sadelli","C1D","145.82","634.64","769.84","Course n°1 | Finale B"
"Dorie Deshogues","C1D","161.8","523.45","958.36","Course n°1 | Finale B"
"Margaux Robert","C1DM","160.02","679.4","937.36","Course n°1 | Finale B"
"Eyleen Vuilleumier","C1DM","175.38","639.84","1118.57","Course n°1 | Finale B"
"Frederic Amalbert","C1H","112.35","367.57","564.33","Course n°1 | Finale B"
"Pierre Fillinger","C1H","119.93","578.84","666.53","Course n°1 | Finale B"
"Axel Brossat","C1H","126.97","1045.14","761.45","Course n°1 | Finale B"
"Raphael Wiche","C1H","133.28","661.45","846.52","Course n°1 | Finale B"
"Cedric Mace","C1H","137.11","586.92","898.16","Course n°1 | Finale B"
"Clement Blancgras","C1H","137.17","648.45","898.97","Course n°1 | Finale B"
"Teo Touzet","C1H","137.78","793.17","907.19","Course n°1 | Finale B"
"Alexis Guillon","C1H","168.67","526.99","1323.68","Course n°1 | Finale B"
"Jules Sourieau","C1H","228.4","586.57","2129.01","Course n°1 | Finale B"
"Theo Dessolies","C1HM","126.28","696.49","752.15","Course n°1 | Finale B"
"Gustave Gonseth","C1HM","154.14","1005.68","1127.77","Course n°1 | Finale B"
"Milo Solecki","C1HM","240.76","1644.69","2295.66","Course n°1 | Finale B"
"Camille Vion Delphin","K1D","119.56","496.03","547.41","Course n°1 | Finale B"
"Emilie Armani","K1D","124.04","541.92","603.54","Course n°1 | Finale B"
"Lux Debruyne","K1D","126.79","549.76","638","Course n°1 | Finale B"
"Claire Teillerie","K1D","133.75","557.69","725.19","Course n°1 | Finale B"
"Lou Ann Vuilleumier","K1D","134.45","592.85","733.96","Course n°1 | Finale B"
"Caroline Guita","K1D","134.75","576.47","737.72","Course n°1 | Finale B"
"Camille Coulonval","K1D","136.4","689.95","758.39","Course n°1 | Finale B"
"Callista Grange","K1D","139.54","518","797.73","Course n°1 | Finale B"
"Emma Fauriel","K1D","150.24","888.36","931.78","Course n°1 | Finale B"
"Jeanne Mazard","K1D","151.15","658.05","943.18","Course n°1 | Finale B"
"Emmy Bernard","K1D","154.74","622","988.16","Course n°1 | Finale B"
"Chiara Cini","K1D","179.61","548.48","1299.74","Course n°1 | Finale B"
"Mailys Douyeau","K1D","218.69","624.7","1789.35","Course n°1 | Finale B"
"Noemie Rys","K1D","230.85","1660.6","1941.69","Course n°1 | Finale B"
"Theo Brun","K1H","90.12","249.32","325.36","Course n°1 | Finale B"
"Raphael Bonnard","K1H","101.89","423.88","491.98","Course n°1 | Finale B"
"Gabriel Saul","K1H","103.28","363.41","511.66","Course n°1 | Finale B"
"Florian Bibron","K1H","103.62","490.55","516.48","Course n°1 | Finale B"
"Thomas Levert","K1H","103.96","521.37","521.29","Course n°1 | Finale B"
"Loris Allamachere","K1H","104.73","528.51","532.19","Course n°1 | Finale B"
"Bertrand Lamy","K1H","107.55","409.94","572.11","Course n°1 | Finale B"
"Jeremy Rouet","K1H","108.82","523.29","590.09","Course n°1 | Finale B"
"Jocelyn Locatelli","K1H","109.53","577.66","600.14","Course n°1 | Finale B"
"Victorien Pittion","K1H","109.72","563.79","602.83","Course n°1 | Finale B"
"Quentin Ducrot","K1H","110","648.21","606.8","Course n°1 | Finale B"
"Denis Cote","K1H","110.25","538.13","610.34","Course n°1 | Finale B"
"Herve Vitali","K1H","110.93","520.41","619.96","Course n°1 | Finale B"
"Esteban Roux","K1H","112.42","766.99","641.06","Course n°1 | Finale B"
"Antoine Raul","K1H","112.6","616.77","643.61","Course n°1 | Finale B"
"Sacha Caron","K1H","113.03","617.11","649.69","Course n°1 | Finale B"
"Rafael Parnotte","K1H","113.99","589.5","663.28","Course n°1 | Finale B"
"Teo Touzet","K1H","114.83","592.47","675.18","Course n°1 | Finale B"
"Yohann Biglia","K1H","115","655.56","677.58","Course n°1 | Finale B"
"Clement Blancgras","K1H","115.62","482.95","686.36","Course n°1 | Finale B"
"Mathis Borie","K1H","117.41","600.96","711.7","Course n°1 | Finale B"
"Anicet Morel","K1H","125.76","759.67","829.91","Course n°1 | Finale B"
"Soad Brachet-lefevre","K1H","129.27","727.31","879.6","Course n°1 | Finale B"
"Dominique Polard","K1H","129.4","616.16","881.44","Course n°1 | Finale B"
"Jules Beauvais","K1H","132.25","804.04","921.79","Course n°1 | Finale B"
"Alistair Storrar","K1H","133.38","1929.1","937.79","Course n°1 | Finale B"
"Jules Roussel","K1H","135.2","789.9","963.55","Course n°1 | Finale B"
"Christian Hugues","K1H","145.31","1200.23","1106.68","Course n°1 | Finale B"
"Jules Sourieau","K1H","153.83","423.48","1227.3","Course n°1 | Finale B"
"Quentin Balanant","K1H","161.01","2177.24","1328.95","Course n°1 | Finale B"
"Francisco Lafarga","K1H","161.39","647.82","1334.33","Course n°1 | Finale B"
"Areski Fourtaux","K1H","173.44","1823.15","1504.92","Course n°1 | Finale B"
"Fabrice Baudesson","K1H","178.36","761.63","1574.57","Course n°1 | Finale B"
"Bastien Andrzejewski","K1H","190.76","1724.48","1750.12","Course n°1 | Finale B"
"Gael Rivier","K1H","202.03","809.76","1909.67","Course n°1 | Finale B"
"Elian Belin","K1H","307.77","6315.69","3406.63","Course n°1 | Finale B"
"Thomas Pizzin","K1H","482.24","5170.61","5876.6","Course n°1 | Finale B"
"Gustave Gonseth","K1HM","123.31","746.47","795.23","Course n°1 | Finale B"
"Quentin Raul","K1HM","127.65","876.28","856.67","Course n°1 | Finale B"
"RÉmi Teillerie","K1HM","131.9","807.78","916.84","Course n°1 | Finale B"
"Alexandre Verbinnen","K1HM","134.84","806.21","958.46","Course n°1 | Finale B"
"Leo Ulmer","K1HM","136.49","702.93","981.82","Course n°1 | Finale B"
"Romain Bertrand","K1HM","155.44","1070.48","1250.09","Course n°1 | Finale B"
"Ethan Warembourg","K1HM","158.9","2085.15","1299.07","Course n°1 | Finale B"
"Guilhem Remondet","K1HM","232.9","2896.08","2346.69","Course n°1 | Finale B"
