"Jose ORDONNEAU - 49300 Cholet - Qualification - 2020-10-11","Qualification","2020-10-11","Régional","120"
"Alexandre Gillard","K1HM","151.53","1182.92","987.58",""
"Timothee Coudiere","K1HM","153.51","1244.92","1012.87",""
"Clement Delhommeau","K1HM","162.63","2633.22","1129.35",""
"Maxence Segaud","K1HM","163.92","1114.37","1145.82",""
"Vianney Picard","K1HM","165.85","1114.75","1170.47",""
"Levy Chaussavoine","K1HM","167.02","-","1185.42",""
"Gabriel Bonsens","K1HM","175.07","671.23","1288.23",""
"Arthur Gautier Jean","K1HM","179.8","2769.6","1348.64",""
"Gaetan Daniel","K1HM","183.74","1654.43","1398.96",""
"Alexandre Billaud","K1HM","204.1","2589.8","1659",""
"Romain Lemoine","K1HM","Abd","-","-",""
