"SÈlectif RÈgional de Slalom - 68330 Huningue - Course n∞2 | Qualification - 2018-11-11","Course n∞2 | Qualification","2018-11-11","RÈgional","190"
"Alexandre L'huillier","C1H","Abs","-","-",""
"Matthieu Koffel","C1H","Abs","-","-",""
"Pierre Biagui","C1H","Abs","-","-",""
"Jan Pischek","C1H","Abs","-","-",""
"Victor Henry","C1H","Abd","-","-",""
"Simon Werro","C1H","Abs","-","-",""
"Arnaud Caillet","C1HM","127.49","552.76","568.83",""
"Maxime Devis","C1HM","137.34","629.65","686.13",""
"Valentin Bostoen","C1HM","137.63","706.05","689.59",""
"Clement Fremy","C1HM","138.88","856.21","704.48",""
"Oskar Hillion","C1HM","142.28","596.3","744.97",""
"Louis Guggenbuhl","C1HM","143.18","617.8","755.68",""
"Evan Trenchant","C1HM","162.79","695.15","989.21",""
"Salim Jemai","C1HM","170.12","686.04","1076.51",""
"Ludovic Kessler","C1HM","257.57","1184.24","2117.94",""
"Zakaria Radouani","C1HM","Abd","-","-",""
"Maxime Forcadette","C1HM","Abs","-","-",""
"Camille Hurez-Julia Budzinski","C2D","153.86","624.66","530.51",""
"Alexis Sevrez-Louis Gasser","C2H","157.89","752.66","845.39",""
"Bastien Caillet-Jules Andrien","C2H","167.81","669.86","958.16",""
"Lionel Borde-Michel Bert","C2H","177.43","669.78","1067.51",""
"Evan Trenchant-Clement Fremy","C2HM","169.12","816.32","973.04",""
"Louis Guggenbuhl-Zakaria Radouani","C2HM","Abs","-","-",""
"Oskar Hillion-Maxime Forcadette","C2HM","Abs","-","-",""
"Lucille Meunier-cheyssac-Jules Ferber","C2M","120.67","681.08","307.98",""
"Baptiste Podor-Zelie Wendling","C2M","156.44","678.52","680.72",""
"Carole Dolmaire-Alexandre L'huillier","C2M","Abs","-","-",""
"Andrea Gratwohl","K1D","110.99","319.58","278.76",""
"Camille Hurez","K1D","111.77","252.43","287.39",""
"Meryl Steinmann","K1D","112.11","280.17","291.15",""
"Angelique Guilcher","K1D","114.24","231.48","314.72",""
"Kesia Georgel","K1D","114.33","334.56","315.72",""
"Lolita Seguy","K1D","115.11","291.5","324.35",""
"Azenor Philip","K1D","115.31","282.8","326.56",""
"Marie Amelie Silvin","K1D","115.37","243.16","327.22",""
"Tifenn Primet","K1D","117.9","316.52","355.22",""
"Anne Fischer","K1D","119.13","404.71","368.84",""
"Mylene Guilcher","K1D","121.22","390.01","391.96",""
"Celia Grandadam","K1D","123.24","306.38","414.32",""
"Zelie Wendling","K1D","127.8","407.89","464.77",""
"Laurine Grandadam","K1D","135.22","480.39","546.89",""
"Charlotte Doucet","K1D","142.67","568.75","629.33",""
"Agathe Caillet","K1D","152.49","518.34","737.99",""
"Elena Hugues","K1D","166.96","346.09","898.11",""
"Carole Dolmaire","K1D","182.55","600.93","1070.63",""
"Audrey Masson","K1D","233.47","684.86","1634.1",""
"Anais Mouhoub","K1D","790.21","342.88","7794.83",""
"Justine Clerc","K1D","Abs","-","-",""
"Mae Bianco","K1DM","128.79","409.89","475.72",""
"Marion Gillet","K1DM","188.29","422.26","1134.14",""
"Lucile Bessot","K1DM","189.55","772.63","1148.08",""
"Lukas Werro","K1H","85.79","68.57","123.32",""
"Manuel Munsch","K1H","87.98","111.11","150.7",""
"G…r‘me Martin","K1H","91.57","170.46","195.59",""
"Robin Pottelette","K1H","92.2","97.61","203.47",""
"Lucas Galmiche","K1H","92.75","181.61","210.35",""
"Lucas Latimier","K1H","93.4","84.76","218.47",""
"Julien Haberland","K1H","94.93","239.43","237.61",""
"Laurent Starck","K1H","94.97","206.74","238.11",""
"Loœc Winiarski","K1H","95.05","166.12","239.11",""
"Leo Collard","K1H","95.91","276.28","249.86",""
"Jan Rohrer","K1H","96.54","157.6","257.74",""
"Jean Charles Hacquart","K1H","97.97","131.6","275.62",""
"Pierre Marie Roussel","K1H","98.4","136.37","281",""
"Gelindo Chiarello","K1H","98.52","117.72","282.5",""
"Jules Cresp","K1H","98.99","184.58","288.37",""
"Paul Bostoen","K1H","99","250.51","288.5",""
"Simon Munch","K1H","99.1","308.51","289.75",""
"Thibault Blaise","K1H","99.29","256.94","292.12",""
"Djendy Simeant","K1H","100.16","190.08","303",""
"Nicolas Mangeolle","K1H","100.18","266.46","303.25",""
"Alexis Pacholak","K1H","101.38","262.3","318.26",""
"Loic Trenchant","K1H","101.58","271.87","320.76",""
"Baptiste Podor","K1H","101.63","282.14","321.38",""
"Alexis Caspar","K1H","103.59","326.21","345.89",""
"Matthieu Koffel","K1H","103.77","353.16","348.14",""
"Loric Bertrand Delorme","K1H","104.82","264","361.27",""
"Benjamin Dodane","K1H","105.36","199.93","368.03",""
"Florient Tagnon","K1H","106.29","254.21","379.65",""
"Marc Jegou","K1H","107.8","341.88","398.54",""
"Tanguy Malingre","K1H","107.91","275.89","399.91",""
"Thomas Michel","K1H","108.31","478.92","404.91",""
"Leo Peter","K1H","108.64","351.09","409.04",""
"Arnaud Jamet","K1H","108.87","453.65","411.92",""
"Louis Gasser","K1H","109.36","373.1","418.04",""
"Pierre Biagui","K1H","109.75","321.57","422.92",""
"Loann Delle Dananchet","K1H","111.97","449.47","450.68",""
"Mathieu Douillet","K1H","112.44","310.28","456.56",""
"William Pawlus","K1H","112.76","482.12","460.56",""
"Pascal Philip","K1H","113.4","714.07","468.56",""
"Christophe Godinat","K1H","114.28","466.86","479.56",""
"Christophe Siffert","K1H","114.86","403.24","486.82",""
"Yann Becker","K1H","115.35","334.59","492.94",""
"Rafael Pawlus","K1H","116.05","520.5","501.7",""
"Tanguy Adisson","K1H","116.5","354.79","507.32",""
"Jules Andrien","K1H","118.04","318.96","526.58",""
"Victor Henry","K1H","118.12","427.46","527.58",""
"Smail Mouhoub","K1H","119.26","457.71","541.83",""
"Laurel Hartmann","K1H","119.39","487.91","543.46",""
"Alexis Sevrez","K1H","119.51","494.52","544.96",""
"Oscar Pasteur","K1H","121.18","507.97","565.84",""
"Victorien Lombard","K1H","123.12","415.27","590.1",""
"Matthew Vuillard","K1H","123.38","385.67","593.35",""
"Gauthier Principaud","K1H","123.49","511.77","594.73",""
"Jonathan Ferreira","K1H","125.93","487.22","625.24",""
"Anthony Menissier","K1H","127.88","537.01","649.62",""
"Yannick Grizaud","K1H","131.72","963.89","697.64",""
"Philippe Koffel","K1H","132.93","558.87","712.77",""
"Virgile Bessot","K1H","133.63","509.28","721.52",""
"Edy Gasser","K1H","135.04","1002.39","739.15",""
"Gilles Barthelemy","K1H","136.24","562.06","754.16",""
"Maxime Bottex","K1H","141.09","76.08","814.8",""
"Thibault Rouanet","K1H","141.58","928.59","820.93",""
"Paul Gstalter","K1H","141.88","571.88","824.68",""
"Emmanuel Walczak","K1H","143.06","154.91","839.44",""
"Dimitri Marx","K1H","143.36","208.66","843.19",""
"Jules Bevalot","K1H","149.08","180.64","914.71",""
"Robin Giurlando","K1H","154.83","641.1","986.61",""
"Matthieu Walfard","K1H","170.37","390.16","1180.93",""
"Leo Bayard","K1H","181.97","661.33","1325.98",""
"Jules Ferber","K1H","185.87","586.13","1374.74",""
"Paul Frommer","K1H","212.58","381.81","1708.73",""
"Timothee Foltz","K1H","306.12","729.14","2878.38",""
"Guillaume Louis","K1H","498.25","2038.66","5280.83",""
"Alexandre L'huillier","K1H","Abs","-","-",""
"Sebastian Militaru","K1H","Abs","-","-",""
"Nathan Barbier","K1H","Abs","-","-",""
"Joris Hello","K1H","Abs","-","-",""
"Frederic Caillet","K1H","Abs","-","-",""
"Paul Cascarino","K1H","Abs","-","-",""
"Pierre Aubry","K1H","Abs","-","-",""
"Oskar Hillion","K1HM","107.26","413.86","391.78",""
"Clement Fremy","K1HM","111.76","447.77","448.05",""
"Salim Jemai","K1HM","113.37","423.94","468.18",""
"Maxime Devis","K1HM","114.9","482.2","487.32",""
"Evan Trenchant","K1HM","131.08","661.73","689.64",""
"Louis Guggenbuhl","K1HM","134.3","641.92","729.9",""
"Valentin Bostoen","K1HM","138.63","585.6","784.04",""
"Leon Beyreuther","K1HM","146.48","1698.46","882.2",""
"Nolan Lequesne","K1HM","156.12","872.73","1002.74",""
"Ludovic Kessler","K1HM","167.08","837.44","1139.79",""
"Zakaria Radouani","K1HM","190.27","1011.29","1429.76",""
"Kenzo Garnier","K1HM","306.97","3765.44","2889.01",""
"Lilian Bayer","K1HM","Abs","-","-",""
"Antoine Schroetter","K1HM","Abd","-","-",""
"Arnaud Caillet","K1HM","Abs","-","-",""
"Maxime Forcadette","K1HM","Abs","-","-",""
