"Slalom régional - Huningue - 2008-11-01","Course 1","2008-11-01","Régional","209"
"Tom Jackson","K1H","305.99","390","670",""
"Alexis Lozachmeur","K1H","308.30","-","683",""
"Paul Morland","K1H","312.26","456","706",""
"Sebastien Ott","K1H","313.72","-","713",""
"Arnaud Calinon","K1H","314.76","909","720",""
"Bertrand Bourguignon","K1H","339.71","503","859",""
"Marc Pucher","K1H","340.01","-","860",""
"Ivo Vogel","K1H","348.26","-","907",""
"Maxence Grandadam","K1H","364.99","625","1000",""
"Baptiste Maes","K1H","429.55","891","1363",""
"David Pierson","K1H","448.47","541","1468",""
"Guillaume Angonin","K1H","484.23","1212","1669",""
"Maxime Blanc","K1H","493.63","1080","1722",""
"Theo Olinger","K1H","498.40","1723","1749",""
"Gauthier Cuny","K1H","517.50","1614","1855",""
"Loic Richard","K1H","533.85","-","1947",""
"Jonathan Courduries","K1H","559.59","-","2092",""
