"FINALE COUPE DE LORRAINE - Nancy - 2007-10-21","Course 1","2007-10-21","Régional","174"
"Emmanuel Walczak","K1H","178.96","79","113",""
"Julien Arribe","K1H","179.45","57","116",""
"Benjamin Travostino","K1H","181.15","100","127",""
"Julien Haberland","K1H","185.16","136","152",""
"Alexis Caspar","K1H","185.61","108","155",""
"Mathieu Biazizzo","K1H","186.84","133","163",""
"Arthur Georges","K1H","187.56","171","168",""
"Romain Viry","K1H","187.68","197","168",""
"Kevin Burgi","K1H","188.31","151","172",""
"Childeric Thoreau","K1H","188.95","144","176",""
"Nathan Barbier","K1H","189.18","179","177",""
"Maxime Faivre","K1H","189.54","173","181",""
"Alexandre Pocard","K1H","189.99","-","183",""
"Quentin Burgi","K1H","191.51","150","192",""
"Bourgeois Cedric","K1H","192.68","218","199",""
"Mehdi Amini","K1H","193.44","144","205",""
"Bertrand Gutierrez","K1H","194.32","160","210",""
"Martin Dougoud","K1H","194.40","180","211",""
"Marc Biazizzo","K1H","194.67","208","212",""
"Stefan Stanik","K1H","194.98","196","214",""
"Beghoura Yoni","K1H","196.02","189","222",""
"Enrick Cunsolo","K1H","198.13","194","234",""
"Julien Bley","K1H","198.62","190","237",""
"Paul Aubert","K1H","201.65","229","257",""
"Michel Ragot","K1H","201.85","260","258",""
"Von Schulthess Craig","K1H","201.86","232","258",""
"Mael Othenin Girard","K1H","202.07","260","259",""
"Gregory Booth","K1H","202.71","-","264",""
"Bajolet Julien","K1H","202.97","225","265",""
"Florian Balhuizen","K1H","203.05","260","266",""
"Ragot Laurent","K1H","203.98","159","272",""
"Guillaume Carpentier","K1H","204.10","245","272",""
"Damien Burteaux","K1H","204.67","221","276",""
"Renaud Doby","K1H","205.88","10","284",""
"Etienne Hubert","K1H","206.04","-","285",""
"Antoine Devillez","K1H","206.92","205","290",""
"Nicolas Mangeolle","K1H","207.83","214","296",""
"Maxime Lambert","K1H","207.89","368","296",""
"Fabien Fritsch","K1H","209.88","288","309",""
"Nikolas Stanik","K1H","210.60","243","313",""
"Remi Thomas","K1H","216.63","203","352",""
"Pierre Cassin","K1H","217.81","373","359",""
"Patrick Gass","K1H","219.83","297","372",""
"Thomas Stutzmann","K1H","220.10","-","374",""
"Arthur Bernot","K1H","220.65","685","377",""
"Thibaut Chariot","K1H","221.32","232","382",""
"Fournier Paul","K1H","223.14","453","393",""
"Romain Chane","K1H","226.51","358","414",""
"Clement Mangeolle","K1H","227.84","370","423",""
"Thomas Quennehen","K1H","230.93","499","443",""
"Gwendal Duchet","K1H","231.23","-","445",""
"Silvere Desongins","K1H","234.54","278","466",""
"Michael Ullrich","K1H","235.49","-","472",""
"Risser Arthur","K1H","236.29","429","476",""
"Mathieu Haberland","K1H","236.59","151","478",""
"Sidney Malgras","K1H","238.52","519","491",""
"Sylvain Herrbach","K1H","244.75","189","530",""
"Jerome Laflotte","K1H","246.62","348","543",""
"Nicolas Burgi","K1H","251.24","175","571",""
"Mickael Faure","K1H","256.86","473","607",""
"Samuel Wey","K1H","259.15","-","622",""
"Vincent Bajolot","K1H","262.34","216","642",""
"Andre Kempf","K1H","265.67","557","663",""
"Anthony Beaudoing","K1H","274.15","334","717",""
"Oueslati Pierre-Yves","K1H","276.44","550","731",""
"Leo Capelle","K1H","277.83","333","740",""
"Anthony Jouannic","K1H","284.79","1195","785",""
"Beranger Bechereau","K1H","289.32","-","813",""
"Pierre Melin","K1H","298.53","-","872",""
"Victor Paulais","K1H","310.08","-","945",""
"Thibault Blaise","K1H","315.07","-","976",""
"Michel Ternynck","K1H","316.16","809","984",""
"Lucas Ferraina","K1H","329.40","-","1068",""
"Eric Louis","K1H","331.93","611","1084",""
"Gauthier Ruspini","K1H","343.23","-","1155",""
"Val Pierrick","K1H","370.11","-","1326",""
"Anthony Mercier","K1H","371.69","-","1336",""
"Daniaud Corentin","K1H","393.33","-","1473",""
"Sylvain Garnier","K1H","394.41","-","1479",""
"Dardoise Antoine","K1H","414.50","-","1608",""
"Cyril Menzin","K1H","415.49","-","1614",""
"Lutz Jean Baptiste","K1H","552.33","-","2481",""
"Welfringer Symon","K1H","553.53","-","2490",""
"Yann Tosser  Roussey","K1H","702.23","308","3433",""
"Nau Sebastien","K1H","713.68","-","3505",""
"Tailleur Christophe","K1H","1180.92","-","6470",""
