"Sélectif Régional - Espace Eaux Vives du Pilat Rhodanien - Course 1 - Qualification - 2014-09-27","Course 1 - Qualification","2014-09-27","Régional","303"
"Paul Gaillard","C1HM","149.6","-","745.1",""
"Hugo Martin -laemle","C1HM","162.2","-","889.4",""
"Dimitri Lotigie","C1HM","Abs","-","-",""
"Laura Ligeon-Marine Schmitt","C2D","162.38","-","533.84",""
"Axel Kournwsky-Adrien Maire","C2H","118.28","250.76","324.83",""
"Gauthier Gonseth-Guillaume Gonseth","C2H","125.98","-","409",""
"Mathias Guillot-William Gettliffe","C2H","131.51","-","469.47",""
"Eric Archambault-Loic Burlet","C2H","138.15","-","542.05",""
"Paul Cornut-chauvinc-Romain Gayral","C2H","141.23","948.5","575.72",""
"Mathieu Lions-Cyril Audoit","C2H","170.87","809.56","899.74",""
"Joseph Risson-Boris Rostaing","C2H","200.3","1722.04","1221.48",""
"Sylvain Dandel-Vincent Gerdeaux","C2H","Abs","-","-",""
"Loic Bouvier-Arthur Tebib","C2HM","Abd","-","-",""
"Boris Chenal-Hind Jamili","C2M","125.61","-","290.53",""
"Mylene Ferry-Pascal Ferry","C2M","135.1","-","385.63",""
"Laure Castel-Alexandre Lismonde","C2M","148.78","497.21","522.71",""
"Yohann Biglia-Charlotte Issagarre","C2M","155.95","-","594.57",""
"Chloe Faverjon-Benjamin Gonthier","C2M","242.62","-","1463.09",""
"Flora Huvelin","K1D","102.11","90.74","118.42",""
"Anneline Triomphe","K1D","102.16","128.44","118.96",""
"Lea Wetzel","K1D","103.17","94.64","129.71",""
"Annaelle Meheut","K1D","103.29","126.51","130.98",""
"Caroline Bourry","K1D","104.48","74.92","143.65",""
"Elise Pierron","K1D","104.86","119.55","147.69",""
"Julie Labarelle","K1D","104.95","128.35","148.65",""
"Nelly Tornare","K1D","106.93","160","169.72",""
"Emeline Oudet","K1D","107.87","151.63","179.72",""
"Emilie Lhomme","K1D","108.65","198.17","188.02",""
"Laura Rocher","K1D","108.81","200.01","189.72",""
"Marine Schmitt","K1D","109.35","129.45","195.47",""
"Viviana Daille","K1D","109.78","236.63","200.05",""
"Joey Bercon","K1D","110.74","132.34","210.26",""
"Jihane Samlal","K1D","111.05","141.48","213.56",""
"Louise Bichet","K1D","112.99","255.95","234.21",""
"Mylene Ferry","K1D","113.69","142.44","241.66",""
"Carine Chapuis","K1D","117.91","417.99","286.56",""
"Marion Delorme","K1D","118.95","307.74","297.63",""
"Fanny Mino-vercellio","K1D","119.62","309.09","304.76",""
"Raphaelle Hovine","K1D","120.72","261.9","316.47",""
"Tiphaine Drouin","K1D","121.66","337.6","326.48",""
"Charlotte Issagarre","K1D","123.6","481.29","347.12",""
"Hind Jamili","K1D","125.5","297.08","367.34",""
"Mana Thomas","K1D","125.95","326.24","372.12",""
"Laure Castel","K1D","137.92","580.01","499.51",""
"Marie-amelie Jullien","K1D","138.12","382.15","501.63",""
"Lucie Adisson","K1D","139.98","547.3","521.43",""
"Julie Fauroux","K1D","142.24","485.29","545.48",""
"Carla Cerrutti - Bozzola","K1D","142.51","402.03","548.35",""
"Deborah Bouchenot","K1D","143.65","545.56","560.49",""
"Coline Bertin","K1D","144.17","446.02","566.02",""
"Marie Boyer","K1D","145.94","647.08","584.85",""
"Lorene Scalbert","K1D","146.94","494.17","595.49",""
"Manon Scotto","K1D","150.04","855.81","628.49",""
"Juliette Rousset","K1D","160.74","-","742.36",""
"Oceane Charel","K1D","163.06","-","767.04",""
"Aude Lanchais","K1D","188.17","-","1034.25",""
"Emma Vieira Coelha","K1D","206.94","-","1234.01",""
"Sarah Monod","K1D","247.88","2033.34","1669.68",""
"Patricia Raspaut","K1D","276.41","4328.97","1973.29",""
"Chloe Faverjon","K1D","281.51","-","2027.56",""
"Pauline Desmaris","K1D","Abs","-","-",""
"Angele Hug","K1DM","122.08","-","330.94",""
"Eva Pietracha","K1DM","141.98","-","-",""
"Eva Bard","K1DM","147.05","-","596.67",""
"Marie Juquelier","K1DM","149.28","-","-",""
"Coline Charel","K1DM","155.22","-","683.61",""
"Capucine Dubut","K1DM","165.88","-","797.05",""
"Anais Boucher","K1DM","179.53","-","942.31",""
"Laura Guillem","K1DM","182.91","-","978.28",""
"Juliette Ribault","K1DM","202.13","-","1182.81",""
"Lea Ferraris","K1DM","203.59","-","-",""
"Martin Dougoud","K1H","89.19","81.34","104.32",""
"Enzo Seker","K1H","89.48","113.03","107.81",""
"Kevin Schultz","K1H","89.87","56.71","112.5",""
"Boris Chenal","K1H","90.43","59","119.23",""
"Nicolas Abbal","K1H","91.23","47.52","128.85",""
"Jimy Bercon","K1H","91.62","43.82","133.54",""
"Paul Brier","K1H","93.05","89.52","150.74",""
"Antoine Gaillard","K1H","93.32","193.96","153.99",""
"Titouan Dupras","K1H","94.95","137.48","173.59",""
"Martin Daviet","K1H","95.07","63.09","175.03",""
"Matthieu Le Gall","K1H","95.1","-","175.39",""
"Antonin Elne","K1H","95.22","151.87","176.83",""
"Kendaor Le Huitou","K1H","96.63","-","193.79",""
"Maxime Bottex","K1H","96.94","109.86","197.52",""
"Baptiste Granger","K1H","97.06","206.19","198.96",""
"Sebastien Nouvel","K1H","97.43","146.92","203.41",""
"Adrien Maire","K1H","97.7","178.81","206.66",""
"Loic Bertoia","K1H","98.79","200.46","219.76",""
"Pascal Ferry","K1H","99.11","166.83","223.61",""
"Gregoire Guerin","K1H","99.66","166.98","230.23",""
"Vincent Gerdeaux","K1H","99.72","197.8","230.95",""
"Mathieu Monier","K1H","99.84","225.79","232.39",""
"Romain Guyomard","K1H","99.96","92.49","233.83",""
"Maxime Le Morvan","K1H","100.08","195.41","235.28",""
"Valentin Vibert","K1H","100.09","236.38","235.4",""
"Paul Cornut-chauvinc","K1H","100.12","184.06","235.76",""
"Luc Doye","K1H","100.35","258.26","238.52",""
"Leo Fournier","K1H","100.43","214.04","239.48",""
"Erwan Cadio","K1H","100.47","206.29","239.97",""
"Alexis Lozachmeur","K1H","100.87","-","244.78",""
"Corentin Talancieux","K1H","101.09","269.75","247.42",""
"Alexandre Lismonde","K1H","101.29","221.21","249.83",""
"William Gettliffe","K1H","101.38","256.57","250.91",""
"Jonas Le Morvan","K1H","101.4","175.97","251.15",""
"Corentin Douady","K1H","102.09","219.61","259.45",""
"Matthieu Basset","K1H","102.14","180.93","260.05",""
"Charles Vallet","K1H","102.24","288.95","261.25",""
"Tristan Bronsard","K1H","102.32","209.26","262.21",""
"Louis Masson","K1H","102.55","199.97","264.98",""
"Sebastien Lepaulard","K1H","103.28","270.74","273.76",""
"Alexis Cordier","K1H","103.73","221.29","279.17",""
"Lucas Vancon","K1H","103.88","-","280.97",""
"Bertrand Bercon","K1H","104","219.79","282.41",""
"Julien Signarbieux","K1H","104.08","255.39","283.38",""
"Thomas Girard","K1H","104.23","295.78","285.18",""
"Thomas Denais","K1H","104.23","275.67","285.18",""
"Emeric Vibert","K1H","104.25","-","285.42",""
"Yohann Biglia","K1H","104.41","314.83","287.35",""
"Charles Fernandes De Oliveira","K1H","105.1","260.73","295.64",""
"Axel Kournwsky","K1H","105.19","215.52","296.72",""
"Alain Ferry","K1H","105.94","280.31","305.74",""
"Mathieu Lions","K1H","106.8","343.12","316.09",""
"Olivier Hardonniere","K1H","107.16","281.01","320.41",""
"Jean Philippe Roche","K1H","107.38","428.17","323.06",""
"Baptiste Podor","K1H","107.44","242.65","323.78",""
"Hippolyte Brunier","K1H","107.63","-","326.07",""
"Timothee Olla","K1H","108.21","397.27","333.04",""
"Hugo Andre","K1H","108.47","399.12","336.17",""
"Quentin Sablayrolles","K1H","108.78","315.4","339.9",""
"Thomas Neime","K1H","109.41","-","347.47",""
"Mathias Guillot","K1H","109.45","-","347.95",""
"Theo Viens","K1H","109.59","356.89","349.64",""
"Lilian Querry","K1H","109.88","284.58","353.12",""
"Yannick Grizaud","K1H","109.94","330.92","353.84",""
"Samuel Breton","K1H","110.16","477.58","356.49",""
"Alexis Mercoirol","K1H","111","-","366.59",""
"Olivier Barriere","K1H","111","322.88","366.59",""
"Boris Rostaing","K1H","111.08","407.57","367.55",""
"Adelin Constans","K1H","111.23","451.42","369.36",""
"Emmanuel Triomphe","K1H","111.25","319.72","369.6",""
"Julien Petit-maire","K1H","111.34","429.66","370.68",""
"Lucas Barriere","K1H","111.65","408.84","374.41",""
"Cyril Audoit","K1H","111.97","414.61","378.26",""
"Sebastien Routhier","K1H","113.05","762.95","391.24",""
"Maxime Gaillard","K1H","113.11","358.92","391.96",""
"Morgan Meffre","K1H","113.96","612.65","402.19",""
"Loris Duchesne","K1H","114.01","432.79","402.79",""
"Matteo Licoine","K1H","114.1","402.54","403.87",""
"Jeremie Devillers","K1H","114.22","413","405.31",""
"Arnaud Gallois","K1H","114.73","206.49","411.45",""
"Mahe Dersoir","K1H","115.33","418.87","418.66",""
"Thibaut Semiond","K1H","115.81","490.98","424.43",""
"Victorien Lombard","K1H","116.04","411.65","427.2",""
"Sylvain Bonnet","K1H","116.27","422.74","429.96",""
"Tomy Ly","K1H","116.55","-","433.33",""
"Pacome Ricciardi","K1H","116.74","471.81","435.62",""
"Emmanuel Lanchais","K1H","118.28","832.48","454.13",""
"Florent Cossou","K1H","118.37","-","455.22",""
"Flavien Portier","K1H","118.97","496.4","462.43",""
"Adrien Reinard","K1H","119","-","462.79",""
"Xavier Rat","K1H","120.14","393.34","476.5",""
"Paul Roubaud","K1H","121.19","450.94","489.13",""
"Martin Chiche","K1H","121.5","-","492.86",""
"Marc Scognamiglio","K1H","124.14","570.88","524.6",""
"Louis Burignat","K1H","125.67","463.05","543",""
"Lucien Goulet","K1H","126.08","616.26","547.93",""
"Jules Goutte-toquet","K1H","126.48","-","552.74",""
"Antoni Zaki","K1H","126.69","-","555.27",""
"Romain Gayral","K1H","127.3","837.37","562.6",""
"Emilien Senneret","K1H","130.54","807.91","601.56",""
"Yann Tabone","K1H","133.09","613.81","632.23",""
"Dominique Polard","K1H","133.31","-","634.87",""
"Hugo Polard","K1H","134.89","-","653.87",""
"Adrien Jacquemet","K1H","138.82","-","701.13",""
"Raphael Warot","K1H","145","602.73","775.45",""
"Jerome Burignat","K1H","146.2","-","789.88",""
"Gregoire Michel","K1H","149.95","-","834.97",""
"Paul Badache","K1H","153.16","1254.87","873.57",""
"Hugo Gondeaux","K1H","157.36","1044.83","924.08",""
"Anselm Arnaud","K1H","163.91","477.59","1002.85",""
"Lucas Ferro","K1H","167.13","706.85","1041.57",""
"Pierre Louis Debuigne","K1H","167.65","465.18","1047.82",""
"Clement Bachellerie","K1H","169.41","-","1068.98",""
"Benjamin Harreau","K1H","174.77","-","1133.44",""
"Benjamin Gonthier","K1H","185.6","-","1263.67",""
"Fabien Bezut","K1H","187.6","-","1287.72",""
"Stephane Breton","K1H","188.34","-","1296.62",""
"Sebastien Chilard","K1H","200.69","1676.58","1445.13",""
"Hugo Avril","K1H","235.64","871.8","1865.41",""
"Jean-louis Scotto","K1H","239.7","-","1914.24",""
"Thomas Galbrun","K1H","241.18","-","1932.03",""
"Morgan Hoarau","K1H","483.09","516.06","4841.05",""
"Alexandre Bordas","K1H","Abs","-","-",""
"Alexandre Marin","K1H","Abs","-","-",""
"Sylvain Dandel","K1H","Abs","-","-",""
"Damien Borlet","K1H","Abd","-","-",""
"Jeff Caron","K1H","Abs","-","-",""
"Yanis Delacour","K1H","Abs","-","-",""
"Emerick Billon","K1H","Abs","-","-",""
"Alan Bellot","K1H","Abs","-","-",""
"Pierre Poizat","K1H","Abs","-","-",""
"Guillaume Gery","K1H","Abs","-","-",""
"Jules Cresp","K1HM","107.11","-","319.81",""
"Kawan Thomas","K1HM","107.37","-","322.94",""
"Samuel Bonella","K1HM","107.42","-","323.54",""
"Jules Silvin","K1HM","107.64","-","326.19",""
"Dimitri Lotigie","K1HM","111.16","-","368.52",""
"Henri Bergognon","K1HM","111.54","-","-",""
"Emeric Bussonnais","K1HM","113.01","-","390.76",""
"Pierre Grapotte","K1HM","113.66","-","398.58",""
"Gael Adisson","K1HM","115.04","-","-",""
"Teo Bouvier","K1HM","115.42","-","419.74",""
"Louis Pein","K1HM","115.88","-","425.27",""
"Quentin Robin","K1HM","116.77","-","435.98",""
"Adrien Fischer","K1HM","117.28","-","-",""
"Thomas Courtois","K1HM","117.66","-","446.68",""
"Nayl Tazi-sidqui","K1HM","123.12","-","512.34",""
"Yann Leruste","K1HM","130.37","-","599.52",""
"Kilian Hervault","K1HM","131.2","-","609.5",""
"Paul Gaillard","K1HM","131.3","-","610.7",""
"Hugo Martin -laemle","K1HM","132.97","-","630.79",""
"Louis Mazoyer","K1HM","141.29","-","-",""
"Arthur Viallard","K1HM","150.21","-","-",""
"Loic Bouvier","K1HM","155.19","-","897.99",""
"Tom Benini","K1HM","164.66","-","1011.86",""
"Jimmy Ly","K1HM","168.11","-","-",""
"Arthur Tebib","K1HM","170.24","-","1078.96",""
"Enzo Mazouat","K1HM","172.01","-","1100.25",""
"Hugo Jugand","K1HM","190.57","-","1323.44",""
"Maxime Melmont","K1HM","216.32","-","-",""
"Leo Vansimay","K1HM","329.49","-","2993.98",""
"Julian Guglielmo","K1HM","Abs","-","-",""
"Tom Mazouat","K1HM","Abd","-","-",""
