"Sélectif Régional - Angoulême - Finale - 2014-12-14","Finale","2014-12-14","Régional","266"
"Dylan Sourbe-Axel Delage","C2H","130.94","492.29","456.07","Finale B"
"Julien Toussaint-Olivier Cain","C2H","131.62","669.03","463.89","Finale B"
"Tom Hibberd-Jerome Blanchet","C2H","132.03","-","468.58","Finale B"
"Louis Bouchiat-Michael Guyon","C2H","132.33","401.62","472.03","Finale B"
"Jeanfrancis Battesti-Pascal Brodiez","C2H","135.74","-","511.16","Finale B"
"Nathan Ferchaud-Dylan Dugourgeot","C2H","Nt","-","-","Finale B"
"Armelle Canali-Thibault Dufour","C2M","138.14","-","406.6","Finale B"
"Sophie Delage-Christian Boob","C2M","146.08","479.44","490.12","Finale B"
"Clemence Zago-Olivier Cain","C2M","155.5","726.15","589.21","Finale B"
"Tiphaine Drouin","K1D","121.43","285.53","309.95","Finale B"
"Armelle Canali","K1D","122.55","314.3","322.46","Finale B"
"Morgane Alain","K1D","126.41","-","365.58","Finale B"
"Camille Amis","K1D","130","804.65","405.68","Finale B"
"Barbara Lassechere","K1D","132.4","400.08","432.49","Finale B"
"Elsa Toumi","K1D","132.99","461.21","439.08","Finale B"
"Manon Zago","K1D","134.8","551.56","459.3","Finale B"
"Emma Puig","K1D","135.86","-","471.14","Finale B"
"Claire Verrons","K1D","188.75","-","1061.96","Finale B"
"Clemence Zago","K1D","231.3","754.16","1537.28","Finale B"
"Justine Crouzille","K1DM","154.77","700.9","682.39","Finale B"
"Emma Angladette","K1DM","179","-","-","Finale B"
"Margaux Longeau","K1DM","203.54","-","1227.19","Finale B"
"Amandine Comte","K1DM","Nt","-","-","Finale B"
"Olivier Nonnet","K1H","101.96","-","240.52","Finale B"
"Lucas Joubert","K1H","110.39","368.16","346.93","Finale B"
"Axel Delage","K1H","110.9","338.25","353.37","Finale B"
"Theau Le Loch","K1H","112.43","336.27","372.68","Finale B"
"Maxime Texier","K1H","112.5","180.83","373.57","Finale B"
"Joseph Robert","K1H","113.96","-","392","Finale B"
"Romain Poirier","K1H","114.01","379.78","392.63","Finale B"
"Pierre Ferrand","K1H","114.09","456.51","393.64","Finale B"
"Brice Guintard","K1H","114.82","381.69","402.85","Finale B"
"Jerome Muller","K1H","115.54","-","411.94","Finale B"
"Samuel Breton","K1H","115.71","384.23","414.09","Finale B"
"Zeph Scamps","K1H","116.04","460.28","418.25","Finale B"
"Benjamin Harreau","K1H","116.51","518.38","424.19","Finale B"
"Valentin Soullard","K1H","116.74","405.79","427.09","Finale B"
"Wilfried Truffy","K1H","117.3","471.52","434.16","Finale B"
"Maxime Bouvet","K1H","118.42","588.7","448.3","Finale B"
"Thomas Le Gall","K1H","119.26","652.58","458.9","Finale B"
"Emile Laurent","K1H","119.65","467.2","463.82","Finale B"
"Daniel Bregazzi","K1H","120.74","498.96","477.58","Finale B"
"Christophe Joubert","K1H","121.43","-","486.29","Finale B"
"Raphael Jean","K1H","121.53","479.33","487.55","Finale B"
"Yann Maillocheau","K1H","122.52","539.1","500.05","Finale B"
"Nathan Ferchaud","K1H","123.22","598.57","508.89","Finale B"
"Jamie Whitehouse","K1H","123.94","727.84","517.98","Finale B"
"Leo Aranda","K1H","124.63","541.64","526.69","Finale B"
"Dyllan Van De Weghe","K1H","124.74","614.32","528.07","Finale B"
"Michel Daupeux","K1H","124.78","591.41","528.58","Finale B"
"Jean-noel Biteau","K1H","125.57","-","538.55","Finale B"
"Yanis Koubaiti","K1H","125.75","553.78","540.82","Finale B"
"Mathias Pannetier","K1H","125.98","-","543.73","Finale B"
"Christophe Dieumegard","K1H","126.69","541.91","552.69","Finale B"
"Timothee Megard","K1H","127.34","-","560.89","Finale B"
"Antoine Bougette","K1H","127.48","610.33","562.66","Finale B"
"Frederic Foubert","K1H","128.33","599.6","573.39","Finale B"
"Mattias Poirat","K1H","131.02","621.83","607.35","Finale B"
"Jean Luc Pessoni","K1H","131.94","680.09","618.96","Finale B"
"Olivier Bourdet","K1H","132.95","715.24","631.71","Finale B"
"Thilbault Rucher","K1H","133.65","619.08","640.54","Finale B"
"NaËl Rajoub","K1H","134.16","734.28","646.98","Finale B"
"Adrien Roux","K1H","134.34","-","649.25","Finale B"
"Tom Baillon","K1H","138.12","-","696.97","Finale B"
"Bastien Hirat","K1H","139","707.45","708.08","Finale B"
"Damien Launay","K1H","142.43","123.42","751.37","Finale B"
"Morgan Deneuvy","K1H","144.36","1292.99","775.74","Finale B"
"Nour Rajoub","K1H","148.36","926.53","826.23","Finale B"
"Maurice Pubert","K1H","150.37","746.3","851.6","Finale B"
"Joseph Di Nisi","K1H","160.2","-","975.68","Finale B"
"LÉo Favrie","K1H","187.74","-","1323.32","Finale B"
"Nicolas Peyroux","K1H","203.39","1836.53","1520.87","Finale B"
"Thierry Le Bonniec","K1H","204.61","729.95","1536.27","Finale B"
"Yohann Laroche","K1H","225.34","-","1797.95","Finale B"
"Alexis Proust","K1H","378.15","-","3726.86","Finale B"
"Tom Hibberd","K1H","Nt","-","-","Finale B"
"Julien Toussaint","K1H","Abd","-","-","Finale B"
"Merwan Fliou","K1H","Nt","-","-","Finale B"
"Raphael Lassechere","K1HM","106.42","286.67","296.82","Finale B"
"Quentin Robin","K1HM","116.45","408.29","423.43","Finale B"
"Valentin Courtiade","K1HM","118.94","-","-","Finale B"
"Antoine Dey","K1HM","124.71","-","-","Finale B"
"Henri Chenu","K1HM","126.97","-","-","Finale B"
"Clement Capillon","K1HM","127.38","-","-","Finale B"
"Axel Forgerit","K1HM","127.85","-","-","Finale B"
"Thibault Alcaras","K1HM","128.6","-","-","Finale B"
"Ulysse Giel","K1HM","131.71","-","-","Finale B"
"Thomas Deguilhem","K1HM","136.62","-","678.03","Finale B"
"Noe Lhote","K1HM","138.72","-","-","Finale B"
"Martin Lassiste","K1HM","144.24","-","-","Finale B"
"Hugo Chevalier","K1HM","152.47","871.13","878.11","Finale B"
"Kevin Mousserion","K1HM","210.6","-","1611.88","Finale B"
"Quentin Roncin","K1HM","253.76","-","-","Finale B"
"Mathias Roy","K1HM","255.03","-","2172.72","Finale B"
"Nicolas Descat","K1HM","292.66","-","2647.73","Finale B"
"Luc Rouet- Trigoulet","K1HM","502.5","-","5296.53","Finale B"
"Leam Auffret","K1HM","Abd","-","-","Finale B"
