"4ème Manche de la Coupe de France Nationale 1 Slalom - Pôle Nautique De Nancy - Finale - 2017-04-02","Finale","2017-04-02","Nationale 1","137"
"Marjorie Delassus","K1D","112.8","112.46","128.22","Finale B"
"Sarah Despres","K1D","114.29","135.27","142.03","Finale B"
"Estelle Hellard","K1D","115.19","127.1","150.37","Finale B"
"Agathe Chaumet","K1D","116.1","168.94","158.81","Finale B"
"Marine Leveque","K1D","116.61","182.08","163.54","Finale B"
"Joey Bercon","K1D","117.84","113.33","174.94","Finale B"
"Emeline Oudet","K1D","119.02","114.69","185.87","Finale B"
"Lisa Mouffle","K1D","120.97","122.79","203.95","Finale B"
"Anais Bernardy","K1D","177.28","150.13","725.95","Finale B"
"Mathieu Desnos","K1H","92.61","36.72","52.66","Finale B"
"Guillaume Graille","K1H","93.28","69.63","59.68","Finale B"
"Thomas Schmitt","K1H","94.36","72.8","70.99","Finale B"
"Clement Travert","K1H","95.23","50.61","80.11","Finale B"
"Ludovic Di Nisi","K1H","95.33","71.51","81.15","Finale B"
"Thomas Rosset","K1H","95.7","68.39","85.03","Finale B"
"Gurgen Brun","K1H","96.04","88.61","88.59","Finale B"
"Edgar Prigent","K1H","96.24","80.71","90.69","Finale B"
"Paul Cornut-chauvinc","K1H","96.31","91.65","91.42","Finale B"
"Titouan Dupras","K1H","96.41","89.35","92.47","Finale B"
"Tom Scianimanico","K1H","96.71","70.72","95.61","Finale B"
"Louison Turmeau","K1H","96.89","104.46","97.49","Finale B"
"William Desnos","K1H","97.43","98.8","103.15","Finale B"
"Goulwen Chapelier","K1H","97.59","106.16","104.83","Finale B"
"Nicolas Abbal","K1H","97.83","60.39","107.34","Finale B"
"Julien Pajaud","K1H","98.03","90.75","109.44","Finale B"
"Maxime Bottex","K1H","98.28","109.1","112.05","Finale B"
"Malo Quemeneur","K1H","98.33","56.09","112.58","Finale B"
"Yann Le Govic","K1H","98.42","99.73","113.52","Finale B"
"Lucas Latimier","K1H","98.94","127.95","118.97","Finale B"
"Benjamin Jacon","K1H","98.99","78.29","119.49","Finale B"
"Fabien Le Nechet","K1H","99.33","128.2","123.05","Finale B"
"Kendaor Le Huitou","K1H","99.39","99.13","123.68","Finale B"
"Loic Bertoia","K1H","99.76","91","127.56","Finale B"
"Hugo Crepeau","K1H","99.82","136.43","128.19","Finale B"
"Quentin Bove","K1H","99.88","86.89","128.82","Finale B"
"Nicolas Baudoin","K1H","100.32","86.95","133.42","Finale B"
"Boris Chenal","K1H","100.37","117.96","133.95","Finale B"
"Mathys Huvelin","K1H","100.84","58.25","138.87","Finale B"
"Isaac Dufrene","K1H","101.42","162.07","144.95","Finale B"
"Vincent Delahaye","K1H","101.77","140.34","148.61","Finale B"
"Pol Oulhen","K1H","101.95","43.46","150.5","Finale B"
"Benoit Chantry","K1H","102.53","113.11","156.57","Finale B"
"Pierre Giudicelli","K1H","103.14","108","162.96","Finale B"
"Maxime Tilhet","K1H","103.52","107.19","166.94","Finale B"
"Thibault Marchand","K1H","104.01","80.18","172.08","Finale B"
"Robin Pottelette","K1H","104.01","159.12","172.08","Finale B"
"Nicolas Bernardy","K1H","104.22","140.68","174.28","Finale B"
"Jonas Turmeau","K1H","109.73","101.71","232","Finale B"
"Mathurin Madore","K1H","144.12","49.57","592.24","Finale B"
"Alan Dollo","K1H","150.43","99.52","658.33","Finale B"
