"Sélectif N3 Nord Est - Cergy - 2005-03-27","Course 1","2005-03-27","Nationale 3","157"
"Djamila Mihoubi","K1D","265.49","383","451",""
"Bucar Masa","K1D","275.30","321","501",""
"Remy Julie","K1D","281.46","505","533",""
"Calypso Freichel","K1D","283.33","332","544",""
"Marie Lucas","K1D","283.46","415","544",""
"Pariot Eloise","K1D","318.90","454","726",""
"Bergdoll Lucie","K1D","322.86","412","746",""
"Falcetta Charlotte","K1D","343.98","553","855",""
"Madelaine Caroline","K1D","347.30","688","872",""
"Cindy Beche","K1D","351.06","358","892",""
"Dachicourt Perrine","K1D","482.90","465","1569",""
"Stephanie Ansot","K1D","492.06","520","1616",""
"Clementine Vuillermot-panthou","K1D","521.40","682","1768",""
"Nicolas Mangeolle","K1H","194.78","241","218",""
"Julien Bley","K1H","201.29","246","256",""
"Yves Moreno","K1H","201.87","303","259",""
"Jeremy Cremonesi","K1H","203.96","267","271",""
"Stefan Stanik","K1H","204.72","319","276",""
"Thomas Rollot","K1H","205.26","281","279",""
"Nathan Barbier","K1H","205.40","265","280",""
"Beghoura Yoni","K1H","205.97","251","283",""
"Maignan Adrien","K1H","206.79","310","288",""
"Gilles Flores","K1H","207.24","321","290",""
"Emile Devaux","K1H","207.42","259","291",""
"Thibaud Vielliard","K1H","207.46","336","291",""
"Debruyere Benjamin","K1H","208.23","253","296",""
"Kevin Burgi","K1H","208.51","293","298",""
"Labouille Yannick","K1H","208.79","253","300",""
"Bastien Darcillon","K1H","209.88","279","306",""
"Christophe Billaud","K1H","209.90","281","306",""
"Billel Khenchouche","K1H","210.39","375","309",""
"Bajolet Julien","K1H","211.36","354","314",""
"Florent Tamburini","K1H","211.93","267","318",""
"Soria Amaury","K1H","212.07","362","319",""
"Le Berte Maxime","K1H","213.11","276","324",""
"Louison Tanet","K1H","213.56","306","327",""
"Viellard Amaury","K1H","214.28","261","332",""
"Olivier Urbain","K1H","215.46","318","338",""
"Stephane Rousse","K1H","215.59","510","339",""
"Patrick Gass","K1H","217.30","319","349",""
"Di Majo Romain","K1H","217.92","324","353",""
"Dupont Emmanuel","K1H","218.47","341","355",""
"Courtier Jeremy","K1H","218.74","359","357",""
"Drisch Nicolas","K1H","219.02","443","359",""
"Remi Thomas","K1H","219.59","399","363",""
"Demange Marc","K1H","220.34","255","366",""
"Alban Planchais","K1H","220.41","329","367",""
"Fievez Guillaume","K1H","220.79","376","369",""
"Terryn Gilles","K1H","220.93","370","370",""
"Hetier Louis","K1H","221.15","374","371",""
"Jodar Sebastien","K1H","221.29","330","372",""
"Philippe Valeri","K1H","221.74","328","375",""
"Loic Monbel","K1H","223.64","364","385",""
"Hitou Sofiane","K1H","224.52","386","391",""
"Savart Matthieu","K1H","224.65","358","392",""
"Guillaume Sebastien","K1H","225.12","325","395",""
"Matthieu Walfard","K1H","225.48","434","396",""
"Damien Burteaux","K1H","226.84","351","405",""
"Viratelle Vincent","K1H","226.94","359","405",""
"Gerard Lafargue","K1H","227.46","356","408",""
"Hayot Sylvain","K1H","228.08","343","412",""
"Thenon Gregori","K1H","228.27","402","413",""
"Bontemps Romain","K1H","228.42","506","414",""
"Pierre Baux","K1H","228.86","297","417",""
"Lagache Jean Christophe","K1H","229.74","396","421",""
"Frederic Caillet","K1H","230.24","434","424",""
"Reus Frederic","K1H","230.72","401","427",""
"Pascal Garnier","K1H","231.06","372","429",""
"Xavier Rat","K1H","231.41","354","431",""
"Vincent Bajolot","K1H","231.73","360","433",""
"Romain Viry","K1H","232.45","431","437",""
"Nicolas Burgi","K1H","233.15","463","441",""
"Barnavon Nicolas","K1H","233.87","444","445",""
"Diemert Maxime","K1H","235.65","397","456",""
"Thomas Monvoisin","K1H","237.72","495","468",""
"Jean Guyot","K1H","237.79","367","468",""
"Clement Martin","K1H","240.14","690","481",""
"Havet Jean-Yves","K1H","242.04","713","492",""
"Kermer Serge","K1H","244.10","-","504",""
"Benjamin Fourmet","K1H","244.30","524","506",""
"Benjamin Defrocourt","K1H","246.16","469","517",""
"Thibault Gautherot","K1H","246.87","556","521",""
"Barnavon Guillaume","K1H","246.96","453","522",""
"Remy Daumont","K1H","247.16","513","523",""
"Gautherot Mathieu","K1H","247.94","516","527",""
"Renoux Franck","K1H","249.06","386","533",""
"Nicolas Girault","K1H","255.20","633","569",""
"Arthur Veber","K1H","256.67","510","577",""
"Thomas Plomion","K1H","256.84","558","578",""
"Lair Nicolas","K1H","257.77","314","584",""
"Emmanuel Colajanni","K1H","259.62","398","595",""
"Geoffroy Schwentzel","K1H","263.85","287","619",""
"Gautier Boudat","K1H","265.74","531","630",""
"Sergent Sylvain","K1H","267.52","278","640",""
"Albertelli Romain","K1H","268.06","514","644",""
"Malderez Sebastien","K1H","269.47","315","652",""
"Averlant Alexis","K1H","273.41","406","675",""
"Gaetan Dheilly","K1H","274.44","446","681",""
"Germain Carre","K1H","279.28","525","709",""
"Mathieu Faure","K1H","288.40","378","762",""
"Leclerc Jerome","K1H","289.95","549","771",""
"Marquer Tanguy","K1H","291.31","541","779",""
"Legrand Adrien","K1H","298.81","332","822",""
"Eric Formet","K1H","300.97","542","835",""
"Deloge Brice","K1H","301.56","714","839",""
"Bensabeur Frederic","K1H","326.09","316","981",""
"Laurent Guyot","K1H","332.74","522","1019",""
"Gilles Lucas","K1H","332.95","449","1021",""
"Domenger Paul","K1H","335.49","686","1036",""
"Thomann Simon","K1H","341.06","516","1068",""
"Eric Lamour","K1H","343.18","436","1081",""
"Zawadzki Wilfried","K1H","345.30","435","1093",""
"Gonthier Lucas","K1H","356.89","643","1160",""
"Meunier Yoann","K1H","358.05","730","1167",""
"Meunier Logan","K1H","362.12","500","1190",""
"Jolivet Pierre","K1H","384.12","459","1318",""
"Ladouce Sebastien","K1H","399.73","603","1409",""
"Lefeure Thomas","K1H","403.47","673","1431",""
"Camille Mege","K1H","411.63","638","1478",""
"Brouillard Thibault","K1H","411.94","788","1480",""
"Dupin Nicolas","K1H","526.26","628","2144",""
