"Sélectif Régional de Slalom - 77200 Torcy - Finale - 2019-12-08","Finale","2019-12-08","Régional","162"
"Ophelie Delaplace","K1D","124.52","266.46","423.03","Finale A"
"Sophie Roye","K1D","140.77","598.71","605.39","Finale A"
"Laura Demuru","K1D","143.71","577.58","638.39","Finale A"
"Clara Delahaye","K1D","Abs","-","-","Finale A"
"Coline Regnier","K1DM","129.67","455.74","480.82","Finale A"
"Camille Brugvin","K1DM","131.97","548.48","506.64","Finale A"
"Solene Cantet","K1DM","132.6","618.11","513.7","Finale A"
"Jade Cascarino","K1DM","133.16","596.3","519.99","Finale A"
"Jade Dendele","K1DM","134.21","569.19","531.77","Finale A"
"Thomas Durand","K1H","83.47","34.57","84.12","Finale A"
"Pol Oulhen","K1H","88.41","35.71","146.76","Finale A"
"Vincent Delahaye","K1H","89.06","49.52","155.01","Finale A"
"Jonas Turmeau","K1H","90.2","151.01","169.46","Finale A"
"Benoit Chantry","K1H","92.29","173.38","195.97","Finale A"
"Yohan Marck","K1H","92.74","335.99","201.68","Finale A"
"Hector Combes","K1H","93.39","238.38","209.92","Finale A"
"Matheo Dupont","K1H","97.09","300.17","256.84","Finale A"
"Melvin Queudeville","K1H","97.22","267.89","258.49","Finale A"
"Antoine Huger","K1H","101.57","427.49","313.65","Finale A"
"Thibaut Evrard","K1H","102.6","300.76","326.71","Finale A"
"Nathan Huguenin","K1H","102.85","296.14","329.88","Finale A"
"Mathis Piepho","K1H","103.1","347.14","333.06","Finale A"
"Florian Perenchio","K1H","103.26","431.82","335.08","Finale A"
"Erwan Laloux","K1H","105.88","518.86","368.31","Finale A"
"Paul Cascarino","K1H","107.69","407.44","391.26","Finale A"
"Florent Bernard","K1H","108.17","401.19","397.35","Finale A"
"Maxime Kerbrat","K1H","112.87","493.85","456.95","Finale A"
"Louis Marvillet","K1H","114.27","531.72","474.71","Finale A"
"Robin Le Mazurier","K1H","115.89","550.33","495.25","Finale A"
"Elias Bouddour","K1H","117.33","1153.38","513.51","Finale A"
"Philippe Piat","K1H","118.29","502.79","525.69","Finale A"
"Beranger Doulle","K1H","118.68","467.5","530.63","Finale A"
"Jerome Payen","K1H","120.85","1498.77","558.15","Finale A"
"Leo Tellier","K1H","122.38","652.92","577.55","Finale A"
"Dimitri Tostain","K1H","123.06","796.85","586.18","Finale A"
"Gerard Lafargue","K1H","123.81","588.3","595.69","Finale A"
"Theo Siguret","K1H","126.06","522.85","624.22","Finale A"
"Mathurin Madore","K1H","135.33","10.39","741.78","Finale A"
"Leni Perreau","K1HM","96.04","355.59","243.52","Finale A"
"Axel Colin","K1HM","97.6","303.54","263.31","Finale A"
"Loic Dufour","K1HM","113.12","559.84","460.12","Finale A"
"Pierre-louis Mingasson","K1HM","113.75","504.74","468.11","Finale A"
"Pierric Clipet","K1HM","113.76","452.83","468.24","Finale A"
"Clement Brault","K1HM","114.61","680.59","479.02","Finale A"
"Hugo Hernoux","K1HM","121.6","596.3","567.66","Finale A"
"Thomas Gaud","K1HM","122.53","580.22","579.46","Finale A"
"Kavishan Kulatunga","K1HM","125.75","648.65","620.29","Finale A"
"Joris Bonine","K1HM","125.99","707.55","623.33","Finale A"
"Teo Tester","K1HM","130.67","722.45","682.68","Finale A"
"Nouredine Zerouga","K1HM","131.22","891.24","689.66","Finale A"
"Timothee Borde","K1HM","139.9","1127.25","799.73","Finale A"
"Julie Dupas","C1D","148.9","532.04","604.15","Finale B"
"Laura Demuru","C1D","148.91","627.57","604.26","Finale B"
"Maelle Bedoin","C1D","174.21","925.45","871.63","Finale B"
"Thibaut Evrard","C1H","131.77","721.03","622.06","Finale B"
"Beranger Doulle","C1H","132.65","685.75","632.68","Finale B"
"Theo Siguret","C1H","135.34","696.27","665.17","Finale B"
"Gilles Gaud","C1H","135.89","595.4","671.82","Finale B"
"Robin Le Mazurier","C1H","138.8","781.21","706.96","Finale B"
"Erwan Laloux","C1H","143.55","960.15","764.33","Finale B"
"Xavier Perreau","C1H","145.75","787.55","790.91","Finale B"
"Mathieu Benkaroun","C1H","146.37","815.56","798.39","Finale B"
"Antoine Huger","C1H","146.81","729.92","803.71","Finale B"
"Leo Tellier","C1H","147.16","936.45","807.93","Finale B"
"Maxime Kerbrat","C1H","148.12","791.35","819.53","Finale B"
"Louis Marvillet","C1H","148.9","1067.14","828.96","Finale B"
"Alain Brucher","C1H","151.29","1018.7","857.82","Finale B"
"Gauthier Masson","C1H","155.82","945.13","912.53","Finale B"
"Kavishan Kulatunga","C1HM","147.58","897.59","813","Finale B"
"Qeis Khalfaoui","C1HM","148.74","1128.27","827.02","Finale B"
"Hugo Hernoux","C1HM","154.12","717.83","892","Finale B"
"Kyllian Leroux Senac","C1HM","156.47","1032.13","920.38","Finale B"
"Timothee Borde","C1HM","167.63","934.91","1055.17","Finale B"
"Coralie Delmotte","K1D","144.05","796.21","647.2","Finale B"
"Amelie Gonzalez","K1D","153.1","751.21","748.77","Finale B"
"Maelle Bedoin","K1D","157.13","831.29","793.99","Finale B"
"Anais Tchoua","K1D","158.78","653.7","812.51","Finale B"
"Christine Darchez","K1D","158.86","800.4","813.41","Finale B"
"Stephanie Perreau","K1D","159.81","846.8","824.07","Finale B"
"Romane Bedoin","K1D","177.91","1052.94","1027.19","Finale B"
"Isabelle Rousseau","K1D","189.62","1015.7","1158.61","Finale B"
"Noemie Tchoua","K1D","Abs","-","-","Finale B"
"Amaury Brucher","K1H","94.4","247.3","227.73","Finale B"
"Loick Manoury","K1H","104.69","433.65","358.22","Finale B"
"Valentin Fleury","K1H","120.12","513.02","553.89","Finale B"
"Ibrahim Ben-belgacem","K1H","120.84","757.77","563.02","Finale B"
"Sebastien Tester","K1H","123","607.92","590.42","Finale B"
"Mathieu Benkaroun","K1H","124.09","714.83","604.24","Finale B"
"Maixent De Poucques","K1H","124.14","655.24","604.87","Finale B"
"Philippe Valeri","K1H","125.99","582.48","628.33","Finale B"
"Alain Brucher","K1H","127.34","736.79","645.45","Finale B"
"Garvan Boulben","K1H","127.74","675.89","650.53","Finale B"
"Ludovic Roye","K1H","132.08","574.03","705.56","Finale B"
"Victor Cauet","K1H","133.77","886.29","727","Finale B"
"Esteban Saussereau","K1H","133.86","758.67","728.14","Finale B"
"Axel Tempier","K1H","134.41","826.7","735.11","Finale B"
"Erik Vallauri","K1H","135.17","980.99","744.75","Finale B"
"Francois Vuillermot","K1H","135.84","761.71","753.25","Finale B"
"Theo Griffit","K1H","137.05","841.65","768.59","Finale B"
"Patrick Charlaigre","K1H","138.48","673.86","786.73","Finale B"
"Joseph Simonpietri","K1H","140.74","923.11","815.39","Finale B"
"Fabien Lemaitre","K1H","140.92","813.85","817.67","Finale B"
"Michel Joly","K1H","142.34","660.39","835.68","Finale B"
"Lucas Franetich","K1H","143.63","741.52","852.04","Finale B"
"Ganny Dinally","K1H","145.24","653.43","872.45","Finale B"
"Marc-olivier Dufour","K1H","146.84","824.66","892.74","Finale B"
"Jorge Govea Martinez","K1H","155.88","1204.93","1007.38","Finale B"
"Denis Marrocos","K1H","159.35","869.89","1051.39","Finale B"
"Florent Saleur","K1H","Abs","-","-","Finale B"
"Antonin Costa","K1HM","130.3","791.44","682.99","Finale B"
"Qeis Khalfaoui","K1HM","131.97","667.05","704.17","Finale B"
"Enzo Marchand","K1HM","133.2","772.84","719.77","Finale B"
"Kyllian Leroux Senac","K1HM","139.05","770.85","793.95","Finale B"
"Souleymane Ndoye","K1HM","146.31","1040.83","886.02","Finale B"
"Maximilien Rousson","K1HM","149.27","711.06","923.56","Finale B"
"Marc Sanchez","K1HM","151.61","989.08","953.23","Finale B"
"Victor Berland Laporte","K1HM","151.94","996.26","957.42","Finale B"
"Leandre Richard","K1HM","155.07","1050.24","997.11","Finale B"
"Gabriel Jourd'heuil","K1HM","155.76","877.87","1005.86","Finale B"
"Baptiste Paris","K1HM","Abs","-","-","Finale B"
