"Manche de la Coupe de France Nationale 1 slalom - Guilligomarc'h - Site Des Roches Du Diable - Finale - 2015-03-01","Finale","2015-03-01","Nationale 1","136"
"Enrick Cunsolo","K1H","104.39","60.47","109.16","Finale A"
"Thibault Marchand","K1H","108.31","107.4","142.11","Finale A"
"Quentin Mignard","K1H","108.75","88.07","145.81","Finale A"
"Martin Daviet","K1H","210.57","61.01","1001.76","Finale A"
"Ella Bregazzi","C1D","130.21","126.52","148.77","Finale B"
"Caroline Loir","C1D","151.16","56.44","295.54","Finale B"
"Anne-lise Moisan-ehrwein","C1D","151.32","205.03","296.66","Finale B"
"Lucie Prioux","C1D","184.33","113.13","527.91","Finale B"
"Lisa Robin","C1D","214.9","294","742.06","Finale B"
"Azenor Philip","C1D","216.68","232.27","754.54","Finale B"
"Marjorie Delassus","C1D","243.69","271.39","943.75","Finale B"
"Fanchon Janssen","C1D","267.16","227.87","1108.17","Finale B"
"Simon Le Friec","C1H","104.16","48.89","70.53","Finale B"
"Erwan Marchais","C1H","106.43","75.43","88.7","Finale B"
"Corentin Oulhen","C1H","114.13","148.96","150.35","Finale B"
"Thibaut Perroteau","C1H","114.54","140.59","153.63","Finale B"
"Jean Pierre Bourhis","C1H","115.76","97.16","163.4","Finale B"
"Alexandre Paulais","C1H","122.39","158.97","216.48","Finale B"
"Julian Othenin-girard","C1H","123.56","122.38","225.84","Finale B"
"Antoine Gaillard","C1H","123.98","155.54","229.21","Finale B"
"Charles Dampeyrou","C1H","133.58","183.25","306.07","Finale B"
"Lucas Vancon","C1H","170.76","137.21","603.74","Finale B"
"Gael Le Noc","C1H","175.75","164.01","643.69","Finale B"
"Guillaume Le Bourdonnec","C1H","184.54","179.58","714.06","Finale B"
"Antoine Roux","C1H","206.52","115.89","890.04","Finale B"
"Tom Maffeis","C1H","268.86","171.43","1389.15","Finale B"
"Lucas Hives - Sorin","C1H","Abs","-","-","Finale B"
"Louis Bouclier-Martin Mottais","C2H","117.58","124.16","135.18","Finale B"
"Bastien Damiens-Thibaud Vielliard","C2H","129.68","106.06","227.65","Finale B"
"Mathieu Fougere-Thomas Fougere","C2H","131.24","81.58","239.57","Finale B"
"Jeremy Cremonesi-Mathieu Voyemant","C2H","176.72","156.82","587.15","Finale B"
"Basile Desclos-Victor Desclos-le Peley","C2H","226.09","240.4","964.44","Finale B"
"Antoine Giudicelli-Francois Giudicelli","C2H","Abs","-","-","Finale B"
"Romane Prigent","K1D","121.95","127.63","143.83","Finale B"
"Caroline Loir","K1D","123.31","36.89","153.95","Finale B"
"Lea Gaigeot","K1D","124.45","110.06","162.43","Finale B"
"Claire Gaigeot","K1D","124.85","105.33","165.41","Finale B"
"Margaux Henry","K1D","125.64","87.29","171.29","Finale B"
"Lucie Prioux","K1D","129.15","101.88","197.4","Finale B"
"Maria Ferekidi","K1D","155.21","96.55","391.27","Finale B"
"Lea Wetzel","K1D","181.14","94.64","584.17","Finale B"
"Lea Turmeau","K1D","222.29","116.49","890.3","Finale B"
"Berenice Kolenc","K1D","Abs","-","-","Finale B"
"Renaud Doby","K1H","99.7","27.95","74.73","Finale B"
"Malo Quemeneur","K1H","101.82","105.31","92.55","Finale B"
"Clement Travert","K1H","102.18","98.55","95.58","Finale B"
"Kevin Schultz","K1H","102.22","57.38","95.91","Finale B"
"Goulwen Chapelier","K1H","102.28","77.52","96.42","Finale B"
"Boris Chenal","K1H","103.6","59","107.51","Finale B"
"Alexandre Dherbilly","K1H","103.93","83.13","110.29","Finale B"
"Damien Laborde","K1H","104.44","117.48","114.58","Finale B"
"Samuel Lhegu","K1H","104.48","84.29","114.91","Finale B"
"Andy Pajani","K1H","104.85","91.27","118.02","Finale B"
"Bertrand Gutierrez","K1H","104.89","77.26","118.36","Finale B"
"Nicolas Feuillard","K1H","106.73","124.71","133.83","Finale B"
"Jonathan Delagnes","K1H","106.82","103.26","134.58","Finale B"
"Guillaume Graille","K1H","107.47","111.21","140.05","Finale B"
"Ewen Legrand","K1H","107.51","83.97","140.38","Finale B"
"James Duvernoy","K1H","107.6","83.83","141.14","Finale B"
"Benjamin Thiboust","K1H","109.87","113.27","160.22","Finale B"
"Alexandre Lucas","K1H","110.72","153.09","167.37","Finale B"
"Ludovic Di Nisi","K1H","113.03","24.03","186.79","Finale B"
"Romain Lecrenais-perrel","K1H","114.97","122.91","203.1","Finale B"
"Pierre Hellard","K1H","115.04","118.74","203.68","Finale B"
"Maxime Bottex","K1H","115.16","118.9","204.69","Finale B"
"Alan Dollo","K1H","164.84","101.97","622.33","Finale B"
"Jonathan Chapatte","K1H","170.26","104.33","667.89","Finale B"
"Sami Rocher","K1H","172.02","94.47","682.69","Finale B"
"Romain Faurie","K1H","174.87","108.78","706.65","Finale B"
"Mathieu Douillet","K1H","Abs","-","-","Finale B"
