"Challenge du Printemps - Ancerville - 2007-04-29","Course 2","2007-04-29","Régional","137"
"Geoffroy Schwentzel","K1H","202.26","287","324",""
"Despres Christophe","K1H","202.96","-","328",""
"Matthieu Basset","K1H","203.31","322","330",""
"Jerome Laflotte","K1H","204.80","381","342",""
"Florient Tagnon","K1H","205.29","279","345",""
"Mael Othenin Girard","K1H","206.74","306","355",""
"Yann Tosser  Roussey","K1H","207.61","331","360",""
"Arthur Veber","K1H","208.56","354","367",""
"Clement Mangeolle","K1H","208.70","449","368",""
"Bessiere Florian","K1H","210.56","350","382",""
"Youcef Bahlat","K1H","210.89","327","384",""
"Anthony Beaudoing","K1H","210.99","414","384",""
"Yann Gudefin","K1H","217.09","83","426",""
"Jerome Mailfait","K1H","217.66","405","431",""
"Thevenin Johann","K1H","224.17","425","477",""
"Tillet Jerome","K1H","225.65","-","487",""
"Backscheider Adrien","K1H","226.18","376","490",""
"Eric Formet","K1H","228.02","-","503",""
"Pierre Cassin","K1H","228.58","446","507",""
"Silvere Desongins","K1H","229.40","466","512",""
"Alexandre Bordas","K1H","232.18","750","532",""
"Guillaume Cochut","K1H","232.39","565","534",""
"Aurelien Noiret","K1H","233.20","449","539",""
"Arnaud Delachaux","K1H","234.76","-","550",""
"Nicolas Mangeolle","K1H","234.87","229","551",""
"Florent Tamburini","K1H","236.01","175","559",""
"Adrien Kaiser","K1H","240.38","976","589",""
"Cheval Kevin","K1H","243.31","549","609",""
"Anton Chervontsev","K1H","244.73","-","620",""
"Jerome Urbanczyk","K1H","245.24","540","623",""
"Remi Vallin","K1H","247.81","977","641",""
"Oueslati Pierre-Yves","K1H","253.89","900","683",""
"Brouillard Aurelien","K1H","258.89","744","718",""
"Colas Geier","K1H","260.03","1322","727",""
"Andre Kempf","K1H","266.87","638","774",""
"Beranger Doulle","K1H","274.77","-","829",""
"Julien Lamendin","K1H","277.00","-","845",""
"Debroye Martin","K1H","299.26","-","1000",""
"Aimeric Brouillard","K1H","304.43","839","1036",""
"Grekoff Sydney","K1H","307.83","-","1059",""
"Jules Argentini","K1H","342.30","414","1299",""
"Cosse Charles","K1H","442.25","-","1996",""
