"Championnat Régional - Lavancia - Course 1 | Finale - 2014-10-25","Course 1 | Finale","2014-10-25","Régional","169"
"Gauthier Gonseth-Guillaume Gonseth","C2H","121.67","424.21","361.77","Course 1 | Finale A"
"Emeric Vibert-Valentin Vibert","C2H","126.92","445.84","420.14","Course 1 | Finale A"
"Tom Mazouat-Enzo Mazouat","C2HM","169.39","2313.27","892.27","Course 1 | Finale A"
"Yann Leruste-Nicolas Meyer","C2HM","291.83","-","2253.4","Course 1 | Finale A"
"Jerome Daille-Sabine Kleinhenz","C2M","133.5","-","369.61","Course 1 | Finale A"
"Viviana Daille-Timothee Olla","C2M","143.49","-","471.41","Course 1 | Finale A"
"Chloe Faverjon-Benjamin Gonthier","C2M","232.98","3048.6","1383.35","Course 1 | Finale A"
"Fanchon Janssen","K1D","109.04","220.35","189.19","Course 1 | Finale A"
"Mylene Ferry","K1D","109.75","150.36","196.87","Course 1 | Finale A"
"Clementine Geoffray","K1D","109.76","79.58","196.98","Course 1 | Finale A"
"Flora Huvelin","K1D","115.02","90.74","253.91","Course 1 | Finale A"
"Louise Bichet","K1D","116.88","246.21","274.03","Course 1 | Finale A"
"Viviana Daille","K1D","117.18","210.73","277.27","Course 1 | Finale A"
"Hind Jamili","K1D","117.97","282.04","285.82","Course 1 | Finale A"
"Carine Chapuis","K1D","120.22","297.19","310.17","Course 1 | Finale A"
"Marie-amelie Jullien","K1D","120.45","364.21","312.66","Course 1 | Finale A"
"Fanny Mino-vercellio","K1D","122.81","283.37","338.2","Course 1 | Finale A"
"Candice Brondel","K1D","122.97","256.95","339.93","Course 1 | Finale A"
"Carla Cerrutti - Bozzola","K1D","132.43","429.56","442.31","Course 1 | Finale A"
"Angele Hug","K1DM","120.98","344.33","318.4","Course 1 | Finale A"
"Anais Boucher","K1DM","127.21","440.81","385.81","Course 1 | Finale A"
"Louane Chenal","K1DM","133.54","-","-","Course 1 | Finale A"
"Marie Juquelier","K1DM","137.33","-","-","Course 1 | Finale A"
"Tifenn Primet","K1DM","138.16","558.03","504.31","Course 1 | Finale A"
"Lea Ferraris","K1DM","Abd","-","-","Course 1 | Finale A"
"Martin Dougoud","K1H","91.15","79.31","123.82","Course 1 | Finale A"
"Romain Faurie","K1H","93.17","109.5","148.52","Course 1 | Finale A"
"Maxime Bottex","K1H","93.82","118.9","156.47","Course 1 | Finale A"
"Gregoire Guerin","K1H","95.66","166.05","178.97","Course 1 | Finale A"
"Titouan Dupras","K1H","96.81","141.09","193.03","Course 1 | Finale A"
"Mathieu Monier","K1H","97.64","213.32","203.18","Course 1 | Finale A"
"Aubry Bertin","K1H","97.68","122.3","203.67","Course 1 | Finale A"
"Robin Pilard","K1H","97.75","152.76","204.53","Course 1 | Finale A"
"Loic Bertoia","K1H","98.24","180.91","210.52","Course 1 | Finale A"
"Erwan Cadio","K1H","99.04","206.86","220.3","Course 1 | Finale A"
"Nikolas Stanik","K1H","99.62","205.96","227.39","Course 1 | Finale A"
"Paul Cornut-chauvinc","K1H","99.84","184.06","230.09","Course 1 | Finale A"
"Adrien Maire","K1H","101.61","184.37","251.73","Course 1 | Finale A"
"Nathan Boudaillez","K1H","102.23","254.01","259.31","Course 1 | Finale A"
"Pascal Ferry","K1H","102.57","191.44","263.47","Course 1 | Finale A"
"Valentin Vibert","K1H","102.89","233.58","267.38","Course 1 | Finale A"
"Thomas Girard","K1H","103.72","279.42","277.53","Course 1 | Finale A"
"Louis Masson","K1H","104.08","199.97","281.93","Course 1 | Finale A"
"Axel Kournwsky","K1H","104.08","223.15","281.93","Course 1 | Finale A"
"Jean Philippe Winiarski","K1H","104.16","217.52","282.91","Course 1 | Finale A"
"Charles Fernandes De Oliveira","K1H","104.23","250.45","283.77","Course 1 | Finale A"
"Emeric Vibert","K1H","104.38","251.55","285.6","Course 1 | Finale A"
"Bertrand Bercon","K1H","104.59","245.47","288.17","Course 1 | Finale A"
"Alain Ferry","K1H","104.87","277.18","291.59","Course 1 | Finale A"
"Charles Vallet","K1H","107.01","277.92","317.76","Course 1 | Finale A"
"Alexandre Marin","K1H","107.59","270.09","324.86","Course 1 | Finale A"
"Boris Rostaing","K1H","110.68","360.37","362.64","Course 1 | Finale A"
"Henri Bergognon","K1HM","106.26","-","-","Course 1 | Finale A"
"Samuel Bonella","K1HM","107.66","356.94","325.71","Course 1 | Finale A"
"Dimitri Lotigie","K1HM","108.84","347.71","340.14","Course 1 | Finale A"
"Jules Silvin","K1HM","108.93","336.8","341.24","Course 1 | Finale A"
"Jules Bernardet","K1HM","110.56","372.1","361.17","Course 1 | Finale A"
"Raphael Olla","K1HM","111.64","-","374.38","Course 1 | Finale A"
"Teo Bouvier","K1HM","114.85","406.46","413.63","Course 1 | Finale A"
"Pierre Grapotte","K1HM","115.32","403.24","419.38","Course 1 | Finale A"
"Tristan Le Merour","K1HM","116.19","-","430.02","Course 1 | Finale A"
"Hugo Martin -laemle","K1HM","127.55","570.45","568.93","Course 1 | Finale A"
"Louise Bichet","C1D","166.46","601.46","710.49","Course 1 | Finale B"
"Clementine Geoffray","C1D","166.58","-","711.71","Course 1 | Finale B"
"Coline Bertin","C1D","176.29","889.54","810.65","Course 1 | Finale B"
"Capucine Dubut","C1DM","211.53","-","1169.77","Course 1 | Finale B"
"Alice Evlachev","C1DM","238.52","-","1444.81","Course 1 | Finale B"
"Christopher Lucas","C1H","110.22","264.52","297.83","Course 1 | Finale B"
"Nicolas Eymaron","C1H","118.14","358.94","390.07","Course 1 | Finale B"
"Martin Dougoud","C1H","118.16","547.12","390.3","Course 1 | Finale B"
"Timothee Olla","C1H","120.01","331","411.85","Course 1 | Finale B"
"Guillaume Gonseth","C1H","125.31","390.15","473.58","Course 1 | Finale B"
"Louis Masson","C1H","129.33","530.41","520.39","Course 1 | Finale B"
"Maxime Gaillard","C1H","130.78","624.7","537.27","Course 1 | Finale B"
"Loic Bertoia","C1H","134.66","426.72","582.47","Course 1 | Finale B"
"Valentin Vibert","C1H","135.4","463.09","591.08","Course 1 | Finale B"
"Alain Ferry","C1H","138.99","866.08","632.89","Course 1 | Finale B"
"Boris Rostaing","C1H","196","604.11","1296.84","Course 1 | Finale B"
"Timothe Fontaine","C1H","212.64","-","1490.63","Course 1 | Finale B"
"Paul Gaillard","C1HM","142.19","625.96","670.16","Course 1 | Finale B"
"Maxime Melmont","C1HM","183.31","-","-","Course 1 | Finale B"
"Arthur Tebib","C1HM","325.83","-","2808.85","Course 1 | Finale B"
"Loic Bouvier","C1HM","Abd","-","-","Course 1 | Finale B"
"Paul Cornut-chauvinc-Romain Gayral","C2H","127.12","563.77","427.36","Course 1 | Finale B"
"Maxime Bottex-Titouan Dupras","C2H","128.97","497.13","447.92","Course 1 | Finale B"
"Raphael Olla-Timothee Olla","C2H","129.02","-","448.48","Course 1 | Finale B"
"Dimitri Lotigie-Thomas Girard","C2H","208.6","-","1333.15","Course 1 | Finale B"
"Sabine Kleinhenz","K1D","125.7","-","374.48","Course 1 | Finale B"
"Emma Vieira Coelha","K1D","134.77","749.34","472.62","Course 1 | Finale B"
"Coline Bertin","K1D","134.82","432.04","473.17","Course 1 | Finale B"
"Lucie Bichet","K1D","139.01","504.67","518.52","Course 1 | Finale B"
"Sarah Monod","K1D","139.39","658.28","522.62","Course 1 | Finale B"
"Deborah Bouchenot","K1D","142.69","543.94","558.33","Course 1 | Finale B"
"Juliette Rousset","K1D","143.38","752.63","565.8","Course 1 | Finale B"
"Anais Mouhoub","K1D","144.67","455.9","579.77","Course 1 | Finale B"
"Manon Scotto","K1D","146.92","681.94","604.11","Course 1 | Finale B"
"Pauline Desmaris","K1D","150.6","1341.78","643.93","Course 1 | Finale B"
"Chloe Faverjon","K1D","192.07","1924.66","1092.7","Course 1 | Finale B"
"Eva Bard","K1DM","143.21","929.16","563.97","Course 1 | Finale B"
"Juliette Ribault","K1DM","150.84","-","646.54","Course 1 | Finale B"
"Capucine Dubut","K1DM","152.78","1195.7","667.53","Course 1 | Finale B"
"Alice Evlachev","K1DM","158.27","-","726.94","Course 1 | Finale B"
"Victoire Guerin","K1DM","217.78","-","-","Course 1 | Finale B"
"Emilie Armani","K1DM","225.99","-","1459.77","Course 1 | Finale B"
"Yoni Beghoura","K1H","106.93","-","321.78","Course 1 | Finale B"
"Smail Mouhoub","K1H","107.06","296.28","323.37","Course 1 | Finale B"
"Jeff Caron","K1H","109.15","451.31","348.93","Course 1 | Finale B"
"Maxime Gaillard","K1H","110.83","332","369.48","Course 1 | Finale B"
"Jean Philippe Roche","K1H","111.61","351.81","379.01","Course 1 | Finale B"
"Louis Burignat","K1H","112.51","425.02","390.02","Course 1 | Finale B"
"Antoni Zaki","K1H","114.14","460","409.95","Course 1 | Finale B"
"Julien Petit-maire","K1H","114.97","394.58","420.1","Course 1 | Finale B"
"Emerick Billon","K1H","115.41","368.97","425.48","Course 1 | Finale B"
"Adelin Constans","K1H","115.52","356.36","426.83","Course 1 | Finale B"
"Florian Jarousse","K1H","116.24","-","435.63","Course 1 | Finale B"
"Romain Gayral","K1H","119.24","564.67","472.32","Course 1 | Finale B"
"Sebastien Routhier","K1H","119.43","437.45","474.64","Course 1 | Finale B"
"Valentin Dancette","K1H","119.86","-","479.9","Course 1 | Finale B"
"Benjamin Bergin","K1H","120.77","534.08","491.03","Course 1 | Finale B"
"Yanis Delacour","K1H","126.07","532.59","555.84","Course 1 | Finale B"
"Christopher Lucas","K1H","126.33","-","559.02","Course 1 | Finale B"
"Erwan Degreve","K1H","128.91","-","590.57","Course 1 | Finale B"
"Olivier Mercier","K1H","130.58","642.42","610.99","Course 1 | Finale B"
"Adrien Jacquemet","K1H","130.89","574.77","614.78","Course 1 | Finale B"
"Jerome Burignat","K1H","131.26","785.12","619.3","Course 1 | Finale B"
"Emilien Senneret","K1H","134.24","633.19","655.74","Course 1 | Finale B"
"Timothe Fontaine","K1H","143.26","-","766.04","Course 1 | Finale B"
"Pierre Poizat","K1H","147.33","-","815.81","Course 1 | Finale B"
"Damien Borlet","K1H","154.05","-","897.99","Course 1 | Finale B"
"Remy Beal","K1H","196.43","-","1416.23","Course 1 | Finale B"
"Benjamin Gonthier","K1H","202.19","1099.2","1486.66","Course 1 | Finale B"
"Louis Collin","K1H","Abd","-","-","Course 1 | Finale B"
"Paul Gaillard","K1HM","128.69","543.94","587.88","Course 1 | Finale B"
"Yann Leruste","K1HM","131.39","682.94","620.89","Course 1 | Finale B"
"Nino Chailan","K1HM","137.13","-","-","Course 1 | Finale B"
"Arthur Tebib","K1HM","140.94","1160.54","737.67","Course 1 | Finale B"
"Enzo Mazouat","K1HM","144.53","974.66","781.57","Course 1 | Finale B"
"Tom Mazouat","K1HM","146.43","1369.63","804.81","Course 1 | Finale B"
"Maxime Melmont","K1HM","149.02","-","-","Course 1 | Finale B"
"Loic Bouvier","K1HM","180.25","-","1218.37","Course 1 | Finale B"
"Corentin Sabaut","K1HM","222.49","-","1734.9","Course 1 | Finale B"
