"Sélectif National 3 Slalom Ouest - La Meaugon - Qualification - 2018-03-25","Qualification","2018-03-25","Nationale 3","247"
"Valentin Rault","K1H","90.65","372.93","369.78",""
"Gregory Metayer","K1H","90.73","316.32","370.96",""
"Samuel Le Dean","K1H","90.74","350.96","371.11",""
"Martin Dubois","K1H","90.9","301.43","373.48",""
"Louis Brocard","K1H","90.92","407.79","373.77",""
"GaËtan De Greef","K1H","90.95","353.44","374.22",""
"Lionel Tinevez","K1H","91","300.53","374.96",""
"Edouard Cozigou","K1H","91.01","382.37","375.11",""
"Thomas Brochard","K1H","91.2","307.88","377.92",""
"Yannis Houze","K1H","91.49","419.54","382.21",""
"Thibaud Chevalier","K1H","91.56","323.5","383.25",""
"Come Le Gal","K1H","91.63","342.54","384.29",""
"Armand Fougere","K1H","91.65","397.97","384.58",""
"Alain Droniou","K1H","91.99","429.47","389.62",""
"Antoine Hirbec","K1H","92.11","295.5","391.4",""
"Simon Cognard","K1H","92.19","304.94","392.58",""
"Baptiste Loy","K1H","92.32","401.03","394.5",""
"Valentino Le Guesclou","K1H","92.39","327.32","395.54",""
"Corentin Makosso","K1H","92.66","422.02","399.54",""
"Jeremy Lecollinet","K1H","92.99","292.67","404.43",""
"Oscar Donval","K1H","93.04","367.95","405.17",""
"Simon Rolland","K1H","93.33","363.41","409.46",""
"Gaston Guilmard","K1H","93.67","385.45","414.49",""
"Louis Forgeard","K1H","94.03","328.2","419.83",""
"Mewen Debliquy","K1H","94.54","424.52","427.38",""
"Aurelien Le Duc","K1H","94.78","332.58","430.93",""
"Younes Kismi","K1H","95.09","445.02","435.52",""
"Pierre Yves Tanguy","K1H","95.52","382.96","441.89",""
"Emmanuel Cosse","K1H","95.58","375.04","442.78",""
"Collin Pouradier","K1H","95.69","360.67","444.41",""
"Gurvan Huet","K1H","95.85","386.12","446.77",""
"Adrien Pierre","K1H","95.88","422.54","447.22",""
"Rafael Lerusse","K1H","96","496.98","449",""
"Benoit Ricard","K1H","96.16","557.36","451.37",""
"Franck Laurent Fontaine","K1H","96.23","-","452.4",""
"Jerome Talbot","K1H","96.24","426.73","452.55",""
"Lubin Huet","K1H","96.75","371.17","460.1",""
"Glen Le Meur","K1H","96.81","485.18","460.99",""
"Pierre-yves Lebreton","K1H","97.06","354.92","464.69",""
"Guillaume Maillot","K1H","97.38","299.38","469.43",""
"Brice Derrien","K1H","97.4","317.34","469.73",""
"Max Derame","K1H","97.47","470.13","470.76",""
"Stephane Debliquy","K1H","97.48","402.9","470.91",""
"Gwenael Marquer","K1H","97.52","342.36","471.5",""
"Matheo Coquel","K1H","98.05","393.95","479.35",""
"Lilian Bald","K1H","98.3","449.23","483.05",""
"Theo Douady","K1H","98.76","351.04","489.86",""
"Noe Gorvo","K1H","99.02","466.23","493.71",""
"Elouan Le Fournis","K1H","99.51","425.92","500.97",""
"Thomas Heslouis","K1H","99.93","515.29","507.19",""
"Yann Le Bourser","K1H","99.97","338.89","507.78",""
"Aubin Davaic","K1H","100.19","500.29","511.04",""
"Francois Bonthonnou","K1H","100.42","509.97","514.44",""
"Victor Lagleyze","K1H","100.44","437.82","514.74",""
"Killian Flegeau","K1H","100.48","277.3","515.33",""
"Jules Roos","K1H","100.48","475.64","515.33",""
"Ronan Nedelec","K1H","100.5","472.02","515.63",""
"Amael Samson","K1H","100.59","493.59","516.96",""
"Tanguy Odot","K1H","101.48","465.82","530.14",""
"Fabien Dulyse","K1H","101.51","435.77","530.58",""
"Tom Seguillon","K1H","101.6","412.21","531.92",""
"Erwann Le Jeune","K1H","101.64","412.31","532.51",""
"Maxime Lignereux","K1H","101.99","448.23","537.69",""
"Tom Milon","K1H","102.35","606.44","543.02",""
"Adrien Le Collinet","K1H","102.58","520.9","546.43",""
"Loic Froissard","K1H","102.91","461.77","551.31",""
"Nathan Corfmat","K1H","103.18","472.58","555.31",""
"Ludovic Couture","K1H","103.43","489.29","559.01",""
"Malo Marquet","K1H","103.47","420.94","559.61",""
"Tom Marchand","K1H","103.5","491.84","560.05",""
"Alan Olivo","K1H","104.3","358.75","571.9",""
"Mael Monjaret","K1H","104.4","445.03","573.38",""
"Nicolas Bidault","K1H","104.66","461.52","577.23",""
"Riwal Bourdoulous","K1H","104.75","826.16","578.56",""
"Yann Curti","K1H","105.11","489.93","583.89",""
"Alexandre Bourliaud","K1H","105.33","546.7","587.15",""
"Romain Caburol","K1H","105.71","546.11","592.78",""
"Guillaume Caron","K1H","106.04","434.11","597.66",""
"Tom Lallican","K1H","107.67","565.6","621.8",""
"Romain Brouard","K1H","108.71","598.99","637.2",""
"Gabin Rio","K1H","108.97","-","641.05",""
"Gabriel Balafre","K1H","109.16","-","643.86",""
"Antoine Aubert","K1H","109.53","546.17","649.34",""
"Pierre Rochon","K1H","109.62","574.06","650.67",""
"Clement Collardez","K1H","109.76","435.51","652.75",""
"Luck Thomas","K1H","110.73","556.91","667.11",""
"Regis Navinel-dubois","K1H","110.76","481.83","667.55",""
"Romain Foulon","K1H","111.63","610.28","680.43",""
"Clement Ezanno","K1H","111.94","689.88","685.03",""
"Matthieu Escolano","K1H","112.25","634.72","689.62",""
"Matheo Morin","K1H","112.7","570.95","696.28",""
"Sylvain Premel","K1H","113.52","519.49","708.42",""
"Timeo Cornic","K1H","113.52","706.39","708.42",""
"Cesar Le Berder","K1H","114","558.97","715.53",""
"Noah Fresneda","K1H","114.22","509.18","718.79",""
"Edouard Anne","K1H","115.13","527.11","732.26",""
"Louis Nivet","K1H","115.48","781.59","737.44",""
"Tanguy Rolland","K1H","115.52","598.09","738.04",""
"Corentin Beaumois","K1H","115.82","578.2","742.48",""
"Maxence Davy","K1H","116.08","577.99","746.33",""
"Florian Vinet","K1H","116.33","571.84","750.03",""
"Romain Margerie","K1H","116.74","540.4","756.1",""
"Marius Benard","K1H","117.46","646.3","766.76",""
"Jean Christophe Olivo","K1H","117.86","626.7","772.68",""
"Elouan Pennors","K1H","117.92","502.25","773.57",""
"Florian Szabo","K1H","118.22","729.12","778.02",""
"Nicolas Petipez","K1H","118.49","753.8","782.01",""
"Luc Le Diouron","K1H","118.79","542.24","786.46",""
"Ewann Hervouet","K1H","119.56","637.28","797.86",""
"Tom Labastie","K1H","121.09","586.37","820.51",""
"Thibault Prono","K1H","121.28","768.22","823.33",""
"Hugo Bardot","K1H","121.67","773.98","829.1",""
"Juan Riu","K1H","123.25","643.35","852.5",""
"Antoine Demarest","K1H","124.48","638.35","870.71",""
"Louis-felix Marchand","K1H","126.63","650.38","902.55",""
"Simon Murzeau","K1H","129.24","866.21","941.19",""
"Victor Robert","K1H","129.24","688.29","941.19",""
"Axel Barre","K1H","130.2","715.09","955.41",""
"Axel Brin","K1H","130.89","997.26","965.62",""
"Thomas Hado","K1H","133.43","769.57","1003.24",""
"Matheo Courgeon","K1H","134.21","687.79","1014.78",""
"Gerard Lemonnier","K1H","136.42","705.97","1047.51",""
"Erwan Launay","K1H","138.67","750.34","1080.83",""
"Ewen Berrest","K1H","139.31","308.05","1090.3",""
"Julien Buors","K1H","140.77","651.39","1111.92",""
"Maxime Berthaut","K1H","144.25","375.54","1163.45",""
"Leo Grollier","K1H","145.03","418.53","1175",""
"Ylan Penvenne","K1H","147.98","461.57","1218.68",""
"Noe Caillet","K1H","150.43","686.27","1254.96",""
"Julien Caillarec","K1H","150.71","367.16","1259.11",""
"RaphaËl Louvigny","K1H","153.23","-","1296.42",""
"Hugo Robert","K1H","153.74","538.85","1303.97",""
"Samuel Piton","K1H","161.4","568.6","1417.4",""
"Louis Beaumois","K1H","163.68","478.84","1451.16",""
"Tristan Lacroix","K1H","164.36","765.23","1461.23",""
"Olivier Brochard","K1H","164.54","555.91","1463.89",""
"Nathan Gouraud","K1H","164.97","662.77","1470.26",""
"Lucas Pagnard - Tissier","K1H","165.99","354.25","1485.36",""
"Bastien Mailly","K1H","168","621.57","1515.13",""
"Benjamin Pagerie","K1H","168.65","692.07","1524.75",""
"Eric Pouradier","K1H","179.69","722.78","1688.22",""
"Mael Segaud","K1H","180.79","633.41","1704.51",""
"Vincent Donval","K1H","184.94","652.76","1765.96",""
"Titouan Le Jeune","K1H","193.54","677.57","1893.31",""
"Steeve Protais","K1H","196.5","914.38","1937.13",""
"Mallory Brochard","K1H","275.5","781.31","3106.92",""
"Julien Mizzi","K1H","299.48","469.41","3462",""
"Hugo Quistrebert","K1H","Abs","-","-",""
"Deverig Cardiec","K1H","Abs","-","-",""
