"Championnat Régional de Slalom - 27170 Beaumont Le Roger - Qualification - 2019-04-28","Qualification","2019-04-28","Régional","182"
"Nine Meyer-Loan Guyomarch","C2M","162.63","-","862.66",""
"Dante Bourlet De La Vallee-Albertine Binard","C2M","163.14","883.05","868.37",""
"Esteban Olivier-Estelle Brodin","C2M","165.4","-","893.67",""
"Clemence Douche-Lucas Ferloni","C2M","173.55","1097.63","984.93",""
"Nathalie Guelton-Fabrice Brodin","C2M","Abs","-","-",""
"Zoe Dronne-Guillaume Cahagne","C2MM","170.02","2320.52","945.4",""
"Maya Binard-Sullivan Leblanc","C2MM","Abs","-","-",""
"Margaux Fabijan","K1D","107.57","334.19","320.77",""
"Chloe Gatuingt","K1D","116.81","448.26","430.64",""
"Leontine Dubuisson","K1D","118.08","475.92","445.74",""
"Pauline Soenen","K1D","120.96","417.1","479.98",""
"Salome Huet","K1D","120.99","548.96","480.34",""
"Lison Gautrelet","K1D","124.87","433.18","526.47",""
"Elza Horlock","K1D","127.65","603.01","559.54",""
"Alize Bachelot","K1D","131.4","493.57","604.12",""
"Mylene Despres","K1D","131.46","591.83","604.83",""
"Eloise Riviere","K1D","132.74","572.37","620.05",""
"Alexia Evrard","K1D","135.58","684.19","653.82",""
"Estelle Brodin","K1D","136.64","704.76","666.42",""
"Nine Meyer","K1D","138.14","736.58","684.26",""
"Albertine Binard","K1D","138.3","849.88","686.16",""
"Daphnee Mouchelet","K1D","139.33","695.46","698.41",""
"Delphine Brunet","K1D","141.57","880.41","725.04",""
"Lea Cabanne","K1D","144.74","802.81","762.74",""
"Ophelie Lailler","K1D","145.46","1060.32","771.3",""
"Angele Sottolefevre","K1D","173.11","1520.72","1100.07",""
"Solene Douche","K1D","176.14","770.83","1136.1",""
"Estelle Lefevre","K1D","182.08","-","1206.73",""
"Sarah Feugray","K1D","199.17","-","1409.94",""
"Jennifer Feugray","K1D","204.58","-","1474.26",""
"Nathalie Guelton","K1D","Abs","-","-",""
"Elise Masseline","K1DM","124.81","525.46","525.76",""
"Zoe Dronne","K1DM","131.78","1723.84","608.63",""
"Julie Benoist","K1DM","138.3","1160.79","686.16",""
"Orlane Colmant","K1DM","140.9","1415.82","717.07",""
"Camille Jaroszewski","K1DM","150.33","1215.26","829.2",""
"Maya Binard","K1DM","157.37","-","912.91",""
"Denis Parizia","K1H","96.89","283.22","343.55",""
"Mickael Louchard","K1H","99.46","430.03","378.08",""
"Quentin Angot","K1H","100.24","354.31","388.56",""
"Benjamin Thiboust","K1H","100.3","195.8","389.37",""
"Jean Aussant","K1H","100.58","362.59","393.13",""
"Yohan Marck","K1H","100.74","330.32","395.28",""
"Mathieu Aussant","K1H","102.84","379.31","423.49",""
"Titouan Aussant","K1H","102.95","386.8","424.97",""
"Bertrand Avril","K1H","104.51","336.88","445.93",""
"Nicolas Candieu","K1H","104.9","426.63","451.17",""
"Edouard Gracias","K1H","105.47","399.15","458.83",""
"Franck Cahagne","K1H","105.87","701.25","464.21",""
"Dante Bourlet De La Vallee","K1H","106.99","416.02","479.25",""
"Leo Degraeve","K1H","108.34","423.76","497.39",""
"Nicolas Dupres","K1H","109.02","494.07","506.53",""
"Thomas Martinet","K1H","110.68","407.28","528.83",""
"Florian Sauvage","K1H","111.21","438.79","535.96",""
"Mathis Pomares","K1H","111.21","555.28","535.96",""
"Sebastien Delaunay","K1H","111.55","566.88","540.52",""
"Tom Raynaud","K1H","111.62","551.8","541.46",""
"Antoine Martin","K1H","112.46","495.65","552.75",""
"Benjamin Georgin","K1H","112.89","483.87","558.53",""
"Jess Masson","K1H","113.24","526.89","563.23",""
"Jeremy Bretteville","K1H","113.24","487.25","563.23",""
"Leo Tellier","K1H","113.34","746.43","564.57",""
"Victorien Coupeau","K1H","116.11","-","601.79",""
"Alexandre Marteau","K1H","116.24","892.7","603.54",""
"Fabien Bonvalet","K1H","116.99","408.75","613.62",""
"Romain Bouillon","K1H","118.74","464.21","637.13",""
"Esteban Olivier","K1H","119.07","599.17","641.56",""
"Thomas Gossieaux","K1H","119.14","628.58","642.5",""
"Alexandre Mauger","K1H","121.3","1051.21","671.53",""
"Dimitri Houlier","K1H","121.71","563.26","677.04",""
"Samuel Bonvalet","K1H","122.86","767.95","692.49",""
"Tom Armand","K1H","125.27","1602.7","724.87",""
"Jason Leroy","K1H","126.96","815.34","747.58",""
"Thomas Brunet","K1H","126.96","814.77","747.58",""
"Antoine Gossieaux","K1H","127.69","-","757.38",""
"Loan Guyomarch","K1H","127.74","629.54","758.06",""
"Maxence Galy","K1H","131.71","603.46","811.4",""
"Gatien Bocage","K1H","132.55","1802.58","822.68",""
"Martin Dubus","K1H","133.72","2765.85","838.4",""
"Elias Schieber","K1H","137.4","1520.41","887.85",""
"Brieuc Aubron","K1H","138.71","1033.21","905.45",""
"Antonin Hannier","K1H","154.51","1023.79","1117.74",""
"Estephe Decarsin","K1H","158.87","375.99","1176.32",""
"Jules Brodin","K1H","159.08","-","1179.15",""
"Thomas Caviole","K1H","178.11","-","1434.84",""
"Fabrice Brodin","K1H","203.86","-","1780.82",""
"Pierre Sotto","K1H","205.27","1870.44","1799.76",""
"Lucas Ferloni","K1H","Dsq","-","-",""
"Louison Decarsin","K1HM","108.34","546.55","497.39",""
"Arthur Lescarmontier","K1HM","115.08","689.1","587.95",""
"Guillaume Cahagne","K1HM","125.05","1279.32","721.91",""
"Sacha Borderie","K1HM","126.37","804.29","739.65",""
"Lubin Brionne","K1HM","129.41","826.93","780.49",""
"Oscar Lapiche--dedun","K1HM","133.46","919.64","834.91",""
"Romain Brunet","K1HM","146.4","-","1008.77",""
"Quentin Samson","K1HM","149.06","-","1044.51",""
"Jonas Huet","K1HM","157.08","1807.75","1152.27",""
"Noa Harel","K1HM","159.78","-","1188.55",""
"Baptiste Ozieblo","K1HM","166.32","-","1276.42",""
"Gabriel Stefanovitch","K1HM","185.9","-","1539.5",""
"Enzo Clupty","K1HM","206.46","-","1815.75",""
"Mathis Havin","K1HM","Abs","-","-",""
"Sullivan Leblanc","K1HM","Abs","-","-",""
"Nino Lechevallier","K1HM","Abs","-","-",""
