"Séletif National 3 Slalom Nord - Saint Laurent Blangy - Finale - 2015-03-08","Finale","2015-03-08","Nationale 3","158"
"Alina Rassel","K1D","112.03","380.5","395.17","Finale B"
"Camille Meyer","K1D","118.39","351.91","471.25","Finale B"
"Sophie Dupas","K1D","121.4","495.89","507.26","Finale B"
"Mallaury Bour","K1D","133.11","434.77","647.34","Finale B"
"Gaelle Verbyst","K1D","160.08","480.4","969.99","Finale B"
"Anne Lambert","K1D","198.73","731.57","1432.35","Finale B"
"Lea Roger","K1D","391.82","619.99","3742.28","Finale B"
"Lea Kieffer","K1D","Abd","-","-","Finale B"
"Son Bui","K1H","97.43","385.35","372.03","Finale B"
"Loic Bourgeois","K1H","99.88","380.41","405.15","Finale B"
"Aymeric Dollat","K1H","103.12","388.1","448.95","Finale B"
"Fabien De Almeida","K1H","104.02","462.91","461.11","Finale B"
"Isidore Dubuisson","K1H","105.26","611.45","477.87","Finale B"
"Arnaud Mercier","K1H","105.86","467.11","485.99","Finale B"
"Arthur Dupont","K1H","105.87","441.19","486.12","Finale B"
"Louison Laumondais","K1H","105.99","366.23","487.74","Finale B"
"Adam Collin","K1H","106.18","371.42","490.31","Finale B"
"Gerard Lafargue","K1H","106.34","419.29","492.47","Finale B"
"Alexandre Hubaut","K1H","110.97","728.93","555.06","Finale B"
"Nicolas Castagnetti","K1H","111","443.36","555.47","Finale B"
"Leo Prel","K1H","113.73","868.16","592.37","Finale B"
"Mathieu Cruard","K1H","113.88","620.97","594.4","Finale B"
"Leo Demazeau","K1H","114.15","580.44","598.05","Finale B"
"Axel Godard","K1H","114.89","532.6","608.05","Finale B"
"Lilian Lepenant","K1H","115.38","651.2","614.68","Finale B"
"Hadrian Loreille","K1H","115.77","549.69","619.95","Finale B"
"Melvin Queudeville","K1H","115.8","814.15","620.36","Finale B"
"Martin Rich","K1H","116.74","607.17","633.06","Finale B"
"Remi Catherine","K1H","121.21","566.62","693.49","Finale B"
"Djimy Kar","K1H","122.14","483.54","706.06","Finale B"
"Anthony Codemo","K1H","123.67","396.88","726.74","Finale B"
"Marvin Lescourant","K1H","124.54","846.7","738.5","Finale B"
"Augustin Francois","K1H","125.01","597.39","744.86","Finale B"
"Juan Guerrero","K1H","126.67","551.44","767.3","Finale B"
"Remi Blaud","K1H","126.9","581.69","770.41","Finale B"
"Lucas Correia","K1H","127.44","619.48","777.71","Finale B"
"Alexandre Ponnelle","K1H","127.97","693.07","784.87","Finale B"
"Antoine Pas","K1H","128.92","631.26","797.71","Finale B"
"Adrien Barlier","K1H","130.64","441.11","820.97","Finale B"
"Alexis Agent","K1H","131.17","793.67","828.13","Finale B"
"Lucas Jacob","K1H","132.79","409.13","850.03","Finale B"
"Mickael Dubois","K1H","141.67","560.5","970.07","Finale B"
"Louis Prezeau","K1H","146.57","559.07","1036.31","Finale B"
"Hugo Lecomte","K1H","157.12","562.59","1178.93","Finale B"
"Louis Debureaux","K1H","160.33","558.77","1222.32","Finale B"
"Remy Daumont","K1H","175.7","814.16","1430.09","Finale B"
"Lucas Gamain","K1H","178.44","617.52","1467.13","Finale B"
"Thomas Descotes","K1H","179.48","431.93","1481.19","Finale B"
"Denis Marrocos","K1H","179.78","842.05","1485.25","Finale B"
"Charles Glachant","K1H","191.67","914.86","1645.98","Finale B"
"Gerald Oudin","K1H","199.59","828.99","1753.04","Finale B"
"Gauthier Maillot","K1H","218.79","545.25","2012.59","Finale B"
"Benoit Guernic","K1H","270.44","729.87","2710.8","Finale B"
"Valentin Fleury","K1H","Abd","-","-","Finale B"
