"Sélectif Championnat Nationale 2 - Metz - Qualification - 2014-05-04","Qualification","2014-05-04","Nationale 2","152"
"Yoan Del Rey-Arthur Grandemange","C2H","113.96","225.8","231.86",""
"Antoine Gaillard-Sebastien Nouvel","C2H","117.28","225.29","264.74",""
"Pierre-yves Bernard-Charles Dampeyrou","C2H","122.29","277.03","314.37",""
"Nathan Robert-Quentin Robert","C2H","122.84","282.69","319.82",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","123.7","221.06","328.34",""
"Stephane Broute-Xavier Jourdain","C2H","124.65","223.88","337.74",""
"Armand Rakowski-Emmanuel Sarazin","C2H","125.88","-","349.92",""
"Axel Kournwsky-Adrien Maire","C2H","129.54","263.21","386.18",""
"Julian Othenin-girard-Anice Benhacine","C2H","129.98","206.61","390.54",""
"Claude Menissier-Gerard Menissier","C2H","135.39","318.96","444.12",""
"Emeric Vibert-Valentin Vibert","C2H","Nt","-","-",""
"Benoit Chantry-Stephanie Bender","C2M","185.97","250.71","791.61",""
"Martin Braud-Sarah Lyphout","C2M","Nt","-","-",""
"Angelique Guilcher","K1D","111.1","159.11","174.31",""
"Claire Landrin","K1D","111.32","170.01","176.44",""
"Joey Bercon","K1D","116.67","136.93","228.02",""
"Marine Schmitt","K1D","117.58","135.07","236.79",""
"Anneline Triomphe","K1D","118.79","128.44","248.46",""
"Andrea Gratwohl","K1D","119.79","186.4","258.11",""
"Anne-sophie Biazizzo","K1D","119.98","141.49","259.94",""
"Laurine Naveau","K1D","122.03","148.06","279.7",""
"Candice Brondel","K1D","122.16","207.09","280.95",""
"Marjorie Delassus","K1D","122.42","195.63","283.46",""
"Suzon Broute","K1D","122.63","136.78","285.49",""
"Mylene Ferry","K1D","122.77","134.91","286.84",""
"Camille Andrieux","K1D","123.17","156.77","290.69",""
"Elodie Delavelle","K1D","123.62","201.94","295.03",""
"Axelle Armanini","K1D","124.33","231.67","301.88",""
"Louise Bichet","K1D","124.79","255.76","306.32",""
"Florianne Gautier","K1D","125.04","188.37","308.73",""
"Zelie Wendling","K1D","125.4","267.34","312.19",""
"Raphaelle Hovine","K1D","125.66","220.24","314.71",""
"Camille Fontaine","K1D","125.75","208.33","315.57",""
"Laura Rocher","K1D","126.12","213.88","319.14",""
"Anna Wider","K1D","126.27","298.2","320.58",""
"Emilie Delahaye","K1D","127.87","255.14","336.01",""
"Lea Martin","K1D","128.5","259.63","342.09",""
"Emeline Oudet","K1D","129.7","153.01","353.66",""
"Sarah Michel","K1D","131.42","275.35","370.24",""
"Alicia Gallot","K1D","133.09","278.3","386.35",""
"Lisa Robin","K1D","133.59","243.74","391.16",""
"Lea Feuillard","K1D","134.55","295.35","400.42",""
"Azenor Philip","K1D","134.77","253","402.54",""
"Oceane Vienet","K1D","134.82","160.38","403.03",""
"Caroline Scherer","K1D","134.95","346.38","404.28",""
"Laurine Grandadam","K1D","135.46","284.62","409.19",""
"Leonie Gachon","K1D","139.1","276.96","444.29",""
"Sarah Lyphout","K1D","139.1","170.71","444.29",""
"Emilie Lhomme","K1D","191.18","229.61","946.45",""
"Stephanie Bender","K1D","247.43","287.29","1488.82",""
"Paul Brier","K1H","90.6","113.44","90.22",""
"Lukas Werro","K1H","92.7","145.85","113.1",""
"Jeremias Schlaefli","K1H","94.92","336.12","137.29",""
"Romain Faurie","K1H","95.1","103.6","139.25",""
"Louis Philippe Rigal","K1H","95.59","107.2","144.59",""
"Pierre Marie Roussel","K1H","96.12","97.43","150.36",""
"Nicolas Feuillard","K1H","96.15","102.07","150.69",""
"Charlie Barbier","K1H","97.02","157.53","160.17",""
"Benoit Chantry","K1H","97.53","77.47","165.72",""
"Alan Dollo","K1H","98.27","127.46","173.79",""
"Eric Lamour","K1H","98.33","119.41","174.44",""
"Julien Haberland","K1H","98.75","190.75","179.02",""
"Anthony Thuillier","K1H","99.01","118.83","181.85",""
"Florient Tagnon","K1H","99.29","129.54","184.9",""
"Robin Pilard","K1H","99.31","165.34","185.12",""
"Charles Edouard Dherment","K1H","99.69","121.69","189.26",""
"Enzo Seker","K1H","99.91","120.72","191.65",""
"Jules Bevalot","K1H","100.09","155.96","193.62",""
"Simon Despres","K1H","100.12","177.26","193.94",""
"Xavier Jourdain","K1H","100.31","107.17","196.01",""
"Luc Hellard","K1H","100.94","174.07","202.88",""
"Jerome Olhagaray","K1H","101.03","96.13","203.86",""
"Silvere Desongins","K1H","101.15","119.75","205.16",""
"Nicolas Coudert","K1H","101.31","114","206.91",""
"Anthony Mottais","K1H","101.45","109.69","208.43",""
"Alexis Pernelle","K1H","102.05","142.11","214.97",""
"Loic Monbel","K1H","102.33","134.15","218.02",""
"Julien Arribe","K1H","102.39","155.98","218.67",""
"Antoine Gaillard","K1H","102.57","145.42","220.64",""
"Gregoire Guerin","K1H","102.62","198.14","221.18",""
"Antonin Elne","K1H","102.64","109.06","221.4",""
"Laurent Starck","K1H","102.83","146.71","223.47",""
"Maxence Grandadam","K1H","102.99","222.16","225.21",""
"Lucas Ferraina","K1H","103.24","205.46","227.94",""
"Matthieu Basset","K1H","103.45","194.53","230.22",""
"Alexandre Lismonde","K1H","103.65","232.75","232.4",""
"Arnaud Gallois","K1H","104.04","159.19","236.65",""
"Etienne Carpentier","K1H","105.2","171.02","249.29",""
"Romain Bertrand","K1H","105.22","174.81","249.51",""
"Nowan Bertin","K1H","105.22","126.89","249.51",""
"Tristan Bronsard","K1H","105.63","-","253.98",""
"Vincent Dubois","K1H","105.76","179.15","255.39",""
"Thibaut Chariot","K1H","105.77","220.53","255.5",""
"Tristan Lejot","K1H","105.9","207.94","256.92",""
"Sebastien Nouvel","K1H","105.99","158.23","257.9",""
"Pascal Ferry","K1H","106.06","152.32","258.66",""
"Axel Kournwsky","K1H","106.19","223.8","260.08",""
"Adrien Maire","K1H","106.2","158.74","260.19",""
"Boris Pernelle","K1H","106.92","134.91","268.03",""
"Stephane Broute","K1H","107","162.78","268.9",""
"Maxime Bottex","K1H","107.12","122.74","270.21",""
"Antoine Lebastard","K1H","107.22","215.31","271.3",""
"Quentin Moreaux","K1H","107.78","137.43","277.4",""
"Tom Barthelemy","K1H","108.03","235.62","280.13",""
"Emmanuel Sarazin","K1H","108.8","142.83","288.52",""
"Bastien Meslet","K1H","110.76","212.13","309.87",""
"Leo Fournier","K1H","110.8","184.38","310.31",""
"Jules Guilbaud","K1H","111.14","169.43","314.01",""
"Pierre Audouin","K1H","111.66","161.44","319.68",""
"Cedric Jegouzo","K1H","112.75","103.44","331.55",""
"Julien Fougeron","K1H","114.73","219.46","353.13",""
"Valentin Vibert","K1H","127.68","155.22","494.22",""
"Malo Le Paih","K1H","154.54","189.73","786.88",""
"Otello Willmann Rosso","K1H","Nt","-","-",""
"Nathan Barbier","K1H","Nt","-","-",""
"Julian Othenin-girard","K1H","Nt","-","-",""
"Jean Philippe Winiarski","K1H","Nt","-","-",""
"Remi Quentin","K1H","Nt","-","-",""
"Emeric Vibert","K1H","Nt","-","-",""
"Sylvain Dandel","K1H","Nt","-","-",""
