"Slalom Régional - Annemasse - 2010-09-12","Course 1","2010-09-12","Régional","109"
"Matthieu Basset","K1H","106.5","144.33","176.02",""
"Thomas Schmitt","K1H","106.74","163.01","178.74",""
"Jan Kaspar","K1H","107.03","197.77","182.03",""
"Olivier Hardonniere","K1H","107.14","185.95","183.28",""
"Gregory Lebourgeois","K1H","107.87","192.99","191.55",""
"Simon Bonnet","K1H","107.95","221.48","192.46",""
"Sebastien Lepaulard","K1H","108.42","173.26","197.79",""
"Edouard Grosjean","K1H","109.55","186.41","210.6",""
"Emeric Vibert","K1H","110.54","169.38","221.82",""
"Guillaume Gery","K1H","110.61","189.67","222.62",""
"Julien Jeanningros","K1H","110.96","200.67","226.58",""
"Sebastien Thevard","K1H","111.37","247.3","231.23",""
"Romain Musy","K1H","111.66","206.67","234.52",""
"Enzo Seker","K1H","111.73","221","235.31",""
"Jean Baptiste Thiel","K1H","112.63","187.33","245.52",""
"Olivier Bourgey","K1H","112.68","218.83","246.08",""
"Cyril Gisbert","K1H","113.3","191.67","253.11",""
"Olivier Barriere","K1H","113.82","271","259.01",""
"Yan Labeye","K1H","114.33","355.67","264.79",""
"Youcef Bahlat","K1H","114.78","238","269.89",""
"Anthony Deschamps","K1H","115.11","182.43","273.63",""
"Frederic Blanrue","K1H","115.63","261.33","279.53",""
"Clement Rota","K1H","116","-","283.72",""
"Sylvain Ferry","K1H","117.61","225","301.98",""
"Nicolas Detheve","K1H","118.55","184.12","312.63",""
"Damien Ferraud","K1H","118.71","309.33","314.45",""
"Colas Geier","K1H","119.12","326.67","319.09",""
"Fabian Crequi","K1H","119.16","433.97","319.55",""
"Alexandre Montabonnet","K1H","119.64","282","324.99",""
"Tom Jackson","K1H","119.66","303","325.22",""
"Adrien Kaiser","K1H","119.74","376.25","326.12",""
"Felix Balas","K1H","119.76","-","326.35",""
"Morgan Merel","K1H","120.67","335.86","336.67",""
"Luka Neel","K1H","121.27","382.16","343.47",""
"Yann Burgod-derrier","K1H","123.01","386.67","363.19",""
"Pierre Alexandre Facon","K1H","123.68","-","370.79",""
"Antoine Montabonnet","K1H","124.6","-","381.22",""
"Damien Siegfried","K1H","125.08","354.67","386.66",""
"Axel Kournwsky","K1H","127.19","-","410.58",""
"Jonathan Courduries","K1H","128.63","482.38","426.91",""
"Theo Foissard","K1H","129.6","628.67","437.9",""
"Nathael Pajani","K1H","130.81","-","451.62",""
"Vincent Maire","K1H","132.45","473.67","470.22",""
"Jimmy Peisey","K1H","133.35","985","480.42",""
"Damien Balistreri","K1H","134.16","878.67","489.6",""
"Baptiste Lebreton","K1H","134.99","-","499.01",""
"Arturo Maeder","K1H","135.04","-","499.58",""
"Lilian Querry","K1H","136.71","-","518.51",""
"Seraphin Magnin","K1H","150.03","-","669.52",""
"Theophile Gaillard","K1H","175.89","-","962.69",""
"Theo Joudrain","K1H","290.57","-","2262.81",""
"Yannick Grizaud","K1H","Nt","-","-",""
"Georges Rey","K1H","Nt","-","-",""
"Lois Guillermond","K1H","Nt","-","-",""
